Date,BMY
2010-01-04,15.072476387023926
2010-01-05,14.837244033813477
2010-01-06,14.83135986328125
2010-01-07,14.843125343322754
2010-01-08,14.596136093139648
2010-01-11,14.749032974243164
2010-01-12,14.590251922607422
2010-01-13,14.6961030960083
2010-01-14,14.731391906738281
2010-01-15,14.74315357208252
2010-01-19,15.084235191345215
2010-01-20,14.972505569458008
2010-01-21,14.672584533691406
2010-01-22,14.46675968170166
2010-01-25,14.307974815368652
2010-01-26,14.290331840515137
2010-01-27,14.290331840515137
2010-01-28,14.17271614074707
2010-01-29,14.325618743896484
2010-02-01,14.337371826171875
2010-02-02,14.572607040405273
2010-02-03,14.407950401306152
2010-02-04,14.108026504516602
2010-02-05,14.096267700195312
2010-02-08,14.090386390686035
2010-02-09,14.260930061340332
2010-02-10,14.066865921020508
2010-02-11,14.049220085144043
2010-02-12,14.060981750488281
2010-02-16,14.23740005493164
2010-02-17,14.41383171081543
2010-02-18,14.607892990112305
2010-02-19,14.672584533691406
2010-02-22,14.513805389404297
2010-02-23,14.372661590576172
2010-02-24,14.531445503234863
2010-02-25,14.396190643310547
2010-02-26,14.41383171081543
2010-03-01,14.34325885772705
2010-03-02,14.53732681274414
2010-03-03,14.307974815368652
2010-03-04,14.390304565429688
2010-03-05,14.866649627685547
2010-03-08,14.884292602539062
2010-03-09,14.819608688354492
2010-03-10,15.084235191345215
2010-03-11,15.266542434692383
2010-03-12,15.225379943847656
2010-03-15,15.260663032531738
2010-03-16,15.284187316894531
2010-03-17,15.278305053710938
2010-03-18,15.331233978271484
2010-03-19,15.295948028564453
2010-03-22,15.572343826293945
2010-03-23,15.75464916229248
2010-03-24,15.695837020874023
2010-03-25,15.748772621154785
2010-03-26,15.695837020874023
2010-03-29,15.878144264221191
2010-03-30,15.925760269165039
2010-03-31,15.890048027038574
2010-04-01,16.03883171081543
2010-04-05,15.931707382202148
2010-04-06,15.699609756469727
2010-04-07,15.800780296325684
2010-04-08,15.574633598327637
2010-04-09,15.622244834899902
2010-04-12,15.646044731140137
2010-04-13,15.461552619934082
2010-04-14,15.294918060302734
2010-04-15,15.080667495727539
2010-04-16,15.163989067077637
2010-04-19,15.36037826538086
2010-04-20,15.134232521057129
2010-04-21,14.937838554382324
2010-04-22,14.545044898986816
2010-04-23,14.723590850830078
2010-04-26,14.580759048461914
2010-04-27,14.408169746398926
2010-04-28,14.485530853271484
2010-04-29,15.098520278930664
2010-04-30,15.062816619873047
2010-05-03,14.955689430236816
2010-05-04,15.039010047912598
2010-05-05,14.914024353027344
2010-05-06,14.449830055236816
2010-05-07,14.485530853271484
2010-05-10,14.366509437561035
2010-05-11,14.503384590148926
2010-05-12,14.545044898986816
2010-05-13,14.283185005187988
2010-05-14,14.021331787109375
2010-05-17,14.104650497436523
2010-05-18,14.015379905700684
2010-05-19,14.110599517822266
2010-05-20,13.741623878479004
2010-05-21,13.664253234863281
2010-05-24,13.682109832763672
2010-05-25,13.604740142822266
2010-05-26,13.521419525146484
2010-05-27,13.890398025512695
2010-05-28,13.813031196594238
2010-06-01,13.699956893920898
2010-06-02,13.6880521774292
2010-06-03,13.6166410446167
2010-06-04,13.354787826538086
2010-06-07,14.199873924255371
2010-06-08,14.461727142333984
2010-06-09,14.366509437561035
2010-06-10,14.664073944091797
2010-06-11,14.925932884216309
2010-06-14,15.050911903381348
2010-06-15,15.253252983093262
2010-06-16,15.402037620544434
2010-06-17,15.390138626098633
2010-06-18,15.342527389526367
2010-06-21,15.140189170837402
2010-06-22,15.140189170837402
2010-06-23,15.02115535736084
2010-06-24,15.086620330810547
2010-06-25,15.217544555664062
2010-06-28,15.217544555664062
2010-06-29,15.050911903381348
2010-06-30,15.032825469970703
2010-07-01,14.924331665039062
2010-07-02,14.8821382522583
2010-07-06,15.21365737915039
2010-07-07,15.551204681396484
2010-07-08,15.418600082397461
2010-07-09,15.430645942687988
2010-07-12,15.225715637207031
2010-07-13,15.255852699279785
2010-07-14,15.123239517211914
2010-07-15,15.370377540588379
2010-07-16,15.171463966369629
2010-07-19,14.972554206848145
2010-07-20,15.08105182647705
2010-07-21,14.918305397033691
2010-07-22,15.026803970336914
2010-07-23,14.858022689819336
2010-07-26,15.050909996032715
2010-07-27,15.261879920959473
2010-07-28,15.141324996948242
2010-07-29,15.117212295532227
2010-07-30,15.020772933959961
2010-08-02,15.388453483581543
2010-08-03,15.478872299194336
2010-08-04,15.68984317779541
2010-08-05,15.900806427001953
2010-08-06,15.894775390625
2010-08-09,15.979162216186523
2010-08-10,16.069576263427734
2010-08-11,15.822447776794434
2010-08-12,15.870670318603516
2010-08-13,15.864635467529297
2010-08-16,15.840527534484863
2010-08-17,16.027379989624023
2010-08-18,15.840527534484863
2010-08-19,15.70792007446289
2010-08-20,15.936969757080078
2010-08-23,15.961078643798828
2010-08-24,15.683815956115723
2010-08-25,15.719972610473633
2010-08-26,15.581339836120605
2010-08-27,15.744085311889648
2010-08-30,15.581339836120605
2010-08-31,15.719972610473633
2010-09-01,15.91888427734375
2010-09-02,15.930940628051758
2010-09-03,16.02135467529297
2010-09-07,16.039440155029297
2010-09-08,16.123823165893555
2010-09-09,16.19615936279297
2010-09-10,16.304651260375977
2010-09-13,16.370956420898438
2010-09-14,16.25040626525879
2010-09-15,16.28053855895996
2010-09-16,16.244373321533203
2010-09-17,16.461368560791016
2010-09-20,16.762744903564453
2010-09-21,16.750690460205078
2010-09-22,16.768781661987305
2010-09-23,16.684389114379883
2010-09-24,16.64822006225586
2010-09-27,16.636167526245117
2010-09-28,16.8350772857666
