Date,JNJ
2010-01-04,40.97362518310547
2010-01-05,40.49852752685547
2010-01-06,40.82792663574219
2010-01-07,40.536537170410156
2010-01-08,40.675880432128906
2010-01-11,40.68223571777344
2010-01-12,40.897605895996094
2010-01-13,41.15734100341797
2010-01-14,41.239688873291016
2010-01-15,40.897605895996094
2010-01-19,41.398048400878906
2010-01-20,41.271358489990234
2010-01-21,40.523841857910156
2010-01-22,40.03607940673828
2010-01-25,40.04874801635742
2010-01-26,39.77635192871094
2010-01-27,40.188114166259766
2010-01-28,40.416168212890625
2010-01-29,39.820701599121094
2010-02-01,39.966400146484375
2010-02-02,40.536537170410156
2010-02-03,40.30848693847656
2010-02-04,39.68133544921875
2010-02-05,39.68133544921875
2010-02-08,39.51029586791992
2010-02-09,39.75734329223633
2010-02-10,39.73833465576172
2010-02-11,39.85236358642578
2010-02-12,39.731998443603516
2010-02-16,40.29581069946289
2010-02-17,40.530189514160156
2010-02-18,40.878604888916016
2010-02-19,40.731788635253906
2010-02-22,40.52751541137695
2010-02-23,40.412628173828125
2010-02-24,40.50200653076172
2010-02-25,40.39347839355469
2010-02-26,40.21473693847656
2010-03-01,40.46369552612305
2010-03-02,40.4956169128418
2010-03-03,40.4700927734375
2010-03-04,40.57859802246094
2010-03-05,40.87860870361328
2010-03-08,40.98073959350586
2010-03-09,41.02541732788086
2010-03-10,41.03819274902344
2010-03-11,40.99350357055664
2010-03-12,40.96796798706055
2010-03-15,41.2169189453125
2010-03-16,41.1913948059082
2010-03-17,41.26799011230469
2010-03-18,41.529701232910156
2010-03-19,41.56162643432617
2010-03-22,41.55524444580078
2010-03-23,41.7212028503418
2010-03-24,41.331817626953125
2010-03-25,41.2169189453125
2010-03-26,41.09563446044922
2010-03-29,41.37650680541992
2010-03-30,41.42755889892578
2010-03-31,41.61905288696289
2010-04-01,41.98292922973633
2010-04-05,41.74673080444336
2010-04-06,41.68927001953125
2010-04-07,41.631832122802734
2010-04-08,41.44671630859375
2010-04-09,41.58077621459961
2010-04-12,41.56162643432617
2010-04-13,41.925472259521484
2010-04-14,41.80418014526367
2010-04-15,41.81694793701172
2010-04-16,41.504173278808594
2010-04-19,42.14888381958008
2010-04-20,42.123348236083984
2010-04-21,41.74034881591797
2010-04-22,41.3509635925293
2010-04-23,41.516937255859375
2010-04-26,41.33820343017578
2010-04-27,41.031803131103516
2010-04-28,41.24883270263672
2010-04-29,41.49778747558594
2010-04-30,41.04457092285156
2010-05-03,41.70204544067383
2010-05-04,41.29989242553711
2010-05-05,41.58077621459961
2010-05-06,40.4700927734375
2010-05-07,40.412628173828125
2010-05-10,41.331817626953125
2010-05-11,41.280738830566406
2010-05-12,41.42755889892578
2010-05-13,41.280738830566406
2010-05-14,40.833927154541016
2010-05-17,40.77646255493164
2010-05-18,40.195594787597656
2010-05-19,39.716861724853516
2010-05-20,38.650840759277344
2010-05-21,38.86148452758789
2010-05-24,38.66360092163086
2010-05-25,38.52315902709961
2010-05-26,38.08272171020508
2010-05-27,38.024749755859375
2010-05-28,37.55451202392578
2010-06-01,37.850826263427734
2010-06-02,38.47566223144531
2010-06-03,38.501434326171875
2010-06-04,37.36771011352539
2010-06-07,37.361263275146484
2010-06-08,37.77352523803711
2010-06-09,37.47076416015625
2010-06-10,37.6833381652832
2010-06-11,37.65757369995117
2010-06-14,37.6318244934082
2010-06-15,38.095603942871094
2010-06-16,38.160030364990234
2010-06-17,38.12137985229492
2010-06-18,38.12137985229492
2010-06-21,38.089176177978516
2010-06-22,38.108497619628906
2010-06-23,38.160030364990234
2010-06-24,38.39191818237305
2010-06-25,37.81218338012695
2010-06-28,38.295291900634766
2010-06-29,38.160030364990234
2010-06-30,38.0440673828125
2010-07-01,38.050506591796875
2010-07-02,38.05694580078125
2010-07-06,38.05694580078125
2010-07-07,39.04252624511719
2010-07-08,39.53852081298828
2010-07-09,38.997432708740234
2010-07-12,38.78485870361328
2010-07-13,38.97165298461914
2010-07-14,39.0489616394043
2010-07-15,38.81705856323242
2010-07-16,38.288856506347656
2010-07-19,38.37258529663086
2010-07-20,37.734886169433594
2010-07-21,36.794403076171875
2010-07-22,36.7299919128418
2010-07-23,37.122920989990234
2010-07-26,37.19378662109375
2010-07-27,37.425682067871094
2010-07-28,37.25175476074219
2010-07-29,37.25175476074219
2010-07-30,37.41924285888672
2010-08-02,37.8250617980957
2010-08-03,38.23087692260742
2010-08-04,38.48210144042969
2010-08-05,38.49498748779297
2010-08-06,38.62381362915039
2010-08-09,38.68180847167969
2010-08-10,38.28241729736328
2010-08-11,37.6833381652832
2010-08-12,37.69623947143555
2010-08-13,37.457889556884766
2010-08-16,37.36771011352539
2010-08-17,38.14714050292969
2010-08-18,38.23087692260742
2010-08-19,37.8250617980957
2010-08-20,37.83794403076172
