Date,EMN
2010-01-04,20.129453659057617
2010-01-05,19.871923446655273
2010-01-06,19.73827362060547
2010-01-07,19.787172317504883
2010-01-08,19.83932876586914
2010-01-11,19.849103927612305
2010-01-12,19.64046859741211
2010-01-13,20.074031829833984
2010-01-14,19.787172317504883
2010-01-15,19.695892333984375
2010-01-19,20.149017333984375
2010-01-20,19.862146377563477
2010-01-21,19.15150260925293
2010-01-22,18.714685440063477
2010-01-25,18.94287109375
2010-01-26,18.809223175048828
2010-01-27,18.92656898498535
2010-01-28,18.574508666992188
2010-01-29,18.427818298339844
2010-02-01,19.549203872680664
2010-02-02,19.43184471130371
2010-02-03,19.327537536621094
2010-02-04,18.737512588500977
2010-02-05,18.789661407470703
2010-02-08,18.447378158569336
2010-02-09,18.861373901367188
2010-02-10,18.69512367248535
2010-02-11,18.854856491088867
2010-02-12,18.903759002685547
2010-02-16,19.340576171875
2010-02-17,19.330793380737305
2010-02-18,19.513347625732422
2010-02-19,19.56549644470215
2010-02-22,19.646997451782227
2010-02-23,19.236249923706055
2010-02-24,19.41880226135254
2010-02-25,19.36013412475586
2010-02-26,19.41228485107422
2010-03-01,19.57854652404785
2010-03-02,19.73174476623535
2010-03-03,19.901260375976562
2010-03-04,19.969722747802734
2010-03-05,20.129453659057617
2010-03-08,20.129453659057617
2010-03-09,20.02513313293457
2010-03-10,20.074031829833984
2010-03-11,20.294021606445312
2010-03-12,20.333404541015625
2010-03-15,20.21192741394043
2010-03-16,20.428632736206055
2010-03-17,20.724124908447266
2010-03-18,20.47460174560547
2010-03-19,20.09701919555664
2010-03-22,20.546833038330078
2010-03-23,20.63875389099121
2010-03-24,20.809494018554688
2010-03-25,20.668310165405273
2010-03-26,20.806196212768555
2010-03-29,21.009763717651367
2010-03-30,21.127971649169922
2010-03-31,20.907991409301758
2010-04-01,21.331539154052734
2010-04-05,21.73866081237793
2010-04-06,21.594194412231445
2010-04-07,21.620458602905273
2010-04-08,21.610620498657227
2010-04-09,21.9652099609375
2010-04-12,21.67627716064453
2010-04-13,21.617177963256836
2010-04-14,21.797754287719727
2010-04-15,21.9028263092041
2010-04-16,21.43988037109375
2010-04-19,21.525245666503906
2010-04-20,21.843730926513672
2010-04-21,21.896255493164062
2010-04-22,22.037450790405273
2010-04-23,23.35076141357422
2010-04-26,22.62186622619629
2010-04-27,22.132652282714844
2010-04-28,22.362491607666016
2010-04-29,22.523365020751953
2010-04-30,21.97177505493164
2010-05-03,22.152355194091797
2010-05-04,21.479278564453125
2010-05-05,21.416900634765625
2010-05-06,20.60264015197754
2010-05-07,20.241483688354492
2010-05-10,21.4858455657959
2010-05-11,21.206768035888672
2010-05-12,21.830595016479492
2010-05-13,21.292137145996094
2010-05-14,20.61249542236328
2010-05-17,20.770097732543945
2010-05-18,20.52055549621582
2010-05-19,20.129852294921875
2010-05-20,19.092330932617188
2010-05-21,19.55527114868164
2010-05-24,19.318878173828125
2010-05-25,19.407522201538086
2010-05-26,19.253217697143555
2010-05-27,20.257904052734375
2010-05-28,19.827787399291992
2010-06-01,19.14158821105957
2010-06-02,19.91315460205078
2010-06-03,19.798236846923828
2010-06-04,18.77385139465332
2010-06-07,18.652374267578125
2010-06-08,19.0693416595459
2010-06-09,19.085763931274414
2010-06-10,19.72426986694336
2010-06-11,20.084880828857422
2010-06-14,19.97901153564453
2010-06-15,20.4984188079834
2010-06-16,20.531497955322266
2010-06-17,20.329696655273438
2010-06-18,20.733312606811523
2010-06-21,20.63075828552246
2010-06-22,20.151050567626953
2010-06-23,19.846681594848633
2010-06-24,19.21478271484375
2010-06-25,19.181703567504883
2010-06-28,18.877330780029297
2010-06-29,18.185894012451172
2010-06-30,17.653255462646484
2010-07-01,17.550697326660156
2010-07-02,17.223176956176758
2010-07-06,17.080923080444336
2010-07-07,17.921232223510742
2010-07-08,18.60605812072754
2010-07-09,18.63251495361328
2010-07-12,18.347999572753906
2010-07-13,18.857484817504883
2010-07-14,18.639141082763672
2010-07-15,18.536579132080078
2010-07-16,17.934463500976562
2010-07-19,17.699575424194336
2010-07-20,17.861684799194336
2010-07-21,18.42078971862793
2010-07-22,19.0361385345459
2010-07-23,19.50922966003418
2010-07-26,19.80367088317871
2010-07-27,19.717653274536133
2010-07-28,19.72426986694336
2010-07-29,19.770584106445312
2010-07-30,20.723388671875
2010-08-02,21.107158660888672
2010-08-03,21.027753829956055
2010-08-04,21.156782150268555
2010-08-05,21.067459106445312
2010-08-06,21.067459106445312
2010-08-09,21.19648551940918
2010-08-10,20.902034759521484
2010-08-11,20.15435791015625
2010-08-12,20.065031051635742
2010-08-13,19.89299774169922
2010-08-16,20.041868209838867
2010-08-17,20.63075828552246
2010-08-18,20.59105110168457
2010-08-19,20.05841636657715
2010-08-20,20.160966873168945
2010-08-23,19.965784072875977
2010-08-24,19.50592041015625
2010-08-25,19.542314529418945
2010-08-26,19.74081802368164
2010-08-27,20.22052574157715
2010-08-30,19.906234741210938
2010-08-31,20.36277961730957
2010-09-01,21.256031036376953
2010-09-02,21.222944259643555
2010-09-03,21.808515548706055
2010-09-07,21.37513542175293
2010-09-08,21.524003982543945
2010-09-09,21.823780059814453
2010-09-10,21.700536727905273
2010-09-13,22.483285903930664
2010-09-14,22.340059280395508
2010-09-15,22.293432235717773
2010-09-16,23.11615753173828
2010-09-17,23.339311599731445
2010-09-20,23.765668869018555
2010-09-21,23.702388763427734
2010-09-22,23.76234245300293
2010-09-23,23.669071197509766
2010-09-24,24.228668212890625
2010-09-27,24.135393142700195
2010-09-28,24.471813201904297
