Date,AEP
2010-01-04,19.16776466369629
2010-01-05,18.94832420349121
2010-01-06,19.14032745361328
2010-01-07,19.304908752441406
2010-01-08,19.535314559936523
2010-01-11,19.73829460144043
2010-01-12,19.54081153869629
2010-01-13,19.782180786132812
2010-01-14,19.858983993530273
2010-01-15,19.754751205444336
2010-01-19,19.99064826965332
2010-01-20,20.03453254699707
2010-01-21,19.809612274169922
2010-01-22,19.43108367919922
2010-01-25,19.54081153869629
2010-01-26,19.535314559936523
2010-01-27,19.49142837524414
2010-01-28,19.233585357666016
2010-01-29,19.0086669921875
2010-02-01,18.98123550415039
2010-02-02,19.233585357666016
2010-02-03,19.036094665527344
2010-02-04,18.514938354492188
2010-02-05,18.454593658447266
2010-02-08,18.22690200805664
2010-02-09,18.43793296813965
2010-02-10,18.337968826293945
2010-02-11,18.371286392211914
2010-02-12,18.299097061157227
2010-02-16,18.715614318847656
2010-02-17,18.632308959960938
2010-02-18,18.615646362304688
2010-02-19,18.865556716918945
2010-02-22,18.687843322753906
2010-02-23,18.72671890258789
2010-02-24,18.832239151000977
2010-02-25,18.704509735107422
2010-02-26,18.671175003051758
2010-03-01,18.848899841308594
2010-03-02,18.948862075805664
2010-03-03,18.865556716918945
2010-03-04,18.832239151000977
2010-03-05,19.021053314208984
2010-03-08,18.98218536376953
2010-03-09,18.948862075805664
2010-03-10,18.965518951416016
2010-03-11,19.004405975341797
2010-03-12,18.937755584716797
2010-03-15,19.09880828857422
2010-03-16,19.309843063354492
2010-03-17,19.337614059448242
2010-03-18,19.304290771484375
2010-03-19,19.171005249023438
2010-03-22,18.926654815673828
2010-03-23,19.0488224029541
2010-03-24,18.876663208007812
2010-03-25,18.82668113708496
2010-03-26,18.932201385498047
2010-03-29,19.087711334228516
2010-03-30,19.115474700927734
2010-03-31,18.98218536376953
2010-04-01,19.154346466064453
2010-04-05,19.054384231567383
2010-04-06,19.0488224029541
2010-04-07,18.926654815673828
2010-04-08,18.85999870300293
2010-04-09,19.032167434692383
2010-04-12,18.926654815673828
2010-04-13,18.921092987060547
2010-04-14,18.82668113708496
2010-04-15,18.754487991333008
2010-04-16,18.732269287109375
2010-04-19,18.77114486694336
2010-04-20,18.85445213317871
2010-04-21,18.85445213317871
2010-04-22,18.871112823486328
2010-04-23,18.893329620361328
2010-04-26,18.748929977416992
2010-04-27,18.51568031311035
2010-04-28,18.615646362304688
2010-04-29,18.793365478515625
2010-04-30,19.0488224029541
2010-05-03,19.193214416503906
2010-05-04,18.665626525878906
2010-05-05,18.532346725463867
2010-05-06,18.099267959594727
2010-05-07,17.953027725219727
2010-05-10,18.639209747314453
2010-05-11,18.64483642578125
2010-05-12,18.886682510375977
2010-05-13,18.72918701171875
2010-05-14,18.560466766357422
2010-05-17,18.55483627319336
2010-05-18,18.335487365722656
2010-05-19,18.172382354736328
2010-05-20,17.626813888549805
2010-05-21,17.694307327270508
2010-05-24,17.542455673217773
2010-05-25,17.418716430664062
2010-05-26,17.44683265686035
2010-05-27,17.992403030395508
2010-05-28,17.97553253173828
2010-06-01,17.548072814941406
2010-06-02,17.91366195678711
2010-06-03,18.088014602661133
2010-06-04,17.503076553344727
2010-06-07,17.67744255065918
2010-06-08,17.840539932250977
2010-06-09,17.85179328918457
2010-06-10,18.38047981262207
2010-06-11,18.25112533569336
2010-06-14,18.228626251220703
2010-06-15,18.791067123413086
2010-06-16,18.94292449951172
2010-06-17,19.122901916503906
2010-06-18,19.15665054321289
2010-06-21,19.049781799316406
2010-06-22,18.72918701171875
2010-06-23,18.402984619140625
2010-06-24,18.402984619140625
2010-06-25,18.55483627319336
2010-06-28,18.73482894897461
2010-06-29,18.386106491088867
2010-06-30,18.166757583618164
2010-07-01,18.121767044067383
2010-07-02,18.21737289428711
2010-07-06,18.706697463989258
2010-07-07,19.33101463317871
2010-07-08,19.555978775024414
2010-07-09,19.595348358154297
2010-07-12,19.612224578857422
2010-07-13,19.555978775024414
2010-07-14,19.606599807739258
2010-07-15,19.842823028564453
2010-07-16,19.550352096557617
2010-07-19,19.899070739746094
2010-07-20,20.202783584594727
2010-07-21,19.831573486328125
2010-07-22,20.129669189453125
2010-07-23,20.13529396057129
2010-07-26,20.343395233154297
2010-07-27,20.60211181640625
2010-07-28,20.59087562561035
2010-07-29,20.30402946472168
2010-07-30,20.236530303955078
2010-08-02,20.39963722229004
2010-08-03,20.388385772705078
2010-08-04,20.24216079711914
2010-08-05,20.478370666503906
2010-08-06,20.472688674926758
2010-08-09,20.398719787597656
2010-08-10,20.6377010345459
2010-08-11,20.199567794799805
2010-08-12,20.114215850830078
2010-08-13,20.210947036743164
2010-08-16,20.330440521240234
2010-08-17,20.347505569458008
2010-08-18,20.040246963500977
2010-08-19,19.82402801513672
2010-08-20,19.812650680541992
2010-08-23,19.977657318115234
2010-08-24,20.148365020751953
2010-08-25,20.102840423583984
2010-08-26,20.02886962890625
2010-08-27,20.319055557250977
2010-08-30,20.01180076599121
2010-08-31,20.148365020751953
2010-09-01,20.546659469604492
2010-09-02,20.404409408569336
2010-09-03,20.55235481262207
2010-09-07,20.580795288085938
2010-09-08,20.52959632873535
2010-09-09,20.683225631713867
2010-09-10,20.842538833618164
2010-09-13,20.882366180419922
2010-09-14,20.723047256469727
2010-09-15,20.586496353149414
2010-09-16,20.48406982421875
2010-09-17,20.415788650512695
2010-09-20,20.677528381347656
2010-09-21,20.489755630493164
2010-09-22,20.72873878479004
2010-09-23,20.540969848632812
2010-09-24,20.768577575683594
2010-09-27,20.791332244873047
2010-09-28,20.89375114440918
