Date,EXPE
2010-01-04,33.85971450805664
2010-01-05,34.003971099853516
2010-01-06,32.25984573364258
2010-01-07,32.089359283447266
2010-01-08,31.78774642944336
2010-01-11,31.51236343383789
2010-01-12,30.52882957458496
2010-01-13,30.909128189086914
2010-01-14,30.240318298339844
2010-01-15,29.807567596435547
2010-01-19,29.833797454833984
2010-01-20,29.13876724243164
2010-01-21,29.151884078979492
2010-01-22,28.548664093017578
2010-01-25,28.496196746826172
2010-01-26,29.073200225830078
2010-01-27,29.00763511657715
2010-01-28,28.430625915527344
2010-01-29,28.07655906677246
2010-02-01,28.981399536132812
2010-02-02,28.942068099975586
2010-02-03,28.99452018737793
2010-02-04,28.063438415527344
2010-02-05,27.879852294921875
2010-02-08,28.089672088623047
2010-02-09,28.69289779663086
2010-02-10,29.164995193481445
2010-02-11,27.892961502075195
2010-02-12,27.997873306274414
2010-02-16,29.08631134033203
2010-02-17,28.69289779663086
2010-02-18,29.964948654174805
2010-02-19,29.623979568481445
2010-02-22,29.34859848022461
2010-02-23,29.401052474975586
2010-02-24,29.67643928527832
2010-02-25,29.374820709228516
2010-02-26,29.164995193481445
2010-03-01,30.33211898803711
2010-03-02,30.305896759033203
2010-03-03,29.991161346435547
2010-03-04,30.253437042236328
2010-03-05,30.463260650634766
2010-03-08,30.33211898803711
2010-03-09,30.18743896484375
2010-03-10,30.266347885131836
2010-03-11,30.121660232543945
2010-03-12,29.345598220825195
2010-03-15,29.766523361206055
2010-03-16,29.937515258789062
2010-03-17,30.121660232543945
2010-03-18,29.858598709106445
2010-03-19,29.845439910888672
2010-03-22,30.845111846923828
2010-03-23,30.134815216064453
2010-03-24,29.99012565612793
2010-03-25,30.09535026550293
2010-03-26,30.174278259277344
2010-03-29,32.02893829345703
2010-03-30,32.04207992553711
2010-03-31,32.818145751953125
2010-04-01,32.13416290283203
2010-04-05,32.936519622802734
2010-04-06,33.26536560058594
2010-04-07,32.80498504638672
2010-04-08,32.52876281738281
2010-04-09,32.318302154541016
2010-04-12,33.12067413330078
2010-04-13,32.949676513671875
2010-04-14,33.515289306640625
2010-04-15,33.383758544921875
2010-04-16,32.686607360839844
2010-04-19,32.502464294433594
2010-04-20,32.96284484863281
2010-04-21,32.39723205566406
2010-04-22,32.26569366455078
2010-04-23,31.80531883239746
2010-04-26,32.39723205566406
2010-04-27,31.147647857666016
2010-04-28,30.91087532043457
2010-04-29,32.2393913269043
2010-04-30,31.055570602416992
2010-05-03,31.779020309448242
2010-05-04,30.858261108398438
2010-05-05,30.976646423339844
2010-05-06,30.33211326599121
2010-05-07,28.937841415405273
2010-05-10,31.108186721801758
2010-05-11,30.48996353149414
2010-05-12,31.016111373901367
2010-05-13,30.91087532043457
2010-05-14,29.99012565612793
2010-05-17,30.397884368896484
2010-05-18,29.858598709106445
2010-05-19,29.779666900634766
2010-05-20,28.503780364990234
2010-05-21,28.648468017578125
2010-05-24,28.319629669189453
2010-05-25,28.517574310302734
2010-05-26,28.55716896057129
2010-05-27,29.08502960205078
2010-05-28,28.45159149169922
2010-06-01,27.71257972717285
2010-06-02,28.174467086791992
2010-06-03,28.14806365966797
2010-06-04,26.630477905273438
2010-06-07,26.234588623046875
2010-06-08,26.023441314697266
2010-06-09,26.129013061523438
2010-06-10,27.11875343322754
2010-06-11,27.11875343322754
2010-06-14,27.44865608215332
2010-06-15,28.372407913208008
2010-06-16,28.543964385986328
2010-06-17,27.554235458374023
2010-06-18,27.673006057739258
2010-06-21,26.973588943481445
2010-06-22,26.960399627685547
2010-06-23,26.670066833496094
2010-06-24,25.574758529663086
2010-06-25,25.81229019165039
2010-06-28,25.997055053710938
2010-06-29,24.980918884277344
2010-06-30,24.78296661376953
2010-07-01,25.04689598083496
2010-07-02,24.189128875732422
2010-07-06,24.426664352416992
2010-07-07,25.284433364868164
2010-07-08,25.04689598083496
2010-07-09,24.914936065673828
2010-07-12,24.835758209228516
2010-07-13,25.997055053710938
2010-07-14,26.73604965209961
2010-07-15,27.250707626342773
2010-07-16,26.445724487304688
2010-07-19,26.841623306274414
2010-07-20,27.3958740234375
2010-07-21,27.19792366027832
2010-07-22,27.963321685791016
2010-07-23,28.979448318481445
2010-07-26,28.504375457763672
2010-07-27,28.517574310302734
2010-07-28,28.108482360839844
2010-07-29,27.80496597290039
2010-07-30,29.929594039916992
2010-08-02,30.04836082458496
2010-08-03,30.167137145996094
2010-08-04,32.093814849853516
2010-08-05,32.027828216552734
2010-08-06,32.47650909423828
2010-08-09,32.37093734741211
2010-08-10,32.56888961791992
2010-08-11,31.104076385498047
2010-08-12,31.368019104003906
2010-08-13,31.249248504638672
2010-08-16,31.433984756469727
2010-08-17,32.093814849853516
2010-08-18,31.32842254638672
2010-08-19,31.011703491210938
2010-08-20,31.196456909179688
2010-08-23,31.06449317932129
2010-08-24,29.926218032836914
2010-08-25,30.4688777923584
2010-08-26,30.535051345825195
2010-08-27,30.985084533691406
2010-08-30,30.098276138305664
2010-08-31,30.257108688354492
2010-09-01,32.41455078125
2010-09-02,33.592533111572266
2010-09-03,33.632240295410156
2010-09-07,32.61308670043945
2010-09-08,33.34105682373047
2010-09-09,33.8043098449707
2010-09-10,34.22785949707031
2010-09-13,35.074951171875
2010-09-14,35.524967193603516
2010-09-15,35.28672409057617
2010-09-16,36.65000534057617
2010-09-17,38.06624221801758
2010-09-20,38.18537902832031
2010-09-21,37.92064666748047
2010-09-22,37.589752197265625
2010-09-23,37.47062301635742
2010-09-24,39.23099899291992
2010-09-27,38.76774597167969
2010-09-28,38.39714813232422
