Date,MCO
2010-01-04,22.667255401611328
2010-01-05,22.434520721435547
2010-01-06,21.960731506347656
2010-01-07,21.894229888916016
2010-01-08,22.309829711914062
2010-01-11,22.176837921142578
2010-01-12,22.29320526123047
2010-01-13,23.008056640625
2010-01-14,23.091176986694336
2010-01-15,22.79193878173828
2010-01-19,23.024681091308594
2010-01-20,22.96648597717285
2010-01-21,22.70882225036621
2010-01-22,22.41788673400879
2010-01-25,21.885915756225586
2010-01-26,22.135276794433594
2010-01-27,23.963951110839844
2010-01-28,23.54003143310547
2010-01-29,22.93324851989746
2010-02-01,23.207555770874023
2010-02-02,23.581588745117188
2010-02-03,23.357168197631836
2010-02-04,21.9357852935791
2010-02-05,22.72544288635254
2010-02-08,22.010587692260742
2010-02-09,22.243331909179688
2010-02-10,22.160215377807617
2010-02-11,22.54257583618164
2010-02-12,22.426206588745117
2010-02-16,22.642316818237305
2010-02-17,22.58808135986328
2010-02-18,22.446229934692383
2010-02-19,22.60477066040039
2010-02-22,22.36278533935547
2010-02-23,22.296022415161133
2010-02-24,22.546358108520508
2010-02-25,22.41284942626953
2010-02-26,22.212589263916016
2010-03-01,22.67152976989746
2010-03-02,22.704896926879883
2010-03-03,22.67986488342285
2010-03-04,22.763309478759766
2010-03-05,23.455890655517578
2010-03-08,23.539335250854492
2010-03-09,23.39748764038086
2010-03-10,23.155500411987305
2010-03-11,23.5810546875
2010-03-12,23.5810546875
2010-03-15,23.864765167236328
2010-03-16,23.97323226928711
2010-03-17,23.981590270996094
2010-03-18,24.74925422668457
2010-03-19,24.74925422668457
2010-03-22,25.049659729003906
2010-03-23,25.299985885620117
2010-03-24,25.308332443237305
2010-03-25,25.45853042602539
2010-03-26,25.249919891357422
2010-03-29,25.48356056213379
2010-03-30,25.224889755249023
2010-03-31,24.824357986450195
2010-04-01,24.507282257080078
2010-04-05,24.640790939331055
2010-04-06,24.5656795501709
2010-04-07,24.48223876953125
2010-04-08,24.19853401184082
2010-04-09,24.090065002441406
2010-04-12,23.88979721069336
2010-04-13,23.88979721069336
2010-04-14,24.115089416503906
2010-04-15,24.740917205810547
2010-04-16,22.871788024902344
2010-04-19,22.563053131103516
2010-04-20,22.629812240600586
2010-04-21,21.436567306518555
2010-04-22,21.74530601501465
2010-04-23,21.895503997802734
2010-04-26,21.74530601501465
2010-04-27,20.73564338684082
2010-04-28,21.369810104370117
2010-04-29,21.044382095336914
2010-04-30,20.627168655395508
2010-05-03,21.052730560302734
2010-05-04,20.41021728515625
2010-05-05,20.510345458984375
2010-05-06,19.642541885375977
2010-05-07,19.492334365844727
2010-05-10,18.165592193603516
2010-05-11,18.157243728637695
2010-05-12,18.59949493408203
2010-05-13,18.107177734375
2010-05-14,17.998708724975586
2010-05-17,17.990360260009766
2010-05-18,17.633989334106445
2010-05-19,18.036474227905273
2010-05-20,17.784921646118164
2010-05-21,18.46411895751953
2010-05-24,17.73461151123047
2010-05-25,17.810083389282227
2010-05-26,17.50820541381836
2010-05-27,17.50820541381836
2010-05-28,17.1895694732666
2010-06-01,16.183361053466797
2010-06-02,16.68646240234375
2010-06-03,16.5103816986084
2010-06-04,15.839564323425293
2010-06-07,15.722175598144531
2010-06-08,15.89826488494873
2010-06-09,15.755716323852539
2010-06-10,16.334291458129883
2010-06-11,16.501991271972656
2010-06-14,16.694847106933594
2010-06-15,17.80169105529785
2010-06-16,18.24610710144043
2010-06-17,17.457901000976562
2010-06-18,17.692676544189453
2010-06-21,17.784921646118164
2010-06-22,17.38242530822754
2010-06-23,17.717836380004883
2010-06-24,17.273427963256836
2010-06-25,18.455739974975586
2010-06-28,17.81846809387207
2010-06-29,16.778701782226562
2010-06-30,16.70323371887207
2010-07-01,16.602615356445312
2010-07-02,16.770315170288086
2010-07-06,16.55230712890625
2010-07-07,17.0805721282959
2010-07-08,17.86039161682129
2010-07-09,18.480892181396484
2010-07-12,18.455739974975586
2010-07-13,19.009153366088867
2010-07-14,18.774370193481445
2010-07-15,18.841455459594727
2010-07-16,18.39704132080078
2010-07-19,18.313188552856445
2010-07-20,18.715675354003906
2010-07-21,18.598281860351562
2010-07-22,18.824684143066406
2010-07-23,18.967233657836914
2010-07-26,19.361326217651367
2010-07-27,19.185245513916016
2010-07-28,18.984004974365234
2010-07-29,19.822513580322266
2010-07-30,19.747051239013672
2010-08-02,19.79736328125
2010-08-03,20.023759841918945
2010-08-04,20.174694061279297
2010-08-05,19.998605728149414
2010-08-06,19.73027801513672
2010-08-09,19.822513580322266
2010-08-10,19.562580108642578
2010-08-11,18.715675354003906
2010-08-12,18.63182258605957
2010-08-13,18.36349868774414
2010-08-16,18.665369033813477
2010-08-17,18.648588180541992
2010-08-18,18.989809036254883
2010-08-19,18.551708221435547
2010-08-20,18.290538787841797
2010-08-23,18.113611221313477
2010-08-24,17.776615142822266
2010-08-25,17.894569396972656
2010-08-26,17.751333236694336
2010-08-27,18.063066482543945
2010-08-30,17.84401512145996
2010-08-31,17.810314178466797
2010-09-01,18.49273109436035
2010-09-02,19.234128952026367
2010-09-03,19.503726959228516
2010-09-07,18.745481491088867
2010-09-08,19.090906143188477
2010-09-09,19.857572555541992
2010-09-10,21.02021598815918
2010-09-13,21.357210159301758
2010-09-14,21.138160705566406
2010-09-15,20.91911506652832
2010-09-16,20.935964584350586
2010-09-17,21.062335968017578
2010-09-20,21.89640235900879
2010-09-21,21.525707244873047
2010-09-22,21.433029174804688
2010-09-23,20.801162719726562
2010-09-24,21.711057662963867
2010-09-27,21.146583557128906
2010-09-28,21.424612045288086
