Date,STLD
2010-01-04,12.787988662719727
2010-01-05,12.71108341217041
2010-01-06,13.633994102478027
2010-01-07,13.543105125427246
2010-01-08,14.116432189941406
2010-01-11,13.675951957702637
2010-01-12,13.340344429016113
2010-01-13,13.130587577819824
2010-01-14,12.88587760925293
2010-01-15,12.592222213745117
2010-01-19,12.571245193481445
2010-01-20,12.214661598205566
2010-01-21,11.676300048828125
2010-01-22,11.466541290283203
2010-01-25,11.396620750427246
2010-01-26,11.22182846069336
2010-01-27,11.20085334777832
2010-01-28,10.900206565856934
2010-01-29,10.613544464111328
2010-02-01,11.242802619934082
2010-02-02,11.438572883605957
2010-02-03,11.130935668945312
2010-02-04,10.340861320495605
2010-02-05,10.48069953918457
2010-02-08,10.382816314697266
2010-02-09,10.788339614868164
2010-02-10,10.529642105102539
2010-02-11,10.99109935760498
2010-02-12,11.158903121948242
2010-02-16,11.466541290283203
2010-02-17,11.340690612792969
2010-02-18,11.655320167541504
2010-02-19,11.697272300720215
2010-02-22,11.746213912963867
2010-02-23,11.249794960021973
2010-02-24,11.326704978942871
2010-02-25,11.256787300109863
2010-02-26,11.417596817016602
2010-03-01,11.662311553955078
2010-03-02,11.760194778442383
2010-03-03,11.907027244567871
2010-03-04,12.011903762817383
2010-03-05,12.256611824035645
2010-03-08,12.557259559631348
2010-03-09,12.396450996398926
2010-03-10,12.501322746276855
2010-03-11,12.424421310424805
2010-03-12,12.536288261413574
2010-03-15,12.452383041381836
2010-03-16,12.73205852508545
2010-03-17,12.571245193481445
2010-03-18,12.333528518676758
2010-03-19,12.15872859954834
2010-03-22,12.26361083984375
2010-03-23,12.585225105285645
2010-03-24,12.354501724243164
2010-03-25,12.025884628295898
2010-03-26,12.116777420043945
2010-03-29,12.429266929626465
2010-03-30,12.267754554748535
2010-03-31,12.267754554748535
2010-04-01,12.436287879943848
2010-04-05,12.941886901855469
2010-04-06,13.103395462036133
2010-04-07,12.675041198730469
2010-04-08,12.61184024810791
2010-04-09,12.576730728149414
2010-04-12,12.632905960083008
2010-04-13,12.52757453918457
2010-04-14,12.927842140197754
2010-04-15,12.639931678771973
2010-04-16,12.302865982055664
2010-04-19,12.302865982055664
2010-04-20,11.965804100036621
2010-04-21,11.670869827270508
2010-04-22,11.713006019592285
2010-04-23,11.755139350891113
2010-04-26,11.74109172821045
2010-04-27,11.179316520690918
2010-04-28,11.291671752929688
2010-04-29,11.333802223205566
2010-04-30,11.038873672485352
2010-05-03,11.045892715454102
2010-05-04,10.540300369262695
2010-05-05,10.863317489624023
2010-05-06,10.519231796264648
2010-05-07,10.441987037658691
2010-05-10,11.038873672485352
2010-05-11,10.596477508544922
2010-05-12,10.779054641723633
2010-05-13,11.151230812072754
2010-05-14,10.701809883117676
2010-05-17,10.434966087341309
2010-05-18,10.182165145874023
2010-05-19,10.055768013000488
2010-05-20,9.529104232788086
2010-05-21,9.838075637817383
2010-05-24,9.725724220275879
2010-05-25,9.90830135345459
2010-05-26,9.802968978881836
2010-05-27,10.491142272949219
2010-05-28,10.301546096801758
2010-06-01,9.732746124267578
2010-06-02,10.336655616760254
2010-06-03,10.413900375366211
2010-06-04,9.978524208068848
2010-06-07,9.922348022460938
2010-06-08,9.711682319641113
2010-06-09,9.662528991699219
2010-06-10,9.957454681396484
2010-06-11,10.027678489685059
2010-06-14,10.097901344299316
2010-06-15,10.343677520751953
2010-06-16,9.978524208068848
2010-06-17,9.739768981933594
2010-06-18,9.809988975524902
2010-06-21,9.90830135345459
2010-06-22,9.718704223632812
2010-06-23,9.90830135345459
2010-06-24,9.732746124267578
2010-06-25,9.887234687805176
2010-06-28,9.820167541503906
2010-06-29,9.347166061401367
2010-06-30,9.311861991882324
2010-07-01,9.276565551757812
2010-07-02,9.19890308380127
2010-07-06,9.509539604187012
2010-07-07,9.926065444946289
2010-07-08,10.222575187683105
2010-07-09,10.448488235473633
2010-07-12,10.264928817749023
2010-07-13,10.476727485656738
2010-07-14,10.377890586853027
2010-07-15,10.34259033203125
2010-07-16,10.031960487365723
2010-07-19,9.883705139160156
2010-07-20,10.074320793151855
2010-07-21,9.9613618850708
2010-07-22,10.321412086486816
2010-07-23,10.497907638549805
2010-07-26,10.582622528076172
2010-07-27,10.081377983093262
2010-07-28,10.116683006286621
2010-07-29,10.15198040008545
2010-07-30,10.109619140625
2010-08-02,10.392008781433105
2010-08-03,10.286113739013672
2010-08-04,10.632040023803711
2010-08-05,10.547325134277344
2010-08-06,10.582622528076172
2010-08-09,10.632040023803711
2010-08-10,10.413191795349121
2010-08-11,9.770750999450684
2010-08-12,9.742508888244629
2010-08-13,9.664850234985352
2010-08-16,9.834287643432617
2010-08-17,10.123736381530762
2010-08-18,10.321412086486816
2010-08-19,10.201396942138672
2010-08-20,10.123736381530762
2010-08-23,9.862524032592773
2010-08-24,9.58719539642334
2010-08-25,9.721331596374512
2010-08-26,9.41775894165039
2010-08-27,9.763689041137695
2010-08-30,9.58719539642334
2010-08-31,9.650734901428223
2010-09-01,10.137855529785156
2010-09-02,10.250813484191895
2010-09-03,10.4273099899292
2010-09-07,10.335530281066895
2010-09-08,10.370830535888672
2010-09-09,10.21551513671875
2010-09-10,10.074320793151855
2010-09-13,10.257874488830566
2010-09-14,10.30023193359375
2010-09-15,10.384949684143066
2010-09-16,10.688520431518555
2010-09-17,10.596745491027832
2010-09-20,10.660283088684082
2010-09-21,10.307294845581055
2010-09-22,10.201396942138672
2010-09-23,10.116683006286621
2010-09-24,10.222575187683105
2010-09-27,10.130796432495117
2010-09-28,10.042089462280273
