Date,EA
2010-01-04,17.683151245117188
2010-01-05,18.180036544799805
2010-01-06,17.712383270263672
2010-01-07,17.57598114013672
2010-01-08,17.926725387573242
2010-01-11,17.80006980895996
2010-01-12,16.416593551635742
2010-01-13,16.728361129760742
2010-01-14,16.738107681274414
2010-01-15,16.591964721679688
2010-01-19,16.728361129760742
2010-01-20,16.7673282623291
2010-01-21,16.932960510253906
2010-01-22,16.338651657104492
2010-01-25,16.3971004486084
2010-01-26,16.309423446655273
2010-01-27,16.689388275146484
2010-01-28,16.338651657104492
2010-01-29,15.861250877380371
2010-02-01,16.309423446655273
2010-02-02,16.63093376159668
2010-02-03,16.825790405273438
2010-02-04,16.543243408203125
2010-02-05,16.81604766845703
2010-02-08,17.04013442993164
2010-02-09,15.549484252929688
2010-02-10,15.529998779296875
2010-02-11,15.705368041992188
2010-02-12,15.646910667419434
2010-02-16,15.890480041503906
2010-02-17,16.20224952697754
2010-02-18,16.163280487060547
2010-02-19,16.319162368774414
2010-02-22,16.163280487060547
2010-02-23,15.890480041503906
2010-02-24,16.09507942199707
2010-02-25,16.13405418395996
2010-02-26,16.153541564941406
2010-03-01,16.436079025268555
2010-03-02,16.309423446655273
2010-03-03,16.377622604370117
2010-03-04,16.38736343383789
2010-03-05,16.67964744567871
2010-03-08,16.83553123474121
2010-03-09,17.127819061279297
2010-03-10,17.429841995239258
2010-03-11,17.439584732055664
2010-03-12,17.312929153442383
2010-03-15,17.410354614257812
2010-03-16,17.459070205688477
2010-03-17,17.673410415649414
2010-03-18,18.053380966186523
2010-03-19,17.946210861206055
2010-03-22,18.08260726928711
2010-03-23,18.043642044067383
2010-03-24,18.053380966186523
2010-03-25,18.08260726928711
2010-03-26,18.365154266357422
2010-03-29,18.19951820373535
2010-03-30,18.306692123413086
2010-03-31,18.180036544799805
2010-04-01,18.35540771484375
2010-04-05,18.608722686767578
2010-04-06,18.618465423583984
2010-04-07,18.686662673950195
2010-04-08,18.69640350341797
2010-04-09,18.862028121948242
2010-04-12,18.900999069213867
2010-04-13,18.823060989379883
2010-04-14,19.232255935668945
2010-04-15,18.949718475341797
2010-04-16,19.06662940979004
2010-04-19,19.203027725219727
2010-04-20,19.45633888244629
2010-04-21,19.24199867248535
2010-04-22,19.32968521118164
2010-04-23,19.45633888244629
2010-04-26,19.388141632080078
2010-04-27,19.261486053466797
2010-04-28,19.125083923339844
2010-04-29,19.290708541870117
2010-04-30,18.87177085876465
2010-05-03,19.212770462036133
2010-05-04,18.57948875427246
2010-05-05,18.803573608398438
2010-05-06,17.712383270263672
2010-05-07,17.17652702331543
2010-05-10,17.770837783813477
2010-05-11,18.316436767578125
2010-05-12,17.25446891784668
2010-05-13,17.624696731567383
2010-05-14,16.9719295501709
2010-05-17,17.303180694580078
2010-05-18,17.088838577270508
2010-05-19,16.67964744567871
2010-05-20,15.948935508728027
2010-05-21,16.270450592041016
2010-05-24,15.861250877380371
2010-05-25,15.822284698486328
2010-05-26,15.841766357421875
2010-05-27,16.289932250976562
2010-05-28,16.0853328704834
2010-06-01,15.676140785217285
2010-06-02,15.948935508728027
2010-06-03,16.29967498779297
2010-06-04,15.403343200683594
2010-06-07,14.96491813659668
2010-06-08,15.091571807861328
2010-06-09,14.818774223327637
2010-06-10,15.510512351989746
2010-06-11,15.900225639343262
2010-06-14,15.939194679260254
2010-06-15,15.890480041503906
2010-06-16,15.598199844360352
2010-06-17,15.754084587097168
2010-06-18,15.617684364318848
2010-06-21,15.374112129211426
2010-06-22,14.925944328308105
2010-06-23,14.89671802520752
2010-06-24,14.653146743774414
2010-06-25,14.750576972961426
2010-06-28,14.701861381530762
2010-06-29,14.273179054260254
2010-06-30,14.029607772827148
2010-07-01,13.961409568786621
2010-07-02,14.224465370178223
2010-07-06,14.058838844299316
2010-07-07,14.56546401977539
2010-07-08,14.380351066589355
2010-07-09,14.458292961120605
2010-07-12,14.429062843322754
2010-07-13,14.750576972961426
2010-07-14,14.984402656555176
2010-07-15,15.091571807861328
2010-07-16,14.409578323364258
2010-07-19,14.701861381530762
2010-07-20,14.96491813659668
2010-07-21,14.487521171569824
2010-07-22,15.189003944396973
2010-07-23,15.471541404724121
2010-07-26,15.968423843383789
2010-07-27,16.09507942199707
2010-07-28,15.744341850280762
2010-07-29,15.598199844360352
2010-07-30,15.520256042480469
2010-08-02,16.075592041015625
2010-08-03,15.763825416564941
2010-08-04,16.932960510253906
2010-08-05,16.786819458007812
2010-08-06,16.63093376159668
2010-08-09,16.70887565612793
2010-08-10,16.28019142150879
2010-08-11,15.666396141052246
2010-08-12,15.354628562927246
2010-08-13,15.26694393157959
2010-08-16,15.63716983795166
2010-08-17,15.734599113464355
2010-08-18,15.909968376159668
2010-08-19,15.656652450561523
2010-08-20,15.383857727050781
2010-08-23,15.062344551086426
2010-08-24,14.64340591430664
2010-08-25,14.906460762023926
2010-08-26,14.877232551574707
2010-08-27,15.150032043457031
2010-08-30,14.886974334716797
2010-08-31,14.838261604309082
2010-09-01,15.695626258850098
2010-09-02,15.939194679260254
2010-09-03,16.0366268157959
2010-09-07,15.646910667419434
2010-09-08,15.832027435302734
2010-09-09,15.861250877380371
2010-09-10,15.822284698486328
2010-09-13,16.104822158813477
2010-09-14,16.28019142150879
2010-09-15,16.21199607849121
2010-09-16,15.958680152893066
2010-09-17,15.841766357421875
2010-09-20,15.929454803466797
2010-09-21,15.870993614196777
2010-09-22,15.734599113464355
2010-09-23,15.744341850280762
2010-09-24,16.0366268157959
2010-09-27,16.1437931060791
2010-09-28,16.124311447143555
2010-09-29,15.812540054321289
2010-09-30,16.02688217163086
