Date,CMI
2010-01-04,32.44561767578125
2010-01-05,33.21286392211914
2010-01-06,33.51700210571289
2010-01-07,35.21739959716797
2010-01-08,37.09748840332031
2010-01-11,38.016807556152344
2010-01-12,36.876312255859375
2010-01-13,36.4823112487793
2010-01-14,36.55834197998047
2010-01-15,35.75654220581055
2010-01-19,36.59290313720703
2010-01-20,35.57682800292969
2010-01-21,34.194393157958984
2010-01-22,33.01932144165039
2010-01-25,32.92255783081055
2010-01-26,32.687538146972656
2010-01-27,32.07928466796875
2010-01-28,31.48482894897461
2010-01-29,31.215261459350586
2010-02-01,32.44561767578125
2010-02-02,35.31415557861328
2010-02-03,35.832584381103516
2010-02-04,34.629859924316406
2010-02-05,34.892520904541016
2010-02-08,34.63677215576172
2010-02-09,36.10906219482422
2010-02-10,35.92933654785156
2010-02-11,37.9200439453125
2010-02-12,37.98226547241211
2010-02-16,39.47526550292969
2010-02-17,39.14595031738281
2010-02-18,39.86008834838867
2010-02-19,40.1651611328125
2010-02-22,39.6451530456543
2010-02-23,38.577392578125
2010-02-24,38.79233932495117
2010-02-25,38.84779739379883
2010-02-26,39.36780548095703
2010-03-01,40.8792839050293
2010-03-02,41.07343292236328
2010-03-03,41.031829833984375
2010-03-04,41.41317367553711
2010-03-05,42.08571243286133
2010-03-08,41.61422348022461
2010-03-09,42.38383483886719
2010-03-10,41.759830474853516
2010-03-11,41.21209716796875
2010-03-12,41.85689926147461
2010-03-15,41.75289535522461
2010-03-16,42.08571243286133
2010-03-17,41.718231201171875
2010-03-18,41.13582992553711
2010-03-19,40.32461929321289
2010-03-22,41.56570053100586
2010-03-23,43.229705810546875
2010-03-24,42.85531997680664
2010-03-25,42.681983947753906
2010-03-26,43.23662567138672
2010-03-29,43.73585510253906
2010-03-30,43.091041564941406
2010-03-31,42.952362060546875
2010-04-01,43.22277069091797
2010-04-05,45.50385665893555
2010-04-06,45.15026092529297
2010-04-07,44.865989685058594
2010-04-08,45.08787536621094
2010-04-09,45.80893325805664
2010-04-12,45.157196044921875
2010-04-13,45.8019905090332
2010-04-14,46.95294189453125
2010-04-15,46.460670471191406
2010-04-16,45.697994232177734
2010-04-19,45.71186065673828
2010-04-20,46.481475830078125
2010-04-21,46.273460388183594
2010-04-22,47.18867874145508
2010-04-23,48.36735534667969
2010-04-26,48.748680114746094
2010-04-27,50.197776794433594
2010-04-28,51.175384521484375
2010-04-29,52.54819107055664
2010-04-30,50.07990264892578
2010-05-03,50.787113189697266
2010-05-04,48.98442840576172
2010-05-05,48.81801986694336
2010-05-06,46.620140075683594
2010-05-07,45.2819938659668
2010-05-10,50.01055908203125
2010-05-11,49.7540397644043
2010-05-12,52.06283950805664
2010-05-13,51.334861755371094
2010-05-14,49.608436584472656
2010-05-17,49.4142951965332
2010-05-18,48.499088287353516
2010-05-19,47.59201431274414
2010-05-20,44.2765007019043
2010-05-21,45.7848014831543
2010-05-24,44.64488220214844
2010-05-25,45.13838577270508
2010-05-26,45.86125946044922
2010-05-27,48.37049102783203
2010-05-28,47.251441955566406
2010-06-01,45.93771743774414
2010-06-02,48.50255584716797
2010-06-03,49.030818939208984
2010-06-04,46.118446350097656
2010-06-07,43.74822998046875
2010-06-08,45.31217956542969
2010-06-09,45.7986946105957
2010-06-10,48.98911666870117
2010-06-11,50.19855880737305
2010-06-14,50.330631256103516
2010-06-15,52.38805389404297
2010-06-16,51.7902946472168
2010-06-17,51.303733825683594
2010-06-18,51.64432907104492
2010-06-21,52.110015869140625
2010-06-22,50.19158935546875
2010-06-23,50.844993591308594
2010-06-24,49.60079574584961
2010-06-25,50.455753326416016
2010-06-28,48.97521209716797
2010-06-29,46.04198455810547
2010-06-30,45.27044677734375
2010-07-01,45.05496597290039
2010-07-02,44.65182113647461
2010-07-06,44.186134338378906
2010-07-07,46.855224609375
2010-07-08,47.918701171875
2010-07-09,49.71895217895508
2010-07-12,49.11422348022461
2010-07-13,51.248130798339844
2010-07-14,51.88064956665039
2010-07-15,50.53217315673828
2010-07-16,48.30794906616211
2010-07-19,49.11422348022461
2010-07-20,50.420982360839844
2010-07-21,50.844993591308594
2010-07-22,52.75643539428711
2010-07-23,53.50017166137695
2010-07-26,54.111839294433594
2010-07-27,55.21009063720703
2010-07-28,55.439449310302734
2010-07-29,55.00851058959961
2010-07-30,55.335208892822266
2010-08-02,56.58632278442383
2010-08-03,55.634071350097656
2010-08-04,56.64193344116211
2010-08-05,56.746212005615234
2010-08-06,56.391700744628906
2010-08-09,56.384761810302734
2010-08-10,56.63496780395508
2010-08-11,54.08406066894531
2010-08-12,54.19526290893555
2010-08-13,54.042335510253906
2010-08-16,54.05625534057617
2010-08-17,56.002445220947266
2010-08-18,56.87824630737305
2010-08-19,56.650230407714844
2010-08-20,55.44388961791992
2010-08-23,53.344947814941406
2010-08-24,52.138580322265625
2010-08-25,51.23904800415039
2010-08-26,50.60448455810547
2010-08-27,53.128761291503906
2010-08-30,51.47611618041992
2010-08-31,51.887550354003906
2010-09-01,55.701866149902344
2010-09-02,57.04073715209961
2010-09-03,57.98911666870117
2010-09-07,56.39923095703125
2010-09-08,57.15227508544922
2010-09-09,56.78969192504883
2010-09-10,57.12441635131836
2010-09-13,59.139652252197266
2010-09-14,59.28609848022461
2010-09-15,58.10063552856445
2010-09-16,58.6306266784668
2010-09-17,59.36977005004883
2010-09-20,61.329254150390625
2010-09-21,62.15209197998047
2010-09-22,61.636085510253906
2010-09-23,61.58029556274414
2010-09-24,63.358421325683594
2010-09-27,62.47980880737305
2010-09-28,63.42819595336914
