Date,TRV
2010-01-04,34.57819366455078
2010-01-05,33.7590446472168
2010-01-06,33.280029296875
2010-01-07,33.7590446472168
2010-01-08,33.71044921875
2010-01-11,33.696556091308594
2010-01-12,33.91175842285156
2010-01-13,34.029781341552734
2010-01-14,34.210269927978516
2010-01-15,33.8701057434082
2010-01-19,34.31440353393555
2010-01-20,33.96729278564453
2010-01-21,33.98118591308594
2010-01-22,33.53689193725586
2010-01-25,33.93952941894531
2010-01-26,34.8697624206543
2010-01-27,35.33488464355469
2010-01-28,34.89752960205078
2010-01-29,35.17518997192383
2010-02-01,35.189090728759766
2010-02-02,35.46676254272461
2010-02-03,35.10579299926758
2010-02-04,34.52264404296875
2010-02-05,34.90446090698242
2010-02-08,34.050601959228516
2010-02-09,34.41158676147461
2010-02-10,34.49488830566406
2010-02-11,34.84893798828125
2010-02-12,35.02249526977539
2010-02-16,35.827754974365234
2010-02-17,35.92493438720703
2010-02-18,36.612213134765625
2010-02-19,36.70941162109375
2010-02-22,36.82045364379883
2010-02-23,36.34840393066406
2010-02-24,36.646915435791016
2010-02-25,36.61914825439453
2010-02-26,36.5080680847168
2010-03-01,36.848236083984375
2010-03-02,36.9940185546875
2010-03-03,36.87599563598633
2010-03-04,37.17450714111328
2010-03-05,37.44525146484375
2010-03-08,37.577964782714844
2010-03-09,37.417320251464844
2010-03-10,36.942352294921875
2010-03-11,37.45221710205078
2010-03-12,37.13093566894531
2010-03-15,36.83058547973633
2010-03-16,36.91440963745117
2010-03-17,37.01219177246094
2010-03-18,37.28459548950195
2010-03-19,37.340476989746094
2010-03-22,37.291587829589844
2010-03-23,37.647804260253906
2010-03-24,37.759552001953125
2010-03-25,37.773536682128906
2010-03-26,37.96211624145508
2010-03-29,38.24848175048828
2010-03-30,37.66875457763672
2010-03-31,37.675743103027344
2010-04-01,37.66176986694336
2010-04-05,37.24968338012695
2010-04-06,36.73280334472656
2010-04-07,36.6699333190918
2010-04-08,36.50230026245117
2010-04-09,36.6000862121582
2010-04-12,36.334651947021484
2010-04-13,36.474365234375
2010-04-14,36.95631408691406
2010-04-15,36.93537139892578
2010-04-16,36.418487548828125
2010-04-19,37.1518669128418
2010-04-20,37.1379280090332
2010-04-21,36.87948989868164
2010-04-22,37.57097244262695
2010-04-23,37.28459548950195
2010-04-26,36.264808654785156
2010-04-27,35.293949127197266
2010-04-28,35.70603942871094
2010-04-29,35.91557693481445
2010-04-30,35.44062423706055
2010-05-03,35.768890380859375
2010-05-04,34.923744201660156
2010-05-05,35.35680389404297
2010-05-06,34.78404998779297
2010-05-07,34.4068717956543
2010-05-10,34.986595153808594
2010-05-11,34.77009201049805
2010-05-12,35.05644607543945
2010-05-13,35.04248046875
2010-05-14,35.007564544677734
2010-05-17,35.007564544677734
2010-05-18,34.80500411987305
2010-05-19,35.02153778076172
2010-05-20,33.820152282714844
2010-05-21,34.38593292236328
2010-05-24,33.869049072265625
2010-05-25,33.99478530883789
2010-05-26,33.52680206298828
2010-05-27,34.73515701293945
2010-05-28,34.55355453491211
2010-06-01,33.94588851928711
2010-06-02,34.77009201049805
2010-06-03,34.72817611694336
2010-06-04,33.952880859375
2010-06-07,33.71537780761719
2010-06-08,34.54578399658203
2010-06-09,34.33466720581055
2010-06-10,35.179134368896484
2010-06-11,35.47468948364258
2010-06-14,35.221351623535156
2010-06-15,36.051761627197266
2010-06-16,35.77027130126953
2010-06-17,36.389530181884766
2010-06-18,36.136192321777344
2010-06-21,36.00953674316406
2010-06-22,35.896934509277344
2010-06-23,35.96730422973633
2010-06-24,35.56618881225586
2010-06-25,35.97433853149414
2010-06-28,35.939144134521484
2010-06-29,34.99615478515625
2010-06-30,34.65837860107422
2010-07-01,34.43318176269531
2010-07-02,34.15872573852539
2010-07-06,34.186885833740234
2010-07-07,35.1509895324707
2010-07-08,35.24949264526367
2010-07-09,35.99546432495117
2010-07-12,35.97433853149414
2010-07-13,36.03064727783203
2010-07-14,36.16434860229492
2010-07-15,35.39727783203125
2010-07-16,34.91875076293945
2010-07-19,34.98208236694336
2010-07-20,35.43247604370117
2010-07-21,35.09468460083008
2010-07-22,34.686519622802734
2010-07-23,35.284690856933594
2010-07-26,35.50284957885742
2010-07-27,35.59433364868164
2010-07-28,35.390254974365234
2010-07-29,35.55208969116211
2010-07-30,35.50284957885742
2010-08-02,35.784332275390625
2010-08-03,35.27061462402344
2010-08-04,35.66469955444336
2010-08-05,35.657657623291016
2010-08-06,35.37617874145508
2010-08-09,35.61544418334961
2010-08-10,34.7639274597168
2010-08-11,34.454288482666016
2010-08-12,34.92578125
2010-08-13,35.284690856933594
2010-08-16,35.12284851074219
2010-08-17,35.12284851074219
2010-08-18,35.24245834350586
2010-08-19,35.073577880859375
2010-08-20,35.24949264526367
2010-08-23,35.003204345703125
2010-08-24,34.6654167175293
2010-08-25,34.848384857177734
2010-08-26,34.50355911254883
2010-08-27,35.09468460083008
2010-08-30,34.447269439697266
2010-08-31,34.47539520263672
2010-09-01,35.404327392578125
2010-09-02,35.340972900390625
2010-09-03,35.9110107421875
2010-09-07,35.27766036987305
2010-09-08,35.34144973754883
2010-09-09,35.63206100463867
2010-09-10,35.48321533203125
2010-09-13,35.75255584716797
2010-09-14,36.163673400878906
2010-09-15,37.20561218261719
2010-09-16,37.35447692871094
2010-09-17,37.333213806152344
2010-09-20,37.96406173706055
2010-09-21,37.517494201660156
2010-09-22,37.09221649169922
2010-09-23,37.14183044433594
2010-09-24,37.65218734741211
2010-09-27,36.97171401977539
2010-09-28,37.347389221191406
