Date,GS
2010-01-04,131.9919891357422
2010-01-05,134.32553100585938
2010-01-06,132.8918914794922
2010-01-07,135.4923553466797
2010-01-08,132.92999267578125
2010-01-11,130.83285522460938
2010-01-12,127.98066711425781
2010-01-13,128.93397521972656
2010-01-14,128.5221405029297
2010-01-15,125.99031829833984
2010-01-19,127.24858093261719
2010-01-20,127.95777893066406
2010-01-21,122.68060302734375
2010-01-22,117.532958984375
2010-01-25,118.18878936767578
2010-01-26,115.06214904785156
2010-01-27,115.5349349975586
2010-01-28,116.9000244140625
2010-01-29,113.4148941040039
2010-02-01,116.77802276611328
2010-02-02,119.68348693847656
2010-02-03,119.90465545654297
2010-02-04,114.90959167480469
2010-02-05,117.56348419189453
2010-02-08,115.22991180419922
2010-02-09,116.28997039794922
2010-02-10,117.1592788696289
2010-02-11,117.47959899902344
2010-02-12,117.38804626464844
2010-02-16,120.0343017578125
2010-02-17,119.92759704589844
2010-02-18,118.76073455810547
2010-02-19,119.10392761230469
2010-02-22,119.50823211669922
2010-02-23,119.50048065185547
2010-02-24,120.74354553222656
2010-02-25,119.30226135253906
2010-02-26,119.5009536743164
2010-03-01,119.64614868164062
2010-03-02,121.33528900146484
2010-03-03,120.54804229736328
2010-03-04,125.04986572265625
2010-03-05,127.77845764160156
2010-03-08,129.81153869628906
2010-03-09,129.05491638183594
2010-03-10,131.41665649414062
2010-03-11,132.61663818359375
2010-03-12,133.7249298095703
2010-03-15,132.63189697265625
2010-03-16,134.66494750976562
2010-03-17,135.00888061523438
2010-03-18,135.6280059814453
2010-03-19,135.9719696044922
2010-03-22,134.64208984375
2010-03-23,133.6255340576172
2010-03-24,133.3045196533203
2010-03-25,133.67910766601562
2010-03-26,132.12742614746094
2010-03-29,133.0294189453125
2010-03-30,130.9886474609375
2010-03-31,130.41539001464844
2010-04-01,130.10208129882812
2010-04-05,132.3490753173828
2010-04-06,132.1503448486328
2010-04-07,134.79493713378906
2010-04-08,137.1949005126953
2010-04-09,136.9044647216797
2010-04-12,135.92611694335938
2010-04-13,137.0038299560547
2010-04-14,141.3374786376953
2010-04-15,140.84072875976562
2010-04-16,122.82568359375
2010-04-19,124.82820892333984
2010-04-20,122.27542877197266
2010-04-21,121.47286224365234
2010-04-22,121.5645751953125
2010-04-23,120.303466796875
2010-04-26,116.19913482666016
2010-04-27,116.9710693359375
2010-04-28,120.00545501708984
2010-04-29,122.47416687011719
2010-04-30,110.97879791259766
2010-05-03,114.26534271240234
2010-05-04,114.22716522216797
2010-05-05,113.26406860351562
2010-05-06,108.777587890625
2010-05-07,109.28966522216797
2010-05-10,109.93168640136719
2010-05-11,108.51007843017578
2010-05-12,112.50743103027344
2010-05-13,110.55841827392578
2010-05-14,109.4731216430664
2010-05-17,109.02214813232422
2010-05-18,104.986572265625
2010-05-19,107.08077239990234
2010-05-20,104.02352905273438
2010-05-21,107.47822570800781
2010-05-24,104.47447967529297
2010-05-25,108.96098327636719
2010-05-26,107.23363494873047
2010-05-27,111.06481170654297
2010-05-28,110.5361328125
2010-06-01,108.69719696044922
2010-06-02,110.97285461425781
2010-06-03,110.36753845214844
2010-06-04,108.99596405029297
2010-06-07,106.26052856445312
2010-06-08,105.5709457397461
2010-06-09,104.82002258300781
2010-06-10,102.49835968017578
2010-06-11,103.93122863769531
2010-06-14,102.24551391601562
2010-06-15,104.89667510986328
2010-06-16,105.01927947998047
2010-06-17,105.2184829711914
2010-06-18,105.8774185180664
2010-06-21,105.5403060913086
2010-06-22,103.27991485595703
2010-06-23,103.49443054199219
2010-06-24,103.4255142211914
2010-06-25,107.01144409179688
2010-06-28,104.71275329589844
2010-06-29,102.4906997680664
2010-06-30,100.58280944824219
2010-07-01,100.48316955566406
2010-07-02,100.43721008300781
2010-07-06,101.34135437011719
2010-07-07,104.07679748535156
2010-07-08,103.79325866699219
2010-07-09,105.78545379638672
2010-07-12,105.16486358642578
2010-07-13,107.4635238647461
2010-07-14,106.55170440673828
2010-07-15,111.27165985107422
2010-07-16,111.99959564208984
2010-07-19,111.6241226196289
2010-07-20,114.09906005859375
2010-07-21,112.62786865234375
2010-07-22,112.2907943725586
2010-07-23,112.9267349243164
2010-07-26,113.5550308227539
2010-07-27,112.81183624267578
2010-07-28,112.78880310058594
2010-07-29,116.91108703613281
2010-07-30,115.56259155273438
2010-08-02,117.0337142944336
2010-08-03,117.37845611572266
2010-08-04,119.84576416015625
2010-08-05,119.47034454345703
2010-08-06,118.9033203125
2010-08-09,119.07189178466797
2010-08-10,117.92253112792969
2010-08-11,114.35957336425781
2010-08-12,114.48985290527344
2010-08-13,113.46308898925781
2010-08-16,113.21792602539062
2010-08-17,113.8538589477539
2010-08-18,114.32129669189453
2010-08-19,112.67385864257812
2010-08-20,113.585693359375
2010-08-23,112.43635559082031
2010-08-24,110.29856872558594
2010-08-25,110.85789489746094
2010-08-26,108.65885925292969
2010-08-27,107.08043670654297
2010-08-30,104.97566223144531
2010-08-31,105.18311309814453
2010-09-01,107.34161376953125
2010-09-02,107.37225341796875
2010-09-03,113.14115905761719
2010-09-07,111.54338836669922
2010-09-08,113.33316040039062
2010-09-09,114.5622329711914
2010-09-10,115.52243041992188
2010-09-13,118.5796127319336
2010-09-14,117.16626739501953
2010-09-15,117.18925476074219
2010-09-16,116.935791015625
2010-09-17,115.97566223144531
2010-09-20,116.68231964111328
2010-09-21,116.29822540283203
2010-09-22,113.74028015136719
2010-09-23,111.31291961669922
2010-09-24,113.13346099853516
2010-09-27,112.15019226074219
2010-09-28,111.38977813720703
2010-09-29,110.93650817871094
2010-09-30,111.05944061279297
2010-10-01,113.45610809326172
2010-10-04,112.58808135986328
2010-10-05,114.8925552368164
2010-10-06,115.86808776855469
2010-10-07,116.07540893554688
2010-10-08,117.26615905761719
2010-10-11,116.91277313232422
2010-10-12,119.22486114501953
2010-10-13,118.85618591308594
2010-10-14,116.44415283203125
2010-10-15,115.7528305053711
2010-10-18,118.06500244140625
2010-10-19,120.38482666015625
2010-10-20,122.59710693359375
2010-10-21,122.36661529541016
2010-10-22,121.18367004394531
2010-10-25,120.89945220947266
2010-10-26,121.59085083007812
2010-10-27,123.01956176757812
2010-10-28,125.3931655883789
2010-10-29,123.77237701416016
2010-11-01,124.11036682128906
2010-11-02,125.07052612304688
2010-11-03,124.92461395263672
2010-11-04,127.81287384033203
2010-11-05,131.40774536132812
2010-11-08,129.9713592529297
2010-11-09,127.93572998046875
2010-11-10,128.450439453125
2010-11-11,128.82679748535156
2010-11-12,127.38265991210938
2010-11-15,128.450439453125
2010-11-16,126.82188415527344
2010-11-17,126.66060638427734
2010-11-18,128.55029296875
2010-11-19,128.02789306640625
2010-11-22,123.71085357666016
2010-11-23,121.1990737915039
2010-11-24,123.10404205322266
2010-11-26,121.53704833984375
2010-11-29,122.35124206542969
2010-11-30,120.20339965820312
2010-12-01,121.98169708251953
2010-12-02,125.09966278076172
2010-12-03,124.95330810546875
2010-12-06,125.21504974365234
2010-12-07,124.39908599853516
2010-12-08,127.90181732177734
2010-12-09,128.1405029296875
2010-12-10,129.695556640625
2010-12-13,130.47314453125
2010-12-14,128.81800842285156
2010-12-15,127.1859130859375
2010-12-16,126.60851287841797
2010-12-17,126.28519439697266
2010-12-20,127.83255767822266
2010-12-21,129.5108184814453
2010-12-22,130.56558227539062
2010-12-23,129.02581787109375
2010-12-27,130.74256896972656
2010-12-28,130.2498779296875
2010-12-29,129.0488739013672
2010-12-30,129.0565948486328
2010-12-31,129.45692443847656
2011-01-03,133.22142028808594
2011-01-04,133.2445526123047
2011-01-05,133.9528045654297
2011-01-06,132.57481384277344
2011-01-07,131.4047393798828
2011-01-10,130.68861389160156
2011-01-11,130.3807373046875
2011-01-12,132.1591033935547
2011-01-13,132.08212280273438
2011-01-14,134.72268676757812
2011-01-18,134.47630310058594
2011-01-19,128.17129516601562
2011-01-20,127.55541229248047
2011-01-21,127.94798278808594
2011-01-24,128.0249786376953
2011-01-25,124.69929504394531
2011-01-26,124.18351745605469
2011-01-27,126.2774429321289
2011-01-28,124.53765106201172
2011-01-31,125.96183776855469
2011-02-01,127.27827453613281
2011-02-02,127.06273651123047
2011-02-03,126.74705505371094
2011-02-04,126.89335632324219
2011-02-07,128.66403198242188
2011-02-08,129.75717163085938
2011-02-09,127.80169677734375
2011-02-10,127.28594970703125
2011-02-11,128.3022003173828
2011-02-14,128.96421813964844
2011-02-15,129.26446533203125
2011-02-16,129.9573211669922
2011-02-17,128.68710327148438
2011-02-18,129.36448669433594
2011-02-22,125.43836212158203
2011-02-23,125.55381774902344
2011-02-24,125.82323455810547
2011-02-25,127.11663055419922
2011-02-28,126.35284423828125
2011-03-01,124.44725036621094
2011-03-02,124.74044799804688
2011-03-03,126.90058898925781
2011-03-04,124.20812225341797
2011-03-07,122.78086853027344
2011-03-08,124.43955993652344
2011-03-09,125.2496109008789
2011-03-10,123.64496612548828
2011-03-11,123.96127319335938
2011-03-14,122.22541046142578
2011-03-15,121.31510925292969
2011-03-16,119.10093688964844
2011-03-17,120.15785217285156
2011-03-18,123.40577697753906
2011-03-21,123.59867095947266
2011-03-22,124.04607391357422
2011-03-23,123.07405090332031
2011-03-24,123.36720275878906
2011-03-25,121.87057495117188
2011-03-28,120.7133560180664
2011-03-29,122.25626373291016
2011-03-30,122.71916961669922
2011-03-31,122.35659790039062
2011-04-01,123.61410522460938
2011-04-04,122.58802795410156
2011-04-05,122.59569549560547
2011-04-06,124.8947525024414
2011-04-07,125.28812408447266
2011-04-08,124.17727661132812
2011-04-11,124.57075500488281
2011-04-12,123.76073455810547
2011-04-13,123.56779479980469
2011-04-14,120.188720703125
2011-04-15,119.67955780029297
2011-04-18,118.63809204101562
2011-04-19,117.1568374633789
2011-04-20,117.80487823486328
2011-04-21,118.42973327636719
2011-04-25,117.41140747070312
2011-04-26,118.24459075927734
2011-04-27,117.92823791503906
2011-04-28,116.1847152709961
