Date,PM
2010-01-04,23.77564239501953
2010-01-05,23.568477630615234
2010-01-06,23.568477630615234
2010-01-07,23.862363815307617
2010-01-08,23.732284545898438
2010-01-11,23.819005966186523
2010-01-12,23.688928604125977
2010-01-13,23.929811477661133
2010-01-14,23.896080017089844
2010-01-15,23.905723571777344
2010-01-19,24.132164001464844
2010-01-20,23.722654342651367
2010-01-21,22.99517059326172
2010-01-22,22.55193328857422
2010-01-25,22.667566299438477
2010-01-26,22.643478393554688
2010-01-27,22.470033645629883
2010-01-28,22.262863159179688
2010-01-29,21.925621032714844
2010-02-01,22.214691162109375
2010-02-02,22.932531356811523
2010-02-03,22.6290225982666
2010-02-04,22.132783889770508
2010-02-05,21.997892379760742
2010-02-08,21.935258865356445
2010-02-09,22.57120132446289
2010-02-10,22.55193328857422
2010-02-11,23.448030471801758
2010-02-12,23.746740341186523
2010-02-16,23.809358596801758
2010-02-17,24.00689125061035
2010-02-18,24.223695755004883
2010-02-19,24.079174041748047
2010-02-22,23.968360900878906
2010-02-23,23.751556396484375
2010-02-24,24.00689125061035
2010-02-25,23.90089988708496
2010-02-26,23.59737777709961
2010-03-01,23.573287963867188
2010-03-02,23.997257232666016
2010-03-03,24.079174041748047
2010-03-04,24.406774520874023
2010-03-05,24.691009521484375
2010-03-08,24.469404220581055
2010-03-09,24.271869659423828
2010-03-10,24.23333168029785
2010-03-11,24.20442008972168
2010-03-12,24.15625
2010-03-15,24.532032012939453
2010-03-16,24.68619728088379
2010-03-17,24.970447540283203
2010-03-18,24.965627670288086
2010-03-19,25.379961013793945
2010-03-22,25.481128692626953
2010-03-23,25.544445037841797
2010-03-24,25.27654457092285
2010-03-25,25.1937313079834
2010-03-26,25.38858413696289
2010-03-29,25.58830451965332
2010-03-30,25.568805694580078
2010-03-31,25.40806007385254
2010-04-01,25.559072494506836
2010-04-05,25.744171142578125
2010-04-06,25.646753311157227
2010-04-07,25.583436965942383
2010-04-08,25.51036262512207
2010-04-09,25.695463180541992
2010-04-12,25.792882919311523
2010-04-13,25.554197311401367
2010-04-14,24.98914337158203
2010-04-15,25.130407333374023
2010-04-16,24.71636390686035
2010-04-19,25.01350212097168
2010-04-20,25.29114532470703
2010-04-21,25.32525062561035
2010-04-22,24.95991325378418
2010-04-23,24.911203384399414
2010-04-26,24.419214248657227
2010-04-27,23.595983505249023
2010-04-28,23.912622451782227
2010-04-29,24.151304244995117
2010-04-30,23.907739639282227
2010-05-03,24.073352813720703
2010-05-04,23.86878204345703
2010-05-05,23.72751235961914
2010-05-06,22.894542694091797
2010-05-07,22.61201286315918
2010-05-10,23.552146911621094
2010-05-11,23.552146911621094
2010-05-12,23.376785278320312
2010-05-13,23.069900512695312
2010-05-14,22.680200576782227
2010-05-17,22.529197692871094
2010-05-18,22.19308853149414
2010-05-19,22.53406524658203
2010-05-20,21.70110321044922
2010-05-21,21.559829711914062
2010-05-24,21.57931900024414
2010-05-25,21.29678726196289
2010-05-26,21.287038803100586
2010-05-27,21.774168014526367
2010-05-28,21.491636276245117
2010-06-01,21.418567657470703
2010-06-02,21.944652557373047
2010-06-03,21.930042266845703
2010-06-04,21.306535720825195
2010-06-07,21.02887535095215
2010-06-08,21.301664352416992
2010-06-09,21.506254196166992
2010-06-10,21.97389030456543
2010-06-11,21.603681564331055
2010-06-14,22.197956085205078
2010-06-15,22.19308853149414
2010-06-16,22.188213348388672
2010-06-17,22.212574005126953
2010-06-18,22.36357879638672
2010-06-21,22.548681259155273
2010-06-22,22.19350814819336
2010-06-23,22.933454513549805
2010-06-24,22.903852462768555
2010-06-25,22.642410278320312
2010-06-28,22.834796905517578
2010-06-29,22.553613662719727
