Date,NTAP
2010-01-04,25.460710525512695
2010-01-05,25.01390266418457
2010-01-06,24.835172653198242
2010-01-07,24.775602340698242
2010-01-08,24.976661682128906
2010-01-11,24.52985382080078
2010-01-12,24.16495704650879
2010-01-13,25.11815071105957
2010-01-14,25.058578491210938
2010-01-15,24.686235427856445
2010-01-19,24.79793930053711
2010-01-20,24.202194213867188
2010-01-21,23.666027069091797
2010-01-22,22.921337127685547
2010-01-25,23.033044815063477
2010-01-26,23.018144607543945
2010-01-27,23.033044815063477
2010-01-28,22.206438064575195
2010-01-29,21.69261360168457
2010-02-01,22.422407150268555
2010-02-02,23.06282615661621
2010-02-03,23.10006332397461
2010-02-04,22.25857162475586
2010-02-05,22.62346839904785
2010-02-08,22.72772216796875
2010-02-09,23.09261703491211
2010-02-10,22.90645408630371
2010-02-11,23.4872989654541
2010-02-12,23.427722930908203
2010-02-16,24.05324935913086
2010-02-17,23.88942527770996
2010-02-18,23.591554641723633
2010-02-19,23.301132202148438
2010-02-22,22.81708335876465
2010-02-23,22.266016006469727
2010-02-24,22.21388816833496
2010-02-25,22.347936630249023
2010-02-26,22.347936630249023
2010-03-01,23.427722930908203
2010-03-02,23.15219497680664
2010-03-03,23.263893127441406
2010-03-04,23.353261947631836
2010-03-05,23.867084503173828
2010-03-08,24.20963478088379
2010-03-09,24.23942756652832
2010-03-10,24.70857810974121
2010-03-11,24.812829971313477
2010-03-12,24.507511138916016
2010-03-15,24.44049072265625
2010-03-16,24.716018676757812
2010-03-17,24.604328155517578
2010-03-18,24.79793930053711
2010-03-19,24.172401428222656
2010-03-22,24.52985382080078
2010-03-23,24.380916595458984
2010-03-24,24.701128005981445
2010-03-25,24.29155158996582
2010-03-26,24.37346649169922
2010-03-29,24.23198127746582
2010-03-30,24.254318237304688
2010-03-31,24.23198127746582
2010-04-01,25.512832641601562
2010-04-05,25.892614364624023
2010-04-06,25.93731117248535
2010-04-07,26.15325927734375
2010-04-08,25.944751739501953
2010-04-09,26.458581924438477
2010-04-12,26.019224166870117
2010-04-13,25.833045959472656
2010-04-14,26.704334259033203
2010-04-15,26.56284523010254
2010-04-16,26.175601959228516
2010-04-19,25.907508850097656
2010-04-20,25.81814956665039
2010-04-21,26.20538902282715
2010-04-22,26.324542999267578
2010-04-23,26.9351806640625
2010-04-26,26.726665496826172
2010-04-27,25.95220184326172
2010-04-28,26.458581924438477
2010-04-29,26.689428329467773
2010-04-30,25.81814956665039
2010-05-03,25.974538803100586
2010-05-04,25.33411407470703
2010-05-05,25.3713436126709
2010-05-06,24.58197593688965
2010-05-07,23.435169219970703
2010-05-10,25.2670955657959
2010-05-11,24.917085647583008
2010-05-12,25.3564510345459
2010-05-13,25.09581184387207
2010-05-14,25.1330509185791
2010-05-17,25.289432525634766
2010-05-18,24.976661682128906
2010-05-19,24.98410987854004
2010-05-20,24.246871948242188
2010-05-21,24.447933197021484
2010-05-24,24.127729415893555
2010-05-25,24.64155387878418
2010-05-26,24.150066375732422
2010-05-27,28.424541473388672
2010-05-28,28.059654235839844
2010-06-01,28.014970779418945
2010-06-02,29.005407333374023
2010-06-03,28.953271865844727
2010-06-04,28.208581924438477
2010-06-07,27.575605392456055
2010-06-08,27.84368896484375
2010-06-09,27.933048248291016
2010-06-10,28.662845611572266
2010-06-11,29.77987289428711
2010-06-14,29.727739334106445
2010-06-15,30.814971923828125
2010-06-16,30.53199577331543
2010-06-17,31.112855911254883
2010-06-18,30.695831298828125
2010-06-21,30.182004928588867
2010-06-22,29.61602783203125
2010-06-23,29.861785888671875
2010-06-24,29.50432777404785
2010-06-25,29.608600616455078
2010-06-28,29.63094139099121
2010-06-29,28.290502548217773
2010-06-30,27.784120559692383
2010-07-01,28.3798770904541
2010-07-02,27.650074005126953
2010-07-06,27.64263343811035
2010-07-07,29.489452362060547
2010-07-08,28.960721969604492
2010-07-09,28.863906860351562
2010-07-12,29.012853622436523
2010-07-13,29.45964813232422
2010-07-14,30.025609970092773
2010-07-15,30.330936431884766
2010-07-16,30.15965461730957
2010-07-19,30.546899795532227
2010-07-20,30.83732032775879
2010-07-21,29.660715103149414
2010-07-22,31.25433921813965
2010-07-23,32.103275299072266
2010-07-26,32.78839111328125
2010-07-27,32.579872131347656
2010-07-28,32.14796447753906
2010-07-29,31.58944320678711
2010-07-30,31.500089645385742
2010-08-02,32.76604461669922
2010-08-03,32.669246673583984
2010-08-04,33.23519515991211
2010-08-05,32.557552337646484
2010-08-06,32.103275299072266
2010-08-09,31.954343795776367
2010-08-10,31.04582977294922
2010-08-11,30.658594131469727
2010-08-12,27.98518180847168
2010-08-13,28.402212142944336
2010-08-16,28.774555206298828
2010-08-17,28.781993865966797
2010-08-18,29.280929565429688
2010-08-19,30.30860137939453
2010-08-20,30.182004928588867
2010-08-23,30.12242317199707
2010-08-24,29.42986488342285
2010-08-25,29.26603889465332
2010-08-26,29.556467056274414
2010-08-27,30.86710548400879
2010-08-30,30.182004928588867
2010-08-31,30.070293426513672
2010-09-01,31.209651947021484
2010-09-02,32.07349395751953
2010-09-03,32.80327224731445
2010-09-07,33.34690475463867
2010-09-08,34.575626373291016
2010-09-09,34.501155853271484
2010-09-10,34.501155853271484
2010-09-13,35.819252014160156
2010-09-14,35.83414077758789
2010-09-15,36.71286392211914
2010-09-16,36.25117492675781
2010-09-17,36.51924514770508
2010-09-20,36.9884033203125
2010-09-21,35.893714904785156
2010-09-22,36.079891204833984
2010-09-23,35.96074295043945
2010-09-24,37.524574279785156
2010-09-27,36.779876708984375
2010-09-28,37.97882080078125
