Date,DTE
2010-01-04,21.163171768188477
2010-01-05,20.925003051757812
2010-01-06,21.012493133544922
2010-01-07,20.81806182861328
2010-01-08,20.97846031188965
2010-01-11,21.274967193603516
2010-01-12,21.255523681640625
2010-01-13,21.44508934020996
2010-01-14,21.527721405029297
2010-01-15,21.352731704711914
2010-01-19,21.54715919494629
2010-01-20,21.32843780517578
2010-01-21,20.827787399291992
2010-01-22,20.44379425048828
2010-01-25,20.73543357849121
2010-01-26,20.920135498046875
2010-01-27,20.77918243408203
2010-01-28,20.60906219482422
2010-01-29,20.434066772460938
2010-02-01,20.711130142211914
2010-02-02,20.9152774810791
2010-02-03,20.745153427124023
2010-02-04,20.293123245239258
2010-02-05,20.307697296142578
2010-02-08,20.171602249145508
2010-02-09,20.414628982543945
2010-02-10,20.390338897705078
2010-02-11,20.575035095214844
2010-02-12,20.390338897705078
2010-02-16,20.934720993041992
2010-02-17,20.842369079589844
2010-02-18,21.187471389770508
2010-02-19,21.678396224975586
2010-02-22,21.688121795654297
2010-02-23,21.38189697265625
2010-02-24,21.51313018798828
2010-02-25,21.362457275390625
2010-02-26,21.104841232299805
2010-03-01,21.53743553161621
2010-03-02,21.702701568603516
2010-03-03,21.67353630065918
2010-03-04,21.72700309753418
2010-03-05,21.892271041870117
2010-03-08,21.795059204101562
2010-03-09,21.84365463256836
2010-03-10,21.780471801757812
2010-03-11,21.829076766967773
2010-03-12,21.809635162353516
2010-03-15,21.90199089050293
2010-03-16,22.169326782226562
2010-03-17,22.271398544311523
2010-03-18,22.1976261138916
2010-03-19,22.177963256835938
2010-03-22,22.109113693237305
2010-03-23,22.26647186279297
2010-03-24,22.14845848083496
2010-03-25,21.976343154907227
2010-03-26,21.98125648498535
2010-03-29,22.31565284729004
2010-03-30,22.22713279724121
2010-03-31,21.932090759277344
2010-04-01,22.31565284729004
2010-04-05,22.49760627746582
2010-04-06,22.856576919555664
2010-04-07,22.67954444885254
2010-04-08,22.56153106689453
2010-04-09,22.67954444885254
2010-04-12,22.74348258972168
2010-04-13,22.635295867919922
2010-04-14,22.615615844726562
2010-04-15,22.67954444885254
2010-04-16,22.44350242614746
2010-04-19,22.57136344909668
2010-04-20,22.723804473876953
2010-04-21,23.02376937866211
2010-04-22,23.24013900756836
2010-04-23,23.569622039794922
2010-04-26,23.382749557495117
2010-04-27,23.04836082458496
2010-04-28,23.74663734436035
2010-04-29,23.63845443725586
2010-04-30,23.687625885009766
2010-05-03,24.051532745361328
2010-05-04,23.672876358032227
2010-05-05,23.42701530456543
2010-05-06,22.891002655029297
2010-05-07,22.468090057373047
2010-05-10,23.308990478515625
2010-05-11,23.466346740722656
2010-05-12,23.57944679260254
2010-05-13,23.500762939453125
2010-05-14,23.259815216064453
2010-05-17,23.407333374023438
2010-05-18,23.19588851928711
2010-05-19,22.861494064331055
2010-05-20,22.177963256835938
2010-05-21,22.320566177368164
2010-05-24,22.0599365234375
2010-05-25,22.00092887878418
2010-05-26,21.902584075927734
2010-05-27,22.369741439819336
2010-05-28,22.379575729370117
2010-06-01,22.08452606201172
2010-06-02,22.433671951293945
2010-06-03,22.57136344909668
2010-06-04,21.84356689453125
2010-06-07,21.85833168029785
2010-06-08,22.163206100463867
2010-06-09,22.187795639038086
2010-06-10,22.689382553100586
2010-06-11,22.664794921875
2010-06-14,22.866403579711914
2010-06-15,23.48601531982422
2010-06-16,23.72205352783203
2010-06-17,24.04026222229004
2010-06-18,24.04026222229004
2010-06-21,23.881162643432617
2010-06-22,23.374006271362305
2010-06-23,23.125396728515625
2010-06-24,23.13037109375
2010-06-25,23.135351181030273
2010-06-28,23.264619827270508
2010-06-29,22.68288230895996
2010-06-30,22.677915573120117
2010-07-01,22.414384841918945
2010-07-02,22.608301162719727
2010-07-06,22.832046508789062
2010-07-07,23.54305076599121
2010-07-08,23.567913055419922
2010-07-09,23.73200225830078
2010-07-12,23.702163696289062
2010-07-13,23.920936584472656
2010-07-14,23.826467514038086
2010-07-15,23.985576629638672
2010-07-16,23.433671951293945
2010-07-19,23.70713996887207
2010-07-20,23.74691390991211
2010-07-21,23.28451156616211
2010-07-22,23.717090606689453
2010-07-23,23.896080017089844
2010-07-26,24.060157775878906
2010-07-27,24.34854507446289
2010-07-28,24.199386596679688
2010-07-29,23.945804595947266
2010-07-30,22.951370239257812
2010-08-02,23.13037109375
2010-08-03,23.011037826538086
2010-08-04,23.095571517944336
2010-08-05,23.264619827270508
2010-08-06,23.28451156616211
2010-08-09,23.53311538696289
2010-08-10,23.503286361694336
2010-08-11,22.986186981201172
2010-08-12,22.961315155029297
2010-08-13,22.97624397277832
2010-08-16,23.07569122314453
2010-08-17,23.175125122070312
2010-08-18,23.090599060058594
2010-08-19,22.80221176147461
2010-08-20,22.827072143554688
2010-08-23,22.951370239257812
2010-08-24,22.946407318115234
2010-08-25,22.951370239257812
2010-08-26,22.941431045532227
2010-08-27,23.433671951293945
2010-08-30,23.180089950561523
2010-08-31,23.29445457458496
2010-09-01,23.781723022460938
2010-09-02,23.58283805847168
2010-09-03,23.637531280517578
2010-09-07,23.458528518676758
2010-09-08,23.34417724609375
2010-09-09,23.41875457763672
2010-09-10,23.602731704711914
2010-09-13,23.78669548034668
2010-09-14,23.990554809570312
2010-09-15,23.960723876953125
2010-09-16,23.48784637451172
2010-09-17,23.296688079833984
2010-09-20,23.41741371154785
2010-09-21,23.135700225830078
2010-09-22,23.20109748840332
2010-09-23,22.874116897583008
2010-09-24,23.060245513916016
2010-09-27,23.14576530456543
2010-09-28,23.130680084228516
