Date,LNT
2010-01-04,8.786270141601562
2010-01-05,8.991815567016602
2010-01-06,9.061291694641113
2010-01-07,9.110508918762207
2010-01-08,9.287101745605469
2010-01-11,9.266839981079102
2010-01-12,9.269737243652344
2010-01-13,9.35658073425293
2010-01-14,9.460801124572754
2010-01-15,9.469490051269531
2010-01-19,9.599761009216309
2010-01-20,9.536070823669434
2010-01-21,9.492644309997559
2010-01-22,9.252366065979004
2010-01-25,9.211832046508789
2010-01-26,9.188673973083496
2010-01-27,9.113919258117676
2010-01-28,9.160825729370117
2010-01-29,9.14616870880127
2010-02-01,9.178412437438965
2010-02-02,9.263422966003418
2010-02-03,9.216521263122559
2010-02-04,8.970277786254883
2010-02-05,8.999594688415527
2010-02-08,8.976141929626465
2010-02-09,9.025978088378906
2010-02-10,8.979074478149414
2010-02-11,9.06115436553955
2010-02-12,9.078742980957031
2010-02-16,9.281012535095215
2010-02-17,9.263422966003418
2010-02-18,9.354302406311035
2010-02-19,9.50380802154541
2010-02-22,9.506738662719727
2010-02-23,9.404135704040527
2010-02-24,9.38654899597168
2010-02-25,9.301534652709961
2010-02-26,9.272218704223633
2010-03-01,9.442246437072754
2010-03-02,9.582950592041016
2010-03-03,9.51845932006836
2010-03-04,9.530184745788574
2010-03-05,9.62985897064209
2010-03-08,9.697285652160645
2010-03-09,9.697285652160645
2010-03-10,9.726597785949707
2010-03-11,9.829195976257324
2010-03-12,9.899553298950195
2010-03-15,9.852648735046387
2010-03-16,9.817473411560059
2010-03-17,9.905415534973145
2010-03-18,9.521391868591309
2010-03-19,9.58588695526123
2010-03-22,9.623994827270508
2010-03-23,9.808677673339844
2010-03-24,9.738321304321289
2010-03-25,9.729525566101074
2010-03-26,9.720734596252441
2010-03-29,9.805747985839844
2010-03-30,9.785224914550781
2010-03-31,9.750053405761719
2010-04-01,9.905415534973145
2010-04-05,9.946459770202637
2010-04-06,10.013880729675293
2010-04-07,9.92886734008789
2010-04-08,9.85851001739502
2010-04-09,9.852648735046387
2010-04-12,9.899553298950195
2010-04-13,9.896623611450195
2010-04-14,10.054919242858887
2010-04-15,10.131136894226074
2010-04-16,10.110618591308594
2010-04-19,10.107683181762695
2010-04-20,10.245469093322754
2010-04-21,10.359790802001953
2010-04-22,10.474122047424316
2010-04-23,10.44480037689209
2010-04-26,10.365657806396484
2010-04-27,10.025606155395508
2010-04-28,10.03005313873291
2010-04-29,10.124956130981445
2010-04-30,10.142756462097168
2010-05-03,10.24062442779541
2010-05-04,9.9826021194458
2010-05-05,9.935152053833008
2010-05-06,9.546640396118164
2010-05-07,9.42208480834961
2010-05-10,9.866941452026367
2010-05-11,9.994466781616211
2010-05-12,10.127923965454102
2010-05-13,10.154614448547363
2010-05-14,10.119024276733398
2010-05-17,10.237653732299805
2010-05-18,10.169443130493164
2010-05-19,9.947016716003418
2010-05-20,9.525883674621582
2010-05-21,9.428013801574707
2010-05-24,9.36573600769043
2010-05-25,9.235241889953613
2010-05-26,9.258968353271484
2010-05-27,9.508091926574707
2010-05-28,9.531811714172363
2010-06-01,9.35683822631836
2010-06-02,9.549605369567871
2010-06-03,9.700861930847168
2010-06-04,9.31235122680664
2010-06-07,9.35980224609375
2010-06-08,9.401325225830078
2010-06-09,9.398358345031738
2010-06-10,9.594095230102539
2010-06-11,9.605953216552734
2010-06-14,9.62375259399414
2010-06-15,9.813556671142578
2010-06-16,9.952948570251465
2010-06-17,10.044885635375977
2010-06-18,9.947016716003418
2010-06-21,9.825421333312988
2010-06-22,9.5911283493042
2010-06-23,9.436910629272461
2010-06-24,9.433944702148438
2010-06-25,9.537745475769043
2010-06-28,9.641545295715332
2010-06-29,9.404288291931152
2010-06-30,9.41318416595459
2010-07-01,9.300491333007812
2010-07-02,9.333110809326172
2010-07-06,9.439878463745117
2010-07-07,9.757209777832031
2010-07-08,9.840251922607422
2010-07-09,9.944049835205078
2010-07-12,10.074542045593262
2010-07-13,10.190205574035645
2010-07-14,10.21096134185791
2010-07-15,10.294008255004883
2010-07-16,9.955906867980957
2010-07-19,10.053781509399414
2010-07-20,10.205028533935547
2010-07-21,10.059713363647461
2010-07-22,10.252485275268555
2010-07-23,10.368147850036621
2010-07-26,10.489741325378418
2010-07-27,10.68844223022461
2010-07-28,10.617977142333984
2010-07-29,10.525020599365234
2010-07-30,10.363097190856934
2010-08-02,10.435064315795898
2010-08-03,10.426070213317871
2010-08-04,10.510028839111328
2010-08-05,10.477043151855469
2010-08-06,10.558002471923828
2010-08-09,10.677948951721191
2010-08-10,10.677948951721191
2010-08-11,10.438064575195312
2010-08-12,10.423069953918457
2010-08-13,10.61497688293457
2010-08-16,10.635969161987305
2010-08-17,10.821883201599121
2010-08-18,10.78289794921875
2010-08-19,10.692943572998047
2010-08-20,10.66895580291748
2010-08-23,10.602983474731445
2010-08-24,10.519024848937988
2010-08-25,10.438064575195312
2010-08-26,10.474043846130371
2010-08-27,10.626973152160645
2010-08-30,10.450056076049805
2010-08-31,10.501033782958984
2010-09-01,10.773906707763672
2010-09-02,10.68394660949707
2010-09-03,10.746915817260742
2010-09-07,10.719929695129395
2010-09-08,10.758914947509766
2010-09-09,10.83387565612793
2010-09-10,10.761908531188965
2010-09-13,10.902844429016113
2010-09-14,10.908841133117676
2010-09-15,10.863860130310059
2010-09-16,10.79788875579834
2010-09-17,10.767904281616211
2010-09-20,10.809887886047363
2010-09-21,10.72891902923584
2010-09-22,10.779900550842285
2010-09-23,10.662956237792969
2010-09-24,10.81588077545166
2010-09-27,10.860860824584961
2010-09-28,10.902844429016113
