Date,EOG
2010-01-04,35.97115707397461
2010-01-05,35.530372619628906
2010-01-06,35.64863967895508
2010-01-07,35.31537628173828
2010-01-08,35.49453353881836
2010-01-11,35.16845703125
2010-01-12,34.19374084472656
2010-01-13,35.08559799194336
2010-01-14,35.171714782714844
2010-01-15,34.766178131103516
2010-01-19,34.93842697143555
2010-01-20,34.57237243652344
2010-01-21,34.66568374633789
2010-01-22,33.75410079956055
2010-01-25,34.084266662597656
2010-01-26,33.4275016784668
2010-01-27,33.1583366394043
2010-01-28,32.84250259399414
2010-01-29,32.4512939453125
2010-02-01,34.292442321777344
2010-02-02,34.8235969543457
2010-02-03,34.884605407714844
2010-02-04,33.34136199951172
2010-02-05,33.32700729370117
2010-02-08,32.867618560791016
2010-02-09,33.92995071411133
2010-02-10,31.668909072875977
2010-02-11,32.680999755859375
2010-02-12,32.65226364135742
2010-02-16,33.312660217285156
2010-02-17,33.32700729370117
2010-02-18,33.85817337036133
2010-02-19,33.96583938598633
2010-02-22,33.05784225463867
2010-02-23,32.268272399902344
2010-02-24,33.26241683959961
2010-02-25,33.45620346069336
2010-02-26,33.75410079956055
2010-03-01,33.96943664550781
2010-03-02,34.034034729003906
2010-03-03,34.38935089111328
2010-03-04,34.166812896728516
2010-03-05,34.94921112060547
2010-03-08,34.94562911987305
2010-03-09,35.189674377441406
2010-03-10,35.47319793701172
2010-03-11,35.09275817871094
2010-03-12,35.0209846496582
2010-03-15,34.773372650146484
2010-03-16,34.626220703125
2010-03-17,34.3857536315918
2010-03-18,33.47774887084961
2010-03-19,32.910682678222656
2010-03-22,32.83890914916992
2010-03-23,33.78639221191406
2010-03-24,33.222930908203125
2010-03-25,32.092411041259766
2010-03-26,32.153411865234375
2010-03-29,33.362876892089844
2010-03-30,33.4992790222168
2010-03-31,33.3557243347168
2010-04-01,34.30320739746094
2010-04-05,35.08918762207031
2010-04-06,34.94921112060547
2010-04-07,37.231781005859375
2010-04-08,38.38742446899414
2010-04-09,37.60144805908203
2010-04-12,38.46638107299805
2010-04-13,38.538177490234375
2010-04-14,39.280357360839844
2010-04-15,39.71525192260742
2010-04-16,38.626216888427734
2010-04-19,38.813114166259766
2010-04-20,40.0782470703125
2010-04-21,40.2076416015625
2010-04-22,40.617374420166016
2010-04-23,40.87255859375
2010-04-26,40.426883697509766
2010-04-27,39.04314041137695
2010-04-28,39.327083587646484
2010-04-29,39.9884033203125
2010-04-30,40.2974967956543
2010-05-03,40.815040588378906
2010-05-04,39.621795654296875
2010-05-05,37.7995491027832
2010-05-06,36.79322052001953
2010-05-07,36.24330139160156
2010-05-10,38.273983001708984
2010-05-11,37.645015716552734
2010-05-12,38.953285217285156
2010-05-13,38.845481872558594
2010-05-14,38.13022232055664
2010-05-17,37.10231018066406
2010-05-18,36.96214294433594
2010-05-19,36.742897033691406
2010-05-20,34.60796356201172
2010-05-21,36.1534423828125
2010-05-24,34.9925422668457
2010-05-25,35.47775650024414
2010-05-26,35.847938537597656
2010-05-27,38.28118896484375
2010-05-28,37.68096160888672
2010-06-01,36.239715576171875
2010-06-02,38.72684860229492
2010-06-03,39.4384880065918
2010-06-04,37.01604080200195
2010-06-07,36.35111999511719
2010-06-08,37.86785888671875
2010-06-09,37.310760498046875
2010-06-10,39.09346389770508
2010-06-11,39.485225677490234
2010-06-14,39.15814208984375
2010-06-15,39.6649284362793
2010-06-16,39.67570877075195
2010-06-17,39.557106018066406
2010-06-18,39.61460494995117
2010-06-21,39.75477600097656
2010-06-22,38.259620666503906
2010-06-23,38.39979553222656
2010-06-24,37.59111404418945
2010-06-25,39.45647430419922
2010-06-28,37.889427185058594
2010-06-29,36.02766036987305
2010-06-30,35.35554885864258
2010-07-01,35.610748291015625
2010-07-02,35.34477233886719
2010-07-06,35.887489318847656
2010-07-07,37.30717849731445
2010-07-08,38.17695617675781
2010-07-09,37.94333267211914
2010-07-12,37.93254470825195
2010-07-13,38.38902282714844
2010-07-14,38.383602142333984
2010-07-15,38.22163391113281
2010-07-16,36.814292907714844
2010-07-19,36.71710205078125
2010-07-20,37.487361907958984
2010-07-21,36.86467742919922
2010-07-22,37.14543151855469
2010-07-23,36.8322868347168
2010-07-26,37.33259963989258
2010-07-27,36.19519805908203
2010-07-28,36.19519805908203
2010-07-29,36.20240783691406
2010-07-30,35.09380340576172
2010-08-02,36.8970832824707
2010-08-03,36.60552215576172
2010-08-04,37.07344436645508
2010-08-05,36.87187576293945
2010-08-06,35.72728729248047
2010-08-09,35.97203826904297
2010-08-10,36.24557876586914
2010-08-11,34.96782684326172
2010-08-12,34.32353210449219
2010-08-13,33.89521408081055
2010-08-16,33.86640930175781
2010-08-17,34.25154113769531
2010-08-18,33.60006332397461
2010-08-19,32.94137191772461
2010-08-20,32.90538024902344
2010-08-23,33.0169677734375
2010-08-24,31.893978118896484
2010-08-25,31.480026245117188
2010-08-26,31.17769432067871
2010-08-27,32.178314208984375
2010-08-30,31.516029357910156
2010-08-31,31.267667770385742
2010-09-01,32.3726692199707
2010-09-02,32.21072006225586
2010-09-03,32.5130500793457
2010-09-07,31.929941177368164
2010-09-08,32.491455078125
2010-09-09,32.1674919128418
2010-09-10,33.18612289428711
2010-09-13,33.218536376953125
2010-09-14,33.18612289428711
2010-09-15,32.962974548339844
2010-09-16,32.75419235229492
2010-09-17,32.07393264770508
2010-09-20,31.577207565307617
2010-09-21,32.25751876831055
2010-09-22,32.523834228515625
2010-09-23,32.2755126953125
2010-09-24,33.153751373291016
2010-09-27,32.84419631958008
2010-09-28,33.03495407104492
