Date,WYNN
2010-01-04,40.96648025512695
2010-01-05,43.45801544189453
2010-01-06,42.88798522949219
2010-01-07,43.80388259887695
2010-01-08,43.490047454833984
2010-01-11,43.34913635253906
2010-01-12,43.541297912597656
2010-01-13,44.4507942199707
2010-01-14,46.18657302856445
2010-01-15,45.15534210205078
2010-01-19,45.680572509765625
2010-01-20,43.656585693359375
2010-01-21,41.86958312988281
2010-01-22,40.96006393432617
2010-01-25,40.7294921875
2010-01-26,40.25551986694336
2010-01-27,40.1978645324707
2010-01-28,39.56377029418945
2010-01-29,39.63422393798828
2010-02-01,41.97846603393555
2010-02-02,41.530120849609375
2010-02-03,41.14580154418945
2010-02-04,38.96811294555664
2010-02-05,39.307586669921875
2010-02-08,38.9168701171875
2010-02-09,39.474098205566406
2010-02-10,39.3267822265625
2010-02-11,41.60696792602539
2010-02-12,40.37721252441406
2010-02-16,41.57495880126953
2010-02-17,41.25469970703125
2010-02-18,39.71748733520508
2010-02-19,39.8712158203125
2010-02-22,40.36440658569336
2010-02-23,40.787139892578125
2010-02-24,40.575767517089844
2010-02-25,40.22347640991211
2010-02-26,40.71668243408203
2010-03-01,42.414005279541016
2010-03-02,42.83033752441406
2010-03-03,42.510074615478516
2010-03-04,42.20264434814453
2010-03-05,43.387569427490234
2010-03-08,44.18819808959961
2010-03-09,44.687782287597656
2010-03-10,45.44997787475586
2010-03-11,45.59730911254883
2010-03-12,45.776649475097656
2010-03-15,45.136138916015625
2010-03-16,47.160125732421875
2010-03-17,46.63490676879883
2010-03-18,46.12251281738281
2010-03-19,45.955997467041016
2010-03-22,49.02397537231445
2010-03-23,48.889469146728516
2010-03-24,48.55640411376953
2010-03-25,47.65971755981445
2010-03-26,49.08162307739258
2010-03-29,49.22254180908203
2010-03-30,49.47873306274414
2010-03-31,48.56923294067383
2010-04-01,49.5748291015625
2010-04-05,52.700469970703125
2010-04-06,52.35457992553711
2010-04-07,52.3033561706543
2010-04-08,55.230430603027344
2010-04-09,55.83249282836914
2010-04-12,55.65958023071289
2010-04-13,56.389747619628906
2010-04-14,55.34572219848633
2010-04-15,55.089534759521484
2010-04-16,53.68682861328125
2010-04-19,53.10398483276367
2010-04-20,55.448211669921875
2010-04-21,55.038307189941406
2010-04-22,57.5938720703125
2010-04-23,57.32489013671875
2010-04-26,59.002994537353516
2010-04-27,56.620330810546875
2010-04-28,56.857303619384766
2010-04-29,59.662715911865234
2010-04-30,56.517845153808594
2010-05-03,58.84928894042969
2010-05-04,56.15275192260742
2010-05-05,54.807708740234375
2010-05-06,51.5923957824707
2010-05-07,49.30581283569336
2010-05-10,53.24486541748047
2010-05-11,54.157352447509766
2010-05-12,55.12120819091797
2010-05-13,54.44009780883789
2010-05-14,52.82717514038086
2010-05-17,52.281005859375
2010-05-18,51.9018440246582
2010-05-19,51.670509338378906
2010-05-20,48.06560516357422
2010-05-21,50.55884552001953
2010-05-24,49.286529541015625
2010-05-25,51.13075637817383
2010-05-26,50.494590759277344
2010-05-27,54.29227828979492
2010-05-28,53.900306701660156
2010-06-01,52.39021301269531
2010-06-02,53.45692443847656
2010-06-03,54.08024597167969
2010-06-04,51.28498458862305
2010-06-07,48.57966995239258
2010-06-08,50.096187591552734
2010-06-09,49.569244384765625
2010-06-10,52.26815414428711
2010-06-11,53.2255859375
2010-06-14,53.05849838256836
2010-06-15,54.555755615234375
2010-06-16,54.97343063354492
2010-06-17,54.97343063354492
2010-06-18,54.639278411865234
2010-06-21,55.81521987915039
2010-06-22,54.26657485961914
2010-06-23,55.11479187011719
2010-06-24,55.281864166259766
2010-06-25,57.2160758972168
2010-06-28,54.684268951416016
2010-06-29,50.475311279296875
2010-06-30,49.01019287109375
2010-07-01,48.92024230957031
2010-07-02,48.05916976928711
2010-07-06,48.168426513671875
2010-07-07,50.44317626953125
2010-07-08,50.6680793762207
2010-07-09,51.1500358581543
2010-07-12,49.99980545043945
2010-07-13,52.19102478027344
2010-07-14,53.50832748413086
2010-07-15,53.34766387939453
2010-07-16,51.13075637817383
2010-07-19,51.41350173950195
2010-07-20,53.4954833984375
2010-07-21,52.66655349731445
2010-07-22,54.92845153808594
2010-07-23,56.34215545654297
2010-07-26,56.95903015136719
2010-07-27,56.24576950073242
2010-07-28,56.46424865722656
2010-07-29,56.451377868652344
2010-07-30,56.34215545654297
2010-08-02,57.33816909790039
2010-08-03,58.79684066772461
2010-08-04,59.09885787963867
2010-08-05,58.03214645385742
2010-08-06,58.809669494628906
2010-08-09,60.24908447265625
2010-08-10,58.91537857055664
2010-08-11,56.17705535888672
2010-08-12,56.00952911376953
2010-08-13,56.22216796875
2010-08-16,56.241512298583984
2010-08-17,57.69764709472656
2010-08-18,57.936012268066406
2010-08-19,55.75183868408203
2010-08-20,56.44124221801758
2010-08-23,55.461883544921875
2010-08-24,53.0908317565918
2010-08-25,54.315006256103516
2010-08-26,52.7429084777832
2010-08-27,54.340789794921875
2010-08-30,52.67848587036133
2010-08-31,51.93754577636719
2010-09-01,53.200347900390625
2010-09-02,54.55339813232422
2010-09-03,56.5765266418457
2010-09-07,55.842018127441406
2010-09-08,56.96955108642578
2010-09-09,57.240169525146484
2010-09-10,57.69764709472656
2010-09-13,58.554561614990234
2010-09-14,58.07133483886719
2010-09-15,58.16797637939453
2010-09-16,57.865150451660156
2010-09-17,59.21818542480469
2010-09-20,61.16399002075195
2010-09-21,59.74650573730469
2010-09-22,58.74784851074219
2010-09-23,56.086891174316406
2010-09-24,58.11641311645508
2010-09-27,56.131954193115234
2010-09-28,56.467002868652344
