Date,WMT
2010-01-04,13.01711654663086
2010-01-05,12.887502670288086
2010-01-06,12.858697891235352
2010-01-07,12.865899085998535
2010-01-08,12.801090240478516
2010-01-11,13.012314796447754
2010-01-12,13.137136459350586
2010-01-13,13.204350471496582
2010-01-14,13.012314796447754
2010-01-15,12.885106086730957
2010-01-19,12.969112396240234
2010-01-20,12.928306579589844
2010-01-21,12.702672958374023
2010-01-22,12.707474708557129
2010-01-25,12.693073272705078
2010-01-26,12.868303298950195
2010-01-27,12.817889213562012
2010-01-28,12.628262519836426
2010-01-29,12.825093269348145
2010-02-01,12.8370943069458
2010-02-02,12.839494705200195
2010-02-03,13.026717185974121
2010-02-04,12.714676856994629
2010-02-05,12.829898834228516
2010-02-08,12.705076217651367
2010-02-09,12.781885147094727
2010-02-10,12.77949047088623
2010-02-11,12.741079330444336
2010-02-12,12.697871208190918
2010-02-16,12.856297492980957
2010-02-17,12.976312637329102
2010-02-18,12.834691047668457
2010-02-19,12.839494705200195
2010-02-22,12.92110538482666
2010-02-23,12.870697975158691
2010-02-24,12.942710876464844
2010-02-25,12.997917175292969
2010-02-26,12.978711128234863
2010-03-01,12.937905311584473
2010-03-02,12.863497734069824
2010-03-03,12.880301475524902
2010-03-04,12.952312469482422
2010-03-05,12.995522499084473
2010-03-08,12.997917175292969
2010-03-09,12.976312637329102
2010-03-10,12.945652961730957
2010-03-11,13.027728080749512
2010-03-12,13.01082992553711
2010-03-15,13.377744674682617
2010-03-16,13.515335083007812
2010-03-17,13.498437881469727
2010-03-18,13.503266334533691
2010-03-19,13.35843276977539
2010-03-22,13.426016807556152
2010-03-23,13.491191864013672
2010-03-24,13.416369438171387
2010-03-25,13.423604965209961
2010-03-26,13.39946460723877
2010-03-29,13.454984664916992
2010-03-30,13.496021270751953
2010-03-31,13.421192169189453
2010-04-01,13.394645690917969
2010-04-05,13.394645690917969
2010-04-06,13.404289245605469
2010-04-07,13.343952178955078
2010-04-08,13.36808967590332
2010-04-09,13.293251991271973
2010-04-12,13.281187057495117
2010-04-13,13.208772659301758
2010-04-14,13.18946361541748
2010-04-15,13.066347122192383
2010-04-16,13.061524391174316
2010-04-19,13.12911605834961
2010-04-20,13.160489082336426
2010-04-21,13.148426055908203
2010-04-22,13.1532564163208
2010-04-23,13.162907600402832
2010-04-26,13.044631004333496
2010-04-27,13.044631004333496
2010-04-28,12.940834999084473
2010-04-29,12.962557792663574
2010-04-30,12.948071479797363
2010-05-03,12.972212791442871
2010-05-04,13.03979778289795
2010-05-05,13.220839500427246
2010-05-06,12.849105834960938
2010-05-07,12.648751258850098
2010-05-10,12.692201614379883
2010-05-11,12.663238525390625
2010-05-12,12.741653442382812
2010-05-13,12.722228050231934
2010-05-14,12.654248237609863
2010-05-17,12.802352905273438
2010-05-18,13.040289878845215
2010-05-19,12.877615928649902
2010-05-20,12.455163955688477
2010-05-21,12.472158432006836
2010-05-24,12.382323265075684
2010-05-25,12.20751667022705
2010-05-26,12.144392013549805
2010-05-27,12.309486389160156
2010-05-28,12.275497436523438
2010-06-01,12.362900733947754
2010-06-02,12.557130813598633
2010-06-03,12.557130813598633
2010-06-04,12.236650466918945
2010-06-07,12.31920337677002
2010-06-08,12.328908920288086
2010-06-09,12.379898071289062
2010-06-10,12.435739517211914
2010-06-11,12.348333358764648
2010-06-14,12.440592765808105
2010-06-15,12.537712097167969
2010-06-16,12.37746810913086
2010-06-17,12.4818696975708
2010-06-18,12.515860557556152
2010-06-21,12.387181282043457
2010-06-22,12.304630279541016
2010-06-23,12.336194038391113
2010-06-24,12.146817207336426
2010-06-25,11.848183631896973
2010-06-28,12.03513240814209
2010-06-29,11.87246322631836
2010-06-30,11.670949935913086
2010-07-01,11.736499786376953
2010-07-02,11.653949737548828
2010-07-06,11.792346000671387
2010-07-07,11.877318382263184
2010-07-08,11.940445899963379
2010-07-09,12.001144409179688
2010-07-12,12.168670654296875
2010-07-13,12.270639419555664
2010-07-14,12.224512100219727
2010-07-15,12.239075660705566
2010-07-16,12.059414863586426
2010-07-19,12.022992134094238
2010-07-20,12.353191375732422
2010-07-21,12.224512100219727
2010-07-22,12.348333358764648
2010-07-23,12.544997215270996
2010-07-26,12.413887977600098
2010-07-27,12.372612953186035
2010-07-28,12.413887977600098
2010-07-29,12.396894454956055
2010-07-30,12.428451538085938
2010-08-02,12.4818696975708
2010-08-03,12.452733993530273
2010-08-04,12.527997970581055
2010-08-05,12.532853126525879
2010-08-06,12.574129104614258
2010-08-09,12.639680862426758
2010-08-10,12.678533554077148
2010-08-11,12.45947551727295
2010-08-12,12.315391540527344
2010-08-13,12.308066368103027
2010-08-16,12.310506820678711
2010-08-17,12.45947551727295
2010-08-18,12.420401573181152
2010-08-19,12.2250337600708
2010-08-20,12.2641019821167
2010-08-23,12.488780975341797
2010-08-24,12.527852058410645
2010-08-25,12.588903427124023
2010-08-26,12.447260856628418
2010-08-27,12.454588890075684
2010-08-30,12.344697952270508
2010-08-31,12.244569778442383
2010-09-01,12.503432273864746
2010-09-02,12.640189170837402
2010-09-03,12.70856761932373
2010-09-07,12.6646089553833
2010-09-08,12.657281875610352
2010-09-09,12.676816940307617
2010-09-10,12.691468238830566
2010-09-13,12.750082015991211
2010-09-14,12.859973907470703
2010-09-15,12.9088134765625
2010-09-16,12.979633331298828
2010-09-17,12.945448875427246
2010-09-20,13.074875831604004
2010-09-21,13.08220386505127
2010-09-22,13.143259048461914
2010-09-23,13.101736068725586
2010-09-24,13.206748962402344
2010-09-27,13.060224533081055
2010-09-28,13.143259048461914
