Date,DIS
2010-01-04,27.475873947143555
2010-01-05,27.40734100341797
2010-01-06,27.26169204711914
2010-01-07,27.2702579498291
2010-01-08,27.313095092773438
2010-01-11,26.86758804321289
2010-01-12,26.40494155883789
2010-01-13,26.807615280151367
2010-01-14,26.5762939453125
2010-01-15,26.216463088989258
2010-01-19,26.567729949951172
2010-01-20,26.721940994262695
2010-01-21,26.22502899169922
2010-01-22,25.68527603149414
2010-01-25,25.63387107849121
2010-01-26,25.411115646362305
2010-01-27,25.11982536315918
2010-01-28,25.145524978637695
2010-01-29,25.316875457763672
2010-02-01,25.291175842285156
2010-02-02,25.68527603149414
2010-02-03,26.344970703125
2010-02-04,25.41968536376953
2010-02-05,25.308307647705078
2010-02-08,25.256900787353516
2010-02-09,25.56532859802246
2010-02-10,25.728113174438477
2010-02-11,25.839487075805664
2010-02-12,25.76238441467285
2010-02-16,26.105085372924805
2010-02-17,26.4392147064209
2010-02-18,26.5762939453125
2010-02-19,26.756210327148438
2010-02-22,26.661970138549805
2010-02-23,26.490619659423828
2010-02-24,26.89328956604004
2010-02-25,26.86758804321289
2010-02-26,26.764774322509766
2010-03-01,27.02180290222168
2010-03-02,27.313095092773438
2010-03-03,27.10747718811035
2010-03-04,27.904254913330078
2010-03-05,28.46113395690918
2010-03-08,28.435436248779297
2010-03-09,28.53824806213379
2010-03-10,28.555376052856445
2010-03-11,28.96662139892578
2010-03-12,28.86380958557129
2010-03-15,28.889509201049805
2010-03-16,28.915210723876953
2010-03-17,28.915210723876953
2010-03-18,28.94091796875
2010-03-19,28.820974349975586
2010-03-22,29.08656883239746
2010-03-23,29.13796615600586
2010-03-24,29.463531494140625
2010-03-25,30.063255310058594
2010-03-26,30.251739501953125
2010-03-29,30.123228073120117
2010-03-30,30.07182502746582
2010-03-31,29.909038543701172
2010-04-01,30.457365036010742
2010-04-05,30.17462921142578
2010-04-06,30.38882064819336
2010-04-07,30.26030158996582
2010-04-08,30.560169219970703
2010-04-09,31.0313777923584
2010-04-12,30.748653411865234
2010-04-13,30.705808639526367
2010-04-14,31.01424217224121
2010-04-15,31.185592651367188
2010-04-16,30.697246551513672
2010-04-19,30.988540649414062
2010-04-20,31.305532455444336
2010-04-21,31.322669982910156
2010-04-22,31.51115608215332
2010-04-23,31.519725799560547
2010-04-26,31.733909606933594
2010-04-27,31.117046356201172
2010-04-28,31.09134864807129
2010-04-29,31.88813018798828
2010-04-30,31.56256103515625
2010-05-03,32.17941665649414
2010-05-04,31.348373413085938
2010-05-05,30.277437210083008
2010-05-06,29.13796615600586
2010-05-07,28.623920440673828
2010-05-10,30.234601974487305
2010-05-11,30.637283325195312
2010-05-12,30.09752082824707
2010-05-13,29.771963119506836
2010-05-14,29.180810928344727
2010-05-17,29.300752639770508
2010-05-18,28.8980770111084
2010-05-19,28.606782913208008
2010-05-20,27.40734100341797
2010-05-21,28.161277770996094
2010-05-24,27.827144622802734
2010-05-25,27.690067291259766
2010-05-26,28.332632064819336
2010-05-27,29.44639015197754
2010-05-28,28.632484436035156
2010-06-01,28.555376052856445
2010-06-02,29.763395309448242
2010-06-03,29.73769187927246
2010-06-04,28.86380958557129
2010-06-07,28.30692481994629
2010-06-08,28.401165008544922
2010-06-09,28.221250534057617
2010-06-10,29.22364616394043
2010-06-11,29.335018157958984
2010-06-14,29.06942367553711
2010-06-15,29.977577209472656
2010-06-16,29.80623435974121
2010-06-17,30.04611587524414
2010-06-18,30.114660263061523
2010-06-21,30.037555694580078
2010-06-22,29.429256439208984
2010-06-23,29.42069435119629
2010-06-24,28.786697387695312
2010-06-25,28.683883666992188
2010-06-28,28.46113395690918
2010-06-29,27.67292594909668
2010-06-30,26.987531661987305
2010-07-01,26.978965759277344
2010-07-02,26.884719848632812
2010-07-06,27.176013946533203
2010-07-07,28.392597198486328
2010-07-08,28.563949584960938
2010-07-09,28.915210723876953
2010-07-12,28.932350158691406
2010-07-13,29.51494026184082
2010-07-14,29.335018157958984
2010-07-15,29.1722354888916
2010-07-16,28.298355102539062
2010-07-19,28.53824806213379
2010-07-20,28.6153507232666
2010-07-21,28.109872817993164
2010-07-22,28.778135299682617
2010-07-23,29.240787506103516
2010-07-26,29.472103118896484
2010-07-27,29.369285583496094
2010-07-28,29.16367530822754
2010-07-29,28.880939483642578
2010-07-30,28.86380958557129
2010-08-02,29.540637969970703
2010-08-03,29.30931282043457
2010-08-04,29.840503692626953
2010-08-05,29.969017028808594
2010-08-06,29.986146926879883
2010-08-09,30.123228073120117
2010-08-10,30.234601974487305
2010-08-11,29.317882537841797
2010-08-12,29.120834350585938
2010-08-13,28.855241775512695
2010-08-16,28.838106155395508
2010-08-17,28.923778533935547
2010-08-18,29.052291870117188
2010-08-19,28.435436248779297
2010-08-20,28.31549072265625
2010-08-23,28.212682723999023
2010-08-24,27.53584861755371
2010-08-25,27.510149002075195
2010-08-26,27.364503860473633
2010-08-27,28.084163665771484
2010-08-30,27.71576499938965
2010-08-31,27.87854766845703
2010-09-01,28.709590911865234
2010-09-02,29.052291870117188
2010-09-03,29.703414916992188
2010-09-07,28.9923152923584
2010-09-08,28.9923152923584
2010-09-09,29.197938919067383
2010-09-10,29.257911682128906
2010-09-13,29.3607234954834
2010-09-14,29.1722354888916
2010-09-15,29.30931282043457
2010-09-16,29.275041580200195
2010-09-17,29.609180450439453
2010-09-20,29.900470733642578
2010-09-21,29.557769775390625
2010-09-22,29.120834350585938
2010-09-23,28.37546157836914
2010-09-24,28.76956558227539
2010-09-27,28.52111053466797
2010-09-28,28.46113395690918
