Date,PFG
2010-01-04,14.997422218322754
2010-01-05,15.351357460021973
2010-01-06,15.249381065368652
2010-01-07,15.381353378295898
2010-01-08,15.3993558883667
2010-01-11,15.471342086791992
2010-01-12,15.207385063171387
2010-01-13,15.315363883972168
2010-01-14,15.387351989746094
2010-01-15,15.153390884399414
2010-01-19,15.465340614318848
2010-01-20,15.099400520324707
2010-01-21,14.283541679382324
2010-01-22,14.001587867736816
2010-01-25,14.253548622131348
2010-01-26,14.01358413696289
2010-01-27,14.403520584106445
2010-01-28,13.899606704711914
2010-01-29,13.827618598937988
2010-02-01,13.99559211730957
2010-02-02,14.397523880004883
2010-02-03,14.067584991455078
2010-02-04,13.539670944213867
2010-02-05,13.473679542541504
2010-02-08,13.311715126037598
2010-02-09,12.867783546447754
2010-02-10,13.137740135192871
2010-02-11,13.323707580566406
2010-02-12,13.221726417541504
2010-02-16,13.68364429473877
2010-02-17,13.701643943786621
2010-02-18,13.779631614685059
2010-02-19,13.695645332336426
2010-02-22,13.797628402709961
2010-02-23,13.323707580566406
2010-02-24,13.917608261108398
2010-02-25,13.869611740112305
2010-02-26,13.923603057861328
2010-03-01,13.893610000610352
2010-03-02,14.265542030334473
2010-03-03,14.373529434204102
2010-03-04,14.493504524230957
2010-03-05,14.877439498901367
2010-03-08,14.943428039550781
2010-03-09,15.021415710449219
2010-03-10,15.255373001098633
2010-03-11,15.261369705200195
2010-03-12,15.363354682922363
2010-03-15,15.579319953918457
2010-03-16,16.095230102539062
2010-03-17,16.653133392333984
2010-03-18,16.653133392333984
2010-03-19,16.43717384338379
2010-03-22,16.467164993286133
2010-03-23,16.821104049682617
2010-03-24,17.193042755126953
2010-03-25,17.504985809326172
2010-03-26,17.49899673461914
2010-03-29,17.58897590637207
2010-03-30,17.28902244567871
2010-03-31,17.52298927307129
2010-04-01,17.660959243774414
2010-04-05,18.050893783569336
2010-04-06,18.188873291015625
2010-04-07,17.77494239807129
2010-04-08,17.648969650268555
2010-04-09,17.57697296142578
2010-04-12,17.43899917602539
2010-04-13,17.457000732421875
2010-04-14,17.912914276123047
2010-04-15,17.936914443969727
2010-04-16,17.420997619628906
2010-04-19,17.798933029174805
2010-04-20,18.128883361816406
2010-04-21,18.044898986816406
2010-04-22,17.77494239807129
2010-04-23,18.62079429626465
2010-04-26,18.458824157714844
2010-04-27,17.28902244567871
2010-04-28,17.54697608947754
2010-04-29,18.194873809814453
2010-04-30,17.528987884521484
2010-05-03,18.152875900268555
2010-05-04,17.72694969177246
2010-05-05,17.636960983276367
2010-05-06,17.001075744628906
2010-05-07,16.599149703979492
2010-05-10,18.134876251220703
2010-05-11,17.906917572021484
2010-05-12,18.404834747314453
2010-05-13,18.062889099121094
2010-05-14,17.337020874023438
2010-05-17,17.582971572875977
2010-05-18,17.091060638427734
2010-05-19,16.893089294433594
2010-05-20,15.675301551818848
2010-05-21,15.71729564666748
2010-05-24,15.54332447052002
2010-05-25,15.657312393188477
2010-05-26,15.639313697814941
2010-05-27,16.869096755981445
2010-05-28,16.311195373535156
2010-06-01,15.777281761169434
2010-06-02,16.52715492248535
2010-06-03,16.443172454833984
2010-06-04,15.519332885742188
2010-06-07,15.015412330627441
2010-06-08,15.417344093322754
2010-06-09,15.17138957977295
2010-06-10,15.813278198242188
2010-06-11,15.447344779968262
2010-06-14,15.525327682495117
2010-06-15,16.221210479736328
2010-06-16,15.849274635314941
2010-06-17,15.837275505065918
2010-06-18,15.80728530883789
2010-06-21,15.639313697814941
2010-06-22,15.405351638793945
2010-06-23,15.303366661071777
2010-06-24,14.919432640075684
2010-06-25,15.237373352050781
2010-06-28,15.237373352050781
2010-06-29,14.355531692504883
2010-06-30,14.0615816116333
2010-07-01,13.881612777709961
2010-07-02,13.80362606048584
2010-07-06,13.77363395690918
2010-07-07,14.439512252807617
2010-07-08,14.703465461730957
2010-07-09,14.919432640075684
2010-07-12,14.763458251953125
2010-07-13,15.285368919372559
2010-07-14,15.237373352050781
2010-07-15,15.177385330200195
2010-07-16,14.277543067932129
2010-07-19,14.469511985778809
2010-07-20,14.691478729248047
2010-07-21,14.541502952575684
2010-07-22,15.207385063171387
2010-07-23,15.351357460021973
2010-07-26,15.375354766845703
2010-07-27,15.315363883972168
2010-07-28,14.949433326721191
2010-07-29,15.537331581115723
2010-07-30,15.363354682922363
2010-08-02,15.645313262939453
2010-08-03,14.877439498901367
2010-08-04,14.841448783874512
2010-08-05,14.727469444274902
2010-08-06,14.397523880004883
2010-08-09,14.703465461730957
2010-08-10,14.535500526428223
2010-08-11,13.785627365112305
2010-08-12,13.653656959533691
2010-08-13,13.731633186340332
2010-08-16,13.653656959533691
2010-08-17,13.80362606048584
2010-08-18,13.815622329711914
2010-08-19,13.641654968261719
2010-08-20,13.431689262390137
2010-08-23,13.191734313964844
2010-08-24,12.93377685546875
2010-08-25,13.215719223022461
2010-08-26,13.209733009338379
2010-08-27,13.923603057861328
2010-08-30,13.503674507141113
2010-08-31,13.827618598937988
2010-09-01,14.67347240447998
2010-09-02,14.871440887451172
2010-09-03,15.333370208740234
2010-09-07,14.86544418334961
2010-09-08,15.039416313171387
2010-09-09,15.291372299194336
2010-09-10,15.267374992370605
2010-09-13,15.663304328918457
2010-09-14,15.603310585021973
2010-09-15,15.561325073242188
2010-09-16,15.32736587524414
2010-09-17,15.207385063171387
2010-09-20,15.675301551818848
2010-09-21,15.71729564666748
2010-09-22,15.447344779968262
2010-09-23,14.877439498901367
2010-09-24,15.537331581115723
2010-09-27,15.549327850341797
2010-09-28,15.753289222717285
