Date,CI
2010-01-04,33.43665313720703
2010-01-05,33.997467041015625
2010-01-06,33.92392349243164
2010-01-07,35.174224853515625
2010-01-08,34.907615661621094
2010-01-11,34.35600662231445
2010-01-12,33.592960357666016
2010-01-13,33.51021194458008
2010-01-14,33.80440139770508
2010-01-15,33.86875534057617
2010-01-19,34.86164474487305
2010-01-20,35.11906814575195
2010-01-21,34.061824798583984
2010-01-22,33.75843048095703
2010-01-25,33.41826629638672
2010-01-26,31.58877182006836
2010-01-27,31.800228118896484
2010-01-28,31.70828628540039
2010-01-29,31.046358108520508
2010-02-01,31.064739227294922
2010-02-02,32.39779281616211
2010-02-03,31.956506729125977
2010-02-04,30.81652069091797
2010-02-05,30.66942596435547
2010-02-08,30.412010192871094
2010-02-09,30.779756546020508
2010-02-10,30.393627166748047
2010-02-11,30.651039123535156
2010-02-12,30.11781883239746
2010-02-16,30.0810489654541
2010-02-17,30.513137817382812
2010-02-18,30.476369857788086
2010-02-19,30.15458869934082
2010-02-22,30.724578857421875
2010-02-23,30.338457107543945
2010-02-24,31.193449020385742
2010-02-25,31.138296127319336
2010-02-26,31.496841430664062
2010-03-01,31.79103660583496
2010-03-02,31.662311553955078
2010-03-03,31.892154693603516
2010-03-04,31.294588088989258
2010-03-05,31.965707778930664
2010-03-08,31.9932804107666
2010-03-09,31.339799880981445
2010-03-10,31.59750747680664
2010-03-11,32.16816711425781
2010-03-12,31.790803909301758
2010-03-15,31.560686111450195
2010-03-16,32.177364349365234
2010-03-17,32.05772018432617
2010-03-18,32.98732376098633
2010-03-19,34.128623962402344
2010-03-22,34.312713623046875
2010-03-23,33.99977493286133
2010-03-24,33.49354553222656
2010-03-25,33.22662353515625
2010-03-26,33.04254913330078
2010-03-29,33.456729888916016
2010-03-30,33.66841506958008
2010-03-31,33.66841506958008
2010-04-01,34.193050384521484
2010-04-05,34.054988861083984
2010-04-06,34.13782501220703
2010-04-07,33.36468505859375
2010-04-08,33.705238342285156
2010-04-09,33.714454650878906
2010-04-12,33.521156311035156
2010-04-13,32.867671966552734
2010-04-14,31.919654846191406
2010-04-15,31.956472396850586
2010-04-16,31.74477195739746
2010-04-19,32.49031066894531
2010-04-20,32.149757385253906
2010-04-21,31.293773651123047
2010-04-22,30.86118507385254
2010-04-23,31.284584045410156
2010-04-26,30.262928009033203
2010-04-27,29.784313201904297
2010-04-28,30.46541404724121
2010-04-29,31.1189022064209
2010-04-30,29.508193969726562
2010-05-03,30.115663528442383
2010-05-04,28.735050201416016
2010-05-05,29.452966690063477
2010-05-06,30.308944702148438
2010-05-07,28.891523361206055
2010-05-10,30.051237106323242
2010-05-11,30.493026733398438
2010-05-12,31.2569637298584
2010-05-13,31.146516799926758
2010-05-14,30.76915168762207
2010-05-17,30.99004554748535
2010-05-18,31.06368064880371
2010-05-19,31.054479598999023
2010-05-20,30.032819747924805
2010-05-21,30.051237106323242
2010-05-24,30.106460571289062
2010-05-25,29.600234985351562
2010-05-26,29.848743438720703
2010-05-27,30.99925422668457
2010-05-28,30.805965423583984
2010-06-01,30.244518280029297
2010-06-02,31.0728759765625
2010-06-03,32.03009033203125
2010-06-04,31.358200073242188
2010-06-07,31.2109375
2010-06-08,30.953231811523438
2010-06-09,30.640287399291992
2010-06-10,31.422624588012695
2010-06-11,31.74477195739746
2010-06-14,31.80000114440918
2010-06-15,32.31543731689453
2010-06-16,32.389060974121094
2010-06-17,32.52711486816406
2010-06-18,32.40746307373047
2010-06-21,32.40746307373047
2010-06-22,31.48706817626953
2010-06-23,31.24776268005371
2010-06-24,30.686307907104492
2010-06-25,30.640287399291992
2010-06-28,30.548246383666992
2010-06-29,29.33331871032715
2010-06-30,28.587783813476562
2010-07-01,27.48329734802246
2010-07-02,27.40046501159668
2010-07-06,27.78703498840332
2010-07-07,28.256439208984375
2010-07-08,28.541770935058594
2010-07-09,28.799482345581055
2010-07-12,28.652212142944336
2010-07-13,28.87311363220215
2010-07-14,28.946748733520508
2010-07-15,29.094005584716797
2010-07-16,27.925094604492188
2010-07-19,28.670618057250977
2010-07-20,28.76266860961914
2010-07-21,28.247236251831055
2010-07-22,29.01117706298828
2010-07-23,28.541770935058594
2010-07-26,29.250478744506836
2010-07-27,29.020370483398438
2010-07-28,27.952707290649414
2010-07-29,28.18281364440918
2010-07-30,28.311662673950195
2010-08-02,29.07559585571289
2010-08-03,29.241281509399414
2010-08-04,29.591032028198242
2010-08-05,31.2569637298584
2010-08-06,31.65273094177246
2010-08-09,31.882831573486328
2010-08-10,32.085330963134766
2010-08-11,30.741531372070312
2010-08-12,30.759937286376953
2010-08-13,30.72313117980957
2010-08-16,30.713918685913086
2010-08-17,31.09129524230957
2010-08-18,31.08208465576172
2010-08-19,30.262928009033203
2010-08-20,29.8303279876709
2010-08-23,30.115663528442383
2010-08-24,29.241281509399414
2010-08-25,29.756698608398438
2010-08-26,29.452966690063477
2010-08-27,29.931577682495117
2010-08-30,29.37013053894043
2010-08-31,29.65546226501465
2010-09-01,30.898006439208984
2010-09-02,30.391782760620117
2010-09-03,31.0728759765625
2010-09-07,30.815176010131836
2010-09-08,30.971643447875977
2010-09-09,31.65273094177246
2010-09-10,31.882831573486328
2010-09-13,32.453495025634766
2010-09-14,32.27861022949219
2010-09-15,31.892040252685547
2010-09-16,31.882831573486328
2010-09-17,31.726367950439453
2010-09-20,32.19578170776367
2010-09-21,32.7572135925293
2010-09-22,32.64677047729492
2010-09-23,32.34305191040039
2010-09-24,33.14379119873047
2010-09-27,32.80324172973633
2010-09-28,32.711204528808594
