Date,ELV
2010-01-04,48.251399993896484
2010-01-05,48.77630615234375
2010-01-06,49.56770706176758
2010-01-07,51.40894317626953
2010-01-08,51.63505172729492
2010-01-11,51.933841705322266
2010-01-12,51.24742889404297
2010-01-13,52.46684646606445
2010-01-14,53.47627639770508
2010-01-15,53.823516845703125
2010-01-19,54.962181091308594
2010-01-20,54.655296325683594
2010-01-21,52.894832611083984
2010-01-22,52.57181167602539
2010-01-25,52.935211181640625
2010-01-26,51.58658218383789
2010-01-27,52.18418502807617
2010-01-28,52.022666931152344
2010-01-29,51.457393646240234
2010-02-01,51.845027923583984
2010-02-02,52.53144454956055
2010-02-03,51.74003219604492
2010-02-04,50.7386589050293
2010-02-05,49.81805419921875
2010-02-08,49.785743713378906
2010-02-09,49.62424087524414
2010-02-10,48.46134948730469
2010-02-11,48.873207092285156
2010-02-12,47.91221618652344
2010-02-16,47.20964813232422
2010-02-17,48.211021423339844
2010-02-18,47.73456954956055
2010-02-19,47.217735290527344
2010-02-22,48.00105667114258
2010-02-23,47.65380096435547
2010-02-24,48.56632614135742
2010-02-25,49.62424087524414
2010-02-26,49.96339797973633
2010-03-01,50.11684799194336
2010-03-02,49.987648010253906
2010-03-03,50.3591194152832
2010-03-04,49.44658279418945
2010-03-05,50.270294189453125
2010-03-08,50.03608703613281
2010-03-09,49.60809326171875
2010-03-10,50.456016540527344
2010-03-11,51.320091247558594
2010-03-12,50.536773681640625
2010-03-15,49.68075180053711
2010-03-16,50.0441780090332
2010-03-17,50.019927978515625
2010-03-18,51.53814697265625
2010-03-19,52.547569274902344
2010-03-22,51.998451232910156
2010-03-23,51.368568420410156
2010-03-24,51.198974609375
2010-03-25,51.352413177490234
2010-03-26,50.91633605957031
2010-03-29,51.836952209472656
2010-03-30,52.24073028564453
2010-03-31,51.99037170410156
2010-04-01,52.25687789916992
2010-04-05,52.765628814697266
2010-04-06,52.17612075805664
2010-04-07,51.085906982421875
2010-04-08,50.14105987548828
2010-04-09,49.470787048339844
2010-04-12,49.53539276123047
2010-04-13,48.59865188598633
2010-04-14,47.61343002319336
2010-04-15,47.30656051635742
2010-04-16,47.71034240722656
2010-04-19,48.89745330810547
2010-04-20,48.32406997680664
2010-04-21,47.35500717163086
2010-04-22,47.169273376464844
2010-04-23,46.822025299072266
2010-04-26,45.675296783447266
2010-04-27,45.158443450927734
2010-04-28,46.39403533935547
2010-04-29,47.71034240722656
2010-04-30,43.446441650390625
2010-05-03,43.2203369140625
2010-05-04,42.47738265991211
2010-05-05,42.42084503173828
2010-05-06,41.427555084228516
2010-05-07,41.136837005615234
2010-05-10,41.2983512878418
2010-05-11,42.081668853759766
2010-05-12,43.6402702331543
2010-05-13,42.929603576660156
2010-05-14,42.87308120727539
2010-05-17,43.2203369140625
2010-05-18,42.86500930786133
2010-05-19,43.12342834472656
2010-05-20,41.322574615478516
2010-05-21,41.3871955871582
2010-05-24,41.26603317260742
2010-05-25,40.943031311035156
2010-05-26,41.09646224975586
2010-05-27,41.76673126220703
2010-05-28,41.427555084228516
2010-06-01,41.225669860839844
2010-06-02,42.291629791259766
2010-06-03,43.97136306762695
2010-06-04,43.72101593017578
2010-06-07,43.26072311401367
2010-06-08,43.0184326171875
2010-06-09,42.24319839477539
2010-06-10,42.63081741333008
2010-06-11,42.517757415771484
2010-06-14,42.88116455078125
2010-06-15,43.632179260253906
2010-06-16,44.18132400512695
2010-06-17,44.45587921142578
2010-06-18,44.593177795410156
2010-06-21,44.60931396484375
2010-06-22,43.38184356689453
2010-06-23,42.82461929321289
2010-06-24,42.291629791259766
2010-06-25,41.79095458984375
2010-06-28,41.01569747924805
2010-06-29,40.03049087524414
2010-06-30,39.51365280151367
2010-07-01,38.59304428100586
2010-07-02,38.302330017089844
2010-07-06,38.85145950317383
2010-07-07,39.49749755859375
2010-07-08,40.272762298583984
2010-07-09,41.322574615478516
2010-07-12,41.411399841308594
2010-07-13,41.677894592285156
2010-07-14,41.968624114990234
2010-07-15,42.92153549194336
2010-07-16,41.50025177001953
2010-07-19,42.3885498046875
2010-07-20,42.4854621887207
2010-07-21,41.58099365234375
2010-07-22,42.364322662353516
2010-07-23,41.98476028442383
2010-07-26,42.953834533691406
2010-07-27,42.63887405395508
2010-07-28,41.048004150390625
2010-07-29,40.28083801269531
2010-07-30,40.95918655395508
2010-08-02,42.000911712646484
2010-08-03,42.99420928955078
2010-08-04,43.80176544189453
2010-08-05,44.38320541381836
2010-08-06,44.45587921142578
2010-08-09,44.5285758972168
2010-08-10,44.43167495727539
2010-08-11,41.43563461303711
2010-08-12,41.65366744995117
2010-08-13,41.82325744628906
2010-08-16,41.685970306396484
2010-08-17,42.299713134765625
2010-08-18,41.97669219970703
2010-08-19,40.47464370727539
2010-08-20,40.28889846801758
2010-08-23,40.08701705932617
2010-08-24,40.119327545166016
2010-08-25,41.217594146728516
2010-08-26,40.89457321166992
2010-08-27,41.080318450927734
2010-08-30,40.054718017578125
2010-08-31,40.1031608581543
2010-09-01,41.088382720947266
2010-09-02,41.84749221801758
2010-09-03,43.00230026245117
2010-09-07,42.31587600708008
2010-09-08,42.727725982666016
2010-09-09,44.035953521728516
2010-09-10,44.278228759765625
2010-09-13,44.71430206298828
2010-09-14,44.778907775878906
2010-09-15,44.124778747558594
2010-09-16,44.17324447631836
2010-09-17,43.656402587890625
2010-09-20,44.38320541381836
2010-09-21,45.02117919921875
2010-09-22,45.739898681640625
2010-09-23,45.6268424987793
2010-09-24,45.7802734375
2010-09-27,45.12616729736328
2010-09-28,45.40879440307617
