Date,EMR
2010-01-04,28.23614501953125
2010-01-05,28.281736373901367
2010-01-06,28.535764694213867
2010-01-07,28.535764694213867
2010-01-08,28.69859504699707
2010-01-11,29.135013580322266
2010-01-12,28.978694915771484
2010-01-13,28.998241424560547
2010-01-14,29.271785736083984
2010-01-15,28.867961883544922
2010-01-19,29.135013580322266
2010-01-20,28.815839767456055
2010-01-21,28.07982635498047
2010-01-22,27.4089412689209
2010-01-25,27.689008712768555
2010-01-26,27.467540740966797
2010-01-27,27.395902633666992
2010-01-28,27.14188003540039
2010-01-29,27.05719757080078
2010-02-01,27.669471740722656
2010-02-02,30.46377944946289
2010-02-03,30.326995849609375
2010-02-04,29.48674201965332
2010-02-05,29.40857696533203
2010-02-08,28.965669631958008
2010-02-09,29.838468551635742
2010-02-10,29.8351993560791
2010-02-11,30.530704498291016
2010-02-12,30.320737838745117
2010-02-16,30.80630874633789
2010-02-17,30.95064926147461
2010-02-18,31.318092346191406
2010-02-19,31.547754287719727
2010-02-22,31.63304328918457
2010-02-23,30.917850494384766
2010-02-24,31.60023307800293
2010-02-25,31.29842185974121
2010-02-26,31.062192916870117
2010-03-01,31.08189582824707
2010-03-02,31.25248908996582
2010-03-03,31.43619728088379
2010-03-04,31.46245002746582
2010-03-05,31.8167781829834
2010-03-08,31.482131958007812
2010-03-09,31.48870086669922
2010-03-10,31.48870086669922
2010-03-11,31.46245002746582
2010-03-12,31.554309844970703
2010-03-15,31.72491455078125
2010-03-16,31.948001861572266
2010-03-17,32.07923889160156
2010-03-18,32.13829040527344
2010-03-19,31.902053833007812
2010-03-22,32.03329849243164
2010-03-23,32.505733489990234
2010-03-24,32.236698150634766
2010-03-25,32.472930908203125
2010-03-26,32.67631912231445
2010-03-29,32.696006774902344
2010-03-30,33.33903884887695
2010-03-31,33.0306510925293
2010-04-01,33.352169036865234
2010-04-05,33.68024444580078
2010-04-06,33.45058059692383
2010-04-07,33.10284423828125
2010-04-08,33.424354553222656
2010-04-09,33.33247375488281
2010-04-12,33.325923919677734
2010-04-13,33.562129974365234
2010-04-14,34.054237365722656
2010-04-15,34.743194580078125
2010-04-16,33.98863983154297
2010-04-19,33.89020538330078
2010-04-20,34.18547439575195
2010-04-21,34.06080627441406
2010-04-22,34.50698471069336
2010-04-23,34.605411529541016
2010-04-26,34.520103454589844
2010-04-27,33.39810562133789
2010-04-28,34.42824935913086
2010-04-29,34.91381072998047
2010-04-30,34.270782470703125
2010-05-03,35.18281936645508
2010-05-04,32.925662994384766
2010-05-05,32.16452407836914
2010-05-06,31.783950805664062
2010-05-07,31.803651809692383
2010-05-10,33.365272521972656
2010-05-11,32.74195098876953
2010-05-12,33.20764923095703
2010-05-13,33.247291564941406
2010-05-14,32.40835189819336
2010-05-17,31.635452270507812
2010-05-18,31.68830680847168
2010-05-19,30.935243606567383
2010-05-20,30.3935604095459
2010-05-21,30.340713500976562
2010-05-24,29.977394104003906
2010-05-25,30.122718811035156
2010-05-26,30.08307456970215
2010-05-27,31.28534507751465
2010-05-28,30.677616119384766
2010-06-01,30.122718811035156
2010-06-02,30.974878311157227
2010-06-03,31.232507705688477
2010-06-04,29.706560134887695
2010-06-07,28.86760711669922
2010-06-08,29.224327087402344
2010-06-09,29.05916976928711
2010-06-10,30.30769157409668
2010-06-11,30.235013961791992
2010-06-14,30.023637771606445
2010-06-15,31.34480094909668
2010-06-16,31.24571418762207
2010-06-17,31.199478149414062
2010-06-18,31.358020782470703
2010-06-21,31.470312118530273
2010-06-22,30.644596099853516
2010-06-23,30.386951446533203
2010-06-24,29.455530166625977
2010-06-25,29.653703689575195
2010-06-28,29.627286911010742
2010-06-29,28.596763610839844
2010-06-30,28.861003875732422
2010-07-01,28.86760711669922
2010-07-02,28.682634353637695
2010-07-06,28.669443130493164
2010-07-07,29.785812377929688
2010-07-08,30.340713500976562
2010-07-09,30.664398193359375
2010-07-12,30.182178497314453
2010-07-13,30.690828323364258
2010-07-14,30.697429656982422
2010-07-15,30.756900787353516
2010-07-16,29.87169075012207
2010-07-19,30.089698791503906
2010-07-20,31.0805721282959
2010-07-21,31.324987411499023
2010-07-22,32.26302719116211
2010-07-23,33.40583801269531
2010-07-26,33.4256477355957
2010-07-27,33.22087860107422
2010-07-28,33.31995391845703
2010-07-29,32.883975982666016
2010-07-30,32.725440979003906
2010-08-02,33.59079360961914
2010-08-03,33.584197998046875
2010-08-04,33.31995391845703
2010-08-05,33.366172790527344
2010-08-06,33.273712158203125
2010-08-09,33.326576232910156
2010-08-10,33.52473831176758
2010-08-11,32.13826370239258
2010-08-12,32.1715202331543
2010-08-13,32.07176208496094
2010-08-16,31.95207405090332
2010-08-17,32.35770797729492
2010-08-18,32.317806243896484
2010-08-19,31.513187408447266
2010-08-20,31.04106330871582
2010-08-23,31.320350646972656
2010-08-24,30.60218048095703
2010-08-25,30.462520599365234
2010-08-26,30.20318603515625
2010-08-27,31.174055099487305
2010-08-30,30.96126937866211
2010-08-31,31.021114349365234
2010-09-01,32.29120635986328
2010-09-02,32.67023849487305
2010-09-03,33.089168548583984
2010-09-07,33.089168548583984
2010-09-08,33.255428314208984
2010-09-09,33.4017219543457
2010-09-10,33.122432708740234
2010-09-13,33.614501953125
2010-09-14,33.614501953125
2010-09-15,33.28202819824219
2010-09-16,33.63446044921875
2010-09-17,34.06005096435547
2010-09-20,34.75162124633789
2010-09-21,34.89791488647461
2010-09-22,34.365936279296875
2010-09-23,34.033443450927734
2010-09-24,35.549583435058594
2010-09-27,35.210445404052734
2010-09-28,35.17719650268555
