Date,FIS
2010-01-04,18.51478385925293
2010-01-05,19.307600021362305
2010-01-06,19.19878387451172
2010-01-07,19.089967727661133
2010-01-08,18.693557739257812
2010-01-11,18.60028648376465
2010-01-12,18.538097381591797
2010-01-13,18.849010467529297
2010-01-14,18.92673683166504
2010-01-15,18.646907806396484
2010-01-19,18.97338104248047
2010-01-20,18.849010467529297
2010-01-21,18.918968200683594
2010-01-22,18.62360191345215
2010-01-25,18.709104537963867
2010-01-26,18.66246223449707
2010-01-27,18.82569694519043
2010-01-28,18.46037483215332
2010-01-29,18.31268310546875
2010-02-01,18.468143463134766
2010-02-02,18.615829467773438
2010-02-03,18.646907806396484
2010-02-04,18.297149658203125
2010-02-05,17.908504486083984
2010-02-08,17.815231323242188
2010-02-09,17.70640754699707
2010-02-10,17.31777000427246
2010-02-11,17.465452194213867
2010-02-12,17.37995147705078
2010-02-16,17.50432777404785
2010-02-17,17.574277877807617
2010-02-18,17.574277877807617
2010-02-19,17.628681182861328
2010-02-22,17.605363845825195
2010-02-23,17.566499710083008
2010-02-24,17.784141540527344
2010-02-25,17.721952438354492
2010-02-26,17.519865036010742
2010-03-01,17.931819915771484
2010-03-02,17.861865997314453
2010-03-03,17.823007583618164
2010-03-04,17.900726318359375
2010-03-05,18.250505447387695
2010-03-08,18.188323974609375
2010-03-09,17.98622703552246
2010-03-10,18.01732635498047
2010-03-11,18.032861709594727
2010-03-12,18.064029693603516
2010-03-15,18.18865966796875
2010-03-16,18.321075439453125
2010-03-17,18.562557220458984
2010-03-18,18.36003303527832
2010-03-19,18.406766891479492
2010-03-22,18.469079971313477
2010-03-23,18.515823364257812
2010-03-24,18.3756103515625
2010-03-25,18.219823837280273
2010-03-26,18.43014144897461
2010-03-29,18.36003303527832
2010-03-30,18.2509822845459
2010-03-31,18.258769989013672
2010-04-01,18.45351219177246
2010-04-05,18.554765701293945
2010-04-06,18.617088317871094
2010-04-07,18.858566284179688
2010-04-08,18.94424819946289
2010-04-09,19.10004425048828
2010-04-12,19.31035804748535
2010-04-13,19.216886520385742
2010-04-14,19.364879608154297
2010-04-15,19.74657440185547
2010-04-16,19.621938705444336
2010-04-19,19.598575592041016
2010-04-20,19.96468162536621
2010-04-21,19.917938232421875
2010-04-22,20.058156967163086
2010-04-23,20.065946578979492
2010-04-26,19.980257034301758
2010-04-27,19.50510025024414
2010-04-28,20.51774024963379
2010-04-29,20.821537017822266
2010-04-30,20.478803634643555
2010-05-03,20.48658561706543
2010-05-04,20.22173500061035
2010-05-05,20.252897262573242
2010-05-06,22.34050941467285
2010-05-07,22.402820587158203
2010-05-10,23.080509185791016
2010-05-11,22.480716705322266
2010-05-12,23.13504409790039
2010-05-13,23.290834426879883
2010-05-14,23.12725257873535
2010-05-17,22.49629020690918
2010-05-18,21.148698806762695
2010-05-19,21.039648056030273
2010-05-20,20.104900360107422
2010-05-21,20.38532066345215
2010-05-24,20.34636878967285
2010-05-25,20.689109802246094
2010-05-26,21.397972106933594
2010-05-27,21.771862030029297
2010-05-28,21.436912536621094
2010-06-01,21.265544891357422
2010-06-02,21.468074798583984
2010-06-03,21.405752182006836
2010-06-04,21.140905380249023
2010-06-07,20.837116241455078
2010-06-08,20.93837547302246
2010-06-09,20.829328536987305
2010-06-10,21.265544891357422
2010-06-11,21.1954345703125
2010-06-14,21.101787567138672
2010-06-15,21.281278610229492
2010-06-16,21.570026397705078
2010-06-17,21.687088012695312
2010-06-18,21.445173263549805
2010-06-21,21.570026397705078
2010-06-22,21.281278610229492
2010-06-23,21.27347183227539
2010-06-24,21.179832458496094
2010-06-25,21.491981506347656
2010-06-28,21.382726669311523
2010-06-29,21.109594345092773
2010-06-30,20.93010139465332
2010-07-01,20.703792572021484
2010-07-02,20.610137939453125
2010-07-06,21.203237533569336
2010-07-07,21.499794006347656
2010-07-08,21.577829360961914
2010-07-09,21.616844177246094
2010-07-12,21.655866622924805
2010-07-13,21.671478271484375
2010-07-14,21.796342849731445
2010-07-15,21.827552795410156
2010-07-16,21.476375579833984
2010-07-19,21.562227249145508
2010-07-20,21.77292823791504
2010-07-21,21.624649047851562
2010-07-22,21.874380111694336
2010-07-23,21.929004669189453
2010-07-26,22.007047653198242
2010-07-27,22.131906509399414
2010-07-28,22.24115562438965
2010-07-29,22.35822105407715
2010-07-30,22.37382698059082
2010-08-02,22.412843704223633
2010-08-03,22.467472076416016
2010-08-04,21.460769653320312
