Date,SO
2010-01-04,16.780851364135742
2010-01-05,16.442697525024414
2010-01-06,16.67485809326172
2010-01-07,16.604209899902344
2010-01-08,16.568883895874023
2010-01-11,16.785886764526367
2010-01-12,16.67990493774414
2010-01-13,16.91710662841797
2010-01-14,16.876737594604492
2010-01-15,16.826269149780273
2010-01-19,16.98271942138672
2010-01-20,16.871688842773438
2010-01-21,16.730375289916992
2010-01-22,16.422517776489258
2010-01-25,16.553739547729492
2010-01-26,16.63953399658203
2010-01-27,16.6092529296875
2010-01-28,16.34225082397461
2010-01-29,16.367820739746094
2010-02-01,16.367820739746094
2010-02-02,16.444549560546875
2010-02-03,16.367820739746094
2010-02-04,16.15299415588379
2010-02-05,16.214374542236328
2010-02-08,15.922823905944824
2010-02-09,16.004663467407227
2010-02-10,15.99954891204834
2010-02-11,16.020008087158203
2010-02-12,15.943284034729004
2010-02-16,16.306447982788086
2010-02-17,16.183685302734375
2010-02-18,16.270639419555664
2010-02-19,16.516162872314453
2010-02-22,16.541732788085938
2010-02-23,16.378047943115234
2010-02-24,16.434316635131836
2010-02-25,16.372934341430664
2010-02-26,16.25018310546875
2010-03-01,16.39851188659668
2010-03-02,16.48546600341797
2010-03-03,16.459890365600586
2010-03-04,16.516162872314453
2010-03-05,16.480348587036133
2010-03-08,16.546850204467773
2010-03-09,16.52639389038086
2010-03-10,16.551959991455078
2010-03-11,16.623573303222656
2010-03-12,16.613338470458984
2010-03-15,16.807716369628906
2010-03-16,16.98673439025879
2010-03-17,17.109493255615234
2010-03-18,17.073688507080078
2010-03-19,16.97138023376465
2010-03-22,16.93558120727539
2010-03-23,17.05834197998047
2010-03-24,16.8946590423584
2010-03-25,16.884435653686523
2010-03-26,16.930471420288086
2010-03-29,17.0532283782959
2010-03-30,16.98673439025879
2010-03-31,16.961158752441406
2010-04-01,17.094146728515625
2010-04-05,17.129953384399414
2010-04-06,17.329435348510742
2010-04-07,17.165754318237305
2010-04-08,17.140182495117188
2010-04-09,17.355009078979492
2010-04-12,17.36524200439453
2010-04-13,17.34477996826172
2010-04-14,17.385696411132812
2010-04-15,17.36524200439453
2010-04-16,17.324317932128906
2010-04-19,17.436843872070312
2010-04-20,17.59541130065918
2010-04-21,17.62098503112793
2010-04-22,17.672128677368164
2010-04-23,17.764209747314453
2010-04-26,17.835811614990234
2010-04-27,17.646556854248047
2010-04-28,18.03529167175293
2010-04-29,17.949798583984375
2010-04-30,17.908342361450195
2010-05-03,17.93425178527832
2010-05-04,17.783981323242188
2010-05-05,17.628524780273438
2010-05-06,17.348709106445312
2010-05-07,17.57670021057129
2010-05-10,18.0689754486084
2010-05-11,18.07416343688965
2010-05-12,18.16742515563965
2010-05-13,17.94461441040039
2010-05-14,17.861705780029297
2010-05-17,17.94461441040039
2010-05-18,17.758068084716797
2010-05-19,17.58188819885254
2010-05-20,17.31243324279785
2010-05-21,17.421255111694336
2010-05-24,17.156980514526367
2010-05-25,17.09480094909668
2010-05-26,16.928979873657227
2010-05-27,17.058523178100586
2010-05-28,16.944520950317383
2010-06-01,16.72170066833496
2010-06-02,16.93933868408203
2010-06-03,17.01188850402832
2010-06-04,16.64915657043457
2010-06-07,16.726892471313477
2010-06-08,17.017066955566406
2010-06-09,16.87716293334961
2010-06-10,17.110342025756836
2010-06-11,17.115516662597656
2010-06-14,17.188074111938477
2010-06-15,17.4678897857666
2010-06-16,17.545612335205078
2010-06-17,17.628524780273438
2010-06-18,17.67515754699707
2010-06-21,17.57670021057129
2010-06-22,17.37979507446289
2010-06-23,17.276161193847656
2010-06-24,17.255428314208984
2010-06-25,17.245075225830078
2010-06-28,17.519710540771484
2010-06-29,17.43161392211914
2010-06-30,17.245075225830078
2010-07-01,17.291704177856445
2010-07-02,17.296894073486328
2010-07-06,17.359066009521484
2010-07-07,17.892789840698242
2010-07-08,17.887615203857422
2010-07-09,17.98607063293457
2010-07-12,18.022340774536133
2010-07-13,18.079341888427734
2010-07-14,18.089702606201172
2010-07-15,18.14670753479004
2010-07-16,18.022340774536133
2010-07-19,18.353973388671875
2010-07-20,18.571613311767578
2010-07-21,18.328067779541016
2010-07-22,18.473163604736328
2010-07-23,18.597522735595703
2010-07-26,18.695980072021484
2010-07-27,19.032800674438477
2010-07-28,18.96023941040039
2010-07-29,18.62180519104004
2010-07-30,18.537864685058594
2010-08-02,18.80545997619629
2010-08-03,18.684776306152344
2010-08-04,18.76873016357422
2010-08-05,18.847434997558594
2010-08-06,18.826452255249023
2010-08-09,18.968122482299805
2010-08-10,19.078310012817383
2010-08-11,18.81594467163086
2010-08-12,18.773983001708984
2010-08-13,18.80545997619629
2010-08-16,18.821205139160156
2010-08-17,18.920896530151367
2010-08-18,18.86318016052246
2010-08-19,18.62180519104004
2010-08-20,18.773983001708984
2010-08-23,18.826452255249023
2010-08-24,19.10979461669922
2010-08-25,19.036331176757812
2010-08-26,18.96286964416504
2010-08-27,19.39838218688965
2010-08-30,19.16225814819336
2010-08-31,19.251461029052734
2010-09-01,19.361652374267578
2010-09-02,19.330162048339844
2010-09-03,19.408876419067383
2010-09-07,19.361652374267578
2010-09-08,19.393125534057617
2010-09-09,19.482328414916992
2010-09-10,19.471832275390625
2010-09-13,19.545297622680664
2010-09-14,19.52955436706543
2010-09-15,19.498065948486328
2010-09-16,19.419370651245117
2010-09-17,19.445600509643555
2010-09-20,19.660724639892578
2010-09-21,19.513811111450195
2010-09-22,19.660724639892578
2010-09-23,19.41412353515625
2010-09-24,19.671226501464844
2010-09-27,19.686967849731445
2010-09-28,19.686967849731445
