Date,HD
2010-01-04,19.810131072998047
2010-01-05,19.955242156982422
2010-01-06,19.886144638061523
2010-01-07,20.121068954467773
2010-01-08,20.024337768554688
2010-01-11,19.45773696899414
2010-01-12,19.333370208740234
2010-01-13,19.437009811401367
2010-01-14,19.554471969604492
2010-01-15,19.741037368774414
2010-01-19,19.955242156982422
2010-01-20,19.8032169342041
2010-01-21,19.678844451904297
2010-01-22,19.15371322631836
2010-01-25,19.084611892700195
2010-01-26,19.160621643066406
2010-01-27,19.23663330078125
2010-01-28,18.891143798828125
2010-01-29,19.354101181030273
2010-02-01,19.616666793823242
2010-02-02,20.058883666992188
2010-02-03,19.67194175720215
2010-02-04,19.298818588256836
2010-02-05,19.333370208740234
2010-02-08,19.754858016967773
2010-02-09,19.94832992553711
2010-02-10,19.79631233215332
2010-02-11,20.031248092651367
2010-02-12,20.038164138793945
2010-02-16,20.342187881469727
2010-02-17,20.742950439453125
2010-02-18,20.936420440673828
2010-02-19,20.832775115966797
2010-02-22,20.950241088867188
2010-02-23,21.24735450744629
2010-02-24,21.66884994506836
2010-02-25,21.66884994506836
2010-02-26,21.55828857421875
2010-03-01,21.71721839904785
2010-03-02,21.66884994506836
2010-03-03,21.744850158691406
2010-03-04,21.724119186401367
2010-03-05,21.972871780395508
2010-03-08,22.083425521850586
2010-03-09,22.052804946899414
2010-03-10,22.073678970336914
2010-03-11,22.366056442260742
2010-03-12,22.58880043029785
2010-03-15,22.75587272644043
2010-03-16,22.65841293334961
2010-03-17,22.637537002563477
2010-03-18,22.554006576538086
2010-03-19,22.526159286499023
2010-03-22,22.7419490814209
2010-03-23,22.686260223388672
2010-03-24,22.498308181762695
2010-03-25,22.7071475982666
2010-03-26,22.797643661499023
2010-03-29,22.693222045898438
2010-03-30,22.75587272644043
2010-03-31,22.519193649291992
2010-04-01,22.54007911682129
2010-04-05,22.734994888305664
2010-04-06,22.65841293334961
2010-04-07,22.700183868408203
2010-04-08,22.95078468322754
2010-04-09,23.14569664001465
2010-04-12,23.305805206298828
2010-04-13,23.90445327758789
2010-04-14,24.34996795654297
2010-04-15,24.46134376525879
2010-04-16,24.370847702026367
2010-04-19,24.48222541809082
2010-04-20,24.48918342590332
2010-04-21,24.55184555053711
2010-04-22,24.865097045898438
2010-04-23,25.33148765563965
2010-04-26,25.40110206604004
2010-04-27,24.565767288208008
2010-04-28,24.496152877807617
2010-04-29,24.75370979309082
2010-04-30,24.523996353149414
2010-05-03,24.96950912475586
2010-05-04,24.656248092651367
2010-05-05,24.530960083007812
2010-05-06,23.639934539794922
2010-05-07,23.270994186401367
2010-05-10,24.565767288208008
2010-05-11,24.80243682861328
2010-05-12,24.983427047729492
2010-05-13,24.55184555053711
2010-05-14,24.503108978271484
2010-05-17,24.774599075317383
2010-05-18,24.175939559936523
2010-05-19,23.932296752929688
2010-05-20,22.895090103149414
2010-05-21,22.985591888427734
2010-05-24,23.12481117248535
2010-05-25,23.653858184814453
2010-05-26,23.69562339782715
2010-05-27,24.050630569458008
2010-05-28,23.570322036743164
2010-06-01,23.51144027709961
2010-06-02,23.742761611938477
2010-06-03,23.4343318939209
2010-06-04,22.53705406188965
2010-06-07,22.116456985473633
2010-06-08,22.29871940612793
2010-06-09,22.263668060302734
2010-06-10,22.936620712280273
2010-06-11,22.58612060546875
2010-06-14,22.473962783813477
2010-06-15,22.614160537719727
2010-06-16,22.530048370361328
2010-06-17,22.368810653686523
2010-06-18,22.389846801757812
2010-06-21,22.032333374023438
2010-06-22,21.457517623901367
2010-06-23,21.380409240722656
2010-06-24,20.798580169677734
2010-06-25,21.170108795166016
2010-06-28,20.742504119873047
2010-06-29,20.069543838500977
2010-06-30,19.676984786987305
2010-07-01,19.571836471557617
2010-07-02,19.45967674255371
2010-07-06,19.16525650024414
2010-07-07,19.63492774963379
2010-07-08,19.73306655883789
2010-07-09,19.810171127319336
2010-07-12,19.8452205657959
2010-07-13,20.07655143737793
2010-07-14,19.824193954467773
2010-07-15,19.866252899169922
2010-07-16,19.0040283203125
2010-07-19,18.97598648071289
2010-07-20,19.57884979248047
2010-07-21,19.25638771057129
2010-07-22,19.782133102416992
2010-07-23,19.803171157836914
2010-07-26,20.321895599365234
2010-07-27,20.034502029418945
2010-07-28,19.68399429321289
2010-07-29,19.662965774536133
2010-07-30,19.985424041748047
2010-08-02,20.413028717041016
2010-08-03,19.943370819091797
2010-08-04,20.13262939453125
2010-08-05,20.125627517700195
2010-08-06,20.104597091674805
2010-08-09,20.11861801147461
2010-08-10,19.796152114868164
2010-08-11,19.424617767333984
2010-08-12,19.354522705078125
2010-08-13,19.14421844482422
2010-08-16,19.19329833984375
2010-08-17,19.8452205657959
2010-08-18,20.230775833129883
2010-08-19,19.782133102416992
2010-08-20,19.747081756591797
2010-08-23,19.508747100830078
2010-08-24,19.473697662353516
2010-08-25,19.859249114990234
2010-08-26,19.89429473876953
2010-08-27,20.146650314331055
2010-08-30,19.62090492248535
2010-08-31,19.66756820678711
2010-09-01,20.268482208251953
2010-09-02,20.791627883911133
2010-09-03,21.102691650390625
2010-09-07,20.735069274902344
2010-09-08,20.81990623474121
2010-09-09,20.791627883911133
2010-09-10,20.982501983642578
2010-09-13,21.201663970947266
2010-09-14,21.187524795532227
2010-09-15,21.166309356689453
2010-09-16,21.17338752746582
2010-09-17,21.130966186523438
2010-09-20,21.668258666992188
2010-09-21,21.852062225341797
2010-09-22,21.830852508544922
2010-09-23,21.802576065063477
2010-09-24,22.36814308166504
2010-09-27,22.339860916137695
2010-09-28,22.488325119018555
