Date,ATO
2010-01-04,18.85466957092285
2010-01-05,18.656665802001953
2010-01-06,18.663061141967773
2010-01-07,18.484222412109375
2010-01-08,18.177635192871094
2010-01-11,18.286216735839844
2010-01-12,18.279836654663086
2010-01-13,18.439504623413086
2010-01-14,18.452287673950195
2010-01-15,18.305377960205078
2010-01-19,18.586410522460938
2010-01-20,18.42673683166504
2010-01-21,18.235126495361328
2010-01-22,17.966867446899414
2010-01-25,18.15848159790039
2010-01-26,18.056289672851562
2010-01-27,17.909378051757812
2010-01-28,17.896608352661133
2010-01-29,17.6411190032959
2010-02-01,17.628347396850586
2010-02-02,17.67305564880371
2010-02-03,17.634735107421875
2010-02-04,17.475053787231445
2010-02-05,17.411184310913086
2010-02-08,17.053508758544922
2010-02-09,17.091840744018555
2010-02-10,16.93854522705078
2010-02-11,17.213191986083984
2010-02-12,17.23874282836914
2010-02-16,17.385637283325195
2010-02-17,17.500608444213867
2010-02-18,17.48783302307129
2010-02-19,17.743316650390625
2010-02-22,17.88382911682129
2010-02-23,17.764236450195312
2010-02-24,17.725454330444336
2010-02-25,17.66727638244629
2010-02-26,17.751312255859375
2010-03-01,18.055139541625977
2010-03-02,18.132709503173828
2010-03-03,18.294322967529297
2010-03-04,18.262001037597656
2010-03-05,18.488258361816406
2010-03-08,18.494718551635742
2010-03-09,18.391294479370117
2010-03-10,18.51411247253418
2010-03-11,18.565834045410156
2010-03-12,18.617542266845703
2010-03-15,18.617542266845703
2010-03-16,18.68865394592285
2010-03-17,18.79208755493164
2010-03-18,18.759767532348633
2010-03-19,18.714515686035156
2010-03-22,18.714515686035156
2010-03-23,18.74036979675293
2010-03-24,18.636940002441406
2010-03-25,18.346038818359375
2010-03-26,18.3007869720459
2010-03-29,18.501192092895508
2010-03-30,18.66280174255371
2010-03-31,18.468860626220703
2010-04-01,18.714515686035156
2010-04-05,18.998943328857422
2010-04-06,19.16055679321289
2010-04-07,19.09591293334961
2010-04-08,18.830867767333984
2010-04-09,18.96015739440918
2010-04-12,18.889055252075195
2010-04-13,18.772695541381836
2010-04-14,18.753299713134766
2010-04-15,18.856721878051758
2010-04-16,18.889055252075195
2010-04-19,18.863197326660156
2010-04-20,18.998943328857422
2010-04-21,19.005414962768555
2010-04-22,19.089448928833008
2010-04-23,19.380346298217773
2010-04-26,19.33509635925293
2010-04-27,19.044198989868164
2010-04-28,19.23812484741211
2010-04-29,19.257526397705078
2010-04-30,19.12177085876465
2010-05-03,19.289840698242188
2010-05-04,18.93430519104004
2010-05-05,18.611080169677734
2010-05-06,17.95171356201172
2010-05-07,17.66727638244629
2010-05-10,18.184429168701172
2010-05-11,18.455934524536133
2010-05-12,18.656333923339844
2010-05-13,18.591686248779297
2010-05-14,18.171497344970703
2010-05-17,18.410682678222656
2010-05-18,18.410682678222656
2010-05-19,18.33957862854004
2010-05-20,17.563852310180664
2010-05-21,17.54093360900879
2010-05-24,17.508209228515625
2010-05-25,17.285682678222656
2010-05-26,17.377304077148438
2010-05-27,17.756925582885742
2010-05-28,17.750383377075195
2010-06-01,17.318397521972656
2010-06-02,17.73728370666504
2010-06-03,17.9401912689209
2010-06-04,17.344581604003906
2010-06-07,17.488576889038086
2010-06-08,17.802738189697266
2010-06-09,17.626022338867188
2010-06-10,18.26089859008789
2010-06-11,18.2478084564209
2010-06-14,18.23471450805664
2010-06-15,18.417987823486328
2010-06-16,18.57506561279297
2010-06-17,18.64706039428711
2010-06-18,18.76487159729004
2010-06-21,18.71251678466797
2010-06-22,18.391801834106445
2010-06-23,18.136545181274414
2010-06-24,18.077634811401367
2010-06-25,18.26089859008789
2010-06-28,18.32634925842285
2010-06-29,17.809288024902344
2010-06-30,17.69801902770996
2010-07-01,17.5802001953125
2010-07-02,17.55402374267578
2010-07-06,17.652198791503906
2010-07-07,18.2150821685791
2010-07-08,18.594703674316406
2010-07-09,18.581615447998047
2010-07-12,18.62088394165039
2010-07-13,18.889230728149414
2010-07-14,18.797603607177734
2010-07-15,18.817228317260742
2010-07-16,18.339447021484375
2010-07-19,18.627426147460938
2010-07-20,18.791051864624023
2010-07-21,18.6077938079834
2010-07-22,18.902318954467773
2010-07-23,18.967771530151367
2010-07-26,19.301572799682617
2010-07-27,19.511018753051758
2010-07-28,19.25576400756836
2010-07-29,19.118305206298828
2010-07-30,18.98086166381836
2010-08-02,19.177215576171875
2010-08-03,19.209945678710938
2010-08-04,19.3277530670166
2010-08-05,19.373571395874023
2010-08-06,19.340843200683594
2010-08-09,19.216493606567383
2010-08-10,19.08558464050293
2010-08-11,18.91541862487793
2010-08-12,18.738691329956055
2010-08-13,18.77141761779785
2010-08-16,18.817228317260742
2010-08-17,18.98086166381836
2010-08-18,18.99395751953125
2010-08-19,18.699420928955078
2010-08-20,18.784513473510742
2010-08-23,18.86066246032715
2010-08-24,18.754709243774414
2010-08-25,18.91364860534668
2010-08-26,18.900400161743164
2010-08-27,19.125564575195312
2010-08-30,18.70834732055664
2010-08-31,18.7414608001709
2010-09-01,19.178546905517578
2010-09-02,19.158679962158203
2010-09-03,19.297744750976562
2010-09-07,18.966630935668945
2010-09-08,18.847427368164062
2010-09-09,19.039470672607422
2010-09-10,19.065959930419922
2010-09-13,19.224899291992188
2010-09-14,19.132186889648438
2010-09-15,19.04609489440918
2010-09-16,18.91364860534668
2010-09-17,18.867292404174805
2010-09-20,19.039470672607422
2010-09-21,18.940141677856445
2010-09-22,19.006362915039062
2010-09-23,18.92688751220703
2010-09-24,19.16529655456543
2010-09-27,19.231525421142578
2010-09-28,19.244766235351562
