Date,HAL
2010-01-04,24.296520233154297
2010-01-05,24.607515335083008
2010-01-06,25.190631866455078
2010-01-07,25.252832412719727
2010-01-08,26.527910232543945
2010-01-11,26.263561248779297
2010-01-12,25.882591247558594
2010-01-13,26.473480224609375
2010-01-14,26.675628662109375
2010-01-15,26.457937240600586
2010-01-19,26.901103973388672
2010-01-20,25.86703872680664
2010-01-21,25.291704177856445
2010-01-22,24.218769073486328
2010-01-25,24.156564712524414
2010-01-26,24.00884246826172
2010-01-27,23.643428802490234
2010-01-28,23.052534103393555
2010-01-29,22.7104434967041
2010-02-01,23.83002281188965
2010-02-02,23.91554832458496
2010-02-03,23.60454750061035
2010-02-04,22.438323974609375
2010-02-05,21.99515151977539
2010-02-08,21.847427368164062
2010-02-09,22.60936737060547
2010-02-10,22.725984573364258
2010-02-11,23.449054718017578
2010-02-12,23.3402042388916
2010-02-16,24.141014099121094
2010-02-17,24.164342880249023
2010-02-18,24.52198600769043
2010-02-19,24.71636199951172
2010-02-22,24.117694854736328
2010-02-23,23.480148315429688
2010-02-24,23.33243179321289
2010-02-25,23.32465171813965
2010-02-26,23.511810302734375
2010-03-01,23.979711532592773
2010-03-02,24.33843231201172
2010-03-03,24.720558166503906
2010-03-04,24.52559471130371
2010-03-05,24.860918045043945
2010-03-08,24.494401931762695
2010-03-09,24.104488372802734
2010-03-10,23.8939266204834
2010-03-11,23.971914291381836
2010-03-12,24.564584732055664
2010-03-15,24.198070526123047
2010-03-16,24.72834587097168
2010-03-17,25.36000633239746
2010-03-18,24.626968383789062
2010-03-19,23.784759521484375
2010-03-22,23.8939266204834
2010-03-23,23.948522567749023
2010-03-24,23.558612823486328
2010-03-25,23.059513092041016
2010-03-26,22.895761489868164
2010-03-29,23.2934627532959
2010-03-30,23.394838333129883
2010-03-31,23.4962158203125
2010-04-01,23.971914291381836
2010-04-05,24.837522506713867
2010-04-06,25.11046600341797
2010-04-07,24.665966033935547
2010-04-08,24.689353942871094
2010-04-09,24.61916732788086
2010-04-12,24.564584732055664
2010-04-13,24.502195358276367
2010-04-14,25.289825439453125
2010-04-15,25.36000633239746
2010-04-16,24.67375946044922
2010-04-19,24.61916732788086
2010-04-20,25.97607421875
2010-04-21,25.960477828979492
2010-04-22,26.30360221862793
2010-04-23,27.26279640197754
2010-04-26,26.880678176879883
2010-04-27,25.586166381835938
2010-04-28,26.007261276245117
2010-04-29,24.64257049560547
2010-04-30,23.9017276763916
2010-05-03,24.478801727294922
2010-05-04,23.636592864990234
2010-05-05,23.379243850708008
2010-05-06,22.42005729675293
2010-05-07,21.453067779541016
2010-05-10,21.515460968017578
2010-05-11,22.100332260131836
2010-05-12,22.685197830200195
2010-05-13,22.622806549072266
2010-05-14,21.905370712280273
2010-05-17,21.718219757080078
2010-05-18,21.55445098876953
2010-05-19,21.14893913269043
2010-05-20,20.447092056274414
2010-05-21,20.844804763793945
2010-05-24,20.00259017944336
2010-05-25,19.97919464111328
2010-05-26,20.181949615478516
2010-05-27,21.121007919311523
2010-05-28,19.430702209472656
2010-06-01,16.550926208496094
2010-06-02,18.53077507019043
2010-06-03,18.49163818359375
2010-06-04,18.084718704223633
2010-06-07,17.84212303161621
2010-06-08,18.014291763305664
2010-06-09,17.654315948486328
2010-06-10,18.953340530395508
2010-06-11,19.086380004882812
2010-06-14,18.796836853027344
2010-06-15,19.923702239990234
2010-06-16,20.541921615600586
2010-06-17,20.651473999023438
2010-06-18,21.11318588256836
2010-06-21,21.167959213256836
2010-06-22,20.338455200195312
2010-06-23,20.174123764038086
2010-06-24,19.72807502746582
2010-06-25,20.612346649169922
2010-06-28,20.338455200195312
2010-06-29,19.15680694580078
2010-06-30,19.211585998535156
2010-07-01,19.548086166381836
2010-07-02,20.142822265625
2010-07-06,20.706253051757812
2010-07-07,21.903560638427734
2010-07-08,22.466989517211914
2010-07-09,22.412216186523438
2010-07-12,22.044416427612305
2010-07-13,22.013118743896484
2010-07-14,22.044416427612305
2010-07-15,21.989635467529297
2010-07-16,21.52793312072754
2010-07-19,22.82695960998535
2010-07-20,23.687772750854492
2010-07-21,23.3825740814209
2010-07-22,23.711246490478516
2010-07-23,23.93818473815918
2010-07-26,24.149473190307617
2010-07-27,23.82862663269043
2010-07-28,23.46082878112793
2010-07-29,23.56256103515625
2010-07-30,23.3825740814209
2010-08-02,24.047740936279297
2010-08-03,24.415544509887695
2010-08-04,24.305984497070312
2010-08-05,24.454675674438477
2010-08-06,24.19642448425293
2010-08-09,24.024269104003906
2010-08-10,23.570390701293945
2010-08-11,22.521778106689453
2010-08-12,22.247880935668945
2010-08-13,21.989635467529297
2010-08-16,21.7627010345459
2010-08-17,22.459169387817383
2010-08-18,22.52959632873535
2010-08-19,22.349599838256836
2010-08-20,21.770524978637695
2010-08-23,22.02094078063965
2010-08-24,21.966167449951172
2010-08-25,21.903560638427734
2010-08-26,22.005285263061523
2010-08-27,22.889570236206055
2010-08-30,22.363636016845703
2010-08-31,22.143844604492188
2010-09-01,23.337003707885742
2010-09-02,23.65098762512207
2010-09-03,23.886478424072266
2010-09-07,23.423337936401367
2010-09-08,23.713788986206055
2010-09-09,23.72163200378418
2010-09-10,24.23970603942871
2010-09-13,24.81273651123047
2010-09-14,24.6321964263916
2010-09-15,24.49874496459961
2010-09-16,24.33390235900879
2010-09-17,24.302507400512695
2010-09-20,24.961875915527344
2010-09-21,24.985431671142578
2010-09-22,24.742097854614258
2010-09-23,24.961875915527344
2010-09-24,25.691890716552734
2010-09-27,25.440698623657227
2010-09-28,25.723299026489258
