Date,FRT
2010-01-04,39.41757583618164
2010-01-05,39.370513916015625
2010-01-06,39.26466369628906
2010-01-07,39.2529182434082
2010-01-08,39.00592803955078
2010-01-11,39.49402618408203
2010-01-12,38.817745208740234
2010-01-13,39.58810043334961
2010-01-14,39.4293327331543
2010-01-15,39.74688720703125
2010-01-19,40.72894287109375
2010-01-20,40.199676513671875
2010-01-21,39.38816833496094
2010-01-22,38.51783752441406
2010-01-25,38.59429168701172
2010-01-26,38.44139862060547
2010-01-27,38.26496505737305
2010-01-28,37.953311920166016
2010-01-29,37.859214782714844
2010-02-01,38.741294860839844
2010-02-02,39.876243591308594
2010-02-03,39.2529182434082
2010-02-04,37.47697067260742
2010-02-05,38.235572814941406
2010-02-08,37.38877868652344
2010-02-09,37.10649871826172
2010-02-10,37.088863372802734
2010-02-11,37.48285675048828
2010-02-12,37.90625762939453
2010-02-16,38.94124221801758
2010-02-17,39.47637176513672
2010-02-18,40.0350227355957
2010-02-19,40.2761344909668
2010-02-22,40.329063415527344
2010-02-23,40.146766662597656
2010-02-24,40.352596282958984
2010-02-25,40.605430603027344
2010-02-26,40.55250930786133
2010-03-01,40.91123580932617
2010-03-02,41.14057922363281
2010-03-03,41.034732818603516
2010-03-04,41.111175537109375
2010-03-05,42.016788482666016
2010-03-08,42.46371078491211
2010-03-09,42.22848892211914
2010-03-10,42.26375198364258
2010-03-11,42.210853576660156
2010-03-12,42.55193328857422
2010-03-15,42.49257278442383
2010-03-16,43.37683868408203
2010-03-17,43.7210693359375
2010-03-18,43.62015914916992
2010-03-19,43.19285202026367
2010-03-22,43.649837493896484
2010-03-23,43.65578842163086
2010-03-24,43.81006622314453
2010-03-25,43.9821891784668
2010-03-26,43.5786247253418
2010-03-29,43.67951202392578
2010-03-30,43.27003860473633
2010-03-31,43.21067428588867
2010-04-01,43.12758255004883
2010-04-05,44.26704788208008
2010-04-06,45.1453857421875
2010-04-07,43.95845031738281
2010-04-08,43.952491760253906
2010-04-09,44.59939193725586
2010-04-12,44.231449127197266
2010-04-13,45.02669143676758
2010-04-14,44.59939193725586
2010-04-15,43.69139099121094
2010-04-16,43.489620208740234
2010-04-19,43.5786247253418
2010-04-20,44.249263763427734
2010-04-21,45.1453857421875
2010-04-22,46.189884185791016
2010-04-23,46.61720275878906
2010-04-26,46.646881103515625
2010-04-27,45.1453857421875
2010-04-28,45.20475387573242
2010-04-29,46.76556396484375
2010-04-30,45.92875671386719
2010-05-03,47.1928596496582
2010-05-04,46.267051696777344
2010-05-05,45.60236358642578
2010-05-06,44.065269470214844
2010-05-07,43.63796615600586
2010-05-10,46.46885299682617
2010-05-11,46.43321990966797
2010-05-12,46.801185607910156
2010-05-13,45.95249557495117
2010-05-14,44.801177978515625
2010-05-17,44.4332160949707
2010-05-18,43.19879150390625
2010-05-19,42.664669036865234
2010-05-20,40.563777923583984
2010-05-21,41.9703254699707
2010-05-24,41.34716796875
2010-05-25,41.88129806518555
2010-05-26,41.810081481933594
2010-05-27,44.05339813232422
2010-05-28,43.73885726928711
2010-06-01,43.044498443603516
2010-06-02,44.077144622802734
2010-06-03,43.667659759521484
2010-06-04,41.59050369262695
2010-06-07,41.73291778564453
2010-06-08,42.094932556152344
2010-06-09,42.41542434692383
2010-06-10,43.73885726928711
2010-06-11,44.21364974975586
2010-06-14,44.6646728515625
2010-06-15,45.3828010559082
2010-06-16,45.09790802001953
2010-06-17,45.19287109375
2010-06-18,44.69435119628906
2010-06-21,44.30266571044922
2010-06-22,43.16500473022461
2010-06-23,43.566192626953125
2010-06-24,42.74586868286133
2010-06-25,44.03919982910156
2010-06-28,43.65000915527344
2010-06-29,42.53032302856445
2010-06-30,42.07524871826172
2010-07-01,42.2369270324707
2010-07-02,41.84772491455078
2010-07-06,41.26093292236328
2010-07-07,43.272789001464844
2010-07-08,43.75777816772461
2010-07-09,43.955379486083984
2010-07-12,43.96735382080078
2010-07-13,44.625999450683594
2010-07-14,44.24878692626953
2010-07-15,44.2308235168457
2010-07-16,43.32068634033203
2010-07-19,43.841609954833984
2010-07-20,44.66189956665039
2010-07-21,43.781742095947266
2010-07-22,45.29060745239258
2010-07-23,46.18878173828125
2010-07-26,47.23064041137695
2010-07-27,46.79950714111328
2010-07-28,47.110877990722656
2010-07-29,46.649818420410156
2010-07-30,46.81747817993164
2010-08-02,48.709564208984375
2010-08-03,48.476078033447266
2010-08-04,48.823341369628906
2010-08-05,47.47015380859375
2010-08-06,47.29648971557617
2010-08-09,48.09284973144531
2010-08-10,47.73957061767578
2010-08-11,46.727664947509766
2010-08-12,46.398338317871094
2010-08-13,46.440250396728516
2010-08-16,46.73963165283203
2010-08-17,47.823402404785156
2010-08-18,47.58988571166992
2010-08-19,46.727664947509766
2010-08-20,46.20674514770508
2010-08-23,46.3624267578125
2010-08-24,46.069026947021484
2010-08-25,46.73963165283203
2010-08-26,46.62587356567383
2010-08-27,47.266536712646484
2010-08-30,46.931243896484375
2010-08-31,47.47611618041992
2010-09-01,48.877235412597656
2010-09-02,49.02094650268555
2010-09-03,49.49994659423828
2010-09-07,48.853267669677734
2010-09-08,48.709564208984375
2010-09-09,47.913211822509766
2010-09-10,48.009010314941406
2010-09-13,48.51797866821289
2010-09-14,48.44611358642578
2010-09-15,49.38618850708008
2010-09-16,49.27839279174805
2010-09-17,49.20056915283203
2010-09-20,49.8891487121582
2010-09-21,49.42433547973633
2010-09-22,49.03802490234375
2010-09-23,47.746299743652344
2010-09-24,48.92939376831055
2010-09-27,48.905235290527344
2010-09-28,49.44247055053711
