Date,HAS
2010-01-04,19.789995193481445
2010-01-05,19.571062088012695
2010-01-06,19.552818298339844
2010-01-07,19.273048400878906
2010-01-08,19.32171058654785
2010-01-11,19.303457260131836
2010-01-12,18.999378204345703
2010-01-13,19.273048400878906
2010-01-14,19.473751068115234
2010-01-15,19.55889320373535
2010-01-19,19.66228485107422
2010-01-20,19.61971664428711
2010-01-21,19.522411346435547
2010-01-22,19.029783248901367
2010-01-25,19.10884666442871
2010-01-26,19.023704528808594
2010-01-27,19.151418685913086
2010-01-28,19.181825637817383
2010-01-29,18.698305130004883
2010-02-01,19.090017318725586
2010-02-02,19.561304092407227
2010-02-03,19.628623962402344
2010-02-04,19.13286018371582
2010-02-05,18.8513126373291
2010-02-08,21.24445915222168
2010-02-09,21.458675384521484
2010-02-10,21.605573654174805
2010-02-11,22.11969757080078
2010-02-12,21.758581161499023
2010-02-16,21.4403133392334
2010-02-17,21.685129165649414
2010-02-18,21.887117385864258
2010-02-19,21.91159439086914
2010-02-22,21.740211486816406
2010-02-23,21.593332290649414
2010-02-24,21.71573829650879
2010-02-25,21.844266891479492
2010-02-26,21.899354934692383
2010-03-01,22.070728302001953
2010-03-02,22.40736198425293
2010-03-03,22.235980987548828
2010-03-04,22.48080825805664
2010-03-05,22.933731079101562
2010-03-08,22.952089309692383
2010-03-09,23.06226921081543
2010-03-10,23.264238357543945
2010-03-11,23.313203811645508
2010-03-12,23.380523681640625
2010-03-15,23.031652450561523
2010-03-16,23.166303634643555
2010-03-17,23.34380531311035
2010-03-18,23.3193302154541
2010-03-19,23.1907958984375
2010-03-22,23.411130905151367
2010-03-23,23.39888572692871
2010-03-24,23.294851303100586
2010-03-25,23.3193302154541
2010-03-26,23.509063720703125
2010-03-29,24.004837036132812
2010-03-30,23.900768280029297
2010-03-31,23.429494857788086
2010-04-01,23.47846031188965
2010-04-05,23.949745178222656
2010-04-06,23.827333450317383
2010-04-07,23.50293731689453
2010-04-08,23.66819953918457
2010-04-09,23.827333450317383
2010-04-12,23.93138313293457
2010-04-13,24.059913635253906
2010-04-14,24.188446044921875
2010-04-15,24.567914962768555
2010-04-16,24.390417098999023
2010-04-19,25.0391902923584
2010-04-20,25.063678741455078
2010-04-21,24.561798095703125
2010-04-22,24.733169555664062
2010-04-23,24.806612014770508
2010-04-26,24.733169555664062
2010-04-27,24.139474868774414
2010-04-28,23.88853645324707
2010-04-29,24.221174240112305
2010-04-30,23.629817962646484
2010-05-03,24.713977813720703
2010-05-04,23.987096786499023
2010-05-05,24.332056045532227
2010-05-06,24.202699661254883
2010-05-07,24.005578994750977
2010-05-10,25.13286590576172
2010-05-11,25.428537368774414
2010-05-12,26.11846923828125
2010-05-13,25.16365623474121
2010-05-14,24.812536239624023
2010-05-17,25.57638168334961
2010-05-18,25.63797950744629
2010-05-19,25.30533790588379
2010-05-20,24.498369216918945
2010-05-21,24.35053253173828
2010-05-24,24.21501922607422
2010-05-25,23.987096786499023
2010-05-26,24.362857818603516
2010-05-27,24.991178512573242
2010-05-28,24.732465744018555
2010-06-01,24.245824813842773
2010-06-02,24.82485580444336
2010-06-03,24.492210388183594
2010-06-04,24.11030387878418
2010-06-07,23.666776657104492
2010-06-08,23.47580909729004
2010-06-09,23.67909812927246
2010-06-10,24.991178512573242
2010-06-11,24.88029670715332
2010-06-14,24.95421028137207
2010-06-15,25.7796573638916
2010-06-16,26.290935516357422
2010-06-17,26.407983779907227
2010-06-18,26.414146423339844
2010-06-21,26.001419067382812
