Date,XOM
2010-01-04,38.5687255859375
2010-01-05,38.71930694580078
2010-01-06,39.053955078125
2010-01-07,38.931278228759766
2010-01-08,38.77508544921875
2010-01-11,39.21015548706055
2010-01-12,39.01491928100586
2010-01-13,38.8587646484375
2010-01-14,38.86433410644531
2010-01-15,38.546409606933594
2010-01-19,38.635658264160156
2010-01-20,37.944034576416016
2010-01-21,37.20222854614258
2010-01-22,36.867576599121094
2010-01-25,36.72811508178711
2010-01-26,36.76717758178711
2010-01-27,36.55522918701172
2010-01-28,36.231746673583984
2010-01-29,35.936119079589844
2010-02-01,36.91218566894531
2010-02-02,37.34724426269531
2010-02-03,37.146453857421875
2010-02-04,36.09785842895508
2010-02-05,36.14249038696289
2010-02-08,36.125648498535156
2010-02-09,36.60283279418945
2010-02-10,36.40634536743164
2010-02-11,36.62528610229492
2010-02-12,36.37828063964844
2010-02-16,37.20914077758789
2010-02-17,36.917213439941406
2010-02-18,37.02949142456055
2010-02-19,36.978965759277344
2010-02-22,36.7150993347168
2010-02-23,36.45687484741211
2010-02-24,36.79930877685547
2010-02-25,36.56914520263672
2010-02-26,36.49055862426758
2010-03-01,36.7150993347168
2010-03-02,36.76563262939453
2010-03-03,36.73196029663086
2010-03-04,36.7150993347168
2010-03-05,37.315792083740234
2010-03-08,37.321407318115234
2010-03-09,37.489830017089844
2010-03-10,37.736839294433594
2010-03-11,37.736839294433594
2010-03-12,37.501068115234375
2010-03-15,37.220375061035156
2010-03-16,37.37192916870117
2010-03-17,37.8154411315918
2010-03-18,37.83229064941406
2010-03-19,37.63580322265625
2010-03-22,37.59649658203125
2010-03-23,37.58527374267578
2010-03-24,37.33263397216797
2010-03-25,37.220375061035156
2010-03-26,37.355098724365234
2010-03-29,37.78175354003906
2010-03-30,37.641422271728516
2010-03-31,37.602115631103516
2010-04-01,37.95578384399414
2010-04-05,38.28139114379883
2010-04-06,38.11860275268555
2010-04-07,37.80421447753906
2010-04-08,38.09614181518555
2010-04-09,38.601402282714844
2010-04-12,38.57332229614258
2010-04-13,38.54525375366211
2010-04-14,38.51716232299805
2010-04-15,38.320682525634766
2010-04-16,38.13542556762695
2010-04-19,38.303855895996094
2010-04-20,38.71928024291992
2010-04-21,38.69120788574219
2010-04-22,38.48910903930664
2010-04-23,38.870872497558594
2010-04-26,38.8989372253418
2010-04-27,38.326297760009766
2010-04-28,38.842796325683594
2010-04-29,38.54525375366211
2010-04-30,38.04561233520508
2010-05-03,38.084903717041016
2010-05-04,37.315792083740234
2010-05-05,37.14737319946289
2010-05-06,35.86741256713867
2010-05-07,35.76074981689453
2010-05-10,36.61967849731445
2010-05-11,36.43315505981445
2010-05-12,36.687503814697266
2010-05-13,36.59141159057617
2010-05-14,35.94706726074219
2010-05-17,35.76055908203125
2010-05-18,35.4892463684082
2010-05-19,35.29708480834961
2010-05-20,34.098854064941406
2010-05-21,34.40971755981445
2010-05-24,34.01972579956055
2010-05-25,33.74842071533203
2010-05-26,33.52235412597656
2010-05-27,34.73752975463867
2010-05-28,34.17232894897461
2010-06-01,33.48844528198242
2010-06-02,34.34754180908203
2010-06-03,34.79405212402344
2010-06-04,33.64669418334961
2010-06-07,33.51667785644531
2010-06-08,34.613189697265625
2010-06-09,33.92929458618164
2010-06-10,34.980567932128906
2010-06-11,34.96361541748047
2010-06-14,34.68667221069336
2010-06-15,35.33099365234375
2010-06-16,35.33099365234375
2010-06-17,35.38187026977539
2010-06-18,35.66447448730469
2010-06-21,35.68144607543945
2010-06-22,35.00883865356445
2010-06-23,34.53406524658203
2010-06-24,33.951904296875
2010-06-25,33.403648376464844
2010-06-28,33.04757308959961
2010-06-29,32.3806266784668
2010-06-30,32.25627899169922
2010-07-01,31.99629020690918
2010-07-02,31.973682403564453
2010-07-06,32.47671127319336
2010-07-07,33.024967193603516
2010-07-08,33.23974609375
2010-07-09,33.2227783203125
2010-07-12,33.313228607177734
2010-07-13,33.584510803222656
2010-07-14,33.494075775146484
2010-07-15,33.49974822998047
2010-07-16,32.75933837890625
2010-07-19,33.024967193603516
2010-07-20,33.31886291503906
2010-07-21,32.87800598144531
2010-07-22,33.561912536621094
2010-07-23,33.75408935546875
2010-07-26,34.13276672363281
2010-07-27,34.370147705078125
2010-07-28,34.426673889160156
2010-07-29,34.1045036315918
2010-07-30,33.73147201538086
2010-08-02,35.00883865356445
2010-08-03,35.44969177246094
2010-08-04,35.44969177246094
2010-08-05,35.44403839111328
2010-08-06,35.02579116821289
2010-08-09,35.29708480834961
2010-08-10,35.00318145751953
2010-08-11,34.37700653076172
2010-08-12,34.28593444824219
2010-08-13,34.1037712097168
2010-08-16,34.0866813659668
2010-08-17,34.62178421020508
2010-08-18,34.24040222167969
2010-08-19,33.7508430480957
2010-08-20,33.523136138916016
2010-08-23,33.870384216308594
2010-08-24,33.55160903930664
2010-08-25,33.53453063964844
2010-08-26,33.28974533081055
2010-08-27,34.04115676879883
2010-08-30,33.585758209228516
2010-08-31,33.64835739135742
2010-09-01,34.67302703857422
2010-09-02,34.75840377807617
2010-09-03,34.90641403198242
2010-09-07,34.46808624267578
2010-09-08,34.58193588256836
2010-09-09,34.75271987915039
2010-09-10,34.83810806274414
2010-09-13,34.7242546081543
2010-09-14,34.72994613647461
2010-09-15,34.7242546081543
2010-09-16,34.70717239379883
2010-09-17,34.59901428222656
2010-09-20,35.03733825683594
2010-09-21,35.03164291381836
2010-09-22,34.98042297363281
2010-09-23,34.80965042114258
2010-09-24,35.15119171142578
2010-09-27,35.12841033935547
2010-09-28,35.32766342163086
