Date,MGM
2010-01-04,9.19008731842041
2010-01-05,9.917362213134766
2010-01-06,9.577338218688965
2010-01-07,10.200714111328125
2010-01-08,10.011811256408691
2010-01-11,10.295165061950684
2010-01-12,11.286898612976074
2010-01-13,11.702485084533691
2010-01-14,11.693038940429688
2010-01-15,11.419133186340332
2010-01-19,11.532474517822266
2010-01-20,11.249120712280273
2010-01-21,10.691856384277344
2010-01-22,10.975211143493652
2010-01-25,11.324682235717773
2010-01-26,11.419133186340332
2010-01-27,11.541915893554688
2010-01-28,11.107443809509277
2010-01-29,10.446288108825684
2010-02-01,11.16411304473877
2010-02-02,11.220786094665527
2010-02-03,10.786307334899902
2010-02-04,10.19127082824707
2010-02-05,10.332945823669434
2010-02-08,10.134596824645996
2010-02-09,10.125152587890625
2010-02-10,9.82291030883789
2010-02-11,10.748530387878418
2010-02-12,10.417952537536621
2010-02-16,10.946880340576172
2010-02-17,10.98465633392334
2010-02-18,10.200714111328125
2010-02-19,10.257384300231934
2010-02-22,10.314054489135742
2010-02-23,9.851245880126953
2010-02-24,9.860689163208008
2010-02-25,9.870133399963379
2010-02-26,9.955137252807617
2010-03-01,10.068482398986816
2010-03-02,10.096818923950195
2010-03-03,10.24793815612793
2010-03-04,10.172380447387695
2010-03-05,10.644634246826172
2010-03-08,10.833536148071289
2010-03-09,10.899651527404785
2010-03-10,11.230230331420898
2010-03-11,11.022436141967773
2010-03-12,11.145223617553711
2010-03-15,10.748530387878418
2010-03-16,11.617477416992188
2010-03-17,11.579699516296387
2010-03-18,11.249120712280273
2010-03-19,11.09799861907959
2010-03-22,11.825274467468262
2010-03-23,11.806384086608887
2010-03-24,11.759156227111816
2010-03-25,11.305791854858398
2010-03-26,11.768600463867188
2010-03-29,11.787491798400879
2010-03-30,11.532474517822266
2010-03-31,11.334126472473145
2010-04-01,11.371907234191895
2010-04-05,12.439204216003418
2010-04-06,12.807563781738281
2010-04-07,12.609213829040527
2010-04-08,13.912638664245605
2010-04-09,13.978755950927734
2010-04-12,14.205437660217285
2010-04-13,14.554905891418457
2010-04-14,14.554905891418457
2010-04-15,13.761521339416504
2010-04-16,13.572616577148438
2010-04-19,13.251482963562012
2010-04-20,14.167658805847168
2010-04-21,14.252664566040039
2010-04-22,14.866595268249512
2010-04-23,15.008270263671875
2010-04-26,15.716655731201172
2010-04-27,14.70602798461914
2010-04-28,14.923266410827637
2010-04-29,15.54664134979248
2010-04-30,15.008270263671875
2010-05-03,15.499420166015625
2010-05-04,14.621021270751953
2010-05-05,14.110987663269043
2010-05-06,12.958685874938965
2010-05-07,12.391976356506348
2010-05-10,13.223150253295898
2010-05-11,13.449831008911133
2010-05-12,13.884303092956543
2010-05-13,13.563170433044434
2010-05-14,12.89256763458252
2010-05-17,12.580880165100098
2010-05-18,12.259746551513672
2010-05-19,12.061399459838867
2010-05-20,11.116889953613281
2010-05-21,11.730819702148438
2010-05-24,11.135777473449707
2010-05-25,11.286898612976074
2010-05-26,11.060218811035156
2010-05-27,12.108625411987305
2010-05-28,11.768600463867188
2010-06-01,11.494691848754883
2010-06-02,11.778047561645508
2010-06-03,12.042510986328125
2010-06-04,11.456913948059082
2010-06-07,10.399060249328613
2010-06-08,10.824090003967285
2010-06-09,10.474624633789062
2010-06-10,10.824090003967285
2010-06-11,10.956324577331543
2010-06-14,11.286898612976074
2010-06-15,11.872496604919434
2010-06-16,11.674150466918945
2010-06-17,11.504138946533203
2010-06-18,11.362462997436523
2010-06-21,11.55136489868164
2010-06-22,11.230230331420898
2010-06-23,11.296344757080078
2010-06-24,10.569072723388672
2010-06-25,10.880759239196777
2010-06-28,10.389616012573242
2010-06-29,9.492329597473145
2010-06-30,9.105080604553223
2010-07-01,9.161751747131348
2010-07-02,8.953959465026855
2010-07-06,8.755613327026367
2010-07-07,9.350653648376465
2010-07-08,9.275094985961914
2010-07-09,9.416769027709961
2010-07-12,9.275094985961914
2010-07-13,9.82291030883789
2010-07-14,9.841796875
2010-07-15,9.681232452392578
2010-07-16,9.095635414123535
2010-07-19,9.020075798034668
2010-07-20,9.473441123962402
2010-07-21,9.152308464050293
2010-07-22,9.586782455444336
2010-07-23,9.936251640319824
2010-07-26,10.35184097290039
2010-07-27,10.531291007995605
2010-07-28,10.484067916870117
2010-07-29,10.380170822143555
2010-07-30,10.257384300231934
2010-08-02,10.644634246826172
2010-08-03,10.55018138885498
2010-08-04,10.370723724365234
2010-08-05,10.134596824645996
2010-08-06,10.115705490112305
2010-08-09,10.455733299255371
2010-08-10,10.266829490661621
2010-08-11,9.577338218688965
2010-08-12,9.511220932006836
2010-08-13,9.53011417388916
2010-08-16,9.397878646850586
2010-08-17,9.719012260437012
2010-08-18,9.605669975280762
2010-08-19,9.388432502746582
2010-08-20,9.369543075561523
2010-08-23,9.133415222167969
2010-08-24,8.736721992492676
2010-08-25,8.868952751159668
2010-08-26,8.632827758789062
2010-08-27,8.878396987915039
2010-08-30,8.557266235351562
2010-08-31,8.510042190551758
2010-09-01,8.736721992492676
2010-09-02,8.982295989990234
2010-09-03,9.293985366821289
2010-09-07,9.038966178894043
2010-09-08,9.652894973754883
2010-09-09,9.700121879577637
2010-09-10,9.76623821258545
2010-09-13,9.955137252807617
2010-09-14,9.756793975830078
2010-09-15,9.879581451416016
2010-09-16,9.67178726196289
2010-09-17,9.520665168762207
2010-09-20,10.266829490661621
2010-09-21,10.134596824645996
2010-09-22,9.974030494689941
2010-09-23,9.605669975280762
2010-09-24,10.077926635742188
2010-09-27,10.625743865966797
2010-09-28,10.805201530456543
