Date,D
2010-01-04,20.4322566986084
2010-01-05,20.180524826049805
2010-01-06,20.20150375366211
2010-01-07,20.232975006103516
2010-01-08,20.22248649597168
2010-01-11,20.521413803100586
2010-01-12,20.416532516479492
2010-01-13,20.531909942626953
2010-01-14,20.51093101501465
2010-01-15,20.37456703186035
2010-01-19,20.678747177124023
2010-01-20,20.47421646118164
2010-01-21,20.206748962402344
2010-01-22,19.823898315429688
2010-01-25,19.965505599975586
2010-01-26,19.981237411499023
2010-01-27,19.92879867553711
2010-01-28,19.719013214111328
2010-01-29,19.645599365234375
2010-02-01,19.797683715820312
2010-02-02,19.92354965209961
2010-02-03,19.739999771118164
2010-02-04,19.330934524536133
2010-02-05,19.27324867248535
2010-02-08,19.021507263183594
2010-02-09,19.1788387298584
2010-02-10,19.194570541381836
2010-02-11,19.441068649291992
2010-02-12,19.477773666381836
2010-02-16,20.05466651916504
2010-02-17,20.128082275390625
2010-02-18,20.306394577026367
2010-02-19,20.542404174804688
2010-02-22,20.45323371887207
2010-02-23,20.358844757080078
2010-02-24,20.447998046875
2010-02-25,20.3471622467041
2010-02-26,20.161413192749023
2010-03-01,20.325929641723633
2010-03-02,20.42145538330078
2010-03-03,20.49045753479004
2010-03-04,20.56475257873535
2010-03-05,20.755800247192383
2010-03-08,20.739887237548828
2010-03-09,20.81418228149414
2010-03-10,20.89910316467285
2010-03-11,21.04238510131836
2010-03-12,21.06360626220703
2010-03-15,21.074222564697266
2010-03-16,21.169748306274414
2010-03-17,21.525320053100586
2010-03-18,21.4987850189209
2010-03-19,21.599626541137695
2010-03-22,21.297115325927734
2010-03-23,21.32896614074707
2010-03-24,21.27058219909668
2010-03-25,21.366111755371094
2010-03-26,21.54655647277832
2010-03-29,21.8543643951416
2010-03-30,21.896806716918945
2010-03-31,21.81720733642578
2010-04-01,22.199310302734375
2010-04-05,22.188705444335938
2010-04-06,22.130327224731445
2010-04-07,22.103784561157227
2010-04-08,22.008268356323242
2010-04-09,22.071950912475586
2010-04-12,22.18339729309082
2010-04-13,22.114404678344727
2010-04-14,22.01356315612793
2010-04-15,21.992345809936523
2010-04-16,21.8543643951416
2010-04-19,21.907426834106445
2010-04-20,21.98172378540039
2010-04-21,21.94989776611328
2010-04-22,21.94458770751953
2010-04-23,22.1674747467041
2010-04-26,22.215238571166992
2010-04-27,21.8331356048584
2010-04-28,21.98172378540039
2010-04-29,21.918048858642578
2010-04-30,22.18339729309082
2010-05-03,22.538972854614258
2010-05-04,22.119709014892578
2010-05-05,22.172773361206055
2010-05-06,21.339582443237305
2010-05-07,21.344886779785156
2010-05-10,22.24177360534668
2010-05-11,22.18339729309082
2010-05-12,22.209930419921875
2010-05-13,22.04541778564453
2010-05-14,21.75352668762207
2010-05-17,21.902124404907227
2010-05-18,21.60492515563965
2010-05-19,21.45633888244629
2010-05-20,20.824798583984375
2010-05-21,20.978696823120117
2010-05-24,20.830101013183594
2010-05-25,20.819494247436523
2010-05-26,20.70565414428711
2010-05-27,21.0170955657959
2010-05-28,20.920440673828125
2010-06-01,20.721759796142578
2010-06-02,21.328536987304688
2010-06-03,21.559438705444336
2010-06-04,20.947284698486328
2010-06-07,21.119123458862305
2010-06-08,21.56480598449707
2010-06-09,21.43593406677246
2010-06-10,21.91383934020996
2010-06-11,21.801076889038086
2010-06-14,21.736637115478516
2010-06-15,22.16621208190918
2010-06-16,22.375635147094727
2010-06-17,22.472286224365234
2010-06-18,22.552837371826172
2010-06-21,22.45618438720703
2010-06-22,21.940689086914062
2010-06-23,21.60239601135254
2010-06-24,21.559438705444336
2010-06-25,21.570173263549805
2010-06-28,21.784961700439453
2010-06-29,21.086904525756836
2010-06-30,20.80230712890625
2010-07-01,20.931177139282227
2010-07-02,20.764720916748047
2010-07-06,21.0170955657959
2010-07-07,21.575546264648438
2010-07-08,21.88161849975586
2010-07-09,21.962160110473633
2010-07-12,22.010496139526367
2010-07-13,22.069561004638672
2010-07-14,22.252132415771484
2010-07-15,22.16084861755371
2010-07-16,21.709794998168945
2010-07-19,22.23065757751465
2010-07-20,22.531354904174805
2010-07-21,22.155467987060547
2010-07-22,22.67096519470215
2010-07-23,22.77300453186035
2010-07-26,22.87502098083496
2010-07-27,23.234783172607422
2010-07-28,23.07906723022461
2010-07-29,22.38637351989746
2010-07-30,22.547456741333008
2010-08-02,23.19719696044922
2010-08-03,23.15424156188965
2010-08-04,23.358293533325195
2010-08-05,23.385150909423828
2010-08-06,23.4495849609375
2010-08-09,23.64288902282715
2010-08-10,23.723434448242188
2010-08-11,23.47106170654297
2010-08-12,23.519386291503906
2010-08-13,23.578449249267578
2010-08-16,23.64288902282715
2010-08-17,24.008033752441406
2010-08-18,23.68584442138672
2010-08-19,23.4495849609375
2010-08-20,23.58919906616211
2010-08-23,23.814720153808594
2010-08-24,23.846939086914062
2010-08-25,23.411802291870117
2010-08-26,23.20018768310547
2010-08-27,23.55829620361328
2010-08-30,23.162216186523438
2010-08-31,23.183921813964844
2010-09-01,23.79702377319336
2010-09-02,23.645105361938477
2010-09-03,23.867555618286133
2010-09-07,23.77532196044922
2010-09-08,23.72648811340332
2010-09-09,23.84042739868164
2010-09-10,23.487764358520508
2010-09-13,23.8295841217041
2010-09-14,23.889259338378906
2010-09-15,23.590843200683594
2010-09-16,23.650531768798828
2010-09-17,23.55829620361328
2010-09-20,24.030330657958984
2010-09-21,23.93266487121582
2010-09-22,23.98692512512207
2010-09-23,23.55829620361328
2010-09-24,23.997772216796875
2010-09-27,24.0140438079834
2010-09-28,23.97606658935547
