Date,MA
2010-01-04,23.649158477783203
2010-01-05,23.579177856445312
2010-01-06,23.54509162902832
2010-01-07,23.391237258911133
2010-01-08,23.399520874023438
2010-01-11,23.014413833618164
2010-01-12,23.001516342163086
2010-01-13,23.599449157714844
2010-01-14,23.998380661010742
2010-01-15,24.198299407958984
2010-01-19,24.39178466796875
2010-01-20,24.2664737701416
2010-01-21,23.816877365112305
2010-01-22,23.199600219726562
2010-01-25,23.25856590270996
2010-01-26,22.90477180480957
2010-01-27,23.616031646728516
2010-01-28,22.982168197631836
2010-01-29,23.023630142211914
2010-02-01,23.347929000854492
2010-02-02,23.268701553344727
2010-02-03,22.809873580932617
2010-02-04,20.463298797607422
2010-02-05,20.337074279785156
2010-02-08,20.85854148864746
2010-02-09,20.586759567260742
2010-02-10,20.90460968017578
2010-02-11,21.098079681396484
2010-02-12,20.77378273010254
2010-02-16,20.7571964263916
2010-02-17,20.71388816833496
2010-02-18,20.45315170288086
2010-02-19,20.511205673217773
2010-02-22,20.659534454345703
2010-02-23,20.455007553100586
2010-02-24,20.430131912231445
2010-02-25,20.406177520751953
2010-02-26,20.671520233154297
2010-03-01,21.442655563354492
2010-03-02,21.356975555419922
2010-03-03,21.388294219970703
2010-03-04,21.466611862182617
2010-03-05,22.06914710998535
2010-03-08,22.628385543823242
2010-03-09,22.708539962768555
2010-03-10,22.995983123779297
2010-03-11,23.050350189208984
2010-03-12,23.030073165893555
2010-03-15,23.04021644592285
2010-03-16,22.972036361694336
2010-03-17,22.908464431762695
2010-03-18,22.691953659057617
2010-03-19,22.513219833374023
2010-03-22,22.76381492614746
2010-03-23,22.626537322998047
2010-03-24,22.542705535888672
2010-03-25,22.6726131439209
2010-03-26,22.686426162719727
2010-03-29,22.849496841430664
2010-03-30,23.25487518310547
2010-03-31,23.401365280151367
2010-04-01,23.395835876464844
2010-04-05,23.54693031311035
2010-04-06,23.838987350463867
2010-04-07,23.567968368530273
2010-04-08,23.680435180664062
2010-04-09,23.864803314208984
2010-04-12,23.928409576416016
2010-04-13,23.829769134521484
2010-04-14,24.2565860748291
2010-04-15,24.210498809814453
2010-04-16,23.92195701599121
2010-04-19,23.719154357910156
2010-04-20,24.0961856842041
2010-04-21,24.022432327270508
2010-04-22,24.11554718017578
2010-04-23,24.633617401123047
2010-04-26,24.500879287719727
2010-04-27,23.493297576904297
2010-04-28,23.32275390625
2010-04-29,23.542156219482422
2010-04-30,22.865522384643555
2010-05-03,23.114416122436523
2010-05-04,23.16143035888672
2010-05-05,21.9344482421875
2010-05-06,21.23015785217285
2010-05-07,20.565505981445312
2010-05-10,21.231081008911133
2010-05-11,20.579336166381836
2010-05-12,21.444028854370117
2010-05-13,21.415441513061523
2010-05-14,19.58466339111328
2010-05-17,19.433483123779297
2010-05-18,18.695999145507812
2010-05-19,18.662817001342773
2010-05-20,18.943979263305664
2010-05-21,19.713727951049805
2010-05-24,19.344058990478516
2010-05-25,19.070268630981445
2010-05-26,18.89788818359375
2010-05-27,19.156009674072266
2010-05-28,18.600128173828125
2010-06-01,18.472911834716797
2010-06-02,18.53099250793457
2010-06-03,18.621326446533203
2010-06-04,18.12998390197754
2010-06-07,18.443403244018555
2010-06-08,18.210186004638672
2010-06-09,18.018442153930664
2010-06-10,18.908945083618164
2010-06-11,18.886825561523438
2010-06-14,18.821374893188477
2010-06-15,19.31917381286621
2010-06-16,19.415964126586914
2010-06-17,19.727540969848633
2010-06-18,19.751514434814453
2010-06-21,20.588558197021484
2010-06-22,20.367311477661133
2010-06-23,20.266834259033203
2010-06-24,19.809585571289062
2010-06-25,20.132244110107422
2010-06-28,19.49892807006836
2010-06-29,18.712589263916016
2010-06-30,18.393634796142578
2010-07-01,18.69991111755371
2010-07-02,18.70638084411621
2010-07-06,18.453596115112305
2010-07-07,19.14919662475586
2010-07-08,19.34292984008789
2010-07-09,19.882614135742188
2010-07-12,19.711946487426758
2010-07-13,19.80051040649414
2010-07-14,19.665821075439453
2010-07-15,19.54035186767578
2010-07-16,18.19436264038086
2010-07-19,18.066139221191406
2010-07-20,18.93977928161621
2010-07-21,18.589216232299805
2010-07-22,19.225767135620117
2010-07-23,19.644596099853516
2010-07-26,19.63444709777832
2010-07-27,19.763614654541016
2010-07-28,19.38167381286621
2010-07-29,19.223005294799805
2010-07-30,19.37706184387207
2010-08-02,18.683317184448242
2010-08-03,18.534774780273438
2010-08-04,18.93977928161621
2010-08-05,18.60120964050293
2010-08-06,19.135353088378906
2010-08-09,19.824495315551758
2010-08-10,19.95919418334961
2010-08-11,19.342002868652344
2010-08-12,19.54219627380371
2010-08-13,19.43242645263672
2010-08-16,19.413970947265625
2010-08-17,19.745153427124023
2010-08-18,19.63721466064453
2010-08-19,19.270973205566406
2010-08-20,19.03849220275879
2010-08-23,18.929630279541016
2010-08-24,18.682392120361328
2010-08-25,19.014507293701172
2010-08-26,18.74327850341797
2010-08-27,19.061553955078125
2010-08-30,18.69991111755371
2010-08-31,18.299535751342773
2010-09-01,18.55046844482422
2010-09-02,18.887189865112305
2010-09-03,19.094770431518555
2010-09-07,18.498807907104492
2010-09-08,17.9342098236084
2010-09-09,17.710948944091797
2010-09-10,18.27923583984375
2010-09-13,17.80782127380371
2010-09-14,18.427772521972656
2010-09-15,19.38998031616211
2010-09-16,19.40012550354004
2010-09-17,19.711946487426758
2010-09-20,20.17690086364746
2010-09-21,20.018224716186523
2010-09-22,20.20642852783203
2010-09-23,20.243330001831055
2010-09-24,20.440752029418945
2010-09-27,20.51455307006836
2010-09-28,20.572677612304688
