Date,NOC
2010-01-04,37.30237579345703
2010-01-05,37.36798858642578
2010-01-06,37.512351989746094
2010-01-07,37.89947509765625
2010-01-08,37.68951416015625
2010-01-11,37.728878021240234
2010-01-12,37.76823425292969
2010-01-13,38.90336990356445
2010-01-14,38.909942626953125
2010-01-15,38.46376419067383
2010-01-19,38.67373275756836
2010-01-20,38.24724578857422
2010-01-21,37.190826416015625
2010-01-22,36.50186538696289
2010-01-25,36.547786712646484
2010-01-26,36.764339447021484
2010-01-27,37.230186462402344
2010-01-28,37.1645622253418
2010-01-29,37.13835144042969
2010-02-01,38.00445556640625
2010-02-02,38.1750602722168
2010-02-03,38.39158630371094
2010-02-04,37.991329193115234
2010-02-05,37.83385467529297
2010-02-08,38.037261962890625
2010-02-09,39.073974609375
2010-02-10,38.41127395629883
2010-02-11,38.98212432861328
2010-02-12,38.64091873168945
2010-02-16,39.080535888671875
2010-02-17,39.32988739013672
2010-02-18,40.36006546020508
2010-02-19,40.16320037841797
2010-02-22,40.46505355834961
2010-02-23,40.182891845703125
2010-02-24,40.47817611694336
2010-02-25,40.385643005371094
2010-02-26,40.478172302246094
2010-03-01,41.63448715209961
2010-03-02,41.56840515136719
2010-03-03,41.178565979003906
2010-03-04,41.680747985839844
2010-03-05,42.43400573730469
2010-03-08,42.394351959228516
2010-03-09,42.28864288330078
2010-03-10,42.652061462402344
2010-03-11,42.784217834472656
2010-03-12,42.28864288330078
2010-03-15,42.493499755859375
2010-03-16,42.70491409301758
2010-03-17,42.88332748413086
2010-03-18,42.9824333190918
2010-03-19,43.30621337890625
2010-03-22,42.90974807739258
2010-03-23,43.0749626159668
2010-03-24,42.90974807739258
2010-03-25,42.93619155883789
2010-03-26,43.29960250854492
2010-03-29,43.46480178833008
2010-03-30,43.42513656616211
2010-03-31,43.3260383605957
2010-04-01,43.77534866333008
2010-04-05,43.887691497802734
2010-04-06,43.431758880615234
2010-04-07,43.094764709472656
2010-04-08,43.015480041503906
2010-04-09,43.70926284790039
2010-04-12,43.755523681640625
2010-04-13,44.033058166503906
2010-04-14,44.171817779541016
2010-04-15,44.1519660949707
2010-04-16,43.5903434753418
2010-04-19,43.887691497802734
2010-04-20,44.5550537109375
2010-04-21,45.176170349121094
2010-04-22,45.58584213256836
2010-04-23,45.58584213256836
2010-04-26,45.546173095703125
2010-04-27,44.389862060546875
2010-04-28,45.37439727783203
2010-04-29,45.8435173034668
2010-04-30,44.81935501098633
2010-05-03,45.75102233886719
2010-05-04,44.046268463134766
2010-05-05,44.19161605834961
2010-05-06,42.665279388427734
2010-05-07,41.522159576416016
2010-05-10,42.8701057434082
2010-05-11,42.87672424316406
2010-05-12,43.44497299194336
2010-05-13,42.93619155883789
2010-05-14,41.81951904296875
2010-05-17,42.070587158203125
2010-05-18,41.52875518798828
2010-05-19,41.14551544189453
2010-05-20,39.65882873535156
2010-05-21,40.39225769042969
2010-05-24,39.8107795715332
2010-05-25,40.1742057800293
2010-05-26,39.7645378112793
2010-05-27,40.64359664916992
2010-05-28,40.28397750854492
2010-06-01,39.65132141113281
2010-06-02,40.503753662109375
2010-06-03,40.577003479003906
2010-06-04,38.785587310791016
2010-06-07,38.01972579956055
2010-06-08,38.21284484863281
2010-06-09,38.33272171020508
2010-06-10,39.32500076293945
2010-06-11,39.751216888427734
2010-06-14,39.78451156616211
2010-06-15,40.290645599365234
2010-06-16,40.676902770996094
2010-06-17,40.95661926269531
2010-06-18,41.342857360839844
2010-06-21,40.783470153808594
2010-06-22,40.1241569519043
2010-06-23,39.91105270385742
2010-06-24,39.211795806884766
2010-06-25,39.02531433105469
2010-06-28,38.90544891357422
2010-06-29,36.97415542602539
2010-06-30,36.254920959472656
2010-07-01,36.061798095703125
2010-07-02,36.028507232666016
2010-07-06,36.041805267333984
2010-07-07,37.02078628540039
2010-07-08,37.40704345703125
2010-07-09,36.92754364013672
2010-07-12,36.32819366455078
2010-07-13,36.80101013183594
2010-07-14,37.95311737060547
2010-07-15,37.70005798339844
2010-07-16,36.454708099365234
2010-07-19,36.95418930053711
2010-07-20,37.506927490234375
2010-07-21,37.31381607055664
2010-07-22,38.559146881103516
2010-07-23,38.73896789550781
2010-07-26,39.318328857421875
2010-07-27,38.7189826965332
2010-07-28,38.88545608520508
2010-07-29,38.91877365112305
2010-07-30,39.051971435546875
2010-08-02,39.431556701660156
2010-08-03,39.238407135009766
2010-08-04,39.63800048828125
2010-08-05,39.631351470947266
2010-08-06,39.964332580566406
2010-08-09,40.02427291870117
2010-08-10,39.391605377197266
2010-08-11,37.91316223144531
2010-08-12,37.64678192138672
2010-08-13,37.67342758178711
2010-08-16,37.446998596191406
2010-08-17,38.30608367919922
2010-08-18,38.77891159057617
2010-08-19,37.99973678588867
2010-08-20,38.20618438720703
2010-08-23,37.613487243652344
2010-08-24,36.854278564453125
2010-08-25,36.834312438964844
2010-08-26,36.6865348815918
2010-08-27,37.26418685913086
2010-08-30,36.43802261352539
2010-08-31,36.35069274902344
2010-09-01,37.99629211425781
2010-09-02,38.73512268066406
2010-09-03,38.83588409423828
2010-09-07,37.976139068603516
2010-09-08,38.184364318847656
2010-09-09,38.34556579589844
2010-09-10,39.44709777832031
2010-09-13,39.500831604003906
2010-09-14,39.18516159057617
2010-09-15,38.95005416870117
2010-09-16,38.80229568481445
2010-09-17,39.5680046081543
2010-09-20,40.13219451904297
2010-09-21,40.01801681518555
2010-09-22,39.67546081542969
2010-09-23,39.66204071044922
2010-09-24,40.52175521850586
2010-09-27,40.481475830078125
2010-09-28,40.64939498901367
