Date,EBAY
2010-01-04,9.01181411743164
2010-01-05,8.917548179626465
2010-01-06,8.86098575592041
2010-01-07,8.759181022644043
2010-01-08,8.864757537841797
2010-01-11,8.842133522033691
2010-01-12,8.744098663330078
2010-01-13,8.898693084716797
2010-01-14,8.62720775604248
2010-01-15,8.472612380981445
2010-01-19,8.770492553710938
2010-01-20,8.382115364074707
2010-01-21,9.098535537719727
2010-01-22,8.891151428222656
2010-01-25,8.932628631591797
2010-01-26,9.07591438293457
2010-01-27,9.0382080078125
2010-01-28,8.79688549041748
2010-01-29,8.679998397827148
2010-02-01,8.736559867858887
2010-02-02,8.702620506286621
2010-02-03,8.759181022644043
2010-02-04,8.465070724487305
2010-02-05,8.56310749053955
2010-02-08,8.48015308380127
2010-02-09,8.434905052185059
2010-02-10,8.28030776977539
2010-02-11,8.34441089630127
2010-02-12,8.208669662475586
2010-02-16,8.491467475891113
2010-02-17,8.551796913146973
2010-02-18,8.612126350402832
2010-02-19,8.830821990966797
2010-02-22,8.778033256530762
2010-02-23,8.6309814453125
2010-02-24,8.770492553710938
2010-02-25,8.672456741333008
2010-02-26,8.679998397827148
2010-03-01,9.004267692565918
2010-03-02,9.045748710632324
2010-03-03,8.864757537841797
2010-03-04,8.96656608581543
2010-03-05,9.287070274353027
2010-03-08,9.366249084472656
2010-03-09,9.61888599395752
2010-03-10,9.637736320495605
2010-03-11,9.592490196228027
2010-03-12,9.792335510253906
2010-03-15,9.909221649169922
2010-03-16,10.101526260375977
2010-03-17,10.17316722869873
2010-03-18,10.354156494140625
2010-03-19,10.252350807189941
2010-03-22,10.207100868225098
2010-03-23,10.199560165405273
2010-03-24,10.158086776733398
2010-03-25,10.391863822937012
2010-03-26,10.350386619567871
2010-03-29,10.286285400390625
2010-03-30,10.233498573303223
2010-03-31,10.169397354125977
2010-04-01,10.018570899963379
2010-04-05,10.320220947265625
2010-04-06,10.282516479492188
2010-04-07,10.124151229858398
2010-04-08,9.977095603942871
2010-04-09,10.011030197143555
2010-04-12,10.041194915771484
2010-04-13,10.044966697692871
2010-04-14,10.195789337158203
2010-04-15,10.17316722869873
2010-04-16,9.928074836730957
2010-04-19,9.92430591583252
2010-04-20,9.95447063446045
2010-04-21,9.912993431091309
2010-04-22,9.3436279296875
2010-04-23,9.256905555725098
2010-04-26,9.260673522949219
2010-04-27,8.962793350219727
2010-04-28,9.045748710632324
2010-04-29,9.1400146484375
2010-04-30,8.96656608581543
2010-05-03,9.015582084655762
2010-05-04,8.702620506286621
2010-05-05,8.5442533493042
2010-05-06,8.397198677062988
2010-05-07,8.099318504333496
2010-05-10,8.419824600219727
2010-05-11,8.438678741455078
2010-05-12,8.48769474029541
2010-05-13,8.551796913146973
2010-05-14,8.389657974243164
2010-05-17,8.48769474029541
2010-05-18,8.359493255615234
2010-05-19,8.159649848937988
2010-05-20,7.8466877937316895
2010-05-21,8.07669734954834
2010-05-24,8.05407428741455
2010-05-25,8.140796661376953
2010-05-26,8.061612129211426
2010-05-27,8.261456489562988
2010-05-28,8.072924613952637
2010-06-01,7.903247833251953
2010-06-02,8.012595176696777
2010-06-03,8.363263130187988
2010-06-04,8.291622161865234
2010-06-07,8.125714302062988
2010-06-08,8.178502082824707
2010-06-09,8.212438583374023
2010-06-10,8.400972366333008
2010-06-11,8.540483474731445
2010-06-14,8.374577522277832
2010-06-15,8.4424467086792
2010-06-16,8.34441089630127
2010-06-17,8.333097457885742
2010-06-18,8.355721473693848
2010-06-21,8.246373176574707
2010-06-22,8.129487037658691
2010-06-23,8.046529769897461
2010-06-24,7.865538597106934
2010-06-25,7.899474620819092
2010-06-28,7.80897855758667
2010-06-29,7.424375534057617
2010-06-30,7.394211292266846
2010-07-01,7.405523300170898
2010-07-02,7.262238502502441
2010-07-06,7.296173572540283
2010-07-07,7.46962308883667
2010-07-08,7.4997878074646
2010-07-09,7.650613784790039
2010-07-12,7.624221324920654
2010-07-13,7.922101020812988
2010-07-14,7.959807872772217
2010-07-15,7.9296393394470215
2010-07-16,7.575201511383057
2010-07-19,7.692091941833496
2010-07-20,7.839146137237549
2010-07-21,7.6053643226623535
2010-07-22,7.89570426940918
2010-07-23,7.952263355255127
2010-07-26,7.971116542816162
2010-07-27,7.93341064453125
2010-07-28,7.93341064453125
2010-07-29,7.83160400390625
2010-07-30,7.88439416885376
2010-08-02,8.091778755187988
2010-08-03,7.907018184661865
2010-08-04,7.956036567687988
2010-08-05,7.944722652435303
2010-08-06,8.088006973266602
2010-08-09,8.287849426269531
2010-08-10,8.261456489562988
2010-08-11,8.012595176696777
2010-08-12,8.140796661376953
2010-08-13,8.10685920715332
2010-08-16,8.31424331665039
2010-08-17,8.427362442016602
2010-08-18,8.574419021606445
2010-08-19,8.721474647521973
2010-08-20,8.811968803405762
2010-08-23,8.774262428283691
2010-08-24,8.62343692779541
2010-08-25,8.732784271240234
2010-08-26,8.570649147033691
2010-08-27,8.740326881408691
2010-08-30,8.721474647521973
2010-08-31,8.759181022644043
2010-09-01,9.060829162597656
2010-09-02,9.072142601013184
2010-09-03,9.098535537719727
2010-09-07,8.872299194335938
2010-09-08,9.264445304870605
2010-09-09,9.162637710571289
2010-09-10,9.087224960327148
2010-09-13,9.162637710571289
2010-09-14,9.143780708312988
2010-09-15,9.121162414550781
2010-09-16,9.01181411743164
2010-09-17,9.132474899291992
2010-09-20,9.294610977172852
2010-09-21,9.328545570373535
2010-09-22,9.177719116210938
2010-09-23,9.143780708312988
2010-09-24,9.328545570373535
2010-09-27,9.33985710144043
