Date,SCHW
2010-01-04,16.231016159057617
2010-01-05,16.18178367614746
2010-01-06,15.886370658874512
2010-01-07,15.828927993774414
2010-01-08,15.722253799438477
2010-01-11,15.681224822998047
2010-01-12,15.664817810058594
2010-01-13,15.673023223876953
2010-01-14,15.738665580749512
2010-01-15,15.590959548950195
2010-01-19,15.828927993774414
2010-01-20,15.60737419128418
2010-01-21,15.7140474319458
2010-01-22,15.44325065612793
2010-01-25,15.558135032653809
2010-01-26,15.287341117858887
2010-01-27,15.377612113952637
2010-01-28,15.115030288696289
2010-01-29,15.00835132598877
2010-02-01,15.131439208984375
2010-02-02,14.959115982055664
2010-02-03,14.909881591796875
2010-02-04,14.433947563171387
2010-02-05,14.82783031463623
2010-02-08,14.54062271118164
2010-02-09,14.360101699829102
2010-02-10,14.714160919189453
2010-02-11,14.55771255493164
2010-02-12,14.500079154968262
2010-02-16,14.664754867553711
2010-02-17,14.607114791870117
2010-02-18,14.664754867553711
2010-02-19,15.422285079956055
2010-02-22,15.405816078186035
2010-02-23,15.15880012512207
2010-02-24,15.175263404846191
2010-02-25,15.035286903381348
2010-02-26,15.076454162597656
2010-03-01,15.027050971984863
2010-03-02,15.035286903381348
2010-03-03,14.92000675201416
2010-03-04,15.175263404846191
2010-03-05,15.611669540405273
2010-03-08,15.677536010742188
2010-03-09,15.619900703430176
2010-03-10,15.694003105163574
2010-03-11,15.726949691772461
2010-03-12,15.175263404846191
2010-03-15,15.018823623657227
2010-03-16,15.208200454711914
2010-03-17,15.224669456481934
2010-03-18,15.471691131591797
2010-03-19,15.298768043518066
2010-03-22,15.265838623046875
2010-03-23,15.249371528625488
2010-03-24,15.191732406616211
2010-03-25,15.414051055908203
2010-03-26,15.446986198425293
2010-03-29,15.422285079956055
2010-03-30,15.438752174377441
2010-03-31,15.3893461227417
2010-04-01,15.331707000732422
2010-04-05,15.545794486999512
2010-04-06,15.84221076965332
2010-04-07,15.866922378540039
2010-04-08,15.743412017822266
2010-04-09,15.833983421325684
2010-04-12,16.097471237182617
2010-04-13,16.146867752075195
2010-04-14,15.93278980255127
2010-04-15,15.891613960266113
2010-04-16,15.611669540405273
2010-04-19,15.694003105163574
2010-04-20,15.883389472961426
2010-04-21,16.048067092895508
2010-04-22,16.138641357421875
2010-04-23,16.36919403076172
2010-04-26,16.089237213134766
2010-04-27,15.545794486999512
2010-04-28,15.628134727478027
2010-04-29,15.866922378540039
2010-04-30,15.883389472961426
2010-05-03,16.1057071685791
2010-05-04,15.570497512817383
2010-05-05,15.537454605102539
2010-05-06,15.05010986328125
2010-05-07,14.224081993103027
2010-05-10,14.97575569152832
2010-05-11,14.571004867553711
2010-05-12,14.604049682617188
2010-05-13,14.455371856689453
2010-05-14,13.934978485107422
2010-05-17,14.356245040893555
2010-05-18,14.00931167602539
2010-05-19,14.124958992004395
2010-05-20,13.398059844970703
2010-05-21,13.769770622253418
2010-05-24,13.398059844970703
2010-05-25,13.538483619689941
2010-05-26,13.38154125213623
2010-05-27,13.844112396240234
2010-05-28,13.497180938720703
2010-06-01,13.183295249938965
2010-06-02,13.588044166564941
2010-06-03,13.794551849365234
2010-06-04,13.47240161895752
2010-06-07,13.108955383300781
2010-06-08,13.224591255187988
2010-06-09,13.001572608947754
2010-06-10,13.315460205078125
2010-06-11,13.480663299560547
2010-06-14,13.09243106842041
2010-06-15,13.175034523010254
2010-06-16,13.0346097946167
2010-06-17,12.720723152160645
2010-06-18,12.762024879455566
2010-06-21,12.629857063293457
2010-06-22,12.299450874328613
2010-06-23,12.299450874328613
2010-06-24,12.07642650604248
2010-06-25,12.340753555297852
2010-06-28,12.373791694641113
2010-06-29,11.71297836303711
2010-06-30,11.71297836303711
2010-07-01,11.514730453491211
2010-07-02,11.514730453491211
2010-07-06,11.67167854309082
2010-07-07,11.762534141540527
2010-07-08,11.655155181884766
2010-07-09,11.762534141540527
2010-07-12,11.911224365234375
2010-07-13,12.051644325256348
2010-07-14,11.97730541229248
2010-07-15,12.018606185913086
2010-07-16,12.50595760345459
2010-07-19,12.530735969543457
2010-07-20,12.45639419555664
2010-07-21,12.142507553100586
2010-07-22,12.489437103271484
2010-07-23,12.572037696838379
2010-07-26,12.662900924682617
2010-07-27,12.588561058044434
2010-07-28,12.390315055847168
2010-07-29,12.423356056213379
2010-07-30,12.216849327087402
2010-08-02,12.390315055847168
2010-08-03,12.307714462280273
2010-08-04,12.720723152160645
2010-08-05,12.745504379272461
2010-08-06,12.621599197387695
2010-08-09,12.745504379272461
2010-08-10,12.572037696838379
2010-08-11,12.157393455505371
2010-08-12,12.232030868530273
2010-08-13,12.041293144226074
2010-08-16,11.817387580871582
2010-08-17,11.958362579345703
2010-08-18,11.900318145751953
2010-08-19,11.610064506530762
2010-08-20,11.717872619628906
2010-08-23,11.701286315917969
2010-08-24,11.411036491394043
2010-08-25,11.187125205993652
2010-08-26,10.905163764953613
2010-08-27,10.963213920593262
2010-08-30,10.631501197814941
2010-08-31,10.581745147705078
2010-09-01,11.228589057922363
2010-09-02,11.419327735900879
2010-09-03,11.493966102600098
2010-09-07,11.270051956176758
2010-09-08,11.386155128479004
2010-09-09,11.212003707885742
2010-09-10,11.336396217346191
2010-09-13,11.62664794921875
2010-09-14,11.485668182373047
2010-09-15,11.543723106384277
2010-09-16,11.336396217346191
2010-09-17,11.386155128479004
2010-09-20,11.593478202819824
2010-09-21,11.543723106384277
2010-09-22,11.303223609924316
2010-09-23,11.170538902282715
2010-09-24,11.585186958312988
2010-09-27,11.55201530456543
2010-09-28,11.767631530761719
