Date,GD
2010-01-04,47.90078353881836
2010-01-05,47.97691345214844
2010-01-06,47.935386657714844
2010-01-07,48.07384490966797
2010-01-08,48.07384490966797
2010-01-11,48.96692657470703
2010-01-12,48.66923904418945
2010-01-13,49.46971893310547
2010-01-14,49.49058532714844
2010-01-15,49.149513244628906
2010-01-19,49.20520782470703
2010-01-20,48.27942657470703
2010-01-21,47.43022155761719
2010-01-22,46.6506233215332
2010-01-25,47.23532485961914
2010-01-26,47.83394241333008
2010-01-27,46.79682159423828
2010-01-28,47.054351806640625
2010-01-29,46.53228759765625
2010-02-01,48.328163146972656
2010-02-02,48.74580383300781
2010-02-03,48.808441162109375
2010-02-04,47.44415283203125
2010-02-05,46.400047302246094
2010-02-08,46.18426513671875
2010-02-09,47.360626220703125
2010-02-10,47.082191467285156
2010-02-11,47.19357681274414
2010-02-12,47.2979736328125
2010-02-16,48.62049102783203
2010-02-17,48.79450225830078
2010-02-18,49.96390914916992
2010-02-19,50.5416374206543
2010-02-22,50.513816833496094
2010-02-23,49.98479461669922
2010-02-24,50.53471374511719
2010-02-25,50.25625991821289
2010-02-26,50.4998893737793
2010-03-01,51.446556091308594
2010-03-02,51.49528121948242
2010-03-03,50.694786071777344
2010-03-04,50.77137756347656
2010-03-05,51.321250915527344
2010-03-08,51.26558303833008
2010-03-09,51.28644943237305
2010-03-10,51.46742248535156
2010-03-11,51.61359786987305
2010-03-12,51.342132568359375
2010-03-15,51.27253341674805
2010-03-16,51.3073616027832
2010-03-17,52.19134521484375
2010-03-18,52.3723258972168
2010-03-19,52.546329498291016
2010-03-22,52.66468048095703
2010-03-23,53.555625915527344
2010-03-24,52.72035598754883
2010-03-25,53.05447769165039
2010-03-26,53.54170227050781
2010-03-29,54.62759780883789
2010-03-30,53.9384765625
2010-03-31,53.736602783203125
2010-04-01,54.23084259033203
2010-04-05,54.453582763671875
2010-04-06,53.882789611816406
2010-04-07,53.51886749267578
2010-04-08,53.756805419921875
2010-04-09,54.26771926879883
2010-04-12,54.09976577758789
2010-04-13,53.78480529785156
2010-04-14,53.68680191040039
2010-04-15,53.511871337890625
2010-04-16,53.2179069519043
2010-04-19,53.287899017333984
2010-04-20,53.8477897644043
2010-04-21,54.62466049194336
2010-04-22,54.73664855957031
2010-04-23,55.00960159301758
2010-04-26,55.058555603027344
2010-04-27,53.581851959228516
2010-04-28,53.87578582763672
2010-04-29,54.56166076660156
2010-04-30,53.441871643066406
2010-05-03,54.274715423583984
2010-05-04,52.68600845336914
2010-05-05,52.462059020996094
2010-05-06,50.432456970214844
2010-05-07,49.340667724609375
2010-05-10,51.167320251464844
2010-05-11,50.84538269042969
2010-05-12,51.85319137573242
2010-05-13,51.06233215332031
2010-05-14,50.187503814697266
2010-05-17,50.22947692871094
2010-05-18,49.37565231323242
2010-05-19,48.76676559448242
2010-05-20,46.401206970214844
2010-05-21,47.206050872802734
2010-05-24,46.16325759887695
2010-05-25,46.21924591064453
2010-05-26,46.45720291137695
2010-05-27,47.926937103271484
2010-05-28,47.5210075378418
2010-06-01,46.709144592285156
2010-06-02,47.53498840332031
2010-06-03,47.639976501464844
2010-06-04,45.61735916137695
2010-06-07,43.44776916503906
2010-06-08,43.84669876098633
2010-06-09,43.77671813964844
2010-06-10,44.84050369262695
2010-06-11,45.19743728637695
2010-06-14,45.008480072021484
2010-06-15,46.62517547607422
2010-06-16,46.39421081542969
2010-06-17,46.4082145690918
2010-06-18,46.82111740112305
2010-06-21,46.73713684082031
2010-06-22,45.80632019042969
2010-06-23,45.4144172668457
2010-06-24,44.26662063598633
2010-06-25,44.245628356933594
2010-06-28,43.573753356933594
2010-06-29,41.59312057495117
2010-06-30,41.275943756103516
2010-07-01,41.23365020751953
2010-07-02,41.3746223449707
2010-07-06,41.332332611083984
2010-07-07,42.44599533081055
2010-07-08,42.97462844848633
2010-07-09,42.88301086425781
2010-07-12,42.19929122924805
2010-07-13,42.68564224243164
2010-07-14,43.42573928833008
2010-07-15,43.32704162597656
2010-07-16,41.51560974121094
2010-07-19,41.30412292480469
2010-07-20,41.734092712402344
2010-07-21,41.783416748046875
2010-07-22,43.01690673828125
2010-07-23,43.20018005371094
2010-07-26,44.045997619628906
2010-07-27,43.53850173950195
2010-07-28,43.55964660644531
2010-07-29,43.510311126708984
2010-07-30,43.17198944091797
2010-08-02,44.34202194213867
2010-08-03,44.172855377197266
2010-08-04,44.64511489868164
2010-08-05,44.94820785522461
2010-08-06,44.955257415771484
2010-08-09,45.33586502075195
2010-08-10,45.173763275146484
2010-08-11,43.22132873535156
2010-08-12,42.79841232299805
2010-08-13,42.7631721496582
2010-08-16,42.58696365356445
2010-08-17,43.94026184082031
2010-08-18,44.045997619628906
2010-08-19,42.72792053222656
2010-08-20,42.453033447265625
2010-08-23,41.818668365478516
2010-08-24,40.78959274291992
2010-08-25,40.16932678222656
2010-08-26,40.05656051635742
2010-08-27,40.43716812133789
2010-08-30,39.873294830322266
2010-08-31,39.3798828125
2010-09-01,40.72616195678711
2010-09-02,41.55082321166992
2010-09-03,42.09355926513672
2010-09-07,41.22659683227539
2010-09-08,41.93144607543945
2010-09-09,42.16407012939453
2010-09-10,43.087406158447266
2010-09-13,43.827484130859375
2010-09-14,43.320003509521484
2010-09-15,43.18606948852539
2010-09-16,43.21427917480469
2010-09-17,44.18696594238281
2010-09-20,44.849525451660156
2010-09-21,44.83542251586914
2010-09-22,44.3138313293457
2010-09-23,43.686519622802734
2010-09-24,44.884769439697266
2010-09-27,44.497108459472656
2010-09-28,44.59577560424805
