Date,WEC
2010-01-04,14.957690238952637
2010-01-05,14.762187957763672
2010-01-06,14.91257095336914
2010-01-07,14.882498741149902
2010-01-08,14.969725608825684
2010-01-11,15.192298889160156
2010-01-12,15.129129409790039
2010-01-13,15.231407165527344
2010-01-14,15.195301055908203
2010-01-15,15.123119354248047
2010-01-19,15.252457618713379
2010-01-20,15.198318481445312
2010-01-21,15.090032577514648
2010-01-22,14.74413776397705
2010-01-25,14.834372520446777
2010-01-26,14.738126754760742
2010-01-27,14.723085403442383
2010-01-28,14.708043098449707
2010-01-29,14.720076560974121
2010-02-01,14.777223587036133
2010-02-02,14.918587684631348
2010-02-03,14.759178161621094
2010-02-04,14.491486549377441
2010-02-05,14.6358642578125
2010-02-08,14.470437049865723
2010-02-09,14.467421531677246
2010-02-10,14.47955322265625
2010-02-11,14.640305519104004
2010-02-12,14.518980026245117
2010-02-16,14.79802417755127
2010-02-17,14.758596420288086
2010-02-18,14.831380844116211
2010-02-19,15.104355812072754
2010-02-22,15.061887741088867
2010-02-23,14.89204216003418
2010-02-24,14.825316429138184
2010-02-25,14.755560874938965
2010-02-26,14.68883228302002
2010-03-01,14.95573616027832
2010-03-02,15.143784523010254
2010-03-03,15.119514465332031
2010-03-04,15.083121299743652
2010-03-05,15.14681339263916
2010-03-08,15.183212280273438
2010-03-09,15.122556686401367
2010-03-10,15.128618240356445
2010-03-11,15.207476615905762
2010-03-12,15.161978721618652
2010-03-15,15.228708267211914
2010-03-16,15.392483711242676
2010-03-17,15.525943756103516
2010-03-18,15.477417945861816
2010-03-19,15.334861755371094
2010-03-22,15.23173999786377
2010-03-23,15.268136978149414
2010-03-24,15.131651878356934
2010-03-25,15.043691635131836
2010-03-26,15.037623405456543
2010-03-29,15.077055931091309
2010-03-30,15.00123119354248
2010-03-31,14.986063003540039
2010-04-01,15.137718200683594
2010-04-05,15.292394638061523
2010-04-06,15.44101619720459
2010-04-07,15.319695472717285
2010-04-08,15.2196044921875
2010-04-09,15.310600280761719
2010-04-12,15.41978931427002
2010-04-13,15.456185340881348
2010-04-14,15.58053970336914
2010-04-15,15.450116157531738
2010-04-16,15.334861755371094
2010-04-19,15.398552894592285
2010-04-20,15.583572387695312
2010-04-21,15.668481826782227
2010-04-22,15.717022895812988
2010-04-23,15.765544891357422
2010-04-26,15.726119041442871
2010-04-27,15.431918144226074
2010-04-28,15.468317985534668
2010-04-29,15.829240798950195
2010-04-30,15.926300048828125
2010-05-03,16.2083683013916
2010-05-04,16.065813064575195
2010-05-05,15.950563430786133
2010-05-06,15.307562828063965
2010-05-07,15.2196044921875
2010-05-10,15.720054626464844
2010-05-11,15.82317066192627
2010-05-12,15.862907409667969
2010-05-13,15.670352935791016
2010-05-14,15.548096656799316
2010-05-17,15.633678436279297
2010-05-18,15.493083000183105
2010-05-19,15.4686279296875
2010-05-20,14.921526908874512
2010-05-21,14.887904167175293
2010-05-24,14.802324295043945
2010-05-25,14.735077857971191
2010-05-26,14.77176284790039
2010-05-27,14.973489761352539
2010-05-28,14.976546287536621
2010-06-01,14.76565170288086
2010-06-02,15.0315580368042
2010-06-03,15.052958488464355
2010-06-04,14.698408126831055
2010-06-07,14.566985130310059
2010-06-08,14.835947036743164
2010-06-09,14.670904159545898
2010-06-10,15.107969284057617
2010-06-11,15.1904935836792
2010-06-14,15.172152519226074
2010-06-15,15.4686279296875
2010-06-16,15.652016639709473
2010-06-17,15.884307861328125
2010-06-18,15.823174476623535
2010-06-21,15.670352935791016
2010-06-22,15.38304615020752
2010-06-23,15.208833694458008
2010-06-24,15.505304336547852
2010-06-25,15.679524421691895
2010-06-28,15.823174476623535
2010-06-29,15.722311973571777
2010-06-30,15.508365631103516
2010-07-01,15.257733345031738
2010-07-02,15.447233200073242
2010-07-06,15.700920104980469
2010-07-07,16.125755310058594
2010-07-08,16.193008422851562
2010-07-09,16.22663116455078
2010-07-12,16.272476196289062
2010-07-13,16.397790908813477
2010-07-14,16.428356170654297
2010-07-15,16.474197387695312
2010-07-16,16.156330108642578
2010-07-19,16.437519073486328
2010-07-20,16.605619430541992
2010-07-21,16.32137107849121
2010-07-22,16.65758514404297
2010-07-23,16.819576263427734
2010-07-26,16.88681411743164
2010-07-27,17.01824188232422
2010-07-28,16.92043685913086
2010-07-29,16.75844383239746
2010-07-30,16.59033966064453
2010-08-02,16.92349624633789
2010-08-03,16.844022750854492
2010-08-04,16.874591827392578
2010-08-05,16.951004028320312
2010-08-06,17.067142486572266
2010-08-09,17.100767135620117
2010-08-10,17.15272331237793
2010-08-11,16.989574432373047
2010-08-12,16.946470260620117
2010-08-13,16.998807907104492
2010-08-16,17.04190444946289
2010-08-17,17.260469436645508
2010-08-18,17.294334411621094
2010-08-19,17.103471755981445
2010-08-20,17.12502098083496
2010-08-23,17.14657211303711
2010-08-24,17.192745208740234
2010-08-25,17.19890022277832
2010-08-26,17.054224014282227
2010-08-27,17.39899253845215
2010-08-30,17.131175994873047
2010-08-31,17.15888214111328
2010-09-01,17.540607452392578
2010-09-02,17.549840927124023
2010-09-03,17.663734436035156
2010-09-07,17.559072494506836
2010-09-08,17.435930252075195
2010-09-09,17.568307876586914
2010-09-10,17.589853286743164
2010-09-13,17.75609016418457
2010-09-14,17.78687286376953
2010-09-15,17.648347854614258
2010-09-16,17.540607452392578
2010-09-17,17.439014434814453
2010-09-20,17.89153480529785
2010-09-21,17.77147674560547
2010-09-22,17.808422088623047
2010-09-23,17.555994033813477
2010-09-24,17.879222869873047
2010-09-27,17.873069763183594
2010-09-28,17.996196746826172
