Date,SRE
2010-01-04,17.155834197998047
2010-01-05,16.79062271118164
2010-01-06,16.560441970825195
2010-01-07,16.523611068725586
2010-01-08,16.514408111572266
2010-01-11,16.753793716430664
2010-01-12,16.695484161376953
2010-01-13,16.532817840576172
2010-01-14,16.449951171875
2010-01-15,16.087812423706055
2010-01-19,16.121570587158203
2010-01-20,15.92208480834961
2010-01-21,16.020294189453125
2010-01-22,15.820802688598633
2010-01-25,15.833084106445312
2010-01-26,15.790117263793945
2010-01-27,15.676567077636719
2010-01-28,15.590627670288086
2010-01-29,15.575284957885742
2010-02-01,15.719532012939453
2010-02-02,15.802390098571777
2010-02-03,15.599833488464355
2010-02-04,15.213146209716797
2010-02-05,15.246904373168945
2010-02-08,15.041280746459961
2010-02-09,15.219284057617188
2010-02-10,15.118000984191895
2010-02-11,15.274521827697754
2010-02-12,15.185516357421875
2010-02-16,15.038212776184082
2010-02-17,14.789619445800781
2010-02-18,14.771200180053711
2010-02-19,15.02286434173584
2010-02-22,14.924649238586426
2010-02-23,14.804962158203125
2010-02-24,14.89395523071289
2010-02-25,15.443317413330078
2010-02-26,15.090381622314453
2010-03-01,15.130274772644043
2010-03-02,14.973760604858398
2010-03-03,15.019794464111328
2010-03-04,14.97989273071289
2010-03-05,15.26224422454834
2010-03-08,15.652010917663574
2010-03-09,15.544591903686523
2010-03-10,15.553801536560059
2010-03-11,15.5261812210083
2010-03-12,15.42796802520752
2010-03-15,15.42183780670166
2010-03-16,15.567204475402832
2010-03-17,15.56102180480957
2010-03-18,15.697113037109375
2010-03-19,15.619784355163574
2010-03-22,15.56102180480957
2010-03-23,15.483695983886719
2010-03-24,15.332136154174805
2010-03-25,15.075416564941406
2010-03-26,15.202232360839844
2010-03-29,15.601232528686523
2010-03-30,15.545555114746094
2010-03-31,15.434206008911133
2010-04-01,15.681645393371582
2010-04-05,15.85176944732666
2010-04-06,15.885787010192871
2010-04-07,15.728048324584961
2010-04-08,15.56102180480957
2010-04-09,15.616700172424316
2010-04-12,15.613600730895996
2010-04-13,15.5115327835083
2010-04-14,15.400190353393555
2010-04-15,15.359977722167969
2010-04-16,15.186766624450684
2010-04-19,15.310482025146484
2010-04-20,15.45276165008545
2010-04-21,15.5115327835083
2010-04-22,15.505340576171875
2010-04-23,15.616700172424316
2010-04-26,15.52700138092041
2010-04-27,15.162019729614258
2010-04-28,15.310482025146484
2010-04-29,15.28882884979248
2010-04-30,15.211511611938477
2010-05-03,15.579577445983887
2010-05-04,15.140371322631836
2010-05-05,14.886738777160645
2010-05-06,14.549602508544922
2010-05-07,14.364020347595215
2010-05-10,14.685694694519043
2010-05-11,14.63001823425293
2010-05-12,14.589803695678711
2010-05-13,14.664036750793457
2010-05-14,14.602180480957031
2010-05-17,14.586713790893555
2010-05-18,14.63001823425293
2010-05-19,14.6423921585083
2010-05-20,14.16606616973877
2010-05-21,14.258857727050781
2010-05-24,14.06709098815918
2010-05-25,13.94028091430664
2010-05-26,13.906250953674316
2010-05-27,14.132040977478027
2010-05-28,14.227931022644043
2010-06-01,13.872225761413574
2010-06-02,14.159880638122559
2010-06-03,14.249580383300781
2010-06-04,13.767064094543457
2010-06-07,13.909343719482422
2010-06-08,14.351649284362793
2010-06-09,14.29906177520752
2010-06-10,14.725911140441895
2010-06-11,14.880559921264648
2010-06-14,14.91458511352539
2010-06-15,15.202232360839844
2010-06-16,15.34876537322998
2010-06-17,15.579475402832031
2010-06-18,15.620011329650879
2010-06-21,15.3799409866333
2010-06-22,14.909158706665039
2010-06-23,14.893570899963379
2010-06-24,14.949689865112305
2010-06-25,15.040103912353516
2010-06-28,15.158576965332031
2010-06-29,14.809392929077148
2010-06-30,14.588031768798828
2010-07-01,14.47579288482666
2010-07-02,14.500731468200684
2010-07-06,14.672210693359375
2010-07-07,15.11805248260498
2010-07-08,15.230293273925781
2010-07-09,15.358111381530762
2010-07-12,15.373711585998535
2010-07-13,15.510883331298828
2010-07-14,15.395530700683594
2010-07-15,15.401766777038574
2010-07-16,15.133638381958008
2010-07-19,15.417353630065918
2010-07-20,15.573243141174316
2010-07-21,15.345646858215332
2010-07-22,15.697956085205078
2010-07-23,15.73224925994873
2010-07-26,15.825785636901855
2010-07-27,15.950495719909668
2010-07-28,15.769660949707031
2010-07-29,15.576360702514648
2010-07-30,15.510883331298828
2010-08-02,15.729138374328613
2010-08-03,16.012855529785156
2010-08-04,16.04090690612793
2010-08-05,16.156272888183594
2010-08-06,16.150033950805664
2010-08-09,16.193675994873047
2010-08-10,16.346450805664062
2010-08-11,16.13755989074707
2010-08-12,15.987908363342285
2010-08-13,15.94737434387207
2010-08-16,15.97544002532959
2010-08-17,16.02531623840332
2010-08-18,15.994147300720215
2010-08-19,15.775897979736328
2010-08-20,15.757196426391602
2010-08-23,15.900605201721191
2010-08-24,15.931782722473145
2010-08-25,15.978553771972656
2010-08-26,16.00349998474121
2010-08-27,16.20303726196289
2010-08-30,15.903726577758789
2010-08-31,15.87566089630127
2010-09-01,16.365154266357422
2010-09-02,16.661346435546875
2010-09-03,16.698759078979492
2010-09-07,16.59898567199707
2010-09-08,16.433746337890625
2010-09-09,16.567813873291016
2010-09-10,16.614582061767578
2010-09-13,16.639516830444336
2010-09-14,16.664461135864258
2010-09-15,16.57093048095703
2010-09-16,16.567813873291016
2010-09-17,16.549104690551758
2010-09-20,16.648881912231445
2010-09-21,16.49610137939453
2010-09-22,16.711225509643555
2010-09-23,16.427515029907227
2010-09-24,16.798534393310547
2010-09-27,16.842496871948242
2010-09-28,16.93671226501465
