Date,ITW
2010-01-04,33.58887481689453
2010-01-05,33.49897766113281
2010-01-06,33.42290115356445
2010-01-07,33.63728713989258
2010-01-08,33.955406188964844
2010-01-11,34.54322814941406
2010-01-12,33.671875
2010-01-13,33.6511116027832
2010-01-14,33.547386169433594
2010-01-15,33.11170959472656
2010-01-19,33.6511116027832
2010-01-20,33.36758041381836
2010-01-21,31.742435455322266
2010-01-22,31.3620662689209
2010-01-25,31.417390823364258
2010-01-26,31.251426696777344
2010-01-27,30.421554565429688
2010-01-28,30.380064010620117
2010-01-29,30.144943237304688
2010-02-01,30.22100830078125
2010-02-02,30.44230079650879
2010-02-03,30.248680114746094
2010-02-04,29.41188621520996
2010-02-05,29.501781463623047
2010-02-08,29.218242645263672
2010-02-09,29.937463760375977
2010-02-10,29.73000144958496
2010-02-11,30.359312057495117
2010-02-12,30.17949867248535
2010-02-16,30.905643463134766
2010-02-17,31.431217193603516
2010-02-18,32.20576858520508
2010-02-19,32.33717346191406
2010-02-22,32.129695892333984
2010-02-23,31.5418701171875
2010-02-24,31.417390823364258
2010-02-25,31.27217674255371
2010-02-26,31.479637145996094
2010-03-01,31.873828887939453
2010-03-02,31.83924674987793
2010-03-03,31.949893951416016
2010-03-04,32.14353561401367
2010-03-05,32.68984603881836
2010-03-08,32.268009185791016
2010-03-09,32.254173278808594
2010-03-10,32.32331848144531
2010-03-11,32.268009185791016
2010-03-12,32.2610969543457
2010-03-15,31.445049285888672
2010-03-16,31.67327308654785
2010-03-17,32.00520706176758
2010-03-18,32.6345329284668
2010-03-19,32.344078063964844
2010-03-22,32.461639404296875
2010-03-23,32.8765754699707
2010-03-24,32.433990478515625
2010-03-25,32.35791015625
2010-03-26,32.66220474243164
2010-03-29,32.86405563354492
2010-03-30,33.01723098754883
2010-03-31,32.968482971191406
2010-04-01,33.19124984741211
2010-04-05,33.33047866821289
2010-04-06,33.20518493652344
2010-04-07,32.88495635986328
2010-04-08,32.86405563354492
2010-04-09,33.22603988647461
2010-04-12,33.38617706298828
2010-04-13,33.344390869140625
2010-04-14,33.664615631103516
2010-04-15,34.493003845214844
2010-04-16,34.11709976196289
2010-04-19,33.97787094116211
2010-04-20,35.30051803588867
2010-04-21,35.53718566894531
2010-04-22,36.4421501159668
2010-04-23,36.49785232543945
2010-04-26,36.54656982421875
2010-04-27,35.48845672607422
2010-04-28,35.65552520751953
2010-04-29,36.39341354370117
2010-04-30,35.571990966796875
2010-05-03,36.19850540161133
2010-05-04,35.06381607055664
2010-05-05,34.64614486694336
2010-05-06,33.58107376098633
2010-05-07,33.21213150024414
2010-05-10,34.97332763671875
2010-05-11,34.889801025390625
2010-05-12,35.84347915649414
2010-05-13,35.14736557006836
2010-05-14,34.360748291015625
2010-05-17,34.61134338378906
2010-05-18,33.97090148925781
2010-05-19,33.06595230102539
2010-05-20,31.40915870666504
2010-05-21,31.701541900634766
2010-05-24,31.506628036499023
2010-05-25,31.4022159576416
2010-05-26,31.437002182006836
2010-05-27,32.66914749145508
2010-05-28,32.32109069824219
2010-06-01,31.437002182006836
2010-06-02,32.32109069824219
2010-06-03,32.550819396972656
2010-06-04,30.796586990356445
2010-06-07,30.128299713134766
2010-06-08,30.21183967590332
2010-06-09,30.40675926208496
2010-06-10,31.32563018798828
2010-06-11,31.70850944519043
2010-06-14,31.77811050415039
2010-06-15,32.564727783203125
2010-06-16,32.32109069824219
2010-06-17,32.028717041015625
2010-06-18,31.506628036499023
2010-06-21,32.11920928955078
2010-06-22,31.01237678527832
2010-06-23,30.692155838012695
2010-06-24,30.18398666381836
2010-06-25,30.74089813232422
2010-06-28,30.278194427490234
2010-06-29,29.002288818359375
2010-06-30,28.939205169677734
2010-07-01,29.14250373840332
2010-07-02,28.834041595458984
2010-07-06,28.890127182006836
2010-07-07,29.787471771240234
2010-07-08,30.173049926757812
2010-07-09,30.376338958740234
2010-07-12,30.046852111816406
2010-07-13,30.97223472595215
2010-07-14,30.95121192932129
2010-07-15,30.82502555847168
2010-07-16,29.93468475341797
2010-07-19,30.039833068847656
2010-07-20,29.96973991394043
2010-07-21,29.48601722717285
2010-07-22,29.5771484375
2010-07-23,30.362316131591797
2010-07-26,30.50955581665039
2010-07-27,30.551607131958008
2010-07-28,30.38336181640625
2010-07-29,30.376338958740234
2010-07-30,30.495532989501953
2010-08-02,31.385845184326172
2010-08-03,31.519062042236328
2010-08-04,31.9256534576416
2010-08-05,31.995752334594727
2010-08-06,31.9747371673584
2010-08-09,32.0378303527832
2010-08-10,31.701332092285156
2010-08-11,30.565614700317383
2010-08-12,30.278194427490234
2010-08-13,30.15902328491211
2010-08-16,29.885608673095703
2010-08-17,30.544584274291992
2010-08-18,29.878589630126953
2010-08-19,29.471994400024414
2010-08-20,29.51405143737793
2010-08-23,29.331785202026367
2010-08-24,28.897130966186523
2010-08-25,28.841049194335938
2010-08-26,28.581674575805664
2010-08-27,29.33879280090332
2010-08-30,28.86207389831543
2010-08-31,28.925172805786133
2010-09-01,29.990766525268555
2010-09-02,31.0283145904541
2010-09-03,31.547094345092773
2010-09-07,31.547094345092773
2010-09-08,31.743379592895508
2010-09-09,31.659252166748047
2010-09-10,32.05886459350586
2010-09-13,32.66175079345703
2010-09-14,32.787940979003906
2010-09-15,32.99826431274414
2010-09-16,32.86506652832031
2010-09-17,32.4163932800293
2010-09-20,33.01227951049805
2010-09-21,33.124446868896484
2010-09-22,32.61970520019531
2010-09-23,31.960708618164062
2010-09-24,33.00526428222656
2010-09-27,32.907100677490234
2010-09-28,33.24608612060547
