Date,TT
2010-01-04,17.622495651245117
2010-01-05,17.447479248046875
2010-01-06,17.32108497619629
2010-01-07,17.496097564697266
2010-01-08,17.797496795654297
2010-01-11,18.23503303527832
2010-01-12,17.850984573364258
2010-01-13,17.831533432006836
2010-01-14,17.98223304748535
2010-01-15,18.016265869140625
2010-01-19,18.22530174255371
2010-01-20,18.10377311706543
2010-01-21,17.8266658782959
2010-01-22,17.13149642944336
2010-01-25,17.019676208496094
2010-01-26,16.898147583007812
2010-01-27,16.470340728759766
2010-01-28,16.18353271484375
2010-01-29,15.780033111572266
2010-02-01,16.05712890625
2010-02-02,16.766895294189453
2010-02-03,16.79120635986328
2010-02-04,16.07171630859375
2010-02-05,15.998791694641113
2010-02-08,15.98420524597168
2010-02-09,16.31477928161621
2010-02-10,16.23214340209961
2010-02-11,16.518962860107422
2010-02-12,15.228035926818848
2010-02-16,15.530067443847656
2010-02-17,15.846708297729492
2010-02-18,16.192575454711914
2010-02-19,16.251035690307617
2010-02-22,16.207195281982422
2010-02-23,15.836966514587402
2010-02-24,15.783382415771484
2010-02-25,15.583649635314941
2010-02-26,15.544677734375
2010-03-01,15.924649238586426
2010-03-02,15.992852210998535
2010-03-03,16.392295837402344
2010-03-04,16.16335105895996
2010-03-05,16.533567428588867
2010-03-08,16.577417373657227
2010-03-09,16.484861373901367
2010-03-10,16.509225845336914
2010-03-11,16.91354751586914
2010-03-12,16.957387924194336
2010-03-15,17.02071762084961
2010-03-16,17.390949249267578
2010-03-17,17.142501831054688
2010-03-18,17.2106990814209
2010-03-19,16.98661994934082
2010-03-22,17.347105026245117
2010-03-23,17.610157012939453
2010-03-24,17.0012264251709
2010-03-25,16.816110610961914
2010-03-26,16.874576568603516
2010-03-29,16.879438400268555
2010-03-30,16.99148941040039
2010-03-31,16.98661994934082
2010-04-01,17.317873001098633
2010-04-05,17.683237075805664
2010-04-06,17.751426696777344
2010-04-07,17.858592987060547
2010-04-08,17.931663513183594
2010-04-09,18.184986114501953
2010-04-12,18.243438720703125
2010-04-13,18.02423095703125
2010-04-14,18.194726943969727
2010-04-15,18.423681259155273
2010-04-16,18.102170944213867
2010-04-19,18.150882720947266
2010-04-20,18.53572654724121
2010-04-21,18.628284454345703
2010-04-22,18.99851417541504
2010-04-23,18.07293701171875
2010-04-26,18.43343162536621
2010-04-27,17.873212814331055
2010-04-28,17.805011749267578
2010-04-29,18.150882720947266
2010-04-30,18.014484405517578
2010-05-03,18.53572654724121
2010-05-04,17.83424186706543
2010-05-05,18.194726943969727
2010-05-06,17.63450050354004
2010-05-07,17.16685676574707
2010-05-10,18.321386337280273
2010-05-11,18.564950942993164
2010-05-12,19.295663833618164
2010-05-13,19.490530014038086
2010-05-14,18.876731872558594
2010-05-17,18.871850967407227
2010-05-18,18.516239166259766
2010-05-19,18.048582077026367
2010-05-20,17.29351234436035
2010-05-21,17.478633880615234
2010-05-24,17.390949249267578
2010-05-25,17.3714542388916
2010-05-26,17.600421905517578
2010-05-27,18.35548210144043
2010-05-28,18.175241470336914
2010-06-01,18.258054733276367
2010-06-02,18.759809494018555
2010-06-03,19.081321716308594
2010-06-04,18.136266708374023
2010-06-07,17.683237075805664
2010-06-08,17.766042709350586
2010-06-09,17.639387130737305
2010-06-10,18.205556869506836
2010-06-11,18.405677795410156
2010-06-14,18.586267471313477
2010-06-15,19.34768295288086
2010-06-16,19.308637619018555
2010-06-17,19.157325744628906
2010-06-18,19.24029541015625
2010-06-21,19.518518447875977
2010-06-22,19.04995346069336
2010-06-23,18.83519172668457
2010-06-24,18.66924285888672
2010-06-25,18.547224044799805
2010-06-28,18.06401824951172
2010-06-29,17.219627380371094
2010-06-30,16.83404541015625
2010-07-01,16.438695907592773
2010-07-02,16.26298713684082
2010-07-06,16.341089248657227
2010-07-07,16.624168395996094
2010-07-08,16.716907501220703
2010-07-09,16.614418029785156
2010-07-12,16.54607391357422
2010-07-13,17.12201690673828
2010-07-14,17.068328857421875
2010-07-15,17.04880714416504
2010-07-16,16.775480270385742
2010-07-19,17.073209762573242
2010-07-20,17.434391021728516
2010-07-21,17.600337982177734
2010-07-22,17.961515426635742
2010-07-23,18.20068359375
2010-07-26,18.600908279418945
2010-07-27,18.56674575805664
2010-07-28,18.420324325561523
2010-07-29,18.278770446777344
2010-07-30,18.283658981323242
2010-08-02,18.547224044799805
2010-08-03,18.30318260192871
2010-08-04,18.537458419799805
2010-08-05,18.620439529418945
2010-08-06,18.347108840942383
2010-08-09,18.342227935791016
2010-08-10,18.029850006103516
2010-08-11,17.2733211517334
2010-08-12,17.209869384765625
2010-08-13,17.224515914916992
2010-08-16,17.131776809692383
2010-08-17,17.610103607177734
2010-08-18,17.634496688842773
2010-08-19,17.35141944885254
2010-08-20,17.190343856811523
2010-08-23,16.941423416137695
2010-08-24,16.389894485473633
2010-08-25,16.326446533203125
2010-08-26,16.267866134643555
2010-08-27,16.521671295166016
2010-08-30,16.175138473510742
2010-08-31,15.877399444580078
2010-09-01,16.44358253479004
2010-09-02,16.746192932128906
2010-09-03,16.921899795532227
2010-09-07,16.658336639404297
2010-09-08,16.78523826599121
2010-09-09,16.6973819732666
2010-09-10,16.9174747467041
2010-09-13,17.054414749145508
2010-09-14,16.907691955566406
2010-09-15,16.55554962158203
2010-09-16,16.873451232910156
2010-09-17,17.064199447631836
2010-09-20,17.455459594726562
2010-09-21,17.582624435424805
2010-09-22,17.431015014648438
2010-09-23,17.054414749145508
2010-09-24,17.259836196899414
2010-09-27,17.059310913085938
2010-09-28,17.39188575744629
