Date,MDT
2010-01-04,30.1099910736084
2010-01-05,30.727285385131836
2010-01-06,31.233726501464844
2010-01-07,31.52312469482422
2010-01-08,31.688495635986328
2010-01-11,31.564470291137695
2010-01-12,31.226837158203125
2010-01-13,31.405994415283203
2010-01-14,31.681598663330078
2010-01-15,31.426639556884766
2010-01-19,31.716041564941406
2010-01-20,31.426639556884766
2010-01-21,30.37932777404785
2010-01-22,29.834991455078125
2010-01-25,30.351762771606445
2010-01-26,30.151939392089844
2010-01-27,30.034807205200195
2010-01-28,29.74541473388672
2010-01-29,29.5524959564209
2010-02-01,29.731647491455078
2010-02-02,30.503355026245117
2010-02-03,30.31731414794922
2010-02-04,29.118410110473633
2010-02-05,28.71187400817871
2010-02-08,28.794553756713867
2010-02-09,29.18730926513672
2010-02-10,29.042600631713867
2010-02-11,29.14596939086914
2010-02-12,29.242441177368164
2010-02-16,29.607620239257812
2010-02-17,29.952133178710938
2010-02-18,30.18640899658203
2010-02-19,30.110607147216797
2010-02-22,30.083049774169922
2010-02-23,29.53870964050293
2010-02-24,30.034807205200195
2010-02-25,29.93145751953125
2010-02-26,29.90389633178711
2010-03-01,30.262197494506836
2010-03-02,30.834083557128906
2010-03-03,30.778959274291992
2010-03-04,30.88232421875
2010-03-05,31.350866317749023
2010-03-08,30.87542724609375
2010-03-09,30.82719612121582
2010-03-10,30.751413345336914
2010-03-11,30.551589965820312
2010-03-12,30.275970458984375
2010-03-15,31.564470291137695
2010-03-16,31.08903694152832
2010-03-17,30.971899032592773
2010-03-18,31.123476028442383
2010-03-19,30.86166000366211
2010-03-22,31.55756187438965
2010-03-23,31.502456665039062
2010-03-24,31.21994400024414
2010-03-25,30.992568969726562
2010-03-26,30.65494155883789
2010-03-29,31.05457305908203
2010-03-30,31.04081153869629
2010-03-31,31.027015686035156
2010-04-01,31.46799659729004
2010-04-05,31.516225814819336
2010-04-06,31.309511184692383
2010-04-07,30.994590759277344
2010-04-08,31.063812255859375
2010-04-09,31.444482803344727
2010-04-12,31.444482803344727
2010-04-13,31.458335876464844
2010-04-14,31.638296127319336
2010-04-15,31.69366455078125
2010-04-16,31.077646255493164
2010-04-19,31.029207229614258
2010-04-20,31.2645320892334
2010-04-21,30.918447494506836
2010-04-22,30.55853843688965
2010-04-23,30.600067138671875
2010-04-26,30.496238708496094
2010-04-27,30.05326271057129
2010-04-28,29.997894287109375
2010-04-29,30.343971252441406
2010-04-30,30.240148544311523
2010-05-03,30.544692993164062
2010-05-04,30.032493591308594
2010-05-05,29.76255989074707
2010-05-06,28.97349739074707
2010-05-07,28.55130386352539
2010-05-10,29.575672149658203
2010-05-11,29.534149169921875
2010-05-12,29.97020149230957
2010-05-13,29.824865341186523
2010-05-14,29.34034538269043
2010-05-17,29.437236785888672
2010-05-18,29.312652587890625
2010-05-19,28.904294967651367
2010-05-20,27.907590866088867
2010-05-21,27.914520263671875
2010-05-24,28.129072189331055
2010-05-25,27.651498794555664
2010-05-26,27.09085464477539
2010-05-27,27.277732849121094
2010-05-28,27.1185359954834
2010-06-01,26.509445190429688
2010-06-02,27.049325942993164
2010-06-03,27.15314292907715
2010-06-04,26.30179214477539
2010-06-07,26.101078033447266
2010-06-08,26.052610397338867
2010-06-09,25.969568252563477
2010-06-10,26.41945457458496
2010-06-11,26.391780853271484
2010-06-14,26.869359970092773
2010-06-15,26.85552215576172
2010-06-16,27.077007293701172
2010-06-17,26.973188400268555
2010-06-18,26.90396499633789
2010-06-21,26.77245330810547
2010-06-22,26.357160568237305
2010-06-23,25.96263313293457
2010-06-24,25.50581932067871
2010-06-25,25.51274299621582
2010-06-28,25.51966094970703
2010-06-29,25.06284523010254
2010-06-30,25.104373931884766
2010-07-01,24.945178985595703
2010-07-02,24.938257217407227
2010-07-06,25.055917739868164
2010-07-07,25.804645538330078
2010-07-08,25.762853622436523
2010-07-09,25.930007934570312
2010-07-12,26.24342918395996
2010-07-13,26.43844223022461
2010-07-14,26.50809669494629
2010-07-15,26.473255157470703
2010-07-16,25.95786476135254
2010-07-19,25.83249855041504
2010-07-20,26.06233024597168
2010-07-21,25.2265625
2010-07-22,25.6096248626709
2010-07-23,25.47730255126953
2010-07-26,25.755895614624023
2010-07-27,26.041440963745117
2010-07-28,25.386751174926758
2010-07-29,25.142988204956055
2010-07-30,25.748916625976562
2010-08-02,26.13895606994629
2010-08-03,26.180742263793945
2010-08-04,26.39665985107422
2010-08-05,26.347896575927734
2010-08-06,26.333969116210938
2010-08-09,26.06930923461914
2010-08-10,25.943941116333008
2010-08-11,25.26835060119629
2010-08-12,25.06636619567871
2010-08-13,24.77385139465332
2010-08-16,24.50222396850586
2010-08-17,24.961894989013672
2010-08-18,25.36585807800293
2010-08-19,24.711166381835938
2010-08-20,24.21666717529297
2010-08-23,24.369888305664062
