Date,V
2010-01-04,19.719202041625977
2010-01-05,19.49324607849121
2010-01-06,19.231487274169922
2010-01-07,19.410463333129883
2010-01-08,19.464160919189453
2010-01-11,19.408235549926758
2010-01-12,19.316499710083008
2010-01-13,19.4954833984375
2010-01-14,19.562593460083008
2010-01-15,19.271753311157227
2010-01-19,19.65432357788086
2010-01-20,19.55812644958496
2010-01-21,18.893661499023438
2010-01-22,18.50885009765625
2010-01-25,18.35224723815918
2010-01-26,18.155364990234375
2010-01-27,18.77284812927246
2010-01-28,18.490951538085938
2010-01-29,18.35224723815918
2010-02-01,18.716915130615234
2010-02-02,18.795215606689453
2010-02-03,18.68559455871582
2010-02-04,18.5804443359375
2010-02-05,18.470813751220703
2010-02-08,18.5804443359375
2010-02-09,18.62966537475586
2010-02-10,18.740571975708008
2010-02-11,19.07667350769043
2010-02-12,18.996002197265625
2010-02-16,19.242477416992188
2010-02-17,19.363466262817383
2010-02-18,19.484453201293945
2010-02-19,19.450841903686523
2010-02-22,19.47325325012207
2010-02-23,19.296245574951172
2010-02-24,19.18645477294922
2010-02-25,19.096834182739258
2010-02-26,19.1080322265625
2010-03-01,19.453088760375977
2010-03-02,19.37018585205078
2010-03-03,19.4486141204834
2010-03-04,19.502382278442383
2010-03-05,19.831756591796875
2010-03-08,20.306764602661133
2010-03-09,20.199216842651367
2010-03-10,20.506183624267578
2010-03-11,20.77953338623047
2010-03-12,20.893814086914062
2010-03-15,20.705598831176758
2010-03-16,20.53531265258789
2010-03-17,20.503942489624023
2010-03-18,20.19473648071289
2010-03-19,19.90569496154785
2010-03-22,19.995315551757812
2010-03-23,20.161128997802734
2010-03-24,19.885528564453125
2010-03-25,20.25747299194336
2010-03-26,20.22163200378418
2010-03-29,20.219377517700195
2010-03-30,20.389667510986328
2010-03-31,20.396390914916992
2010-04-01,20.736970901489258
2010-04-05,20.719039916992188
2010-04-06,20.703353881835938
2010-04-07,20.324689865112305
2010-04-08,20.499462127685547
2010-04-09,20.730247497558594
2010-04-12,20.880361557006836
2010-04-13,20.790739059448242
2010-04-14,21.120115280151367
2010-04-15,21.16267967224121
2010-04-16,21.028244018554688
2010-04-19,20.864688873291016
2010-04-20,21.07305908203125
2010-04-21,20.866918563842773
2010-04-22,21.317289352416992
2010-04-23,21.64217758178711
2010-04-26,21.509984970092773
2010-04-27,20.826589584350586
2010-04-28,20.974472045898438
2010-04-29,20.797462463378906
2010-04-30,20.217145919799805
2010-05-03,20.00203514099121
2010-05-04,19.800376892089844
2010-05-05,19.36570930480957
2010-05-06,18.579246520996094
2010-05-07,18.43808364868164
2010-05-10,19.267118453979492
2010-05-11,18.857088088989258
2010-05-12,19.226215362548828
2010-05-13,19.23744010925293
