Date,WSM
2010-01-04,7.264577865600586
2010-01-05,7.466856479644775
2010-01-06,7.73190975189209
2010-01-07,8.101593971252441
2010-01-08,7.976037979125977
2010-01-11,7.906287670135498
2010-01-12,7.686572551727295
2010-01-13,7.934187412261963
2010-01-14,7.581944942474365
2010-01-15,7.149487495422363
2010-01-19,7.142513751983643
2010-01-20,7.058812141418457
2010-01-21,7.159954071044922
2010-01-22,6.989060401916504
2010-01-25,6.9855523109436035
2010-01-26,7.259222507476807
2010-01-27,7.031164169311523
2010-01-28,6.859241962432861
2010-01-29,6.659255027770996
2010-02-01,6.91187047958374
2010-02-02,7.034670829772949
2010-02-03,7.013621807098389
2010-02-04,6.641714096069336
2010-02-05,6.687323570251465
2010-02-08,6.750477313995361
2010-02-09,6.876786231994629
2010-02-10,6.813632965087891
2010-02-11,6.989058494567871
2010-02-12,7.097827434539795
2010-02-16,7.224137306213379
2010-02-17,7.171504497528076
2010-02-18,7.10484504699707
2010-02-19,7.210103511810303
2010-02-22,7.34342622756958
2010-02-23,7.511836528778076
2010-02-24,7.47324275970459
2010-02-25,7.508328914642334
2010-02-26,7.52938175201416
2010-03-01,7.606571197509766
2010-03-02,7.536397933959961
2010-03-03,7.669721603393555
2010-03-04,7.813570499420166
2010-03-05,8.178467750549316
2010-03-08,8.090750694274902
2010-03-09,8.034613609313965
2010-03-10,8.557389259338379
2010-03-11,8.462655067443848
2010-03-12,8.669661521911621
2010-03-15,8.610018730163574
2010-03-16,8.694221496582031
2010-03-17,8.687207221984863
2010-03-18,8.578441619873047
2010-03-19,8.469675064086914
2010-03-22,9.508210182189941
2010-03-23,9.37839126586914
2010-03-24,9.72574520111084
2010-03-25,9.508210182189941
2010-03-26,9.364357948303223
2010-03-29,9.4099702835083
2010-03-30,9.301206588745117
2010-03-31,9.224017143249512
2010-04-01,9.48715877532959
2010-04-05,9.802932739257812
2010-04-06,9.848541259765625
2010-04-07,9.809948921203613
2010-04-08,9.848541259765625
2010-04-09,10.325703620910645
2010-04-12,10.301145553588867
2010-04-13,10.301145553588867
2010-04-14,10.543234825134277
2010-04-15,10.557272911071777
2010-04-16,10.374823570251465
2010-04-19,9.953800201416016
2010-04-20,10.11870002746582
2010-04-21,10.739715576171875
2010-04-22,10.841463088989258
2010-04-23,10.950690269470215
2010-04-26,10.823847770690918
2010-04-27,10.506742477416992
2010-04-28,10.566641807556152
2010-04-29,10.742809295654297
2010-04-30,10.147356986999512
2010-05-03,10.742809295654297
2010-05-04,10.358758926391602
2010-05-05,10.034608840942383
2010-05-06,9.79501724243164
2010-05-07,9.742164611816406
2010-05-10,10.411611557006836
2010-05-11,10.478557586669922
2010-05-12,10.795660018920898
2010-05-13,10.242488861083984
2010-05-14,9.928905487060547
2010-05-17,10.246011734008789
2010-05-18,10.048705101013184
2010-05-19,10.020516395568848
2010-05-20,10.295340538024902
2010-05-21,10.161452293395996
2010-05-24,10.316479682922363
2010-05-25,10.270676612854004
2010-05-26,10.059274673461914
2010-05-27,10.573686599731445
2010-05-28,10.527883529663086
2010-06-01,10.108596801757812
2010-06-02,10.108596801757812
2010-06-03,10.147356986999512
2010-06-04,9.675224304199219
2010-06-07,9.36164379119873
2010-06-08,9.245368003845215
2010-06-09,9.460297584533691
2010-06-10,9.79501724243164
2010-06-11,9.625901222229004
2010-06-14,9.840821266174316
2010-06-15,10.06632137298584
2010-06-16,9.964141845703125
2010-06-17,9.477914810180664
2010-06-18,9.425065040588379
2010-06-21,9.196043968200684
2010-06-22,9.122052192687988
2010-06-23,9.266511917114258
2010-06-24,8.981115341186523
2010-06-25,8.840180397033691
2010-06-28,8.96349811553955
2010-06-29,8.695722579956055
2010-06-30,8.745052337646484
2010-07-01,8.427942276000977
2010-07-02,8.575926780700684
2010-07-06,8.364524841308594
2010-07-07,8.639348030090332
2010-07-08,8.907124519348145
2010-07-09,9.0269193649292
2010-07-12,9.05863094329834
2010-07-13,9.24184799194336
2010-07-14,8.981115341186523
2010-07-15,8.896554946899414
2010-07-16,8.410325050354004
2010-07-19,8.593544960021973
2010-07-20,8.801424026489258
2010-07-21,8.938836097717285
2010-07-22,9.322882652282715
2010-07-23,9.503599166870117
2010-07-26,9.97842788696289
2010-07-27,9.439820289611816
2010-07-28,9.227208137512207
2010-07-29,9.439820289611816
2010-07-30,9.46462345123291
2010-08-02,9.957162857055664
2010-08-03,9.808341026306152
2010-08-04,9.680774688720703
2010-08-05,9.719756126403809
2010-08-06,9.801255226135254
2010-08-09,10.08119010925293
2010-08-10,9.86503791809082
2010-08-11,9.453991889953613
2010-08-12,9.53549575805664
2010-08-13,9.453991889953613
2010-08-16,9.56737995147705
2010-08-17,9.741013526916504
2010-08-18,10.038665771484375
2010-08-19,9.822515487670898
2010-08-20,9.932360649108887
2010-08-23,9.40084171295166
2010-08-24,8.989798545837402
2010-08-25,9.174059867858887
2010-08-26,9.138627052307129
2010-08-27,9.461082458496094
2010-08-30,9.234296798706055
2010-08-31,9.198861122131348
2010-09-01,9.549666404724121
2010-09-02,9.974885940551758
2010-09-03,10.226471900939941
2010-09-07,9.925275802612305
2010-09-08,9.95362663269043
2010-09-09,10.113079071044922
2010-09-10,10.237101554870605
2010-09-13,10.463883399963379
2010-09-14,10.612711906433105
2010-09-15,10.616255760192871
2010-09-16,10.605626106262207
2010-09-17,10.594992637634277
2010-09-20,11.066276550292969
2010-09-21,10.892646789550781
2010-09-22,10.924535751342773
2010-09-23,10.878469467163086
2010-09-24,11.23636245727539
2010-09-27,11.215102195739746
2010-09-28,11.200926780700684
