Date,DHR
2010-01-04,15.206907272338867
2010-01-05,15.188694953918457
2010-01-06,15.217025756835938
2010-01-07,15.342480659484863
2010-01-08,15.556978225708008
2010-01-11,15.733022689819336
2010-01-12,15.514485359191895
2010-01-13,15.552933692932129
2010-01-14,15.617677688598633
2010-01-15,15.421395301818848
2010-01-19,15.542811393737793
2010-01-20,15.376882553100586
2010-01-21,15.11786937713623
2010-01-22,14.862902641296387
2010-01-25,15.079422950744629
2010-01-26,14.986337661743164
2010-01-27,15.012645721435547
2010-01-28,14.743513107299805
2010-01-29,14.437957763671875
2010-02-01,14.53913402557373
2010-02-02,14.78600788116455
2010-02-03,14.747560501098633
2010-02-04,14.32059097290039
2010-02-05,14.369158744812012
2010-02-08,14.195134162902832
2010-02-09,14.34487247467041
2010-02-10,14.36308765411377
2010-02-11,14.549251556396484
2010-02-12,14.555325508117676
2010-02-16,14.873019218444824
2010-02-17,15.22309398651123
2010-02-18,15.27570629119873
2010-02-19,15.36878776550293
2010-02-22,15.328315734863281
2010-02-23,15.103702545166016
2010-02-24,15.079422950744629
2010-02-25,15.085492134094238
2010-02-26,14.968132972717285
2010-03-01,15.247376441955566
2010-03-02,15.281771659851074
2010-03-03,15.23523235321045
2010-03-04,15.356644630432129
2010-03-05,15.571136474609375
2010-03-08,15.500317573547363
2010-03-09,15.692556381225586
2010-03-10,15.767425537109375
2010-03-11,15.840278625488281
2010-03-12,15.807896614074707
2010-03-15,15.787660598754883
2010-03-16,15.779568672180176
2010-03-17,15.664227485656738
2010-03-18,15.781593322753906
2010-03-19,15.577210426330566
2010-03-22,15.674342155456543
2010-03-23,15.692556381225586
2010-03-24,15.459729194641113
2010-03-25,15.4819974899292
2010-03-26,15.512369155883789
2010-03-29,15.66420841217041
2010-03-30,16.37483787536621
2010-03-31,16.17845344543457
2010-04-01,16.324228286743164
2010-04-05,16.378889083862305
2010-04-06,16.312076568603516
2010-04-07,16.27765655517578
2010-04-08,16.16629981994629
2010-04-09,16.261457443237305
2010-04-12,16.269561767578125
2010-04-13,16.040782928466797
2010-04-14,16.378889083862305
2010-04-15,16.415328979492188
2010-04-16,16.162260055541992
2010-04-19,16.18047523498535
2010-04-20,16.362693786621094
2010-04-21,16.494285583496094
2010-04-22,17.085466384887695
2010-04-23,17.291969299316406
2010-04-26,17.208967208862305
2010-04-27,16.856700897216797
2010-04-28,16.907304763793945
2010-04-29,17.210994720458984
2010-04-30,17.063194274902344
2010-05-03,17.304128646850586
2010-05-04,16.830368041992188
2010-05-05,16.692699432373047
2010-05-06,16.251340866088867
2010-05-07,16.15819549560547
2010-05-10,17.03889274597168
2010-05-11,17.051044464111328
2010-05-12,17.69892120361328
2010-05-13,17.44179916381836
2010-05-14,17.215038299560547
2010-05-17,17.087488174438477
2010-05-18,16.791900634765625
2010-05-19,16.34446144104004
2010-05-20,15.901082038879395
2010-05-21,16.176427841186523
2010-05-24,15.939553260803223
2010-05-25,15.967902183532715
2010-05-26,15.935500144958496
2010-05-27,16.297903060913086
2010-05-28,16.071144104003906
2010-06-01,15.949670791625977
2010-06-02,16.441646575927734
2010-06-03,16.49833106994629
2010-06-04,15.747214317321777
2010-06-07,15.411133766174316
2010-06-08,15.522492408752441
2010-06-09,15.425310134887695
2010-06-10,15.919310569763184
2010-06-11,15.927404403686523
2010-06-14,16.059011459350586
2010-06-15,16.47201919555664
2010-06-16,16.488208770751953
2010-06-17,16.423429489135742
2010-06-18,16.484159469604492
2010-06-21,16.407236099243164
2010-06-22,16.054950714111328
2010-06-23,16.030651092529297
2010-06-24,15.70655632019043
2010-06-25,15.84024715423584
2010-06-28,15.726811408996582
2010-06-29,15.224458694458008
2010-06-30,15.038098335266113
2010-07-01,14.851741790771484
2010-07-02,14.685641288757324
2010-07-06,14.543850898742676
2010-07-07,15.074563026428223
2010-07-08,15.212301254272461
2010-07-09,15.28522777557373
2010-07-12,15.20014476776123
2010-07-13,15.431063652038574
2010-07-14,15.431063652038574
2010-07-15,15.536398887634277
2010-07-16,15.155584335327148
2010-07-19,15.269018173217773
2010-07-20,15.443225860595703
2010-07-21,15.313581466674805
2010-07-22,15.175838470458984
2010-07-23,15.418907165527344
2010-07-26,15.63768482208252
2010-07-27,15.520196914672852
2010-07-28,15.402711868286133
2010-07-29,15.50804328918457
2010-07-30,15.560704231262207
2010-08-02,15.803779602050781
2010-08-03,15.65793514251709
2010-08-04,15.957727432250977
2010-08-05,16.083314895629883
2010-08-06,15.807829856872559
2010-08-09,15.87670612335205
2010-08-10,15.767316818237305
2010-08-11,15.212301254272461
2010-08-12,15.074563026428223
