Date,EXC
2010-01-04,18.864009857177734
2010-01-05,18.555267333984375
2010-01-06,18.667184829711914
2010-01-07,18.72893524169922
2010-01-08,18.640174865722656
2010-01-11,18.856290817260742
2010-01-12,18.937334060668945
2010-01-13,19.16502571105957
2010-01-14,18.941192626953125
2010-01-15,18.75594711303711
2010-01-19,19.01451873779297
2010-01-20,18.698055267333984
2010-01-21,18.543699264526367
2010-01-22,17.987964630126953
2010-01-25,17.78727912902832
2010-01-26,17.98409652709961
2010-01-27,17.86060333251953
2010-01-28,17.73711585998535
2010-01-29,17.605894088745117
2010-02-01,17.698518753051758
2010-02-02,17.80657386779785
2010-02-03,17.640626907348633
2010-02-04,17.270139694213867
2010-02-05,17.07331657409668
2010-02-08,16.888072967529297
2010-02-09,17.065597534179688
2010-02-10,17.096471786499023
2010-02-11,17.074996948242188
2010-02-12,16.910966873168945
2010-02-16,17.262454986572266
2010-02-17,17.180442810058594
2010-02-18,17.364002227783203
2010-02-19,17.528034210205078
2010-02-22,17.453826904296875
2010-02-23,17.239023208618164
2010-02-24,17.188255310058594
2010-02-25,17.110143661499023
2010-02-26,16.910966873168945
2010-03-01,17.364002227783203
2010-03-02,17.3171329498291
2010-03-03,17.36791229248047
2010-03-04,17.465545654296875
2010-03-05,17.77018165588379
2010-03-08,17.70378303527832
2010-03-09,17.563175201416016
2010-03-10,17.617862701416016
2010-03-11,17.54757308959961
2010-03-12,17.246837615966797
2010-03-15,17.3405704498291
2010-03-16,17.707691192626953
2010-03-17,17.71159553527832
2010-03-18,17.446020126342773
2010-03-19,17.426483154296875
2010-03-22,17.309324264526367
2010-03-23,17.3054141998291
2010-03-24,17.012502670288086
2010-03-25,16.90705108642578
2010-03-26,16.86799430847168
2010-03-29,17.153099060058594
2010-03-30,17.168724060058594
2010-03-31,17.110143661499023
2010-04-01,17.293710708618164
2010-04-05,17.3405704498291
2010-04-06,17.606149673461914
2010-04-07,17.469449996948242
2010-04-08,17.35228729248047
2010-04-09,17.28589630126953
2010-04-12,17.41086769104004
2010-04-13,17.40305519104004
2010-04-14,17.391347885131836
2010-04-15,17.344478607177734
2010-04-16,17.03593635559082
2010-04-19,17.020313262939453
2010-04-20,17.231212615966797
2010-04-21,17.02813148498535
2010-04-22,17.047653198242188
2010-04-23,17.16481590270996
2010-04-26,17.03593635559082
2010-04-27,16.735212326049805
2010-04-28,16.942203521728516
2010-04-29,16.89533805847168
2010-04-30,17.02422523498535
2010-05-03,17.235116958618164
2010-05-04,16.860187530517578
2010-05-05,17.06327247619629
2010-05-06,16.34856414794922
2010-05-07,16.223587036132812
2010-05-10,16.6375789642334
2010-05-11,16.668821334838867
2010-05-12,16.670793533325195
2010-05-13,16.63520622253418
2010-05-14,16.480995178222656
2010-05-17,16.35050392150879
2010-05-18,16.129074096679688
2010-05-19,16.04999351501465
2010-05-20,15.543848991394043
2010-05-21,15.591310501098633
2010-05-24,15.397555351257324
2010-05-25,15.176119804382324
2010-05-26,15.049579620361328
2010-05-27,15.38569450378418
2010-05-28,15.26311206817627
2010-06-01,14.887467384338379
2010-06-02,14.99422550201416
2010-06-03,15.18798542022705
2010-06-04,14.879548072814941
2010-06-07,14.919097900390625
2010-06-08,15.223565101623535
2010-06-09,15.25915813446045
2010-06-10,15.832511901855469
2010-06-11,15.773193359375
2010-06-14,15.915541648864746
2010-06-15,16.180477142333984
2010-06-16,16.291194915771484
2010-06-17,16.17652702331543
2010-06-18,16.307010650634766
2010-06-21,16.113252639770508
2010-06-22,15.7178373336792
2010-06-23,15.433136940002441
2010-06-24,15.282880783081055
2010-06-25,15.17216682434082
2010-06-28,15.334277153015137
2010-06-29,15.053540229797363
2010-06-30,15.013995170593262
2010-07-01,15.04563045501709
2010-07-02,14.97840404510498
2010-07-06,15.156350135803223
2010-07-07,15.678299903869629
2010-07-08,16.010446548461914
2010-07-09,16.061845779418945
2010-07-12,16.16070556640625
2010-07-13,16.204204559326172
2010-07-14,16.378190994262695
2010-07-15,16.512632369995117
2010-07-16,16.401914596557617
2010-07-19,16.536352157592773
2010-07-20,16.840822219848633
2010-07-21,16.587757110595703
2010-07-22,16.528444290161133
2010-07-23,16.220016479492188
2010-07-26,16.188386917114258
2010-07-27,16.564029693603516
2010-07-28,16.761735916137695
2010-07-29,16.579851150512695
2010-07-30,16.54030418395996
2010-08-02,16.777551651000977
2010-08-03,16.773605346679688
2010-08-04,16.78546142578125
2010-08-05,16.670793533325195
2010-08-06,16.67474937438965
2010-08-09,16.75383186340332
2010-08-10,16.844785690307617
2010-08-11,16.60357093811035
2010-08-12,16.517486572265625
2010-08-13,16.565532684326172
2010-08-16,16.501466751098633
2010-08-17,16.5615291595459
2010-08-18,16.47744369506836
2010-08-19,16.241191864013672
2010-08-20,16.181123733520508
2010-08-23,16.237186431884766
2010-08-24,16.036975860595703
2010-08-25,16.02896499633789
2010-08-26,16.04898452758789
2010-08-27,16.321271896362305
2010-08-30,16.22517204284668
2010-08-31,16.305259704589844
2010-09-01,16.681659698486328
2010-09-02,16.70568084716797
2010-09-03,16.90589714050293
2010-09-07,16.717695236206055
2010-09-08,16.797771453857422
2010-09-09,17.01000213623047
2010-09-10,17.146148681640625
2010-09-13,17.090087890625
2010-09-14,16.909896850585938
2010-09-15,16.933927536010742
2010-09-16,16.873863220214844
2010-09-17,16.861848831176758
2010-09-20,17.114110946655273
2010-09-21,16.95795249938965
2010-09-22,17.18618392944336
2010-09-23,16.921905517578125
2010-09-24,17.2102108001709
2010-09-27,17.254261016845703
2010-09-28,17.234233856201172
