Date,MCK
2010-01-04,56.068359375
2010-01-05,56.271888732910156
2010-01-06,53.979942321777344
2010-01-07,54.09498596191406
2010-01-08,53.776397705078125
2010-01-11,54.387001037597656
2010-01-12,55.14803695678711
2010-01-13,55.31616973876953
2010-01-14,54.856014251708984
2010-01-15,54.794071197509766
2010-01-19,55.89138412475586
2010-01-20,55.21883773803711
2010-01-21,54.2719612121582
2010-01-22,53.59943389892578
2010-01-25,54.36931228637695
2010-01-26,55.17457580566406
2010-01-27,52.670265197753906
2010-01-28,53.369354248046875
2010-01-29,52.05083465576172
2010-02-01,52.67912673950195
2010-02-02,53.5020866394043
2010-02-03,53.27201843261719
2010-02-04,51.85614776611328
2010-02-05,51.572967529296875
2010-02-08,51.599517822265625
2010-02-09,51.9889030456543
2010-02-10,51.86499786376953
2010-02-11,52.201263427734375
2010-02-12,52.201263427734375
2010-02-16,52.98883056640625
2010-02-17,53.33394241333008
2010-02-18,53.72332763671875
2010-02-19,53.75872802734375
2010-02-22,53.033084869384766
2010-02-23,51.79420852661133
2010-02-24,52.44904327392578
2010-02-25,52.440162658691406
2010-02-26,52.44905090332031
2010-03-01,53.557430267333984
2010-03-02,54.710166931152344
2010-03-03,53.876644134521484
2010-03-04,54.34661102294922
2010-03-05,55.047115325927734
2010-03-08,54.08059310913086
2010-03-09,53.58403778076172
2010-03-10,53.72590637207031
2010-03-11,53.610652923583984
2010-03-12,54.160396575927734
2010-03-15,53.86777877807617
2010-03-16,54.34661102294922
2010-03-17,55.82741165161133
2010-03-18,56.13776779174805
2010-03-19,56.81167221069336
2010-03-22,57.30821990966797
2010-03-23,57.57423400878906
2010-03-24,56.758445739746094
2010-03-25,56.90034103393555
2010-03-26,56.41264343261719
2010-03-29,57.804786682128906
2010-03-30,59.16147994995117
2010-03-31,58.274749755859375
2010-04-01,58.84225845336914
2010-04-05,59.06391143798828
2010-04-06,59.072784423828125
2010-04-07,58.673763275146484
2010-04-08,59.0550422668457
2010-04-09,59.01958465576172
2010-04-12,58.05305480957031
2010-04-13,57.849124908447266
2010-04-14,57.521034240722656
2010-04-15,57.441246032714844
2010-04-16,56.91807556152344
2010-04-19,57.130882263183594
2010-04-20,58.505279541015625
2010-04-21,58.08852767944336
2010-04-22,59.19691848754883
2010-04-23,60.32305145263672
2010-04-26,59.50726318359375
2010-04-27,58.53187561035156
2010-04-28,58.74469757080078
2010-04-29,58.94865036010742
2010-04-30,57.46784210205078
2010-05-03,57.521034240722656
2010-05-04,59.88856887817383
2010-05-05,59.693485260009766
2010-05-06,58.56736755371094
2010-05-07,56.51018142700195
2010-05-10,58.957515716552734
2010-05-11,58.611690521240234
2010-05-12,61.23638153076172
2010-05-13,61.174293518066406
2010-05-14,60.04817199707031
2010-05-17,60.828453063964844
2010-05-18,61.48463439941406
2010-05-19,61.94574737548828
2010-05-20,59.97722244262695
2010-05-21,60.58906555175781
2010-05-24,60.42946243286133
2010-05-25,60.127994537353516
2010-05-26,60.1900634765625
2010-05-27,62.13194274902344
2010-05-28,62.069862365722656
2010-06-01,61.01467514038086
2010-06-02,62.291534423828125
2010-06-03,63.20486831665039
2010-06-04,60.793006896972656
2010-06-07,61.13883590698242
2010-06-08,60.65873718261719
2010-06-09,60.95212936401367
2010-06-10,61.965599060058594
2010-06-11,61.938941955566406
2010-06-14,62.06342315673828
2010-06-15,62.65907669067383
2010-06-16,62.819087982177734
2010-06-17,63.21025466918945
2010-06-18,62.312347412109375
2010-06-21,62.08120346069336
2010-06-22,60.85434341430664
2010-06-23,60.8365364074707
2010-06-24,60.19644546508789
2010-06-25,60.59651565551758
2010-06-28,60.91654968261719
2010-06-29,59.96529006958008
2010-06-30,59.70746994018555
2010-07-01,59.57412338256836
2010-07-02,59.70746994018555
2010-07-06,60.14308547973633
2010-07-07,60.525394439697266
2010-07-08,60.44536590576172
2010-07-09,59.94753646850586
2010-07-12,59.6274528503418
2010-07-13,59.75193786621094
2010-07-14,61.032135009765625
2010-07-15,61.69892883300781
2010-07-16,60.45425033569336
2010-07-19,59.63634490966797
2010-07-20,59.9386100769043
2010-07-21,59.076236724853516
2010-07-22,57.38710021972656
2010-07-23,58.34722900390625
2010-07-26,58.756221771240234
2010-07-27,57.93830108642578
2010-07-28,56.9159049987793
2010-07-29,56.791439056396484
2010-07-30,55.849063873291016
2010-08-02,56.45360565185547
2010-08-03,55.20896911621094
2010-08-04,55.9824333190918
2010-08-05,55.86686325073242
2010-08-06,55.840187072753906
2010-08-09,55.395668029785156
2010-08-10,54.773345947265625
2010-08-11,53.875423431396484
2010-08-12,54.18659210205078
2010-08-13,53.91987609863281
2010-08-16,54.0976676940918
2010-08-17,54.76445388793945
2010-08-18,55.360103607177734
2010-08-19,54.63111114501953
2010-08-20,54.826690673828125
2010-08-23,54.50664520263672
2010-08-24,53.62648010253906
2010-08-25,53.7509651184082
2010-08-26,53.137535095214844
2010-08-27,53.66204833984375
2010-08-30,52.6544303894043
2010-08-31,51.76274108886719
2010-09-01,52.42259216308594
2010-09-02,53.05571746826172
2010-09-03,53.45695495605469
2010-09-07,52.60093307495117
2010-09-08,52.16401672363281
2010-09-09,53.18946838378906
2010-09-10,52.92195510864258
2010-09-13,52.34233856201172
2010-09-14,53.26970291137695
2010-09-15,56.1588020324707
2010-09-16,55.6594352722168
2010-09-17,55.59701156616211
2010-09-20,56.16770935058594
2010-09-21,56.11420440673828
2010-09-22,55.4276008605957
2010-09-23,54.18815612792969
2010-09-24,55.204673767089844
2010-09-27,54.79450988769531
2010-09-28,55.70404052734375
