Date,MMM
2010-01-04,43.356605529785156
2010-01-05,43.08504867553711
2010-01-06,43.696067810058594
2010-01-07,43.727394104003906
2010-01-08,44.0355110168457
2010-01-11,43.857948303222656
2010-01-12,43.89452362060547
2010-01-13,43.75352096557617
2010-01-14,43.60729217529297
2010-01-15,43.539398193359375
2010-01-19,44.453311920166016
2010-01-20,44.24443054199219
2010-01-21,43.189476013183594
2010-01-22,42.55235290527344
2010-01-25,42.735137939453125
2010-01-26,42.63068771362305
2010-01-27,42.98058319091797
2010-01-28,42.17111587524414
2010-01-29,42.035335540771484
2010-02-01,42.00921630859375
2010-02-02,42.00400161743164
2010-02-03,42.562801361083984
2010-02-04,41.366878509521484
2010-02-05,41.01694869995117
2010-02-08,40.489505767822266
2010-02-09,41.1109733581543
2010-02-10,41.058746337890625
2010-02-11,41.920433044433594
2010-02-12,41.351192474365234
2010-02-16,42.024879455566406
2010-02-17,42.12739944458008
2010-02-18,42.637298583984375
2010-02-19,42.85281753540039
2010-02-22,42.4112548828125
2010-02-23,41.9013557434082
2010-02-24,42.0905876159668
2010-02-25,41.91712188720703
2010-02-26,42.13262939453125
2010-03-01,42.35868835449219
2010-03-02,42.6478271484375
2010-03-03,42.579463958740234
2010-03-04,42.58998107910156
2010-03-05,43.33644485473633
2010-03-08,42.742435455322266
2010-03-09,43.099891662597656
2010-03-10,42.87384033203125
2010-03-11,42.71614074707031
2010-03-12,42.77922821044922
2010-03-15,42.71614074707031
2010-03-16,42.926422119140625
2010-03-17,43.199764251708984
2010-03-18,43.9830207824707
2010-03-19,43.084129333496094
2010-03-22,43.021034240722656
2010-03-23,43.28912353515625
2010-03-24,42.900146484375
2010-03-25,42.54267120361328
2010-03-26,42.579463958740234
2010-03-29,42.768707275390625
2010-03-30,44.303688049316406
2010-03-31,43.93045425415039
2010-04-01,44.077632904052734
2010-04-05,44.25636291503906
2010-04-06,44.34046936035156
2010-04-07,43.977783203125
2010-04-08,43.60453414916992
2010-04-09,43.88837814331055
2010-04-12,43.778018951416016
2010-04-13,44.12495040893555
2010-04-14,44.361507415771484
2010-04-15,44.682159423828125
2010-04-16,44.03031539916992
2010-04-19,44.10392761230469
2010-04-20,44.824092864990234
2010-04-21,45.050140380859375
2010-04-22,45.2341194152832
2010-04-23,45.512725830078125
2010-04-26,45.96478271484375
2010-04-27,46.24340057373047
2010-04-28,46.38532257080078
2010-04-29,46.958316802978516
2010-04-30,46.61137771606445
2010-05-03,47.21064376831055
2010-05-04,46.09096908569336
2010-05-05,45.517974853515625
2010-05-06,44.28266143798828
2010-05-07,43.43630599975586
2010-05-10,45.19205856323242
2010-05-11,44.703182220458984
2010-05-12,45.43913650512695
2010-05-13,44.992305755615234
2010-05-14,44.513946533203125
2010-05-17,44.513946533203125
2010-05-18,44.1670036315918
2010-05-19,43.66183090209961
2010-05-20,42.09604263305664
2010-05-21,42.68849563598633
2010-05-24,42.10134506225586
2010-05-25,42.037872314453125
2010-05-26,41.879180908203125
2010-05-27,43.07465744018555
2010-05-28,41.953224182128906
2010-06-01,41.29730224609375
2010-06-02,41.6517219543457
2010-06-03,41.440120697021484
2010-06-04,40.25521469116211
2010-06-07,39.535804748535156
2010-06-08,39.63102340698242
2010-06-09,39.562255859375
2010-06-10,40.95875549316406
2010-06-11,41.418968200683594
2010-06-14,41.33433532714844
2010-06-15,42.19654846191406
2010-06-16,42.78371047973633
2010-06-17,42.863067626953125
2010-06-18,42.94242858886719
2010-06-21,43.095829010009766
2010-06-22,42.3340950012207
2010-06-23,42.381710052490234
2010-06-24,41.3554801940918
2010-06-25,41.73635482788086
2010-06-28,41.778663635253906
2010-06-29,41.519466400146484
2010-06-30,41.78395080566406
2010-07-01,41.55121612548828
2010-07-02,41.085731506347656
2010-07-06,41.33433532714844
2010-07-07,42.593292236328125
2010-07-08,42.96357345581055
2010-07-09,43.4608154296875
2010-07-12,43.513710021972656
2010-07-13,44.19609069824219
2010-07-14,43.93159866333008
2010-07-15,43.9368896484375
2010-07-16,42.82074737548828
2010-07-19,42.96357345581055
2010-07-20,43.476680755615234
2010-07-21,43.53487014770508
2010-07-22,44.83087158203125
2010-07-23,45.58201217651367
2010-07-26,46.19034957885742
2010-07-27,45.915260314941406
2010-07-28,45.857078552246094
2010-07-29,45.671939849853516
2010-07-30,45.24874496459961
2010-08-02,46.23796463012695
2010-08-03,46.13216018676758
2010-08-04,46.55005645751953
2010-08-05,46.40193557739258
2010-08-06,46.17445373535156
2010-08-09,46.56591796875
2010-08-10,46.07926559448242
2010-08-11,44.487037658691406
2010-08-12,44.439422607421875
2010-08-13,44.439422607421875
2010-08-16,44.132598876953125
2010-08-17,44.48174285888672
2010-08-18,44.505706787109375
2010-08-19,43.547550201416016
2010-08-20,42.93540954589844
2010-08-23,43.158966064453125
2010-08-24,42.823631286621094
2010-08-25,42.983314514160156
2010-08-26,42.46699142456055
2010-08-27,43.11637496948242
2010-08-30,42.39778137207031
2010-08-31,41.81226348876953
2010-09-01,43.121726989746094
2010-09-02,43.579505920410156
2010-09-03,44.436500549316406
2010-09-07,43.72322082519531
2010-09-08,44.047908782958984
2010-09-09,44.15970993041992
2010-09-10,44.68134689331055
2010-09-13,45.17107009887695
2010-09-14,45.04864501953125
2010-09-15,45.022037506103516
2010-09-16,45.2189826965332
2010-09-17,45.815155029296875
2010-09-20,46.528446197509766
2010-09-21,46.070655822753906
2010-09-22,46.113258361816406
2010-09-23,45.52771759033203
2010-09-24,46.28889846801758
2010-09-27,45.879024505615234
2010-09-28,46.33149337768555
