Date,CTSH
2010-01-04,20.92884063720703
2010-01-05,21.16585922241211
2010-01-06,21.16585922241211
2010-01-07,20.365373611450195
2010-01-08,20.95568084716797
2010-01-11,20.785737991333008
2010-01-12,21.107723236083984
2010-01-13,21.814294815063477
2010-01-14,21.514671325683594
2010-01-15,21.429710388183594
2010-01-19,21.604110717773438
2010-01-20,21.0898380279541
2010-01-21,20.92884063720703
2010-01-22,20.19991111755371
2010-01-25,20.249101638793945
2010-01-26,20.3787899017334
2010-01-27,20.611339569091797
2010-01-28,19.9271183013916
2010-01-29,19.52463722229004
2010-02-01,19.985258102416992
2010-02-02,20.19991111755371
2010-02-03,20.19991111755371
2010-02-04,19.283159255981445
2010-02-05,19.52463722229004
2010-02-08,19.560420989990234
2010-02-09,20.790212631225586
2010-02-10,20.723125457763672
2010-02-11,21.0898380279541
2010-02-12,21.0898380279541
2010-02-16,21.2105770111084
2010-02-17,21.103248596191406
2010-02-18,21.152441024780273
2010-02-19,21.246353149414062
2010-02-22,21.16585922241211
2010-02-23,21.116670608520508
2010-02-24,21.541505813598633
2010-02-25,21.537033081054688
2010-02-26,21.523616790771484
2010-03-01,22.57452964782715
2010-03-02,22.811542510986328
2010-03-03,22.288320541381836
2010-03-04,22.194412231445312
2010-03-05,22.65949821472168
2010-03-08,22.368820190429688
2010-03-09,22.48956298828125
2010-03-10,22.72210693359375
2010-03-11,22.811542510986328
2010-03-12,22.717632293701172
2010-03-15,22.739986419677734
2010-03-16,22.923341751098633
2010-03-17,23.084333419799805
2010-03-18,23.178247451782227
2010-03-19,22.918867111206055
2010-03-22,23.19613265991211
2010-03-23,23.4868106842041
2010-03-24,23.21849250793457
2010-03-25,23.01278305053711
2010-03-26,22.847326278686523
2010-03-29,22.86968231201172
2010-03-30,23.01278305053711
2010-03-31,22.798128128051758
2010-04-01,22.72210693359375
2010-04-05,23.245323181152344
2010-04-06,23.36606788635254
2010-04-07,22.85626220703125
2010-04-08,22.757875442504883
2010-04-09,23.12905502319336
2010-04-12,23.236379623413086
2010-04-13,24.001087188720703
2010-04-14,24.11736488342285
2010-04-15,23.996618270874023
2010-04-16,23.598615646362305
2010-04-19,23.276634216308594
2010-04-20,23.71041488647461
2010-04-21,23.598615646362305
2010-04-22,24.010032653808594
2010-04-23,23.849044799804688
2010-04-26,23.790910720825195
2010-04-27,23.026201248168945
2010-04-28,22.798128128051758
2010-04-29,23.276634216308594
2010-04-30,22.85626220703125
2010-05-03,23.26321029663086
2010-05-04,23.164833068847656
2010-05-05,22.802602767944336
2010-05-06,21.80088233947754
2010-05-07,21.250829696655273
2010-05-10,23.164833068847656
2010-05-11,22.994897842407227
2010-05-12,23.47340202331543
2010-05-13,23.146942138671875
2010-05-14,22.31068992614746
2010-05-17,22.1049747467041
2010-05-18,21.885845184326172
2010-05-19,21.702497482299805
2010-05-20,21.00933837890625
2010-05-21,22.131803512573242
2010-05-24,21.742740631103516
2010-05-25,21.93503189086914
2010-05-26,21.86348533630371
2010-05-27,22.699745178222656
2010-05-28,22.377763748168945
2010-06-01,21.975284576416016
2010-06-02,22.802602767944336
2010-06-03,23.36159896850586
2010-06-04,22.467206954956055
2010-06-07,22.189939498901367
2010-06-08,22.261489868164062
2010-06-09,22.27937889099121
2010-06-10,23.003835678100586
2010-06-11,23.160354614257812
2010-06-14,23.31240463256836
2010-06-15,24.04581069946289
2010-06-16,24.144197463989258
2010-06-17,24.005563735961914
2010-06-18,23.956371307373047
2010-06-21,23.853513717651367
2010-06-22,23.42420768737793
2010-06-23,23.343708038330078
2010-06-24,23.120113372802734
2010-06-25,23.513647079467773
2010-06-28,23.643329620361328
2010-06-29,22.6058292388916
2010-06-30,22.386709213256836
2010-07-01,22.507450103759766
2010-07-02,22.082611083984375
2010-07-06,22.167583465576172
2010-07-07,23.120113372802734
2010-07-08,23.585195541381836
2010-07-09,23.907175064086914
2010-07-12,23.80879783630371
2010-07-13,24.072643280029297
2010-07-14,24.05475425720215
2010-07-15,24.22022247314453
2010-07-16,23.536006927490234
2010-07-19,24.081579208374023
2010-07-20,24.354379653930664
2010-07-21,23.732772827148438
2010-07-22,24.19338607788086
2010-07-23,24.74791145324707
2010-07-26,24.7344913482666
2010-07-27,24.475120544433594
2010-07-28,24.296241760253906
2010-07-29,24.121829986572266
2010-07-30,24.399099349975586
2010-08-02,24.7836856842041
2010-08-03,27.109111785888672
2010-08-04,27.533946990966797
2010-08-05,27.279048919677734
2010-08-06,27.24774742126465
2010-08-09,27.39978790283203
2010-08-10,27.35954475402832
2010-08-11,26.514339447021484
2010-08-12,26.357820510864258
2010-08-13,26.062671661376953
2010-08-16,26.15658187866211
2010-08-17,26.769245147705078
2010-08-18,26.822908401489258
2010-08-19,26.415956497192383
2010-08-20,26.657442092895508
2010-08-23,26.411481857299805
2010-08-24,26.031362533569336
2010-08-25,26.0179500579834
2010-08-26,25.722801208496094
2010-08-27,26.2012996673584
2010-08-30,25.713851928710938
2010-08-31,25.763046264648438
2010-09-01,26.724523544311523
2010-09-02,27.243268966674805
2010-09-03,27.891708374023438
2010-09-07,27.829097747802734
2010-09-08,28.289714813232422
2010-09-09,27.6099796295166
2010-09-10,27.976669311523438
2010-09-13,28.571449279785156
2010-09-14,28.719026565551758
2010-09-15,28.361270904541016
2010-09-16,28.410457611083984
2010-09-17,28.66983413696289
2010-09-20,28.70560646057129
2010-09-21,28.39257049560547
2010-09-22,27.918542861938477
2010-09-23,28.231578826904297
2010-09-24,28.719026565551758
2010-09-27,28.549087524414062
2010-09-28,29.143857955932617
