Date,NDAQ
2010-01-04,5.4522705078125
2010-01-05,5.468433856964111
2010-01-06,5.4657392501831055
2010-01-07,5.393006801605225
2010-01-08,5.449575901031494
2010-01-11,5.463045597076416
2010-01-12,5.3687615394592285
2010-01-13,5.419945240020752
2010-01-14,5.454965114593506
2010-01-15,5.43071985244751
2010-01-19,5.422638416290283
2010-01-20,5.3687615394592285
2010-01-21,5.1101555824279785
2010-01-22,4.94044828414917
2010-01-25,4.943140029907227
2010-01-26,4.87579345703125
2010-01-27,4.943140029907227
2010-01-28,4.913508415222168
2010-01-29,4.846162796020508
2010-02-01,4.961996078491211
2010-02-02,5.005098342895508
2010-02-03,5.1343994140625
2010-02-04,4.945835113525391
2010-02-05,5.064361572265625
2010-02-08,4.8623270988464355
2010-02-09,4.90273380279541
2010-02-10,4.873101234436035
2010-02-11,4.8892645835876465
2010-02-12,4.926975727081299
2010-02-16,4.997015953063965
2010-02-17,5.002403736114502
2010-02-18,5.013178825378418
2010-02-19,5.018566608428955
2010-02-22,4.9916300773620605
2010-02-23,4.967383861541748
2010-02-24,5.010486125946045
2010-02-25,5.029341697692871
2010-02-26,5.018566608428955
2010-03-01,5.064361572265625
2010-03-02,5.185583114624023
2010-03-03,5.236764430999756
2010-03-04,5.320273399353027
2010-03-05,5.395701885223389
2010-03-08,5.406475067138672
2010-03-09,5.4280266761779785
2010-03-10,5.446882724761963
2010-03-11,5.4522705078125
2010-03-12,5.468433856964111
2010-03-15,5.463045597076416
2010-03-16,5.454965114593506
2010-03-17,5.525002479553223
2010-03-18,5.584265232086182
2010-03-19,5.665080547332764
2010-03-22,5.603124141693115
2010-03-23,5.640836238861084
2010-03-24,5.654305934906006
2010-03-25,5.648916721343994
2010-03-26,5.670468807220459
2010-03-29,5.700099945068359
2010-03-30,5.673162937164307
2010-03-31,5.689326763153076
2010-04-01,5.6974077224731445
2010-04-05,5.821321487426758
2010-04-06,5.84287166595459
2010-04-07,5.770139217376709
2010-04-08,5.848259925842285
2010-04-09,5.90213680267334
2010-04-12,5.937156677246094
2010-04-13,5.923686981201172
2010-04-14,6.009890556335449
2010-04-15,5.974869251251221
2010-04-16,5.7647528648376465
2010-04-19,5.813241004943848
2010-04-20,5.848259925842285
2010-04-21,5.883279323577881
2010-04-22,5.996419906616211
2010-04-23,6.109559059143066
2010-04-26,6.184986591339111
2010-04-27,5.864425182342529
2010-04-28,5.708184242248535
2010-04-29,5.883279323577881
2010-04-30,5.656999111175537
2010-05-03,5.68663215637207
2010-05-04,5.495370388031006
2010-05-05,5.61928653717041
2010-05-06,5.4280266761779785
2010-05-07,5.150564193725586
2010-05-10,5.285253524780273
2010-05-11,5.282561302185059
2010-05-12,5.3983941078186035
2010-05-13,5.341822624206543
2010-05-14,5.290642738342285
2010-05-17,5.2933349609375
2010-05-18,5.131706237792969
2010-05-19,5.150564193725586
2010-05-20,4.870407581329346
2010-05-21,5.056279182434082
2010-05-24,4.945835113525391
2010-05-25,4.92966890335083
2010-05-26,4.924283027648926
2010-05-27,5.099381446838379
2010-05-28,5.007791519165039
2010-06-01,4.953913688659668
2010-06-02,5.045506000518799
2010-06-03,5.056279182434082
2010-06-04,4.9646897315979
2010-06-07,4.908120155334473
2010-06-08,4.916200637817383
2010-06-09,4.92966890335083
2010-06-10,5.112850666046143
2010-06-11,5.158645153045654
2010-06-14,5.145175457000732
2010-06-15,5.304110527038574
2010-06-16,5.2637038230896
2010-06-17,5.207132816314697
2010-06-18,5.164032936096191
2010-06-21,5.118238925933838
2010-06-22,5.029341697692871
2010-06-23,5.005098342895508
2010-06-24,4.94044828414917
2010-06-25,5.088606834411621
2010-06-28,5.080524921417236
2010-06-29,4.8623270988464355
2010-06-30,4.7895941734313965
2010-07-01,4.768041610717773
2010-07-02,4.660289287567139
2010-07-06,4.67645263671875
2010-07-07,4.7922868728637695
2010-07-08,4.838082313537598
2010-07-09,4.90273380279541
2010-07-12,4.8892645835876465
2010-07-13,4.924283027648926
2010-07-14,4.881181240081787
2010-07-15,4.886571407318115
2010-07-16,4.74379825592041
2010-07-19,4.770737171173096
2010-07-20,4.8892645835876465
2010-07-21,4.7895941734313965
2010-07-22,4.956609725952148
2010-07-23,5.018566608428955
2010-07-26,5.118238925933838
2010-07-27,5.250235080718994
2010-07-28,5.209827899932861
2010-07-29,5.242152214050293
2010-07-30,5.244846820831299
2010-08-02,5.414556980133057
2010-08-03,5.3983941078186035
2010-08-04,5.43071985244751
2010-08-05,5.471126556396484
2010-08-06,5.444189548492432
2010-08-09,5.516922473907471
2010-08-10,5.481900215148926
2010-08-11,5.322968006134033
2010-08-12,5.37684440612793
2010-08-13,5.371455669403076
2010-08-16,5.4280266761779785
2010-08-17,5.422638416290283
2010-08-18,5.4280266761779785
2010-08-19,5.306804180145264
2010-08-20,5.255622863769531
2010-08-23,5.231377601623535
2010-08-24,5.077832221984863
2010-08-25,5.029341697692871
2010-08-26,4.935059547424316
2010-08-27,4.994322776794434
2010-08-30,4.873101234436035
2010-08-31,4.824613094329834
2010-09-01,4.98085355758667
2010-09-02,5.050892353057861
2010-09-03,5.169421672821045
2010-09-07,5.026647567749023
2010-09-08,5.023956775665283
2010-09-09,5.069748401641846
2010-09-10,5.107461929321289
2010-09-13,5.212522029876709
2010-09-14,5.228683948516846
2010-09-15,5.252926826477051
2010-09-16,5.215214729309082
2010-09-17,5.234070777893066
2010-09-20,5.306804180145264
2010-09-21,5.258315563201904
2010-09-22,5.2475409507751465
2010-09-23,5.209827899932861
2010-09-24,5.433413028717041
