Date,EFX
2010-01-04,26.483610153198242
2010-01-05,26.47519302368164
2010-01-06,26.76131248474121
2010-01-07,26.87071418762207
2010-01-08,26.879138946533203
2010-01-11,26.626663208007812
2010-01-12,26.466779708862305
2010-01-13,26.736072540283203
2010-01-14,26.912792205810547
2010-01-15,26.71082878112793
2010-01-19,26.87071418762207
2010-01-20,26.736072540283203
2010-01-21,26.60142707824707
2010-01-22,26.4499454498291
2010-01-25,26.803394317626953
2010-01-26,26.584590911865234
2010-01-27,27.055856704711914
2010-01-28,26.702407836914062
2010-01-29,26.92963218688965
2010-02-01,28.10780143737793
2010-02-02,28.090974807739258
2010-02-03,27.804838180541992
2010-02-04,26.69399642944336
2010-02-05,26.567758560180664
2010-02-08,26.239561080932617
2010-02-09,26.483610153198242
2010-02-10,26.382617950439453
2010-02-11,26.59300994873047
2010-02-12,26.458362579345703
2010-02-16,26.895967483520508
2010-02-17,27.34198760986328
2010-02-18,26.971250534057617
2010-02-19,26.96282386779785
2010-02-22,26.93754768371582
2010-02-23,26.718469619750977
2010-02-24,27.215595245361328
2010-02-25,27.215595245361328
2010-02-26,27.18189811706543
2010-03-01,27.51894187927246
2010-03-02,27.611616134643555
2010-03-03,27.51894187927246
2010-03-04,27.594764709472656
2010-03-05,28.09189224243164
2010-03-08,27.839113235473633
2010-03-09,27.839113235473633
2010-03-10,27.982357025146484
2010-03-11,28.049758911132812
2010-03-12,28.235130310058594
2010-03-15,28.437355041503906
2010-03-16,29.195680618286133
2010-03-17,29.616975784301758
2010-03-18,30.08881950378418
2010-03-19,29.937164306640625
2010-03-22,30.25734519958496
2010-03-23,30.215211868286133
2010-03-24,30.206789016723633
2010-03-25,30.248918533325195
2010-03-26,30.409021377563477
2010-03-29,30.670207977294922
2010-03-30,30.484838485717773
2010-03-31,30.16465187072754
2010-04-01,30.105682373046875
2010-04-05,30.291040420532227
2010-04-06,30.15622329711914
2010-04-07,29.861331939697266
2010-04-08,29.996135711669922
2010-04-09,29.97086524963379
2010-04-12,29.82762336730957
2010-04-13,29.996135711669922
2010-04-14,30.18149757385254
2010-04-15,30.046695709228516
2010-04-16,29.34735107421875
2010-04-19,29.38106346130371
2010-04-20,29.65910530090332
2010-04-21,29.71808624267578
2010-04-22,30.25734519958496
2010-04-23,30.282608032226562
2010-04-26,30.27419090270996
2010-04-27,29.82762336730957
2010-04-28,29.70965576171875
2010-04-29,28.25197410583496
2010-04-30,28.310970306396484
2010-05-03,28.55532455444336
2010-05-04,28.02448844909668
2010-05-05,27.881244659423828
2010-05-06,26.735326766967773
2010-05-07,26.60894203186035
2010-05-10,27.780134201049805
2010-05-11,27.65374183654785
2010-05-12,28.00763511657715
2010-05-13,27.63689422607422
2010-05-14,27.26615333557129
2010-05-17,27.148193359375
2010-05-18,26.954397201538086
2010-05-19,26.65949058532715
2010-05-20,25.37032699584961
2010-05-21,25.218460083007812
2010-05-24,25.091909408569336
2010-05-25,24.973787307739258
2010-05-26,25.26909065246582
2010-05-27,25.82593536376953
2010-05-28,25.522199630737305
2010-06-01,24.754426956176758
2010-06-02,25.167837142944336
2010-06-03,25.108781814575195
2010-06-04,24.383193969726562
2010-06-07,24.05414390563965
2010-06-08,24.28194236755371
2010-06-09,24.16383171081543
2010-06-10,24.9484806060791
2010-06-11,25.041284561157227
2010-06-14,24.999101638793945
2010-06-15,25.62343406677246
2010-06-16,25.648752212524414
2010-06-17,25.505319595336914
2010-06-18,25.572824478149414
2010-06-21,25.20159339904785
2010-06-22,24.92316436767578
2010-06-23,24.84723472595215
2010-06-24,24.602554321289062
2010-06-25,24.41693878173828
2010-06-28,24.74598503112793
2010-06-29,23.817913055419922
2010-06-30,23.67447280883789
2010-07-01,23.801025390625
2010-07-02,23.691341400146484
2010-07-06,23.438236236572266
2010-07-07,24.05414390563965
2010-07-08,24.273509979248047
2010-07-09,24.425373077392578
2010-07-12,24.25663948059082
2010-07-13,24.999101638793945
2010-07-14,25.311267852783203
2010-07-15,25.142526626586914
2010-07-16,24.619434356689453
2010-07-19,24.695362091064453
2010-07-20,25.117219924926758
2010-07-21,24.762855529785156
2010-07-22,25.437829971313477
2010-07-23,25.707805633544922
2010-07-26,26.34903335571289
2010-07-27,25.98624038696289
2010-07-28,25.522199630737305
2010-07-29,26.4755859375
2010-07-30,26.44183921813965
2010-08-02,26.931188583374023
2010-08-03,26.55152130126953
2010-08-04,26.770889282226562
2010-08-05,26.897445678710938
2010-08-06,26.770889282226562
2010-08-09,27.184301376342773
2010-08-10,26.703386306762695
2010-08-11,25.69937515258789
2010-08-12,25.480012893676758
2010-08-13,25.480012893676758
2010-08-16,25.530635833740234
2010-08-17,26.07061004638672
2010-08-18,26.019990921020508
2010-08-19,25.783754348754883
2010-08-20,25.420949935913086
2010-08-23,25.023895263671875
2010-08-24,24.702844619750977
2010-08-25,24.914058685302734
2010-08-26,24.761987686157227
2010-08-27,25.251983642578125
2010-08-30,24.939401626586914
2010-08-31,24.897165298461914
2010-09-01,25.539228439331055
2010-09-02,25.699745178222656
2010-09-03,25.62371253967285
2010-09-07,25.2012939453125
2010-09-08,25.336471557617188
2010-09-09,25.091463088989258
2010-09-10,25.243532180786133
2010-09-13,25.5645751953125
2010-09-14,25.29422950744629
2010-09-15,25.142162322998047
2010-09-16,25.057676315307617
2010-09-17,25.353364944458008
2010-09-20,25.809574127197266
2010-09-21,25.784231185913086
2010-09-22,25.513883590698242
2010-09-23,25.328020095825195
2010-09-24,26.071475982666016
2010-09-27,25.94474220275879
2010-09-28,26.215099334716797
