Date,ALL
2010-01-04,21.413002014160156
2010-01-05,21.765071868896484
2010-01-06,21.772119522094727
2010-01-07,21.884775161743164
2010-01-08,21.976320266723633
2010-01-11,21.976320266723633
2010-01-12,21.95519256591797
2010-01-13,22.15235137939453
2010-01-14,22.27909278869629
2010-01-15,21.765071868896484
2010-01-19,22.103063583374023
2010-01-20,21.983352661132812
2010-01-21,21.7087459564209
2010-01-22,21.110214233398438
2010-01-25,21.370752334594727
2010-01-26,21.32146644592285
2010-01-27,21.32146644592285
2010-01-28,21.089099884033203
2010-01-29,21.075008392333984
2010-02-01,21.089099884033203
2010-02-02,21.490467071533203
2010-02-03,21.00459861755371
2010-02-04,20.20187759399414
2010-02-05,20.356788635253906
2010-02-08,19.969505310058594
2010-02-09,20.230043411254883
2010-02-10,20.138504028320312
2010-02-11,20.708864212036133
2010-02-12,20.793359756469727
2010-02-16,21.490467071533203
2010-02-17,21.610172271728516
2010-02-18,22.004487991333008
2010-02-19,21.983352661132812
2010-02-22,22.117149353027344
2010-02-23,21.95519256591797
2010-02-24,22.025606155395508
2010-02-25,22.03969383239746
2010-02-26,22.004487991333008
2010-03-01,22.229808807373047
2010-03-02,22.546674728393555
2010-03-03,22.525543212890625
2010-03-04,22.490346908569336
2010-03-05,22.63117027282715
2010-03-08,22.525543212890625
2010-03-09,22.441057205200195
2010-03-10,22.391454696655273
2010-03-11,22.518999099731445
2010-03-12,22.299327850341797
2010-03-15,21.916696548461914
2010-03-16,21.9804630279541
2010-03-17,22.157615661621094
2010-03-18,22.235559463500977
2010-03-19,22.15052032470703
2010-03-22,22.022985458374023
2010-03-23,22.278078079223633
2010-03-24,22.20014190673828
2010-03-25,22.36310577392578
2010-03-26,22.816608428955078
2010-03-29,22.859115600585938
2010-03-30,22.7174015045166
2010-03-31,22.894550323486328
2010-04-01,23.0220947265625
2010-04-05,23.12129783630371
2010-04-06,23.114208221435547
2010-04-07,23.220500946044922
2010-04-08,23.45433807373047
2010-04-09,23.362218856811523
2010-04-12,23.411813735961914
2010-04-13,23.425996780395508
2010-04-14,24.32590675354004
2010-04-15,24.304645538330078
2010-04-16,23.985776901245117
2010-04-19,24.22669792175293
2010-04-20,25.105356216430664
2010-04-21,24.722713470458984
2010-04-22,24.921123504638672
2010-04-23,24.93528175354004
2010-04-26,24.658933639526367
2010-04-27,23.574792861938477
2010-04-28,23.929092407226562
2010-04-29,23.574792861938477
2010-04-30,23.149641036987305
2010-05-03,23.411813735961914
2010-05-04,22.7315731048584
2010-05-05,23.1638126373291
2010-05-06,22.7174015045166
2010-05-07,22.533170700073242
2010-05-10,23.610227584838867
2010-05-11,23.206331253051758
2010-05-12,23.4614200592041
2010-05-13,23.071699142456055
2010-05-14,22.582765579223633
2010-05-17,22.66780662536621
2010-05-18,22.235559463500977
2010-05-19,22.235559463500977
2010-05-20,21.30730628967285
2010-05-21,21.640344619750977
2010-05-24,21.144325256347656
2010-05-25,21.286056518554688
2010-05-26,21.064916610717773
2010-05-27,21.949451446533203
2010-05-28,21.84958267211914
2010-06-01,21.157651901245117
2010-06-02,21.557113647460938
2010-06-03,21.52145004272461
2010-06-04,20.64404296875
2010-06-07,20.451440811157227
2010-06-08,20.865184783935547
2010-06-09,20.579845428466797
2010-06-10,21.257518768310547
2010-06-11,21.385910034179688
2010-06-14,21.364517211914062
2010-06-15,21.878124237060547
2010-06-16,21.557113647460938
2010-06-17,21.44298553466797
2010-06-18,21.78538703918457
2010-06-21,21.592784881591797
2010-06-22,21.792522430419922
2010-06-23,21.7211856842041
2010-06-24,21.093442916870117
2010-06-25,21.992258071899414
2010-06-28,21.400184631347656
2010-06-29,20.69398307800293
2010-06-30,20.49424934387207
2010-07-01,20.251718521118164
2010-07-02,20.17324447631836
2010-07-06,19.923564910888672
2010-07-07,20.551313400268555
2010-07-08,20.836645126342773
2010-07-09,21.000715255737305
2010-07-12,20.76531219482422
2010-07-13,20.915117263793945
2010-07-14,20.686847686767578
2010-07-15,20.60124397277832
2010-07-16,19.852235794067383
2010-07-19,19.902170181274414
2010-07-20,20.166107177734375
2010-07-21,19.5669002532959
2010-07-22,20.01630210876465
2010-07-23,20.17324447631836
2010-07-26,20.20890235900879
2010-07-27,20.408639907836914
2010-07-28,20.15184211730957
2010-07-29,20.15184211730957
2010-07-30,20.144704818725586
2010-08-02,20.565574645996094
2010-08-03,20.365835189819336
2010-08-04,20.408639907836914
2010-08-05,20.979312896728516
2010-08-06,20.672574996948242
2010-08-09,21.13625144958496
2010-08-10,20.986446380615234
2010-08-11,20.13043212890625
2010-08-12,20.13043212890625
2010-08-13,20.044841766357422
2010-08-16,19.93070411682129
2010-08-17,20.144704818725586
2010-08-18,20.230304718017578
2010-08-19,20.002038955688477
2010-08-20,19.795167922973633
2010-08-23,19.909305572509766
2010-08-24,19.631101608276367
2010-08-25,19.8450984954834
2010-08-26,19.55263328552246
2010-08-27,20.113130569458008
2010-08-30,19.588558197021484
2010-08-31,19.832889556884766
2010-09-01,20.60176658630371
2010-09-02,20.56583595275879
2010-09-03,21.140703201293945
2010-09-07,20.623319625854492
2010-09-08,20.910757064819336
2010-09-09,21.162260055541992
2010-09-10,21.464069366455078
2010-09-13,21.765872955322266
2010-09-14,21.751501083374023
2010-09-15,21.909591674804688
2010-09-16,22.168277740478516
2010-09-17,22.268877029418945
2010-09-20,22.642532348632812
2010-09-21,22.513200759887695
2010-09-22,22.247318267822266
2010-09-23,21.880847930908203
2010-09-24,22.707210540771484
2010-09-27,22.563499450683594
2010-09-28,23.1096248626709
