Date,SW
2010-01-04,6.223991394042969
2010-01-05,6.223991394042969
2010-01-06,6.223991394042969
2010-01-07,6.223991394042969
2010-01-08,6.223991394042969
2010-01-11,6.223991394042969
2010-01-12,6.223991394042969
2010-01-13,6.223991394042969
2010-01-14,6.223991394042969
2010-01-15,6.223991394042969
2010-01-19,6.223991394042969
2010-01-20,6.223991394042969
2010-01-21,6.223991394042969
2010-01-22,6.223991394042969
2010-01-25,6.223991394042969
2010-01-26,6.223991394042969
2010-01-27,6.223991394042969
2010-01-28,6.223991394042969
2010-01-29,6.223991394042969
2010-02-01,6.4291768074035645
2010-02-02,6.4291768074035645
2010-02-03,6.4291768074035645
2010-02-04,6.4291768074035645
2010-02-05,6.4291768074035645
2010-02-08,6.4291768074035645
2010-02-09,6.4291768074035645
2010-02-10,6.4291768074035645
2010-02-11,6.4291768074035645
2010-02-12,5.984607696533203
2010-02-16,5.984607696533203
2010-02-17,5.984607696533203
2010-02-18,5.984607696533203
2010-02-19,5.984607696533203
2010-02-22,5.984607696533203
2010-02-23,5.984607696533203
2010-02-24,5.984607696533203
2010-02-25,5.984607696533203
2010-02-26,5.984607696533203
2010-03-01,5.984607696533203
2010-03-02,5.984607696533203
2010-03-03,5.984607696533203
2010-03-04,5.984607696533203
2010-03-05,5.984607696533203
2010-03-08,5.984607696533203
2010-03-09,5.984607696533203
2010-03-10,5.984607696533203
2010-03-11,5.984607696533203
2010-03-12,5.984607696533203
2010-03-15,5.984607696533203
2010-03-16,5.984607696533203
2010-03-17,5.984607696533203
2010-03-18,5.984607696533203
2010-03-19,5.984607696533203
2010-03-22,5.984607696533203
2010-03-23,5.984607696533203
2010-03-24,5.984607696533203
2010-03-25,5.984607696533203
2010-03-26,5.984607696533203
2010-03-29,5.984607696533203
2010-03-30,5.471640110015869
2010-03-31,5.471640110015869
2010-04-01,5.471640110015869
2010-04-05,5.471640110015869
2010-04-06,5.471640110015869
2010-04-07,5.471640110015869
2010-04-08,5.471640110015869
2010-04-09,5.471640110015869
2010-04-12,5.471640110015869
2010-04-13,5.471640110015869
2010-04-14,5.471640110015869
2010-04-15,6.5659685134887695
2010-04-16,6.5659685134887695
2010-04-19,6.5659685134887695
2010-04-20,6.5659685134887695
2010-04-21,6.5659685134887695
2010-04-22,6.292386531829834
2010-04-23,6.292386531829834
2010-04-26,6.292386531829834
2010-04-27,6.292386531829834
2010-04-28,6.292386531829834
2010-04-29,6.292386531829834
2010-04-30,6.292386531829834
2010-05-03,6.292386531829834
2010-05-04,6.292386531829834
2010-05-05,6.292386531829834
2010-05-06,6.292386531829834
2010-05-07,6.292386531829834
2010-05-10,6.292386531829834
2010-05-11,6.292386531829834
2010-05-12,6.292386531829834
2010-05-13,6.292386531829834
2010-05-14,6.292386531829834
2010-05-17,6.292386531829834
2010-05-18,6.292386531829834
2010-05-19,6.292386531829834
2010-05-20,6.292386531829834
2010-05-21,6.292386531829834
2010-05-24,6.292386531829834
2010-05-25,6.292386531829834
2010-05-26,6.292386531829834
2010-05-27,6.292386531829834
2010-05-28,6.292386531829834
2010-06-01,6.292386531829834
2010-06-02,6.292386531829834
2010-06-03,6.292386531829834
2010-06-04,6.292386531829834
2010-06-07,6.292386531829834
2010-06-08,6.292386531829834
2010-06-09,6.292386531829834
2010-06-10,6.292386531829834
2010-06-11,6.292386531829834
2010-06-14,6.292386531829834
2010-06-15,6.292386531829834
2010-06-16,6.292386531829834
2010-06-17,6.292386531829834
2010-06-18,6.292386531829834
2010-06-21,6.292386531829834
2010-06-22,6.292386531829834
2010-06-23,6.292386531829834
2010-06-24,6.292386531829834
2010-06-25,6.292386531829834
2010-06-28,6.292386531829834
2010-06-29,6.292386531829834
2010-06-30,6.292386531829834
2010-07-01,6.292386531829834
2010-07-02,6.292386531829834
2010-07-06,6.292386531829834
2010-07-07,6.292386531829834
2010-07-08,6.292386531829834
2010-07-09,6.292386531829834
2010-07-12,6.292386531829834
2010-07-13,6.292386531829834
2010-07-14,6.449696063995361
2010-07-15,6.360782623291016
2010-07-16,6.360782623291016
2010-07-19,6.360782623291016
2010-07-20,6.360782623291016
2010-07-21,6.360782623291016
2010-07-22,6.360782623291016
2010-07-23,6.360782623291016
2010-07-26,6.360782623291016
2010-07-27,6.360782623291016
2010-07-28,6.360782623291016
2010-07-29,6.360782623291016
2010-07-30,6.360782623291016
2010-08-02,6.360782623291016
2010-08-03,6.360782623291016
2010-08-04,6.360782623291016
2010-08-05,6.360782623291016
2010-08-06,6.360782623291016
2010-08-09,6.360782623291016
2010-08-10,6.360782623291016
2010-08-11,6.360782623291016
2010-08-12,6.360782623291016
2010-08-13,6.360782623291016
2010-08-16,6.360782623291016
2010-08-17,6.360782623291016
2010-08-18,6.805352210998535
2010-08-19,6.805352210998535
2010-08-20,6.805352210998535
2010-08-23,6.805352210998535
2010-08-24,6.805352210998535
2010-08-25,6.805352210998535
2010-08-26,6.805352210998535
2010-08-27,6.805352210998535
2010-08-30,6.805352210998535
2010-08-31,6.805352210998535
2010-09-01,6.805352210998535
2010-09-02,6.805352210998535
2010-09-03,6.805352210998535
2010-09-07,6.805352210998535
2010-09-08,6.805352210998535
2010-09-09,6.805352210998535
2010-09-10,6.805352210998535
2010-09-13,6.805352210998535
2010-09-14,6.805352210998535
2010-09-15,6.805352210998535
2010-09-16,6.805352210998535
2010-09-17,6.805352210998535
2010-09-20,6.805352210998535
2010-09-21,6.805352210998535
2010-09-22,6.805352210998535
2010-09-23,6.805352210998535
2010-09-24,6.805352210998535
2010-09-27,6.805352210998535
