Date,WM
2010-01-04,22.968547821044922
2010-01-05,22.867692947387695
2010-01-06,22.860971450805664
2010-01-07,22.91476058959961
2010-01-08,23.022342681884766
2010-01-11,23.311466217041016
2010-01-12,23.452661514282227
2010-01-13,23.398874282836914
2010-01-14,23.156818389892578
2010-01-15,22.3566837310791
2010-01-19,22.80717658996582
2010-01-20,22.672704696655273
2010-01-21,22.255821228027344
2010-01-22,22.094459533691406
2010-01-25,21.9465274810791
2010-01-26,21.892742156982422
2010-01-27,21.90619468688965
2010-01-28,21.59017562866211
2010-01-29,21.549829483032227
2010-02-01,21.637235641479492
2010-02-02,21.859119415283203
2010-02-03,21.832229614257812
2010-02-04,21.388458251953125
2010-02-05,21.395179748535156
2010-02-08,21.112783432006836
2010-02-09,21.556543350219727
2010-02-10,21.462417602539062
2010-02-11,21.46914291381836
2010-02-12,21.40190315246582
2010-02-16,22.121360778808594
2010-02-17,22.1885929107666
2010-02-18,22.121360778808594
2010-02-19,22.4440975189209
2010-02-22,22.430648803710938
2010-02-23,21.933086395263672
2010-02-24,22.134801864624023
2010-02-25,22.20876121520996
2010-02-26,22.202035903930664
2010-03-01,22.65348243713379
2010-03-02,22.74852180480957
2010-03-03,22.741729736328125
2010-03-04,22.72136688232422
2010-03-05,22.986114501953125
2010-03-08,22.80961799621582
2010-03-09,22.823184967041016
2010-03-10,22.734943389892578
2010-03-11,22.707788467407227
2010-03-12,22.68741798400879
2010-03-15,22.877500534057617
2010-03-16,22.99970245361328
2010-03-17,23.060794830322266
2010-03-18,23.1490421295166
2010-03-19,23.189769744873047
2010-03-22,23.264450073242188
2010-03-23,23.54957389831543
2010-03-24,23.325551986694336
2010-03-25,23.264450073242188
2010-03-26,23.373065948486328
2010-03-29,23.454532623291016
2010-03-30,23.37986183166504
2010-03-31,23.373065948486328
2010-04-01,23.474899291992188
2010-04-05,23.54277992248535
2010-04-06,23.651395797729492
2010-04-07,23.54277992248535
2010-04-08,23.49526023864746
2010-04-09,23.603878021240234
2010-04-12,23.70569610595703
2010-04-13,23.671762466430664
2010-04-14,23.827898025512695
2010-04-15,23.855056762695312
2010-04-16,23.7803897857666
2010-04-19,23.834692001342773
2010-04-20,23.821107864379883
2010-04-21,23.848268508911133
2010-04-22,23.922945022583008
2010-04-23,24.119810104370117
2010-04-26,24.20806884765625
2010-04-27,23.603878021240234
2010-04-28,23.95688247680664
2010-04-29,23.821107864379883
2010-04-30,23.54277992248535
2010-05-03,23.81432342529297
2010-05-04,23.2169246673584
2010-05-05,23.108314514160156
2010-05-06,22.463401794433594
2010-05-07,22.307260513305664
2010-05-10,23.067577362060547
2010-05-11,23.054004669189453
2010-05-12,23.318758010864258
2010-05-13,23.12189483642578
2010-05-14,22.72136688232422
2010-05-17,22.904661178588867
2010-05-18,22.911449432373047
2010-05-19,22.605955123901367
2010-05-20,21.83884620666504
2010-05-21,21.99498176574707
2010-05-24,21.737016677856445
2010-05-25,21.750600814819336
2010-05-26,21.872798919677734
2010-05-27,22.404096603393555
2010-05-28,22.287553787231445
2010-06-01,21.917348861694336
2010-06-02,22.404096603393555
2010-06-03,22.486364364624023
2010-06-04,21.636272430419922
2010-06-07,21.50601577758789
2010-06-08,21.835084915161133
2010-06-09,21.910497665405273
2010-06-10,22.50694465637207
2010-06-11,22.465797424316406
2010-06-14,22.50694465637207
2010-06-15,23.041675567626953
2010-06-16,23.062236785888672
2010-06-17,23.1102237701416
2010-06-18,22.9868221282959
2010-06-21,23.000537872314453
2010-06-22,22.65089988708496
2010-06-23,22.39723777770996
2010-06-24,22.03389549255371
2010-06-25,22.04075813293457
2010-06-28,22.143587112426758
2010-06-29,21.567718505859375
2010-06-30,21.451173782348633
2010-07-01,21.697978973388672
2010-07-02,21.807668685913086
2010-07-06,21.752824783325195
2010-07-07,22.266983032226562
2010-07-08,22.54121208190918
2010-07-09,22.47265625
2010-07-12,22.44524383544922
2010-07-13,22.726308822631836
2010-07-14,22.66461753845215
2010-07-15,22.746883392333984
2010-07-16,22.239572525024414
2010-07-19,22.2601375579834
2010-07-20,22.404096603393555
2010-07-21,22.35610580444336
2010-07-22,22.863422393798828
2010-07-23,23.02796173095703
2010-07-26,23.39130401611328
2010-07-27,23.398164749145508
2010-07-28,23.39130401611328
2010-07-29,23.48043441772461
2010-07-30,23.274763107299805
2010-08-02,23.624391555786133
2010-08-03,23.5764102935791
2010-08-04,23.713523864746094
2010-08-05,23.624391555786133
2010-08-06,23.699804306030273
2010-08-09,23.75464630126953
2010-08-10,23.528417587280273
2010-08-11,22.849712371826172
2010-08-12,22.692033767700195
2010-08-13,22.630329132080078
2010-08-16,22.794864654541016
2010-08-17,23.281620025634766
2010-08-18,23.281620025634766
2010-08-19,22.95254898071289
2010-08-20,23.034812927246094
2010-08-23,22.979969024658203
2010-08-24,22.740026473999023
2010-08-25,22.705753326416016
2010-08-26,22.685184478759766
2010-08-27,23.048526763916016
2010-08-30,22.91826820373535
2010-08-31,22.685184478759766
2010-09-01,23.309038162231445
2010-09-02,23.41629981994629
2010-09-03,23.60312843322754
2010-09-07,23.40937614440918
2010-09-08,23.471654891967773
2010-09-09,23.388622283935547
2010-09-10,23.52701187133789
2010-09-13,23.637727737426758
2010-09-14,23.713844299316406
2010-09-15,23.893749237060547
2010-09-16,23.900676727294922
2010-09-17,24.218976974487305
2010-09-20,24.433494567871094
2010-09-21,24.6341609954834
2010-09-22,24.648000717163086
2010-09-23,24.302017211914062
2010-09-24,24.74488067626953
2010-09-27,24.54421043395996
2010-09-28,24.62032699584961
