Date,FE
2010-01-04,23.00784683227539
2010-01-05,22.752029418945312
2010-01-06,22.997995376586914
2010-01-07,22.653636932373047
2010-01-08,22.535572052001953
2010-01-11,22.929121017456055
2010-01-12,22.96355628967285
2010-01-13,23.09637451171875
2010-01-14,23.057029724121094
2010-01-15,22.96847915649414
2010-01-19,23.135738372802734
2010-01-20,22.811058044433594
2010-01-21,22.205974578857422
2010-01-22,21.709123611450195
2010-01-25,21.837026596069336
2010-01-26,21.945253372192383
2010-01-27,21.75339698791504
2010-01-28,21.4779052734375
2010-01-29,21.45823860168457
2010-02-01,21.522186279296875
2010-02-02,21.694360733032227
2010-02-03,21.35063934326172
2010-02-04,20.88237762451172
2010-02-05,20.698062896728516
2010-02-08,20.419109344482422
2010-02-09,20.792715072631836
2010-02-10,20.65323257446289
2010-02-11,19.721694946289062
2010-02-12,19.52243995666504
2010-02-16,19.532400131225586
2010-02-17,19.213586807250977
2010-02-18,19.328168869018555
2010-02-19,19.7764949798584
2010-02-22,19.796419143676758
2010-02-23,19.532400131225586
2010-02-24,19.487564086914062
2010-02-25,19.462661743164062
2010-02-26,19.25343894958496
2010-03-01,19.462661743164062
2010-03-02,19.587196350097656
2010-03-03,19.387941360473633
2010-03-04,19.387941360473633
2010-03-05,19.731657028198242
2010-03-08,19.681838989257812
2010-03-09,19.656944274902344
2010-03-10,19.806381225585938
2010-03-11,19.79143524169922
2010-03-12,19.651958465576172
2010-03-15,19.771512985229492
2010-03-16,19.851221084594727
2010-03-17,19.92095947265625
2010-03-18,19.721694946289062
2010-03-19,19.81634521484375
2010-03-22,19.86616325378418
2010-03-23,20.145132064819336
2010-03-24,20.060443878173828
2010-03-25,19.432769775390625
2010-03-26,19.32317543029785
2010-03-29,19.422815322875977
2010-03-30,19.368011474609375
2010-03-31,19.472625732421875
2010-04-01,19.656944274902344
2010-04-05,19.686826705932617
2010-04-06,19.86117935180664
2010-04-07,19.686826705932617
2010-04-08,19.651958465576172
2010-04-09,19.71173667907715
2010-04-12,19.746604919433594
2010-04-13,19.552318572998047
2010-04-14,19.35306739807129
2010-04-15,19.22354507446289
2010-04-16,18.854915618896484
2010-04-19,18.700490951538086
2010-04-20,18.83000946044922
2010-04-21,18.770231246948242
2010-04-22,18.600866317749023
2010-04-23,18.6855525970459
2010-04-26,18.590898513793945
2010-04-27,18.381675720214844
2010-04-28,18.660634994506836
2010-04-29,18.63075065612793
2010-04-30,18.86488151550293
2010-05-03,18.854915618896484
2010-05-04,18.46636390686035
2010-05-05,18.061840057373047
2010-05-06,17.632034301757812
2010-05-07,17.728111267089844
2010-05-10,18.16802978515625
2010-05-11,18.1376895904541
2010-05-12,18.425912857055664
2010-05-13,18.58772087097168
2010-05-14,18.577611923217773
2010-05-17,18.48152732849121
2010-05-18,18.16297149658203
2010-05-19,18.0669002532959
2010-05-20,17.551130294799805
2010-05-21,17.637094497680664
2010-05-24,17.520797729492188
2010-05-25,17.38426971435547
2010-05-26,17.409555435180664
2010-05-27,17.81913185119629
2010-05-28,17.80396270751953
2010-06-01,17.207294464111328
2010-06-02,17.606760025024414
2010-06-03,17.985990524291992
2010-06-04,17.809017181396484
2010-06-07,18.28432846069336
2010-06-08,18.441085815429688
2010-06-09,18.264102935791016
2010-06-10,18.709070205688477
2010-06-11,18.648401260375977
2010-06-14,18.800092697143555
2010-06-15,19.148990631103516
2010-06-16,19.17932891845703
2010-06-17,19.48777961730957
2010-06-18,19.452381134033203
2010-06-21,19.08831024169922
2010-06-22,18.41074562072754
2010-06-23,18.253986358642578
2010-06-24,18.238821029663086
2010-06-25,18.208477020263672
2010-06-28,18.339954376220703
2010-06-29,17.935426712036133
2010-06-30,17.814075469970703
2010-07-01,17.67755126953125
2010-07-02,17.495512008666992
2010-07-06,17.687665939331055
2010-07-07,18.21859359741211
2010-07-08,18.41074562072754
2010-07-09,18.714134216308594
2010-07-12,18.84054183959961
2010-07-13,18.946727752685547
2010-07-14,18.97201919555664
2010-07-15,18.99729347229004
2010-07-16,18.76469612121582
2010-07-19,19.03774642944336
2010-07-20,19.18438148498535
2010-07-21,19.13887596130371
2010-07-22,19.43216323852539
2010-07-23,19.133821487426758
2010-07-26,19.148990631103516
2010-07-27,19.62430763244629
2010-07-28,19.583852767944336
2010-07-29,19.255176544189453
2010-07-30,19.063030242919922
2010-08-02,19.437211990356445
2010-08-03,19.518117904663086
2010-08-04,19.415523529052734
2010-08-05,19.34370231628418
2010-08-06,19.246253967285156
2010-08-09,19.220596313476562
2010-08-10,19.148784637451172
2010-08-11,18.620437622070312
2010-08-12,18.34857177734375
2010-08-13,18.58966064453125
2010-08-16,18.7179012298584
2010-08-17,19.010286331176758
2010-08-18,18.912822723388672
2010-08-19,18.553754806518555
2010-08-20,18.38447380065918
2010-08-23,18.507587432861328
2010-08-24,18.440898895263672
2010-08-25,18.410123825073242
2010-08-26,18.374216079711914
2010-08-27,18.805099487304688
2010-08-30,18.63582992553711
2010-08-31,18.738418579101562
2010-09-01,19.21034049987793
2010-09-02,19.215465545654297
2010-09-03,19.37961196899414
2010-09-07,19.200082778930664
2010-09-08,19.169301986694336
2010-09-09,19.28728675842285
2010-09-10,19.1846923828125
2010-09-13,19.153919219970703
2010-09-14,18.830753326416016
2010-09-15,18.738418579101562
2010-09-16,18.58966064453125
2010-09-17,18.625572204589844
2010-09-20,18.835878372192383
2010-09-21,18.681997299194336
2010-09-22,19.015417098999023
2010-09-23,19.179567337036133
2010-09-24,19.543764114379883
2010-09-27,19.697654724121094
2010-09-28,19.666879653930664
