Date,AOS
2010-01-04,5.84909725189209
2010-01-05,5.774360179901123
2010-01-06,5.776982307434082
2010-01-07,5.794028282165527
2010-01-08,5.879254341125488
2010-01-11,5.851719379425049
2010-01-12,5.8110737800598145
2010-01-13,5.778293609619141
2010-01-14,5.8058295249938965
2010-01-15,5.761247634887695
2010-01-19,5.862207412719727
2010-01-20,5.8949875831604
2010-01-21,5.693068504333496
2010-01-22,5.630132675170898
2010-01-25,5.618332862854004
2010-01-26,5.558017730712891
2010-01-27,5.770751953125
2010-01-28,5.685131549835205
2010-01-29,5.608731746673584
2010-02-01,5.598196506500244
2010-02-02,5.606098651885986
2010-02-03,5.617951393127441
2010-02-04,5.461202621459961
2010-02-05,5.491499423980713
2010-02-08,5.524430274963379
2010-02-09,5.662739276885986
2010-02-10,5.644298553466797
2010-02-11,5.7430901527404785
2010-02-12,5.782607078552246
2010-02-16,5.7918267250061035
2010-02-17,5.753627300262451
2010-02-18,5.860321998596191
2010-02-19,5.885348796844482
2010-02-22,5.918280601501465
2010-02-23,5.870858192443848
2010-02-24,5.957796096801758
2010-02-25,5.960432529449463
2010-02-26,5.967016696929932
2010-03-01,6.046050548553467
2010-03-02,6.209387302398682
2010-03-03,6.244952201843262
2010-03-04,6.244952201843262
2010-03-05,6.293686389923096
2010-03-08,6.244952201843262
2010-03-09,6.264709949493408
2010-03-10,6.277881622314453
2010-03-11,6.368770599365234
2010-03-12,6.3964338302612305
2010-03-15,6.493905067443848
2010-03-16,6.528153896331787
2010-03-17,6.5597662925720215
2010-03-18,6.540008068084717
2010-03-19,6.4728312492370605
2010-03-22,6.570303440093994
2010-03-23,6.918051242828369
2010-03-24,6.8838019371032715
2010-03-25,6.773159980773926
2010-03-26,6.770521640777588
2010-03-29,6.849557399749756
2010-03-30,6.943077564239502
2010-03-31,6.924635887145996
2010-04-01,6.918051242828369
2010-04-05,7.078754425048828
2010-04-06,7.103779315948486
2010-04-07,7.055044174194336
2010-04-08,7.138026714324951
2010-04-09,7.203887939453125
2010-04-12,7.149884223937988
2010-04-13,7.343517780303955
2010-04-14,7.454162120819092
2010-04-15,7.383030891418457
2010-04-16,7.376441955566406
2010-04-19,7.354048252105713
2010-04-20,6.844286918640137
2010-04-21,6.857458114624023
2010-04-22,6.964151382446289
2010-04-23,7.007625579833984
2010-04-26,6.98391580581665
2010-04-27,6.920684337615967
2010-04-28,6.869784832000732
2010-04-29,7.0694260597229
2010-04-30,6.826154708862305
2010-05-03,6.964975357055664
2010-05-04,6.802355766296387
2010-05-05,6.594779968261719
2010-05-06,6.560405731201172
2010-05-07,6.3118438720703125
2010-05-10,6.652952671051025
2010-05-11,6.600069522857666
2010-05-12,6.857885837554932
2010-05-13,6.812932014465332
2010-05-14,6.633122444152832
2010-05-17,6.506198883056641
2010-05-18,6.3885297775268555
2010-05-19,6.338286399841309
2010-05-20,6.1148481369018555
2010-05-21,6.126748561859131
2010-05-24,5.986602306365967
2010-05-25,6.043451309204102
2010-05-26,6.093691349029541
2010-05-27,6.318454742431641
2010-05-28,6.163766384124756
2010-06-01,5.9839558601379395
2010-06-02,6.060640335083008
2010-06-03,6.254992485046387
2010-06-04,6.0632853507995605
2010-06-07,5.966770172119141
2010-06-08,6.0950164794921875
2010-06-09,6.110881805419922
2010-06-10,6.379274368286133
2010-06-11,6.508842945098877
2010-06-14,6.3515095710754395
2010-06-15,6.514131546020508
2010-06-16,6.556437969207764
2010-06-17,6.551150321960449
2010-06-18,6.510163307189941
2010-06-21,6.31449031829834
2010-06-22,6.243092060089111
2010-06-23,6.278792381286621
2010-06-24,6.269538879394531
2010-06-25,6.421581745147705
2010-06-28,6.532639980316162
2010-06-29,6.449347496032715
2010-06-30,6.371340274810791
2010-07-01,6.368696212768555
2010-07-02,6.404394149780273
2010-07-06,6.370019435882568
2010-07-07,6.699226379394531
2010-07-08,6.795743465423584
2010-07-09,6.9081244468688965
2010-07-12,6.847305774688721
2010-07-13,7.147433757781982
2010-07-14,7.06545877456665
2010-07-15,7.0350494384765625
2010-07-16,6.765335559844971
2010-07-19,6.864494323730469
2010-07-20,6.806321620941162
2010-07-21,6.946465969085693
2010-07-22,7.11702299118042
2010-07-23,7.266425609588623
2010-07-26,7.421111583709717
2010-07-27,7.246590614318848
2010-07-28,7.286405563354492
2010-07-29,7.314277648925781
2010-07-30,7.25720739364624
2010-08-02,7.384621620178223
2010-08-03,7.2718071937561035
2010-08-04,7.291713237762451
2010-08-05,7.266498565673828
2010-08-06,7.221373081207275
2010-08-09,7.3474578857421875
2010-08-10,7.093959808349609
2010-08-11,6.7979936599731445
2010-08-12,6.743577003479004
2010-08-13,6.754196643829346
2010-08-16,6.820554256439209
2010-08-17,7.027599334716797
2010-08-18,7.059450626373291
2010-08-19,6.7979936599731445
2010-08-20,6.7701215744018555
2010-08-23,6.6865057945251465
2010-08-24,6.698449611663818
2010-08-25,6.807280540466309
2010-08-26,6.766140937805176
2010-08-27,6.950622081756592
2010-08-30,6.81790018081665
2010-08-31,6.815245628356934
2010-09-01,7.147050857543945
2010-09-02,7.04485559463501
2010-09-03,7.188193321228027
2010-09-07,7.147050857543945
2010-09-08,7.161648273468018
2010-09-09,7.1443963050842285
2010-09-10,7.161648273468018
2010-09-13,7.404529094696045
2010-09-14,7.371348857879639
2010-09-15,7.460269927978516
2010-09-16,7.4669084548950195
2010-09-17,7.449653625488281
2010-09-20,7.62617301940918
2010-09-21,7.6779351234436035
2010-09-22,7.5452141761779785
2010-09-23,7.389925479888916
2010-09-24,7.643425464630127
