Date,SNA
2010-01-04,30.442176818847656
2010-01-05,30.427974700927734
2010-01-06,30.59844207763672
2010-01-07,31.109834671020508
2010-01-08,31.75618553161621
2010-01-11,31.89113426208496
2010-01-12,31.22347640991211
2010-01-13,31.422348022460938
2010-01-14,31.322908401489258
2010-01-15,30.825719833374023
2010-01-19,31.259000778198242
2010-01-20,30.8896541595459
2010-01-21,30.818620681762695
2010-01-22,30.690757751464844
2010-01-25,30.591337203979492
2010-01-26,30.30722427368164
2010-01-27,29.97339630126953
2010-01-28,29.305728912353516
2010-01-29,29.035852432250977
2010-02-01,29.61116600036621
2010-02-02,30.534517288208008
2010-02-03,30.491897583007812
2010-02-04,28.694915771484375
2010-02-05,28.630992889404297
2010-02-08,28.496044158935547
2010-02-09,29.128185272216797
2010-02-10,29.128185272216797
2010-02-11,29.426488876342773
2010-02-12,29.5543270111084
2010-02-16,30.0089054107666
2010-02-17,30.1651668548584
2010-02-18,30.236202239990234
2010-02-19,30.470579147338867
2010-02-22,30.449281692504883
2010-02-23,30.156023025512695
2010-02-24,30.234703063964844
2010-02-25,30.127399444580078
2010-02-26,30.198938369750977
2010-03-01,30.620960235595703
2010-03-02,30.77115821838379
2010-03-03,30.728235244750977
2010-03-04,30.80691909790039
2010-03-05,31.078718185424805
2010-03-08,30.878442764282227
2010-03-09,30.885589599609375
2010-03-10,31.221763610839844
2010-03-11,31.128793716430664
2010-03-12,30.97857666015625
2010-03-15,30.878442764282227
2010-03-16,30.97857666015625
2010-03-17,31.135942459106445
2010-03-18,31.28615379333496
2010-03-19,30.6710205078125
2010-03-22,30.778322219848633
2010-03-23,31.028644561767578
2010-03-24,30.7067813873291
2010-03-25,30.477888107299805
2010-03-26,30.61379623413086
2010-03-29,30.79977035522461
2010-03-30,31.178871154785156
2010-03-31,31.000057220458984
2010-04-01,31.236085891723633
2010-04-05,31.77254295349121
2010-04-06,31.808298110961914
2010-04-07,31.872682571411133
2010-04-08,31.886993408203125
2010-04-09,32.11588668823242
2010-04-12,32.30183792114258
2010-04-13,32.40198516845703
2010-04-14,32.5951042175293
2010-04-15,32.494956970214844
2010-04-16,32.14448165893555
2010-04-19,32.044334411621094
2010-04-20,34.7552375793457
2010-04-21,34.633636474609375
2010-04-22,35.306007385253906
2010-04-23,35.20587158203125
2010-04-26,34.95552062988281
2010-04-27,34.29030990600586
2010-04-28,34.66226577758789
2010-04-29,35.434757232666016
2010-04-30,34.461971282958984
2010-05-03,34.876834869384766
2010-05-04,33.789608001708984
2010-05-05,33.12442398071289
2010-05-06,31.90127944946289
2010-05-07,31.114503860473633
2010-05-10,33.2674674987793
2010-05-11,33.28892135620117
2010-05-12,34.025672912597656
2010-05-13,33.41050720214844
2010-05-14,32.7024040222168
2010-05-17,32.845455169677734
2010-05-18,32.34867477416992
2010-05-19,31.84468650817871
2010-05-20,30.37592315673828
2010-05-21,30.973499298095703
2010-05-24,30.80791473388672
2010-05-25,30.96630859375
2010-05-26,31.153501510620117
2010-05-27,32.096675872802734
2010-05-28,31.823081970214844
2010-06-01,30.82952308654785
2010-06-02,31.837478637695312
2010-06-03,31.880680084228516
2010-06-04,30.49833106994629
2010-06-07,29.432748794555664
2010-06-08,29.655948638916016
2010-06-09,29.742341995239258
2010-06-10,30.71430206298828
2010-06-11,30.96630859375
2010-06-14,31.110286712646484
2010-06-15,31.7438907623291
2010-06-16,31.542295455932617
2010-06-17,31.499094009399414
2010-06-18,31.513492584228516
2010-06-21,31.463111877441406
2010-06-22,30.59912109375
2010-06-23,30.66391372680664
2010-06-24,30.138336181640625
2010-06-25,30.339916229248047
2010-06-28,30.339916229248047
2010-06-29,29.727947235107422
2010-06-30,29.45435905456543
2010-07-01,29.598352432250977
2010-07-02,29.058368682861328
2010-07-06,29.20956039428711
2010-07-07,30.303930282592773
2010-07-08,30.57033348083496
2010-07-09,30.858314514160156
2010-07-12,30.728729248046875
2010-07-13,31.679094314575195
2010-07-14,31.542295455932617
2010-07-15,31.369491577148438
2010-07-16,29.922344207763672
2010-07-19,30.35433006286621
2010-07-20,31.052709579467773
2010-07-21,31.189498901367188
2010-07-22,32.06068420410156
2010-07-23,32.715858459472656
2010-07-26,32.70866775512695
2010-07-27,32.60066604614258
2010-07-28,32.12548065185547
2010-07-29,32.031856536865234
2010-07-30,32.161476135253906
2010-08-02,33.119056701660156
2010-08-03,32.665443420410156
2010-08-04,32.615055084228516
2010-08-05,32.161476135253906
2010-08-06,31.787094116210938
2010-08-09,31.77267837524414
2010-08-10,31.139102935791016
2010-08-11,30.14552879333496
2010-08-12,30.04474639892578
2010-08-13,30.080738067626953
2010-08-16,29.843135833740234
2010-08-17,30.38312339782715
2010-08-18,30.462892532348633
2010-08-19,29.73775863647461
2010-08-20,29.679746627807617
2010-08-23,29.433208465576172
2010-08-24,28.918354034423828
2010-08-25,29.164892196655273
2010-08-26,29.15039825439453
2010-08-27,29.890037536621094
2010-08-30,29.621728897094727
2010-08-31,29.89729118347168
2010-09-01,31.050256729125977
2010-09-02,31.44183349609375
2010-09-03,32.26848220825195
2010-09-07,31.86965560913086
2010-09-08,32.08717727661133
2010-09-09,32.1379508972168
2010-09-10,32.27572250366211
2010-09-13,32.877586364746094
2010-09-14,32.9138298034668
2010-09-15,33.000850677490234
2010-09-16,32.935604095458984
2010-09-17,33.037113189697266
2010-09-20,34.02330017089844
2010-09-21,33.71150207519531
2010-09-22,33.356178283691406
2010-09-23,32.812320709228516
2010-09-24,34.008792877197266
2010-09-27,33.49394989013672
2010-09-28,33.740501403808594
