Date,MPWR
2010-01-04,20.618026733398438
2010-01-05,20.53211784362793
2010-01-06,19.8448429107666
2010-01-07,19.544160842895508
2010-01-08,19.767528533935547
2010-01-11,19.56136131286621
2010-01-12,18.951406478881836
2010-01-13,18.91703987121582
2010-01-14,19.10603904724121
2010-01-15,18.71944808959961
2010-01-19,19.002939224243164
2010-01-20,18.908445358276367
2010-01-21,18.899860382080078
2010-01-22,18.41017723083496
2010-01-25,18.435949325561523
2010-01-26,18.169633865356445
2010-01-27,18.607765197753906
2010-01-28,17.954862594604492
2010-01-29,17.714319229125977
2010-02-01,18.049367904663086
2010-02-02,18.470314025878906
2010-02-03,17.070011138916016
2010-02-04,16.305423736572266
2010-02-05,16.700605392456055
2010-02-08,16.76933479309082
2010-02-09,17.353513717651367
2010-02-10,17.602638244628906
2010-02-11,18.25554084777832
2010-02-12,18.470314025878906
2010-02-16,18.607765197753906
2010-02-17,18.496089935302734
2010-02-18,18.573408126831055
2010-02-19,18.203996658325195
2010-02-22,17.989227294921875
2010-02-23,17.654190063476562
2010-02-24,17.894733428955078
2010-02-25,17.808822631835938
2010-02-26,17.44800567626953
2010-03-01,17.911903381347656
2010-03-02,18.178224563598633
2010-03-03,17.9720458984375
2010-03-04,17.989227294921875
2010-03-05,17.911903381347656
2010-03-08,18.203996658325195
2010-03-09,17.920501708984375
2010-03-10,17.963455200195312
2010-03-11,17.757280349731445
2010-03-12,17.49095916748047
2010-03-15,17.602638244628906
2010-03-16,17.911903381347656
2010-03-17,18.5218563079834
2010-03-18,18.6335391998291
2010-03-19,18.418764114379883
2010-03-22,19.346588134765625
2010-03-23,19.819072723388672
2010-03-24,19.48404312133789
2010-03-25,19.673030853271484
2010-03-26,18.977176666259766
2010-03-29,18.805355072021484
2010-03-30,19.21771240234375
2010-03-31,19.157581329345703
2010-04-01,19.466854095458984
2010-04-05,19.612895965576172
2010-04-06,19.569944381713867
2010-04-07,19.60430335998535
2010-04-08,19.595720291137695
2010-04-09,19.681623458862305
2010-04-12,19.913578033447266
2010-04-13,20.33452606201172
2010-04-14,21.262331008911133
2010-04-15,21.09052085876465
2010-04-16,20.79843521118164
2010-04-19,20.7125244140625
2010-04-20,20.93589210510254
2010-04-21,20.953067779541016
2010-04-22,21.142065048217773
2010-04-23,21.210792541503906
2010-04-26,21.124881744384766
2010-04-27,20.772666931152344
2010-04-28,20.918701171875
2010-04-29,21.399795532226562
2010-04-30,21.176433563232422
2010-05-03,20.746891021728516
2010-05-04,19.673030853271484
2010-05-05,19.406715393066406
2010-05-06,18.736631393432617
2010-05-07,17.72290802001953
2010-05-10,18.89126205444336
2010-05-11,18.539039611816406
2010-05-12,18.298492431640625
2010-05-13,17.877548217773438
2010-05-14,17.619821548461914
2010-05-17,17.344911575317383
2010-05-18,16.820873260498047
2010-05-19,17.207454681396484
2010-05-20,16.597511291503906
2010-05-21,17.250415802001953
2010-05-24,16.700605392456055
2010-05-25,16.63187599182129
2010-05-26,16.726375579833984
2010-05-27,17.155916213989258
2010-05-28,16.48582649230957
2010-06-01,16.185148239135742
2010-06-02,16.580324172973633
2010-06-03,16.949729919433594
2010-06-04,16.25387954711914
2010-06-07,15.446341514587402
2010-06-08,15.085516929626465
2010-06-09,15.420568466186523
2010-06-10,15.764199256896973
2010-06-11,15.944602012634277
2010-06-14,15.987561225891113
2010-06-15,17.018461227416992
2010-06-16,17.576862335205078
2010-06-17,17.894733428955078
2010-06-18,17.499547958374023
2010-06-21,17.104372024536133
2010-06-22,16.314008712768555
2010-06-23,16.08205223083496
2010-06-24,15.583788871765137
2010-06-25,15.781381607055664
2010-06-28,15.798562049865723
2010-06-29,15.403379440307617
2010-06-30,15.343249320983887
2010-07-01,15.197197914123535
2010-07-02,15.094112396240234
2010-07-06,14.913704872131348
2010-07-07,15.558014869689941
2010-07-08,15.678292274475098
2010-07-09,15.798562049865723
2010-07-12,16.12501335144043
2010-07-13,16.52019691467285
2010-07-14,16.3483829498291
2010-07-15,16.322599411010742
2010-07-16,15.910243034362793
2010-07-19,16.3483829498291
2010-07-20,15.918838500976562
2010-07-21,15.669699668884277
2010-07-22,15.96178913116455
2010-07-23,15.970378875732422
2010-07-26,16.666234970092773
2010-07-27,16.915376663208008
2010-07-28,16.468643188476562
2010-07-29,15.66110897064209
2010-07-30,15.137066841125488
2010-08-02,14.759069442749023
2010-08-03,14.638798713684082
2010-08-04,14.810616493225098
2010-08-05,15.119884490966797
2010-08-06,15.420568466186523
2010-08-09,15.789968490600586
2010-08-10,15.43774700164795
2010-08-11,14.69034194946289
2010-08-12,14.836386680603027
2010-08-13,14.741886138916016
2010-08-16,14.70752239227295
2010-08-17,14.879341125488281
2010-08-18,14.776248931884766
2010-08-19,14.613027572631836
2010-08-20,14.9910249710083
2010-08-23,14.73330020904541
2010-08-24,14.561482429504395
2010-08-25,15.07693099975586
2010-08-26,14.802024841308594
2010-08-27,15.197197914123535
2010-08-30,14.9910249710083
2010-08-31,14.097575187683105
2010-09-01,14.424028396606445
2010-09-02,14.913704872131348
2010-09-03,14.887934684753418
2010-09-07,14.192075729370117
2010-09-08,14.131939888000488
2010-09-09,14.509934425354004
2010-09-10,13.942937850952148
2010-09-13,14.69034194946289
2010-09-14,15.085516929626465
2010-09-15,14.982430458068848
2010-09-16,14.509934425354004
2010-09-17,14.37248420715332
2010-09-20,14.329529762268066
2010-09-21,14.123344421386719
2010-09-22,13.487625122070312
2010-09-23,13.582124710083008
2010-09-24,14.054620742797852
2010-09-27,13.968709945678711
2010-09-28,14.432616233825684
