Date,FICO
2010-01-04,21.370512008666992
2010-01-05,21.182960510253906
2010-01-06,21.25206184387207
2010-01-07,21.27180290222168
2010-01-08,21.232318878173828
2010-01-11,21.242191314697266
2010-01-12,21.261934280395508
2010-01-13,21.627155303955078
2010-01-14,21.715999603271484
2010-01-15,21.775217056274414
2010-01-19,22.466184616088867
2010-01-20,22.31812286376953
2010-01-21,21.75547981262207
2010-01-22,21.607412338256836
2010-01-25,22.061479568481445
2010-01-26,22.62412452697754
2010-01-27,22.397092819213867
2010-01-28,21.923280715942383
2010-01-29,21.646896362304688
2010-02-01,21.725872039794922
2010-02-02,21.488967895507812
2010-02-03,21.25206184387207
2010-02-04,20.353816986083984
2010-02-05,20.20574188232422
2010-02-08,19.69246482849121
2010-02-09,20.59071159362793
2010-02-10,20.472267150878906
2010-02-11,20.738780975341797
2010-02-12,20.788131713867188
2010-02-16,21.182960510253906
2010-02-17,21.538654327392578
2010-02-18,22.141340255737305
2010-02-19,22.45749855041504
2010-02-22,22.605701446533203
2010-02-23,22.329065322875977
2010-02-24,22.744028091430664
2010-02-25,22.68474578857422
2010-02-26,22.68474578857422
2010-03-01,23.544315338134766
2010-03-02,23.514673233032227
2010-03-03,23.386228561401367
2010-03-04,23.36647605895996
2010-03-05,24.156883239746094
2010-03-08,23.811079025268555
2010-03-09,24.27544403076172
2010-03-10,24.41376304626465
2010-03-11,24.94729232788086
2010-03-12,25.164655685424805
2010-03-15,24.94729232788086
2010-03-16,25.302976608276367
2010-03-17,25.72782325744629
2010-03-18,25.352378845214844
2010-03-19,25.154775619506836
2010-03-22,26.142786026000977
2010-03-23,26.16254234313965
2010-03-24,26.251461029052734
2010-03-25,26.034107208251953
2010-03-26,25.461061477661133
2010-03-29,25.194293975830078
2010-03-30,25.372133255004883
2010-03-31,25.03621482849121
2010-04-01,25.174531936645508
2010-04-05,25.708057403564453
2010-04-06,25.619140625
2010-04-07,25.006567001342773
2010-04-08,25.006567001342773
2010-04-09,24.937410354614258
2010-04-12,24.86825180053711
2010-04-13,25.075735092163086
2010-04-14,25.223934173583984
2010-04-15,25.05597496032715
2010-04-16,24.700288772583008
2010-04-19,24.680526733398438
2010-04-20,24.69040870666504
2010-04-21,24.86825180053711
2010-04-22,24.69040870666504
2010-04-23,25.540098190307617
2010-04-26,25.302976608276367
2010-04-27,24.660770416259766
2010-04-28,23.929645538330078
2010-04-29,21.805419921875
2010-04-30,20.807525634765625
2010-05-03,21.222492218017578
2010-05-04,21.686853408813477
2010-05-05,21.756010055541992
2010-05-06,21.73625373840332
2010-05-07,21.60781478881836
2010-05-10,21.923974990844727
2010-05-11,21.914098739624023
2010-05-12,22.30930519104004
2010-05-13,23.17875099182129
2010-05-14,22.704505920410156
2010-05-17,22.45749855041504
2010-05-18,22.49702262878418
2010-05-19,22.33880615234375
2010-05-20,21.547700881958008
2010-05-21,21.794918060302734
2010-05-24,21.75536346435547
2010-05-25,22.38824462890625
2010-05-26,22.576129913330078
2010-05-27,22.803579330444336
2010-05-28,22.942020416259766
2010-06-01,21.557588577270508
2010-06-02,22.299245834350586
2010-06-03,22.39813804626465
2010-06-04,21.280698776245117
2010-06-07,20.736818313598633
2010-06-08,20.914812088012695
2010-06-09,21.21147918701172
2010-06-10,21.844364166259766
2010-06-11,21.864139556884766
2010-06-14,22.73434829711914
2010-06-15,23.78256607055664
2010-06-16,23.78256607055664
2010-06-17,24.336339950561523
2010-06-18,24.0495662689209
2010-06-21,23.88145637512207
2010-06-22,23.179353713989258
2010-06-23,22.69479751586914
2010-06-24,22.38824462890625
2010-06-25,22.65524673461914
2010-06-28,22.65524673461914
2010-06-29,21.74547576904297
2010-06-30,21.547700881958008
2010-07-01,21.814687728881836
2010-07-02,21.98280906677246
2010-07-06,21.725690841674805
2010-07-07,22.69479751586914
2010-07-08,22.902462005615234
2010-07-09,23.644121170043945
2010-07-12,23.51557159423828
2010-07-13,23.88145637512207
2010-07-14,23.9210147857666
2010-07-15,23.49579620361328
2010-07-16,22.625574111938477
2010-07-19,22.081693649291992
2010-07-20,22.50691032409668
2010-07-21,22.28936195373535
2010-07-22,23.149675369262695
2010-07-23,24.178117752075195
2010-07-26,24.633005142211914
2010-07-27,24.21767807006836
2010-07-28,23.29801368713379
2010-07-29,24.118785858154297
2010-07-30,23.584793090820312
2010-08-02,23.59467887878418
2010-08-03,23.337570190429688
2010-08-04,24.0495662689209
2010-08-05,24.019893646240234
2010-08-06,24.0001220703125
2010-08-09,24.553895950317383
2010-08-10,24.257230758666992
2010-08-11,23.337570190429688
2010-08-12,22.8826847076416
2010-08-13,22.684913635253906
2010-08-16,22.981571197509766
2010-08-17,23.22879409790039
2010-08-18,23.169464111328125
2010-08-19,22.38824462890625
2010-08-20,22.299245834350586
2010-08-23,22.417911529541016
2010-08-24,21.923473358154297
2010-08-25,22.684913635253906
2010-08-26,22.249801635742188
2010-08-27,22.783798217773438
2010-08-30,22.042137145996094
2010-08-31,22.14102554321289
2010-09-01,23.149675369262695
2010-09-02,23.337570190429688
2010-09-03,24.010007858276367
2010-09-07,23.209016799926758
2010-09-08,23.3079891204834
2010-09-09,23.446548461914062
2010-09-10,23.634601593017578
2010-09-13,24.426374435424805
2010-09-14,24.58473014831543
2010-09-15,24.555042266845703
2010-09-16,24.198741912841797
2010-09-17,24.10966682434082
2010-09-20,24.693603515625
2010-09-21,24.485759735107422
2010-09-22,24.030487060546875
2010-09-23,24.020591735839844
2010-09-24,25.010313034057617
2010-09-27,24.238332748413086
2010-09-28,24.654014587402344
