Date,UNH
2010-01-04,24.91905403137207
2010-01-05,24.879526138305664
2010-01-06,25.124542236328125
2010-01-07,26.088722229003906
2010-01-08,25.843734741210938
2010-01-11,26.01759910583496
2010-01-12,25.330028533935547
2010-01-13,25.717283248901367
2010-01-14,26.333740234375
2010-01-15,26.673580169677734
2010-01-19,27.764232635498047
2010-01-20,27.305831909179688
2010-01-21,26.15986442565918
2010-01-22,26.20728302001953
2010-01-25,26.080833435058594
2010-01-26,25.638248443603516
2010-01-27,26.2705135345459
2010-01-28,26.420673370361328
2010-01-29,26.080833435058594
2010-02-01,26.18357276916504
2010-02-02,26.910680770874023
2010-02-03,26.333740234375
2010-02-04,25.654054641723633
2010-02-05,25.717283248901367
2010-02-08,25.614534378051758
2010-02-09,26.080833435058594
2010-02-10,25.85163688659668
2010-02-11,26.175674438476562
2010-02-12,25.43276023864746
2010-02-16,24.99808692932129
2010-02-17,25.72518539428711
2010-02-18,25.835830688476562
2010-02-19,25.243085861206055
2010-02-22,26.144060134887695
2010-02-23,25.930665969848633
2010-02-24,26.570833206176758
2010-02-25,26.436477661132812
2010-02-26,26.760517120361328
2010-03-01,26.902761459350586
2010-03-02,26.831649780273438
2010-03-03,26.95018768310547
2010-03-04,26.04131317138672
2010-03-05,26.66567611694336
2010-03-08,26.15986442565918
2010-03-09,26.144060134887695
2010-03-10,26.2705135345459
2010-03-11,26.47599220275879
2010-03-12,26.009708404541016
2010-03-15,25.709375381469727
2010-03-16,26.12035369873047
2010-03-17,25.883255004882812
2010-03-18,26.547128677368164
2010-03-19,27.179384231567383
2010-03-22,26.317928314208984
2010-03-23,26.20728302001953
2010-03-24,25.85954475402832
2010-03-25,26.175674438476562
2010-03-26,25.788410186767578
2010-03-29,25.954381942749023
2010-03-30,26.12824249267578
2010-03-31,25.820026397705078
2010-04-01,26.096899032592773
2010-04-05,26.215545654296875
2010-04-06,26.429134368896484
2010-04-07,26.049428939819336
2010-04-08,25.804203033447266
2010-04-09,25.519418716430664
2010-04-12,25.519418716430664
2010-04-13,25.440317153930664
2010-04-14,24.56224250793457
2010-04-15,24.23000144958496
2010-04-16,24.309112548828125
2010-04-19,24.704639434814453
2010-04-20,24.506874084472656
2010-04-21,23.937314987182617
2010-04-22,24.095521926879883
2010-04-23,24.483137130737305
2010-04-26,23.612974166870117
2010-04-27,23.57342529296875
2010-04-28,24.0797061920166
2010-04-29,24.760009765625
2010-04-30,23.97686004638672
2010-05-03,23.937314987182617
2010-05-04,23.32820701599121
2010-05-05,23.731645584106445
2010-05-06,23.13043975830078
2010-05-07,22.956405639648438
2010-05-10,23.63671112060547
2010-05-11,23.612974166870117
2010-05-12,23.984777450561523
2010-05-13,23.874034881591797
2010-05-14,24.040157318115234
2010-05-17,24.0797061920166
2010-05-18,23.874034881591797
2010-05-19,23.723726272583008
2010-05-20,22.9089412689209
2010-05-21,22.70326805114746
2010-05-24,22.806110382080078
2010-05-25,22.837743759155273
2010-05-26,22.774457931518555
2010-05-27,23.193721771240234
2010-05-28,22.99596405029297
2010-06-01,22.924762725830078
2010-06-02,23.66044044494629
2010-06-03,24.196643829345703
2010-06-04,24.101314544677734
2010-06-07,24.196643829345703
2010-06-08,24.538223266601562
2010-06-09,24.25224494934082
2010-06-10,24.38728904724121
2010-06-11,24.36347198486328
2010-06-14,24.29991340637207
2010-06-15,24.776535034179688
2010-06-16,24.935415267944336
2010-06-17,25.02280044555664
2010-06-18,24.88775062561035
2010-06-21,24.744762420654297
2010-06-22,24.339635848999023
2010-06-23,23.99805450439453
2010-06-24,23.64058494567871
2010-06-25,23.73590850830078
2010-06-28,23.187789916992188
2010-06-29,22.74294090270996
2010-06-30,22.56023597717285
2010-07-01,22.123334884643555
2010-07-02,22.48080062866211
2010-07-06,22.94948387145996
2010-07-07,23.195737838745117
2010-07-08,23.577028274536133
2010-07-09,23.807397842407227
2010-07-12,23.86301040649414
2010-07-13,23.94244384765625
2010-07-14,24.085437774658203
2010-07-15,24.530282974243164
2010-07-16,24.101314544677734
2010-07-19,24.482614517211914
2010-07-20,24.490570068359375
2010-07-21,24.38728904724121
2010-07-22,24.625612258911133
2010-07-23,24.56205940246582
2010-07-26,24.99896812438965
2010-07-27,24.450847625732422
2010-07-28,24.093379974365234
2010-07-29,24.180761337280273
2010-07-30,24.188705444335938
2010-08-02,24.975128173828125
2010-08-03,25.753616333007812
2010-08-04,26.142860412597656
2010-08-05,26.547990798950195
2010-08-06,26.571823120117188
2010-08-09,26.603595733642578
2010-08-10,26.476503372192383
2010-08-11,25.412038803100586
2010-08-12,25.52325439453125
2010-08-13,25.443817138671875
2010-08-16,25.34054946899414
2010-08-17,25.698020935058594
2010-08-18,25.848939895629883
2010-08-19,25.253170013427734
2010-08-20,25.11018180847168
2010-08-23,25.02280044555664
2010-08-24,24.657384872436523
2010-08-25,25.388200759887695
2010-08-26,25.300823211669922
2010-08-27,25.713903427124023
2010-08-30,25.34848976135254
2010-08-31,25.19756507873535
2010-09-01,25.888673782348633
2010-09-02,26.103139877319336
2010-09-03,26.937238693237305
2010-09-07,26.833969116210938
2010-09-08,26.889575958251953
2010-09-09,27.02461814880371
2010-09-10,27.4990177154541
2010-09-13,27.682397842407227
2010-09-14,27.594690322875977
2010-09-15,27.323612213134766
2010-09-16,27.299694061279297
2010-09-17,27.211978912353516
2010-09-20,27.849834442138672
2010-09-21,28.112934112548828
2010-09-22,28.44781494140625
2010-09-23,28.25644874572754
2010-09-24,28.487674713134766
2010-09-27,28.1846981048584
2010-09-28,27.937528610229492
