Date,HUM
2010-01-04,40.363006591796875
2010-01-05,40.34534454345703
2010-01-06,40.628108978271484
2010-01-07,42.51900863647461
2010-01-08,41.980003356933594
2010-01-11,41.485191345214844
2010-01-12,40.804813385009766
2010-01-13,41.555870056152344
2010-01-14,42.43064498901367
2010-01-15,42.86360168457031
2010-01-19,45.89436340332031
2010-01-20,45.302345275878906
2010-01-21,45.744178771972656
2010-01-22,45.06378936767578
2010-01-25,43.79140090942383
2010-01-26,42.65153884887695
2010-01-27,43.314231872558594
2010-01-28,43.11103439331055
2010-01-29,42.9608039855957
2010-02-01,43.04031753540039
2010-02-02,44.44526290893555
2010-02-03,43.27891159057617
2010-02-04,41.679588317871094
2010-02-05,41.54704666137695
2010-02-08,41.3084602355957
2010-02-09,42.34227752685547
2010-02-10,41.61772537231445
2010-02-11,41.370323181152344
2010-02-12,40.60158157348633
2010-02-16,40.654605865478516
2010-02-17,41.21125793457031
2010-02-18,40.822479248046875
2010-02-19,40.071414947509766
2010-02-22,42.29810333251953
2010-02-23,41.370323181152344
2010-02-24,41.4498405456543
2010-02-25,41.64424133300781
2010-02-26,41.820953369140625
2010-03-01,41.9534912109375
2010-03-02,41.96233367919922
2010-03-03,41.96233367919922
2010-03-04,41.63539505004883
2010-03-05,42.53667068481445
2010-03-08,42.36880111694336
2010-03-09,42.35995101928711
2010-03-10,42.695709228515625
2010-03-11,43.29656982421875
2010-03-12,42.386470794677734
2010-03-15,41.97116470336914
2010-03-16,42.147884368896484
2010-03-17,42.6161994934082
2010-03-18,44.25970458984375
2010-03-19,44.18016815185547
2010-03-22,43.57933044433594
2010-03-23,43.314231872558594
2010-03-24,42.3245964050293
2010-03-25,42.29810333251953
2010-03-26,41.706085205078125
2010-03-29,41.90932083129883
2010-03-30,41.82979965209961
2010-03-31,41.326148986816406
2010-04-01,41.458683013916016
2010-04-05,41.626564025878906
2010-04-06,42.26275634765625
2010-04-07,41.07872009277344
2010-04-08,40.91969299316406
2010-04-09,39.87702178955078
2010-04-12,39.32919692993164
2010-04-13,38.94923782348633
2010-04-14,38.878570556640625
2010-04-15,38.878570556640625
2010-04-16,38.81669998168945
2010-04-19,39.461734771728516
2010-04-20,39.91236877441406
2010-04-21,39.276187896728516
2010-04-22,39.30268859863281
2010-04-23,40.23046875
2010-04-26,38.48978042602539
2010-04-27,38.498592376708984
2010-04-28,40.371849060058594
2010-04-29,41.69723892211914
2010-04-30,40.39835739135742
2010-05-03,40.963871002197266
2010-05-04,40.513221740722656
2010-05-05,41.149417877197266
2010-05-06,40.283485412597656
2010-05-07,39.187801361083984
2010-05-10,40.60158157348633
2010-05-11,40.29232406616211
2010-05-12,40.63693618774414
2010-05-13,40.46903610229492
2010-05-14,40.424869537353516
2010-05-17,40.54855728149414
2010-05-18,40.822479248046875
2010-05-19,40.85783004760742
2010-05-20,39.17897415161133
2010-05-21,39.50592041015625
2010-05-24,39.59428024291992
2010-05-25,39.06409454345703
2010-05-26,39.355709075927734
2010-05-27,40.38951110839844
2010-05-28,40.68993377685547
2010-06-01,40.22162628173828
2010-06-02,41.90932083129883
2010-06-03,42.6161994934082
2010-06-04,41.87397766113281
2010-06-07,41.167083740234375
2010-06-08,41.202430725097656
2010-06-09,41.387969970703125
2010-06-10,41.76795196533203
2010-06-11,42.36880111694336
2010-06-14,42.50132751464844
2010-06-15,43.27891159057617
2010-06-16,43.14635467529297
2010-06-17,43.729530334472656
2010-06-18,43.517459869384766
2010-06-21,43.52632141113281
2010-06-22,42.775245666503906
2010-06-23,42.97846984863281
2010-06-24,42.34227752685547
2010-06-25,42.50132751464844
2010-06-28,42.465972900390625
2010-06-29,40.6192741394043
2010-06-30,40.35417175292969
2010-07-01,39.3998908996582
2010-07-02,39.17897415161133
2010-07-06,39.28501892089844
2010-07-07,40.10677719116211
2010-07-08,40.592742919921875
2010-07-09,40.822479248046875
2010-07-12,40.575077056884766
2010-07-13,40.963871002197266
2010-07-14,41.42334747314453
2010-07-15,41.396820068359375
2010-07-16,40.34534454345703
2010-07-19,41.10523986816406
2010-07-20,41.08755874633789
2010-07-21,40.38951110839844
2010-07-22,40.93735122680664
2010-07-23,40.6634407043457
2010-07-26,41.4498405456543
2010-07-27,41.202430725097656
2010-07-28,40.41600799560547
2010-07-29,40.79597091674805
2010-07-30,41.54704666137695
2010-08-02,43.05799102783203
2010-08-03,43.19938278198242
2010-08-04,43.932769775390625
2010-08-05,44.153663635253906
2010-08-06,44.71918487548828
2010-08-09,44.807533264160156
2010-08-10,44.78102111816406
2010-08-11,43.23472595214844
2010-08-12,43.57048797607422
2010-08-13,43.588165283203125
2010-08-16,43.29656982421875
2010-08-17,43.888587951660156
2010-08-18,44.28620529174805
2010-08-19,43.128692626953125
2010-08-20,42.86360168457031
2010-08-23,42.85477828979492
2010-08-24,42.139041900634766
2010-08-25,43.004981994628906
2010-08-26,42.695709228515625
2010-08-27,43.24354934692383
2010-08-30,42.39530563354492
2010-08-31,42.227420806884766
2010-09-01,43.78255081176758
2010-09-02,44.01228713989258
2010-09-03,45.13447570800781
2010-09-07,44.957759857177734
2010-09-08,44.93122863769531
2010-09-09,45.806026458740234
2010-09-10,46.63661193847656
2010-09-13,46.47755432128906
2010-09-14,46.000389099121094
2010-09-15,45.76182556152344
2010-09-16,45.452571868896484
2010-09-17,44.507102966308594
2010-09-20,45.046112060546875
2010-09-21,45.06378936767578
2010-09-22,44.39223861694336
2010-09-23,44.162513732910156
2010-09-24,44.40106964111328
2010-09-27,44.20669174194336
2010-09-28,44.70150375366211
