Date,BKNG
2010-01-04,221.1561279296875
2010-01-05,223.72354125976562
2010-01-06,216.3372039794922
2010-01-07,213.4241485595703
2010-01-08,213.50315856933594
2010-01-11,216.16934204101562
2010-01-12,211.30104064941406
2010-01-13,211.61705017089844
2010-01-14,206.15628051757812
2010-01-15,206.15628051757812
2010-01-19,206.087158203125
2010-01-20,203.72705078125
2010-01-21,205.4354248046875
2010-01-22,201.64349365234375
2010-01-25,200.300537109375
2010-01-26,201.88050842285156
2010-01-27,204.92193603515625
2010-01-28,199.155029296875
2010-01-29,192.90428161621094
2010-02-01,201.64349365234375
2010-02-02,201.86074829101562
2010-02-03,205.91928100585938
2010-02-04,197.50595092773438
2010-02-05,194.494140625
2010-02-08,198.1083221435547
2010-02-09,202.8087158203125
2010-02-10,203.81593322753906
2010-02-11,206.28465270996094
2010-02-12,205.17868041992188
2010-02-16,208.56573486328125
2010-02-17,210.20494079589844
2010-02-18,230.03355407714844
2010-02-19,227.68336486816406
2010-02-22,226.20213317871094
2010-02-23,222.27195739746094
2010-02-24,222.20285034179688
2010-02-25,221.06723022460938
2010-02-26,223.87168884277344
2010-03-01,235.55355834960938
2010-03-02,238.3185272216797
2010-03-03,232.86764526367188
2010-03-04,230.201416015625
2010-03-05,232.3936309814453
2010-03-08,237.17303466796875
2010-03-09,235.34619140625
2010-03-10,237.972900390625
2010-03-11,239.17764282226562
2010-03-12,235.91893005371094
2010-03-15,235.86956787109375
2010-03-16,238.78262329101562
2010-03-17,239.87872314453125
2010-03-18,239.7700958251953
2010-03-19,236.01766967773438
2010-03-22,239.9774932861328
2010-03-23,241.35006713867188
2010-03-24,240.7477264404297
2010-03-25,251.83712768554688
2010-03-26,248.95367431640625
2010-03-29,252.4691162109375
2010-03-30,252.7851104736328
2010-03-31,251.80751037597656
2010-04-01,253.78245544433594
2010-04-05,254.42430114746094
2010-04-06,258.3248596191406
2010-04-07,256.5572814941406
2010-04-08,256.0635986328125
2010-04-09,256.2413024902344
2010-04-12,256.9720458984375
2010-04-13,254.3749542236328
2010-04-14,261.9390563964844
2010-04-15,261.66259765625
2010-04-16,251.6692657470703
2010-04-19,244.4803924560547
2010-04-20,252.08399963378906
2010-04-21,249.98065185546875
2010-04-22,255.07606506347656
2010-04-23,258.4236145019531
2010-04-26,266.9751892089844
2010-04-27,260.9910583496094
2010-04-28,258.5025939941406
2010-04-29,269.5821533203125
2010-04-30,258.7692565917969
2010-05-03,265.7112121582031
2010-05-04,255.1352996826172
2010-05-05,243.88790893554688
2010-05-06,230.1816864013672
2010-05-07,222.56820678710938
2010-05-10,246.62322998046875
2010-05-11,216.8210906982422
2010-05-12,215.15223693847656
2010-05-13,210.2246856689453
2010-05-14,205.67242431640625
2010-05-17,197.64418029785156
2010-05-18,190.44546508789062
2010-05-19,187.72991943359375
2010-05-20,178.7339630126953
2010-05-21,188.8457489013672
2010-05-24,190.72195434570312
2010-05-25,191.01820373535156
2010-05-26,190.010986328125
2010-05-27,195.11624145507812
2010-05-28,188.76675415039062
2010-06-01,182.69375610351562
2010-06-02,187.45338439941406
2010-06-03,182.79249572753906
2010-06-04,176.3047332763672
2010-06-07,174.18165588378906
2010-06-08,174.5174102783203
2010-06-09,172.99668884277344
2010-06-10,178.97096252441406
2010-06-11,181.60752868652344
2010-06-14,181.8346405029297
2010-06-15,183.44422912597656
2010-06-16,193.95103454589844
2010-06-17,192.81541442871094
2010-06-18,190.67259216308594
2010-06-21,186.8806610107422
2010-06-22,186.58441162109375
2010-06-23,185.8931884765625
2010-06-24,182.79249572753906
2010-06-25,189.5863800048828
2010-06-28,185.57717895507812
2010-06-29,178.0328369140625
2010-06-30,174.3297576904297
2010-07-01,179.7510528564453
2010-07-02,174.201416015625
2010-07-06,179.22767639160156
2010-07-07,188.34213256835938
2010-07-08,196.7850799560547
2010-07-09,201.5348663330078
2010-07-12,201.4459991455078
2010-07-13,213.61175537109375
2010-07-14,212.65390014648438
2010-07-15,219.82302856445312
2010-07-16,215.4781036376953
2010-07-19,217.29507446289062
2010-07-20,218.8651580810547
2010-07-21,215.69534301757812
2010-07-22,225.06651306152344
2010-07-23,225.7775115966797
2010-07-26,228.6510772705078
2010-07-27,221.2252197265625
2010-07-28,221.26475524902344
2010-07-29,221.3832244873047
2010-07-30,221.590576171875
2010-08-02,224.53330993652344
2010-08-03,227.78211975097656
2010-08-04,277.7781982421875
2010-08-05,289.00592041015625
2010-08-06,291.5535888671875
2010-08-09,289.065185546875
2010-08-10,290.3291320800781
2010-08-11,285.4805908203125
2010-08-12,295.84912109375
2010-08-13,293.4692687988281
2010-08-16,290.83270263671875
2010-08-17,299.7694091796875
2010-08-18,293.9037780761719
2010-08-19,295.72076416015625
