Date,MRK
2010-01-04,20.993831634521484
2010-01-05,21.078922271728516
2010-01-06,21.362537384033203
2010-01-07,21.39657974243164
2010-01-08,21.385238647460938
2010-01-11,21.470327377319336
2010-01-12,21.300142288208008
2010-01-13,22.08295440673828
2010-01-14,22.68422508239746
2010-01-15,22.38925552368164
2010-01-19,23.041595458984375
2010-01-20,23.274166107177734
2010-01-21,22.73528289794922
2010-01-22,22.048913955688477
2010-01-25,21.98651695251465
2010-01-26,21.88441276550293
2010-01-27,21.918455123901367
2010-01-28,21.538394927978516
2010-01-29,21.65751075744629
2010-02-01,21.725589752197266
2010-02-02,22.428970336914062
2010-02-03,21.963821411132812
2010-02-04,21.04488754272461
2010-02-05,20.835010528564453
2010-02-08,20.75559425354004
2010-02-09,20.687524795532227
2010-02-10,20.53436279296875
2010-02-11,20.920089721679688
2010-02-12,20.94278335571289
2010-02-16,21.362537384033203
2010-02-17,21.181028366088867
2010-02-18,21.152666091918945
2010-02-19,21.266109466552734
2010-02-22,21.05622100830078
2010-02-23,20.710205078125
2010-02-24,20.948455810546875
2010-02-25,20.744247436523438
2010-02-26,20.920089721679688
2010-03-01,21.14132308959961
2010-03-02,21.209383010864258
2010-03-03,21.107282638549805
2010-03-04,21.06757354736328
2010-03-05,21.266109466552734
2010-03-08,21.186691284179688
2010-03-09,21.01084327697754
2010-03-10,20.800973892211914
2010-03-11,21.13914680480957
2010-03-12,21.299638748168945
2010-03-15,21.63783073425293
2010-03-16,21.746734619140625
2010-03-17,21.826974868774414
2010-03-18,22.039060592651367
2010-03-19,21.815507888793945
2010-03-22,21.953079223632812
2010-03-23,22.06771469116211
2010-03-24,21.78685188293457
2010-03-25,21.65501594543457
2010-03-26,21.45439910888672
2010-03-29,21.71807098388672
2010-03-30,21.586233139038086
2010-03-31,21.408550262451172
2010-04-01,21.61488914489746
2010-04-05,21.431476593017578
2010-04-06,21.351232528686523
2010-04-07,21.08756446838379
2010-04-08,21.081829071044922
2010-04-09,21.19073486328125
2010-04-12,21.121950149536133
2010-04-13,21.03597640991211
2010-04-14,20.755107879638672
2010-04-15,20.657665252685547
2010-04-16,20.468515396118164
2010-04-19,20.57743263244629
2010-04-20,20.66913604736328
2010-04-21,19.912532806396484
2010-04-22,19.35654067993164
2010-04-23,20.325220108032227
2010-04-26,20.061553955078125
2010-04-27,19.763498306274414
2010-04-28,19.809350967407227
2010-04-29,20.204858779907227
2010-04-30,20.08449363708496
2010-05-03,20.21630859375
2010-05-04,20.525840759277344
2010-05-05,20.399738311767578
2010-05-06,19.643131256103516
2010-05-07,19.196044921875
2010-05-10,19.631668090820312
2010-05-11,19.20750617980957
2010-05-12,19.282026290893555
2010-05-13,19.092870712280273
2010-05-14,18.846397399902344
2010-05-17,18.78908348083496
2010-05-18,18.542613983154297
2010-05-19,18.697376251220703
2010-05-20,18.238826751708984
2010-05-21,18.364927291870117
2010-05-24,18.261743545532227
2010-05-25,18.37638282775879
2010-05-26,18.582738876342773
2010-05-27,19.27055549621582
2010-05-28,19.3106746673584
2010-06-01,19.218976974487305
2010-06-02,19.694713592529297
2010-06-03,19.65459632873535
2010-06-04,19.01262092590332
2010-06-07,19.092870712280273
2010-06-08,19.379465103149414
2010-06-09,19.3221435546875
2010-06-10,19.860946655273438
2010-06-11,20.20286750793457
2010-06-14,20.295602798461914
2010-06-15,20.875139236450195
2010-06-16,20.869346618652344
2010-06-17,20.782411575317383
2010-06-18,20.672298431396484
2010-06-21,20.353557586669922
2010-06-22,20.35934829711914
2010-06-23,20.52741813659668
2010-06-24,20.637529373168945
2010-06-25,20.822982788085938
2010-06-28,20.828779220581055
2010-06-29,20.53321075439453
2010-06-30,20.26662254333496
2010-07-01,19.95946502685547
2010-07-02,19.831966400146484
2010-07-06,20.0811710357666
2010-07-07,20.53321075439453
2010-07-08,20.782411575317383
2010-07-09,21.037416458129883
2010-07-12,20.91571044921875
2010-07-13,21.124343872070312
2010-07-14,20.979459762573242
2010-07-15,21.147525787353516
2010-07-16,20.811391830444336
2010-07-19,20.747642517089844
2010-07-20,20.666507720947266
2010-07-21,20.394115447998047
2010-07-22,20.38832664489746
2010-07-23,20.20866584777832
2010-07-26,20.440473556518555
2010-07-27,20.38832664489746
2010-07-28,20.133323669433594
2010-07-29,20.318782806396484
2010-07-30,19.971052169799805
2010-08-02,20.32457733154297
2010-08-03,20.1796875
2010-08-04,20.394115447998047
2010-08-05,20.32457733154297
2010-08-06,20.272418975830078
2010-08-09,20.492647171020508
2010-08-10,20.730255126953125
2010-08-11,20.220256805419922
2010-08-12,20.30719757080078
2010-08-13,20.284006118774414
2010-08-16,20.26662254333496
2010-08-17,20.596960067749023
2010-08-18,20.49843978881836
2010-08-19,20.115938186645508
2010-08-20,19.95946502685547
2010-08-23,20.26662254333496
2010-08-24,19.95946502685547
2010-08-25,20.017417907714844
2010-08-26,19.982643127441406
2010-08-27,20.284006118774414
2010-08-30,20.127532958984375
2010-08-31,20.376726150512695
2010-09-01,20.64331817626953
2010-09-02,20.486845016479492
2010-09-03,20.62594223022461
2010-09-07,20.55059051513672
2010-09-08,20.753437042236328
2010-09-09,20.90991973876953
2010-09-10,21.24025535583496
2010-09-13,21.21097183227539
2010-09-14,21.38666343688965
2010-09-15,21.380800247192383
2010-09-16,21.333955764770508
2010-09-17,21.2753963470459
2010-09-20,21.398374557495117
2010-09-21,21.503780364990234
2010-09-22,21.644330978393555
2010-09-23,21.468643188476562
2010-09-24,21.86686134338379
2010-09-27,21.74388885498047
2010-09-28,21.81415367126465
